[00:00:41.360] いつもより早いし、平日は暑い。
[00:00:55.199] こんばんは。
[00:00:58.640] うえ。お疲れ。
[00:01:54.560] 待ってましたよ。
[00:02:57.400] あいあい疲ちゃん
[00:04:48.080] はい、どうもこんばんは。お疲れす。どう
[00:04:50.479] もダムゲームです。えた、こんばんは。
[00:04:54.360] 主人さんこんばんは。
[00:04:55.440] え、演技がいぞさん、こんばんは。岩おたん、こんばんは。プランさん、こんばんは。ランディ、お疲れちゃん。はい、ということでどうも
[00:05:02.120] お疲れんく
[00:05:03.600] 久しぶり。あ、シドさんこんばんは。
[00:05:05.280] もう顔が映る前の数分は喋んないんだね。
[00:05:08.360] うん。もうめんどくさいからあそこ喋んない。あの
[00:05:12.440] 5分もうめんどくせえから喋んない。
[00:05:14.400] 笑笑。
[00:05:16.680] だってさ、ま、あそこ面どいねん。喋んの。
[00:05:20.720] ダブル。
[00:05:21.280] どうもこんばんは。すいません。待たせたな。待たせて。
[00:05:23.759] あの、あの5分はもう待機時間だと思って
[00:05:25.720] くれ。うん。だって意味ないやん。あそこ
[00:05:28.319] で喋ってたら。
[00:05:31.319] どうもこんばんは。あの
[00:05:34.840] 久々じゃね平日に配信やんのめちゃくちゃ
[00:05:38.960] 久しぶりなんだけどなんか変な感じするわ
[00:05:40.639] 。
[00:05:41.199] あの、ま、ちょっとね、平日あんまり歩きなかったんだけど、ドラクエやりたいし、
[00:05:45.400] 平日何ヶ月ぶり?
[00:05:46.800] いや、もうめちゃめちゃ7
[00:05:48.319] ヶ月ぶりとかじゃない。わかんないけど、そもそも配信がまだ、まだそもそも配信が
[00:05:53.919] 6回目、7回目ぐらいなんですけど、2
[00:05:56.240] 年ぶりの平日配信、あの、
[00:05:58.319] 12
[00:05:58.600] 時ぐらいに終わりにしよう。明日も仕事あるし、みんな
[00:06:02.160] 12
[00:06:02.440] 時ぐらいに終わりにしような、今日は。
[00:06:04.400] ってことでドラゴンクエスト
[00:06:06.039] 2
[00:06:07.000] やってきますよ。今日ももう時間もったいないんでやります。時間もったいねえからよ。時間もったいねえからよ。
[00:06:16.280] 明日からドラクエ7の体験版でき
[00:06:18.599] いや、そうなんだよ。ドラクエ7
[00:06:20.120] もさ発売されちゃうしさ。どうな、一体どうなっちゃうわけ?ネタバレされた
[00:06:25.880] 2期頑張ろう。
[00:06:26.919] 本当だよ。あれふざけんなよ。あいつ悪いやつじゃねえんだよ。ネタバレされました。
[00:06:32.440] ネタバレされたツイートをした後にすっぽかしてまでやろうとしてたくらいです。
[00:06:37.440] あ、そうだよ。うん。そう。わあ。うぜえ。バボバボバボバボー。ルビさん、こんばんは。さ、やってこうぜと。久々のね、久々のドラゴンクエスト
[00:06:50.960] 2
[00:06:51.319] やってきます。平日配信ね。よろしく。そう、明日からドラゴンクエ、ドラゴンクエスト
[00:06:56.759] 7体験版でしょ。もう来月もドラクエ
[00:06:59.759] 7出るし。
[00:07:00.560] もうどう、もう一体全体どうなっちゃうの?はい、やってきます。いや、セブン発売りか。やろうぜ。
[00:07:10.639] 今度前急に何やる?やる、やる。いいよ、別にやってもいいよ。俺強い。言っとくけど、俺強いぜ。マリカ早えよな。ドラクエ、もうドラクエてんだぜ。おいおい。
[00:07:24.599] 四死料のドラクエで前回なんかサマの王様をサマの王様を王子様を助けに行けと
[00:07:31.800] 救いに行けと
[00:07:33.160] こんばんは
[00:07:33.879] わかんない。ちょっとレートとかちょっとよくわかんないわ。ごめんごめん。俺今までそういうのやったことないからレートとかそういうことじゃない。楽しめばいいだけだから。やなちゃんこんばんは。やなちゃんこんばんは。今日は
[00:07:45.120] 12
[00:07:45.440] 時までやりますよ。ということでよろしくよろしくよろしくよろしくってことでやってきます。
[00:07:52.879] 前回なんかドラゴンクエストあの
[00:07:55.560] 1をクリアしまして、え、
[00:07:57.280] 2からですね。いや、2
[00:07:59.159] になったわけですけども、なんか、なんか、
[00:08:04.280] なんかたどたど、今日あれやね、俺炊き込みご飯作ったい。
[00:08:09.319] 今日は炊き込みご飯を作ったぜ。ええやんけ。うまいよな。
[00:08:21.599] うん。無印の無印の炊き込みご飯のもっと
[00:08:25.280] バカうめえから。みんなよろしく。
[00:08:28.039] みんなよろしく。そこんとこよろしく。
[00:08:31.120] ここに行けばいいんだってと。
[00:08:34.680] 無印の柏飯
[00:08:37.440] の元めっちゃうめえからのあれでも
[00:08:39.599] いいすぎ
[00:08:41.959] それ言いすぎ。
[00:08:45.120] これマカロンちゃんがさ、可愛くてよ。見えから。
[00:08:49.720] ブンブンブン。無印のか飯。ブンブン。いっぱいするとめえぞ。
[00:08:57.600] いや、あ、同じこ。おい、お前は俺なのか?うん。自分で追加するよね。自分で追加するよね。自分で追加するよね。うん。やる。鶏肉追加して。
[00:09:09.640] さらに舞いたも。さらに舞いたも。
[00:09:13.880] 最高。最近キノコがうめえ。最近キノコうめえ。歯だろ、お前。最近キノコが美味しくてね。キノコ大好きね。キノコが大好きでうん。ね、今までキノコ、え、石つぶてを覚えたってん。これつぶての鳴き声な。なんか久々にやったわ。
[00:09:43.399] ど、なんかもポケモンの泣きま似も久々にやってなんか精度が落ちた気がする。
[00:09:49.839] 笑笑
[00:09:50.760] 精度が落ちた気がする。
[00:09:53.160] 焼き尽くせ。もう覚えてないだろ。
[00:09:56.440] いや、覚えてるよ、覚えてるよ。覚えてる。覚えてる。
[00:09:59.160] セブンの金の橋元確認も追加したらうまそう。
[00:10:02.200] 何それ?セブンの金の橋元確認って何?あ、豚確認ってこと?バカ野郎。バカ野郎。ちょ、わからんわ。
[00:10:10.880] なんか
[00:10:12.519] なんかわからん。なんかわかんなくなって
[00:10:14.040] きた。お前らのコメントのいなし方こんな
[00:10:16.399] こんなこんな感じだっけ?俺いつも
[00:10:19.600] 俺こんな感じだったっけ?いつも
[00:10:23.320] マカロンちゃんもえマカロン
[00:10:26.800] ンってのはなんかあの王子様の弟やねん。
[00:10:31.279] 妹やね。妹やねん。それ
[00:10:35.079] 妹やね。可愛いねん、
[00:10:40.399] バッタモン
[00:10:43.240] 、あのなんだっけ?え、波兵
[00:10:49.079] 違ったなごめん。
[00:10:51.320] 詳細ぬ
[00:10:53.959] 平日配信
[00:10:55.240] 平日配信はもう久々すぎてもうちょっと
[00:10:58.600] 空回りしてます。やり方忘れてる。なんか
[00:11:00.399] 平日の
[00:11:02.560] ちょっと緊張してる。なんかちょっと緊張
[00:11:05.160] してるわ。ヘプロン、お疲れ。12時まで
[00:11:07.839] な。12時までな。深夜の12時はもう寝
[00:11:11.440] なきゃだめだよ。深夜の12時は。
[00:11:17.600] あと今日さっき風呂で風呂で髭剃ってこ
[00:11:23.000] 切っちゃっていてえ。
[00:11:26.040] ほ切っちゃったんだよな。すぎてれ。
[00:11:29.680] いやいないないない。マジでない。
[00:11:31.839] なんなら今日11時半で終わってもいい。
[00:11:34.560] なんなら今日12時半で終わっ、11時半
[00:11:36.519] で終わって。いや、マジでもう平日は短い
[00:11:39.399] からやれる時も限られてるし。今日は
[00:11:42.560] ちょっと早く帰ってきたからさ。今日
[00:11:44.760] ちょっと早く帰ってねえ、MP9取ると
[00:11:47.160] かけモんじゃねえかお前。おい、
[00:11:51.399] MP14しかないねんだよ俺。MP14
[00:11:54.760] しかないのにホトラで9持ったんだけど
[00:11:57.399] とんでもねえな。つ延長するのが茶げ配信
[00:12:00.240] 。
[00:12:00.360] いやない。ほんまにない。やめてな。こう
[00:12:03.440] いうなんかふりみたいななんかもうそれ
[00:12:07.160] あかんでやだやだやだ仕事や。もうほんま
[00:12:12.360] 寝よ。
[00:12:14.959] 夜はねん。ただもうでもちょっとやりたい
[00:12:17.440] なって。ちょっとやりたいなってとこやね
[00:12:19.480] 。今日クりある
[00:12:22.040] あるわけねえだろ。これマジクソならしい
[00:12:24.600] からな。
[00:12:26.600] 学校俺学校じゃねえや。
[00:12:28.440] 学校って仕事の会社のさ、後輩がさあ、もコラとリミさんお疲れちゃん。平日配信やってく。ちょっとだけな、
[00:12:36.639] 12
[00:12:36.880] 時までな。クソネタバレ食らったんだよね。なんかクソネタバレ食らったんだよね。あ、橋本さん、俺も俺もクエツ
[00:12:47.000] 買ったんすよって。あ、そうなんだ。すごいねって。うん。
[00:12:50.880] い、良かったねって言って話聞てたらめっちゃ面白くてマジでもう俺
[00:12:55.279] 2
[00:12:55.519] のラスボス前なんすわって言われてあすごいねて言ったらもうその後めっちゃネタバレ食らった。
[00:13:01.920] ある
[00:13:04.240] ベリアルに関するネタバレを食らいましてちょっと待ってなんかでも俺配信してるとか言えないからさ。
[00:13:11.560] え、ちょ、えー、そうな。へえみたいな感じで内心めっちゃうわ、ネタバレ食らったと思いながらそれをツれをね
[00:13:23.880] Twitterでツイートしたら、
[00:13:26.199] あの、え、あの
[00:13:28.040] 声のボリュームどうレベルで草?
[00:13:30.079] あの、やっぱね、どい友だから、あの、米国通長さんがちょっと待って。
[00:13:36.839] それ俺にもネタバレなんだけどっていういうリプが来てやつだが
[00:13:41.320] リプが来てはした。あ、俺測らずもネタバレしちゃったと思った追消ししました。すぐ追加した。ごめんなさいつって。ごめん。話聞いてなかった。何ね悪気があるわけじゃないのに攻めるのはかわいそうなんだけどね。さこっか。
[00:13:58.199] ネタバレ食らったの。
[00:13:59.440] ネタバレく食らったよ。じんちゃんお疲れ。じんちゃんお疲れ。
[00:14:06.279] バンバンバンボンボンボンボンボンボンブンブン平日はもうすってやってす
[00:14:20.480] それって言ってなかった。
[00:14:22.399] 言ってなかった。言ってなかった。いや、俺も会社にばれたらマジでもう配信やめるか。ああ、死ぬ。めちゃめちゃ強え。なんだよこれ。
[00:14:29.759] 何?マカロンちゃん何?
[00:14:32.279] 小みも使えんの?
[00:14:34.880] 後輩君見てる?
[00:14:38.639] 君の大好きな茶ゲームなら今俺の横で寝てるぜ。紅白ごめん。
[00:14:50.199] お前のこと許さんからな。
[00:14:54.040] なんかね、ベリアルだから。ま、ま、ネタバレ
[00:14:57.079] 知ってるか。
[00:15:01.360] 順じってるわけないじゃん。
[00:15:08.959] 連だよ。後輩見ってる。
[00:15:14.360] いや、ま、これ会社にバレたらやめるからな。一瞬先に言っとくけど。会社に配信バレたらやめるか。
[00:15:23.720] 知ってたら怖いっすわ。当たれ。
[00:15:25.800] 怖いっすわ。
[00:15:28.360] なんでだよ。て
[00:15:31.440] 会社に配信バレたらやめるよ。やだよ。もう無理だよ。やだよ。
[00:15:41.959] くらえ。もう
[00:15:44.120] みんなもちょっとだから本当やめてね。本当になんか俺を思って大切で扱ってくれよ。連続師匠
[00:15:53.519] 7回目。Cさん、どうもあざいます。
[00:15:55.759] 俺が復活してから今んとこフェクトじゃん。
[00:15:58.120] 7回目だからな。今日は
[00:15:59.600] インドカす
[00:16:00.519] 会社じゃねえよ。配信をインドか配信。あ、チトびこんばんは。ちゃんとビ
[00:16:05.240] 先にバレてた人の話は聞いたことあるな。
[00:16:08.440] ええ、そうなんだ。でもなんかそういうこともなんかありえなくねえよな。あ、サブスクありがとう。
[00:16:15.480] 35ヶ月。
[00:16:16.600] サブスク35ヶ月。あざす。連続
[00:16:19.560] 35ヶ月。やば。やばすぎ。
[00:16:22.959] もうチャーソビは俺が配信をあの休んでる時も毎月配信チャート付けしてたからね。
[00:16:30.759] さすがよね。さすがやね。
[00:16:35.079] やば
[00:16:35.720] やばいよね。
[00:16:37.480] 病ね。笑。
[00:16:41.279] 病だね。
[00:16:43.759] そうなんですか。
[00:16:44.759] 愛ですね。
[00:16:51.720] 愛なね。プランさんも
[00:16:54.959] 77回視聴中。
[00:16:58.720] いいですよ。連続師匠いですよ。自動更新だったのか。あ、そういうこと。うん。別に言わなくてよくない。それなんでそう別に言わなきゃ俺ずっと幸せな気分で入れたもすね。無士だ。
[00:17:16.439] 思い女っすわ。
[00:17:18.520] 笑笑
[00:17:20.480] 重い女すわてくれませんよ。
