[00:00:27.720] ひ
[00:00:45.195] [音楽]
[00:01:04.360] 待ってましたよ。
[00:01:18.640] 初めです。コールストリーボブ。
[00:02:40.200] この5分長くない
[00:03:36.799] 眠く[音楽]なってきた。
[00:03:48.439] オースオ
[00:04:23.312] [音楽]
[00:04:54.400] え、どうもこんばんは。おいっすね。お
[00:04:56.440] 疲れさん。はい、どうも。え、皆さんどう
[00:04:59.240] もこんばんは。え、邪魔ゲームと
[00:05:09.080] 申します。はい、どうも邪魔ゲームです。
[00:05:11.120] はい、どうもはい、どうもこんばんは。
[00:05:13.280] 綾たこんばんは。いこんばんは。プラン
[00:05:15.600] さんこんばんは。にじゃん。[笑い]
[00:05:18.960] に中かさん、どうも。初見さん、どうも
[00:05:20.960] こんばんは。え、そのちゃん、こんばんは
[00:05:23.000] 。シゼロさんもこんばんは。はい、どうも
[00:05:25.560] なりました。もう今日本当にちょっとだけ
[00:05:28.080] ね。[笑い]
[00:05:29.600] 今日ほんまにもうちょっとしかやらんから
[00:05:31.759] 、もうちょっとやってもう寝るねん。明日
[00:05:34.360] 俺朝早くてさ、明日初詣ーでだからさ。
[00:05:37.919] 先っちだけマジか
[00:05:39.319] 先お久しぶりじゃん。お前生きとったんか
[00:05:41.919] 、あれ。おい、めっちゃ久しぶりじゃん。
[00:05:44.520] 久しぶりじゃん。
[00:05:45.880] さんがかい。お前は未だにで止まってるんだな。お前は未だにで止まってるんだな。俺はお前がいない間に進化したぞ。
[00:05:57.199] ほほほ。
[00:05:57.919] ほほほじゃない。なんか久し
[00:06:00.319] 3人だぜ。
[00:06:02.000] おい、サイツ猫きこんばんは。おい、お疲れ。あた。あ、か改めなの?あ、貝じゃないんだ。改めなんだ。サイス猫すきこんばんは。
[00:06:07.459] [笑い]
[00:06:11.520] そっかお前らあれか
[00:06:13.400] 3
[00:06:13.599] 連休か俺もう俺祝日普通に仕事ブラック企業だからあの普通に祝日仕事なんで普通にそれやめてください。本当
[00:06:14.009] [音楽]
[00:06:22.160] 3連休マウントマジでやめてな。
[00:06:24.520] 連休です。2
[00:06:25.800] 連休だ。俺もそう。2連休。2
[00:06:28.000] 連休っていうなんかもう連
[00:06:29.919] 2連休はもう連休とは言わない。
