[00:00:27.679] ピース
[00:00:42.440] ぐーぐー
[00:00:44.200] グーグ
[00:02:11.656] [音楽]
[00:02:40.319] うい。お疲れ。
[00:02:44.280] つんまげんきねさんおたかつかチパチパチパ
[00:03:06.519] ち割
[00:03:27.040] のお猫さんが5ドルでサブスクしました。
[00:03:30.120] 34ヶ月目です。
[00:03:34.640] せパチパチパチパ
[00:03:39.760] ち
[00:04:12.760] エボエボエ玉
[00:04:53.520] こんばんは。[笑い]
[00:04:55.280] はい、どうも邪魔ゲームでございます。
[00:04:58.199] はい、どうもやってまいりましたね。今日
[00:05:01.720] は配信をちょっとだけやって寝ようかなと
[00:05:04.639] いう気持ちがあります。はい、どうも
[00:05:07.360] こんばんは。え、こめちゃんこんばんは。
[00:05:09.800] え、うんにきこんばんは。え、もこら
[00:05:12.240] こんばんは。え、ランディ、こんばんは。
[00:05:15.479] え、お猫、こんばんは。え、サブスクありがとうございます。
[00:05:19.639] え、ペペロン、お疲れ様です。新妙なお持ち。いや、別に何もないよ。さんさんあさんもどうもこんばんは。ありがとうございます。
[00:05:24.228] [笑い]
[00:05:27.479] 9
[00:05:27.800] ヶ月目です。ちゃまさん待ってましたよ。
[00:05:30.360] あ、プラさんもこんばんは。サブスクありがとう。サブスクありがとうございます。
[00:05:34.960] 49俺さ、お猫が、
[00:05:38.000] お猫が、お猫がね、今日、あの、さっきサブスクしてくれて、へえ。
[00:05:43.680] 36
[00:05:44.280] 俺最初の、あ、ごめん。話コロコロ変わってごめんね。あの、あの最初の
[00:05:47.759] 5
[00:05:47.960] 分間喋らんねん、俺。最近のチまゲームはご存知かもしれませんが、最初の
[00:05:50.428] [笑い]
[00:05:55.960] 5分間も喋んのやめたの。めんどくさい。
[00:05:58.944] [笑い]
[00:05:59.960] ま、あの、あそこの、あの、なんか
[00:06:02.919] グダグダ繋ぐのだるいんで[笑い]、最初
[00:06:05.800] 、もう最初もうもう天狗も天狗お前らが
[00:06:08.960] 待てよ。黙って、[笑い]
[00:06:11.880] 黙って待っちなさい。待てだよ、待ての
[00:06:15.960] 状態です。そこはもう俺も俺も俺もでも
[00:06:19.039] なんか俺もさめちゃんとかあのうきとかが
[00:06:23.639] さすっげえ早く今日コメントしてくれてさ
[00:06:26.120] 、あ、俺5分間喋んねえんだけど早いなと
[00:06:28.160] 思ってこの5分でいなくなっちゃったらや
[00:06:30.280] だなと思ってました。どうも俺俺も我慢し
[00:06:32.400] てる。[笑い]
[00:06:34.400] 喋ればいいじゃんと思うんだけど。じゃあ喋ればいいじゃんってとこ。あの
[00:06:37.720] 5
[00:06:37.800] 分コメントでったら焦るくせにもうもう最初の
[00:06:41.599] 5
[00:06:41.759] 分であのコメントなかったら俺配信切ろうと思って。これから配信切ろうと思った。はい、どうもこんばんは。で、お猫があのね、あのサブスクして累計で
[00:06:45.449] [笑い]
[00:06:52.654] [音楽]
[00:06:54.240] 34ヶ月やって、しかも連続
[00:06:56.960] 354ヶ月って俺が半年間
[00:07:00.240] 配信休んでてもこいつやめてなかったんかい。
[00:07:02.840] こいつやべえなと思ったら囚人さん見て
[00:07:05.400] 49ヶ月で連続49
[00:07:07.479] だよ。もうパパだね俺。もうだ囚人さん、俺女だったら囚人さんに抱かれてもいい。
[00:07:15.120] 配信始まったら自動で開くようにしてるん。
[00:07:18.080] さすがいいね。全員やってください。それ
[00:07:20.160] えすると
[00:07:21.599] わかんない。もう囚人さん、俺女だったら囚人さんに抱かれに行ってるね。うん。
[00:07:22.785] [笑い]
[00:07:29.240] そんくらいしないとね。はい。[笑い]
[00:07:32.039] どうもこんばんは。やってきます。え、
[00:07:34.000] 今日はドラゴンにドラゴンクエスト&amp;2
[00:07:38.520] やっていきますかね。今日もちょっとあの
[00:07:40.440] 、もう平日なんで12時までぺてってぺっ
[00:07:42.960] てますんでよろしくよろしく。ししく
[00:07:48.440] やろ。別にないっす。そんななんかなない
[00:07:51.840] 。別になんか喋ること
[00:07:54.720] 喋ることない。ドラクエをやサクっとやっ
[00:07:57.440] て寝ます。はい。チびも疲れちゃん。チぞ
[00:08:00.159] お疲れ。連続記録。え、チスさんは現在
[00:08:03.319] 10連続配信中。え、10連続視聴中です
[00:08:06.639] 。そうです。すごいね。暇だね。[笑い]
[00:08:10.919] ありがとうございます。これさ、なんか
[00:08:13.159] 10連続とかさ、や、オフラ、オンライン
[00:08:15.360] のフレンド3人俺のリア、リアフレ多い。
[00:08:20.000] 俺このさ、連続視張回数ってこれなんか
[00:08:23.240] あんの?これなんか何のためにあるの?
[00:08:25.639] これ[笑い]
[00:08:27.400] 毎回気になった。
[00:08:28.199] アートディンクってこれなんか他のゲームでも毎回見るよね、これ。アートディンク寒すぎるだろ。
[00:08:35.360] ちょっとポイントもらえるくらい。
[00:08:37.000] ちょっとポイントもらえるんだ。
[00:08:38.039] ナスちゃポもらえるくらい。あとマウント取れる。を伝えてるんだ。
[00:08:42.680] マウント取れる。マウント取れるんや。
[00:08:45.760] チャネポもらえるんだ。これプラス
[00:08:47.399] 450で450ぐらいもらえんだ。
[00:08:49.120] でもうちのチャンネル別にパバパバパパバパパバ
[00:08:58.279] 2
[00:08:58.440] ちゃんに書かれるぞ。ま、茶まゲんとこじゃ平気か。音ちっちゃないか。
[00:09:03.480] 暇は失礼。[音楽]
[00:09:05.279] 暇は失礼。デラグマ君もお疲れちゃん。デラクマ君もお疲れ。さあ、やってきます。ドラゴンクエスト
[00:09:06.276] [笑い]
[00:09:09.959] 2
[00:09:10.640] やめてよ。い
[00:09:11.600] いつ
[00:09:12.160] 本当に書かれるよ。い
[00:09:13.360] やかマゲームとか大丈夫だ。別にえやっていきます。
[00:09:17.040] もう僕あの外との関わりはもうあの鎖酷
[00:09:19.959] 状態だからゲームは[笑い]
[00:09:22.720] もう鎖酷出島長崎の出島みたいになって
[00:09:26.000] たこえよく
[00:09:27.600] 問題たのそれだけかいあの別にあのうちは
[00:09:32.440] あのもう全然あのないんで外との関わりが
[00:09:38.079] うちにうちに行ってますんでね。さあやき
[00:09:40.880] ますよ。これもうこのペースだったらいつ
[00:09:43.800] クリアできんねんて。
[00:09:45.000] そ、なんだっけ?全然ストーリー覚えてねえや。
[00:09:46.920] 5
[00:09:47.040] 分のトークやめたんだよ。
[00:09:49.360] あ、そういうことね。あ、そういうことね。もうあ、じゃ街の時間ということでな、どうなんだっけな。ストーリー忘れたよ。船手に入れるんだっけ?船手に入れたんだっけ?船を出トレジャーハンターの俺を巻き込むなよ。そんなこと言ってる場合かよ。私はみん俺これなんかやったよな。それじゃあんたの腕も立ちましょう。山から皆を連れ。
[00:09:49.506] [笑い]
[00:10:12.519] いや、これやったよな。
[00:10:16.079] え、
[00:10:16.440] ドラクエって40周年なん?
[00:10:18.399] あれ?これ俺やったぞ。これなんか変な
[00:10:20.320] するデータ間違えたか?
[00:10:21.920] え、そんなことある?ニドさん、こんばんは。ちょっと待って。そんなことある?そんなことある?ドラクエッ
