[00:00:29.720] ສ
[00:00:32.279] うお、8割のお猫さんが5ドルでサブスク
[00:00:35.640] しました。33ヶ月目です。うおお、
[00:00:39.719] ちゃま。
[00:00:48.320] お帰り。
[00:00:50.840] お久しぶり。通知来た瞬間2度見して開い
[00:00:54.879] ちゃった。
[00:01:02.359] シモンキさんが5
[00:01:03.440] ドルでサブスクしました。
[00:01:05.519] 4
[00:01:12.640] チまびっくり。
[00:01:17.720] ぐーぐティラお帰り。剣士色さんが
[00:01:35.960] 5ドルでサブスクしました。目です。
[00:01:40.439] ペンライト、ペンライト、ペンライト。
[00:01:46.040] はい、どうもこんばんは。キアルでを送りました。なんかいや、久しぶり。あのさ、いや、あざす。なんか、なんかこの変な読み上げ何です
[00:01:59.200] ね?この変な読み上げ何?これどうやって消すの?なんかなんとかなんとかみたいな。
[00:02:04.399] サブスクありがとう。しさあを送りました。
[00:02:09.640] サブギフありがとうしもきんちゃん。そしてみんなもサブスクもありがとうございます。
[00:02:14.080] サブ服もありがとうございます。
[00:02:16.080] いや、よかった。よかった。これで2
[00:02:17.560] ヶ月ぐらいはまた収益もらえますね。
[00:02:20.920] あ、これそうすっかな。俺なんかもうなんかこれ今日やってまたまた半年ぐらい配信休んで
[00:02:28.040] ねもこのこのこのサブスクの収益が切れるまでまた配信休んでまた少なくなってきたらこうやって配信つけてでお金もらい続けるみたいな。これどうみんなこれ?はい。
[00:02:42.440] どうもやっていきます。
[00:02:44.159] なんかここカレ臭い
[00:02:47.800] ね。このさ、変な呼び、変な棒読み何?
[00:02:51.280] 悪だよ。
[00:02:52.480] 何この変な棒読み?
[00:02:53.840] 戦闘1mさてる。
[00:02:57.440] 変な変な棒読みなんかついてんの?これ何これ?変な棒読み。何が言ってんの?これどうやって消すんの?これ
[00:03:05.760] 覚えてねえって。どうもこんばんは。
[00:03:07.519] 皆さん僕のこと覚えててくれましたか?僕
[00:03:12.360] のこと覚えててくれましたか?え、お猫
[00:03:16.000] こんばんは。うむくにこんばんは。え、り
[00:03:19.000] さんこんばんは。オリファさんこんばんは
[00:03:21.120] 。みもこんばんは。え、なっかさん
[00:03:23.440] こんばんは。え、うんちゃんこんばんは。
[00:03:25.400] りんかさんこんばんは。え、はこんばんは
[00:03:29.280] 。えー、シゼさんこんばんは。しもきん
[00:03:33.319] ちゃんこんばんは。
[00:03:35.120] え、え、ぺってりんは。めちゃんこんばんは。はい、どうもやってきます。いや、別になんかあのお帰りとかいいわ。なんか別にそういうなんかその痛ない。なんかこの配信者とかが帰ってきた。
[00:03:54.439] 帰ってきたっていうか、久しぶりに配信つけた時のなんかお帰り待ってたよみたいななんかなんか痛ない?なんかなんか俺何も何もなんかその復活しますとかもやらずに来たんだけどさ。
[00:04:08.439] スクを送りましたわ。
[00:04:10.439] おいチソパりどうもこんばんは。
[00:04:13.920] ありがとう。
[00:04:15.040] すげえじゃん。なんかサブが
[00:04:17.079] を送りました。
[00:04:18.479] ーぐったグ大儲大儲これがあるからやめらんねえよな。
[00:04:25.240] これが欲しいんだ。
[00:04:26.759] これが欲しいです。
[00:04:27.759] 仕方ない。
[00:04:28.240] どうもこんばんは。皆さんなんか
[00:04:30.440] だって本当に
[00:04:31.440] 久しぶりに久しぶりにやります。ありがとうございます。でサブ
[00:04:35.320] サブ表ありがとうございます。
[00:04:37.039] よし、じゃあもう配信切ろうかな。よし、配信切ろっかな。もう今月の収益もらえそうだし。
[00:04:45.039] やりますかね。
[00:04:46.960] 人さんどくしました。
[00:04:50.080] 48ヶ月目です。
[00:04:51.720] やってきますか?
[00:04:52.680] か、これが欲しいんだ。
[00:04:54.759] それでこったの?配信者
[00:04:59.600] はい。どうもお久しぶりです。皆さんどうもこんばんは。ゲームです。つぶりだよ
[00:05:10.919] いつりだよね。
[00:05:12.400] いつぶりだよ。マジでマジで半年
[00:05:15.280] どんだけ開いたん?行じゃない。
[00:05:17.840] 半年ぐらい開いたんじゃない?半年
[00:05:20.520] 7月からやってないから俺配信。
[00:05:23.039] ま、7
[00:05:23.560] 月から。お麦ちゃこんばんは。どうもこんばんは。ジマゲームです。あの
[00:05:28.280] 7月から配信やってないから俺。
[00:05:30.639] 痩せた?
[00:05:31.800] 痩せてない。別にそのなんかそのいいってなんかその俺が痩せたとか痩せてないとかそんなんええねん。
[00:05:40.199] 別になんか久しぶりだからかもしんないけど。
[00:05:43.280] 使ってたの?
[00:05:43.960] 使ってない。めっちゃ久しぶりになんかめっちゃ久しぶりにこんなやったわ。
[00:05:49.120] なんかめっちゃ久しぶりにいやもう痩せてない。やってないって。もういい。もうそういうのいいって。マジで。どうも久しぶりです。なんか色々ありましたな。色々ありましたね。僕が配信でサ僕が配信ねちょっとなんかすげえじゃん。なんかサブギフトかと思ってへ。
[00:06:11.160] 本当にこのヒ度で配信したが儲かりそうな。送りました。何照んの?パ照るやん。パパさんが
[00:06:20.319] 5
[00:06:20.639] でサブスクを送り。もう、もうえよ。サブスク。もうサブスクいい。ありがとう。ありがとう。
[00:06:26.280] もらっといてんだけどもう、もういい。なんかもう申し訳ないわ。
[00:06:29.039] さんがでサブスクを送りました。パチパチパチパチパチパさんさんが
[00:06:36.759] 5
[00:06:36.919] ドルでサブスクを送りました。ありました。
[00:06:39.479] 配信やってない間ね、インド行ったりとかなんかあのインド行ってみたりま、別にそんくらいしかないんだけど。
[00:06:51.840] そんくらいしかない。あさん初ありがす。どうもこんばんは。
[00:06:56.720] 彼できてない。サをハイレベル。
[00:07:01.440] これが退ビジネス。
[00:07:02.879] これあれだな。
[00:07:03.680] 戻ってきてんじゃん。
[00:07:04.840] お、お疲れ。久しぶり。
[00:07:07.160] なんかめちゃくちゃレイド式きたし。
[00:07:10.840] なんか久しぶりだわ。なんかこの感じってたもやりたいからゲームやっていい?もうサブスクもありがたいんだけど。なんかいっぱい来てんだけどもう読み上げのめどくさいし。こん
[00:07:23.080] ば久は久でサスクを送りました。
[00:07:29.759] さん、サブスクありがとう。
[00:07:32.440] なんかもうこのうるうるせえで全然喋れねえんだけどなんかこの
[00:07:35.680] おめでとう。エさんが
[00:07:38.199] 5ドルでサブスクをりました。
[00:07:39.879] なんか汗かいてきたわ。もうなんか久しぶりすぎて
[00:07:43.520] 2ヶ月目です。
[00:07:44.800] もうゲームやっていいか。もう別に特に喋ることね。
[00:07:49.159] 特に喋ることねえよ。もうなんか半年配信やってなかったけど別に。
[00:07:53.440] 結婚おめでとう。ドの話聞かせておめでとう。
[00:07:58.879] めっちゃサブれんじゃん。
[00:08:00.520] サブスクをました。ありさせるためにレドから来たぞってコメントしろって脅されました。結婚おめでとう。なっかさんが
[00:08:10.080] 5
[00:08:10.240] ドルでサブスクを送りました。出産おめでとう。大人気ちゃゲーム復活のろしをあげるなっかさんが
[00:08:18.360] 5ドルでサブ。
[00:08:19.240] いや、もう俺配信切るよ。もうこれこれでもう半年ぐらいまた収益もらえそうだから。
[00:08:24.919] もう配信切るで。お疲れ。まだまだな。まだな。
[00:08:28.639] お疲れ。お疲れになると橋名またままたなんかもうサブスク今
[00:08:34.919] 40
[00:08:35.360] ぐらいもらえたから今笑
[00:08:37.800] 40
[00:08:38.200] サブもらえたんでもう来月あの遊べるしもういいかな。もういいかな。
[00:08:44.640] けが元気だけか。稽古めっちゃ元気。
[00:08:48.440] めっちゃ元気だよ。
[00:08:49.839] けからめっちゃLINE
[00:08:51.080] 来てたもん。だって稽古って俺のお母さんなんだけど稽古からめっちゃ
[00:08:54.600] LINE
[00:08:54.880] 来んの。え、あんた配信いつやんの?みたいな。
[00:08:58.360] 1番のファンお母さんなんだけど。
[00:09:00.320] お疲れ様。
[00:09:01.120] 今稽古見てるか?気
[00:09:02.480] だけか?教えて。
[00:09:03.560] 見てるか?
[00:09:04.720] やってるぞ。
[00:09:06.160] 稽古元気で
