[00:00:08.400] う、
[00:00:13.599] 来た。
[00:00:18.840] ひひひ。
[00:00:23.560] 今日もありがとう。快感、快。
[00:00:43.885] [音楽]
[00:01:23.119] エボま
[00:01:50.041] [音楽]
[00:01:56.200] あ、あ、あ。はい。やりますかねと。はい
[00:01:58.600] 。どうもこんばんは。
[00:02:01.759] ああ、なんかさ、あれだよな。なんか配信
[00:02:07.159] ってさ、
[00:02:09.319] けるまでがめんどくせえよな。[笑い]
[00:02:13.640] けるまでがめんどくせえんだよな。あの、
[00:02:17.720] もっと早く全然配信できたんだけど、
[00:02:20.171] [音楽]なんかベッドでグダグダしてたら
[00:02:22.800] こんな時間なっちゃった。
[00:02:25.239] はい、やってきま。
[00:02:28.280] よいしょ。もうなんか俺なんかね、もうね
[00:02:32.400] 、ドラクエ2までクリアできない気がし
[00:02:35.840] たら[笑い]
[00:02:37.319] なんかドラクエ1でもめっちゃボリューム
[00:02:40.080] あるよな、多分。ま、今日もシクシとやっ
[00:02:43.519] てきますのでよろしくお願いします。
[00:02:46.519] まあ、ま、今日はちょっと、ま、
[00:02:48.159] 1
[00:02:48.360] 時ぐらいまでやってもいいかなとか若干思いながら寝るかもしんないけど、ま、いいや。なんか、ま、気分で
[00:02:54.680] ゆっくりと、
[00:02:55.599] まあ、ゆっくりとな、ゆるりとやっていけばいいよな。ゆるりと。お、
[00:03:03.959] C03
[00:03:05.560] 連続視聴記録達成。あ、こんなん出んだ。こんなん出るんだ。
[00:03:09.840] でも読み上げないんだ、それは。はい。も、こんばんは。え、綾たこんばんは。
[00:03:11.917] [笑い]
[00:03:16.159] シティさん、こんばんは。え、ぺっり
[00:03:17.760] こんばんは。シさん、こんばんは。とはい
[00:03:20.000] 、どうも。ま、またありとゆりとやって
[00:03:23.319] いきましょうや。ドラゴンドラグニティ
[00:03:26.280] クエスト。ああ、暑い。風呂上がった
[00:03:30.280] ばっかりだから暑いわ。
[00:03:36.879] いやあ、だから年内の配信さ、今日が最後
[00:03:41.360] か明日やるか。た。でももう年明けとか
[00:03:45.840] 年ける瞬間とかもうええやろ。配信しなく
[00:03:49.599] て。[笑い]
[00:03:51.599] 明日の昼間やろっかな。どうしよっかな。
[00:03:55.280] 今日が最後かもしれないし。もうま、いい
[00:03:59.079] や。ま、ま、どうでもいいよな。別に年内
[00:04:01.159] 最後とかね。年始いつからとかどうせまた
[00:04:03.599] やるんだから。年越し配信とか賞味誰も
[00:04:07.280] 望んで[笑い]誰も望んでない。おめえら
[00:04:10.920] な見れねえしな。聞こえてびっくりした。
[00:04:14.200] 配信始まると自動で開く機能。何、そんな機能あるの?そんな機能あるの?コメちゃ、こんばんは。全員やった方がいいよ、それ。全員やった方がいいよ。それそんな機能あるの?小マトペはちょっとあれな。小マトペちょっと小マトペじゃない。間違えた。なんだっけ?小マトペじゃないなっけ?
[00:04:34.280] TPO
[00:04:35.039] 湧きまえて。あ、ソコンだからあれか。そんなあるんだな。ごめんな。
[00:04:39.680] 正月休み中家族が集まってる間俺がでかい声で配信始めたらごめんな。ま、多分俺は多分人にはあんまりチャマゲーム見てるってあんまり言いづらいタイプの
[00:04:52.039] 休む前からあるよ。
[00:04:53.600] 休む前からあるんだ。あ、そうなんだ。はジ、こんばんは。
[00:04:57.039] 一家の恥
[00:04:58.160] 一家の恥。俺らガキうるせえぞ、この野郎。はい、やってきます。
[00:05:08.160] す、どうもこんばんは。ま、お風呂上がって汗かいてるわ。おはようございます。
[00:05:09.163] [音楽]
[00:05:12.479] チャンネルゲームだ。
[00:05:14.403] [笑い]
[00:05:15.240] どうもやっていきますよ。今日今夜もドラグニティアーダコーダねやってきますからよろしくお願いします。もう時間もったいないんでやります。よいしょ。
[00:05:31.199] いや、もう
[00:05:34.800] 暑いねん。臭いねん。暑いねん。風呂
[00:05:39.880] 上がったらまだ暑いわな。はい、やってき
[00:05:41.560] ます。連続視張記録すだ。もう高々3回
[00:05:45.400] ぐらいでそんな出されてもって感じなん
[00:05:48.199] ですけど。やります。
[00:05:51.080] バババ
[00:05:54.000] 。今日何時までやろっかな。今日何時まで
[00:05:56.960] やろうかな。ちょ、気分で気分でやって
[00:05:59.199] いきます。ま、ちょっと1時ぐらいまで
[00:06:01.800] やってもいいかなとかをちょっと思い
[00:06:03.560] ながらでも早く寝ようかなと思いながら
[00:06:08.479] えっとなんだっけ?ど結局俺あれだよな。
[00:06:10.800] なんか昨日、あのなんだっけ?あいつ
[00:06:13.840] ローラ姫助けてで、ローラ姫をなんかお家
[00:06:18.160] に返すパターンと返さないパターンで
[00:06:21.440] なんかデータ分けたんだけど結局からもう
[00:06:24.240] 返す方で行きますからもうあのめんど
[00:06:26.039] くさいんで[笑い]
[00:06:27.720] あの返さないパパンは皆さんの手でやって
[00:06:30.000] ください。もうめんどくさい。2330
[00:06:33.759] 頃眠たくなきっ[笑い]
[00:06:35.720] た。眠たくなきっ
[00:06:37.880] たってなるかな。
[00:06:42.919] 連続視聴記録めっちゃ出してるけど別に別にないで連続視聴記録出したからって
[00:06:47.414] [音楽]
[00:06:51.240] すごい久しぶりな気がするも配信されてたん
[00:06:55.039] そうだよ。昨日いからやってるよ。昨いからやってる。帽子かかるわ。髪邪魔くせえから今日これで
[00:07:03.134] [笑い]
[00:07:03.400] こんばんは。
[00:07:04.240] よくね。今日このスケボーイスタイルで。スケボーイスタイルで行こう。
[00:07:09.560] 今日はエジさんこんばんは。お久しぶりです。半年ぶりに昨日からやってます。どこ行きゃええねん。
[00:07:17.840] 西折りスタイル。
[00:07:19.280] 西こり西こりスタイルで行くわ。軽西こりでなんだっけ?どこ行きちゃいいんだっけ?忘れたよ。妖精会いに行こう。
[00:07:19.509] [笑い]
[00:07:30.240] 西こり
[00:07:31.360] にこりって書いて。なんかそのあのあれあれに見えるやつな。なんだっけ?
[00:07:35.520] にっこり。
[00:07:36.680] 西ことひらがで書いたらなんかあの松井秀に見えるやつ。松井ね。松井に見えるやつね。ほぼ行きかけました。
[00:07:43.090] [笑い]
[00:07:47.120] アメリカの員スタイル。
[00:07:50.479] 何?何?たなん?末タ構成品?何?まタ
[00:07:55.639] 構成品って何?末端ってなんだ?え、なん
[00:08:00.560] かこの印ついてるとこ行けばいいんかな?
[00:08:04.400] え、妖精に会いに行くっての?妖精の隠れ
[00:08:07.240] ?
[00:08:09.720] 前にするか。
[00:08:12.599] 可愛いだろ、この帽子。ドラキュラ君の
[00:08:14.919] 帽子ね。
[00:08:21.735] [音楽]
[00:08:22.800] これどうすればいいの?何?妖精にもう全然ストーリー分かってないんだけど。
[00:08:31.560] 急に派手やん。
[00:08:33.320] 急に派手。何が?何が?ペペペロお疲れ。急に派手って何が?あ、服が。ああ、なるほど。これか。はいはいはいはいはいはいはい。
[00:08:33.525] [笑い]
[00:08:45.519] ああ、なんかも章があれなんか紋章がさ、
[00:08:51.399] 5
