[00:00:14.879] やり漫画な。
[00:00:52.400] [音楽]
[00:01:12.080] エボま
[00:01:41.526] [音楽]
[00:02:03.200] 良いを。
[00:02:08.200] はい。どうもやりマンガナね。
[00:02:12.311] [笑い]
[00:02:13.280] やりまんがな。今年最後の配信ちょっとま、そんな長くやんねえけど。ま、ちょっとやろうかな。
[00:02:19.400] ウォーキングした。
[00:02:20.319] ウォーキングしたした。ウォーキングしてきたよ。ウォーキングして買い物行って休み中の飯を買いだめし帰ってきました。やりまんがな。今日も偉いとかじゃないねん。
[00:02:21.481] [音楽]
[00:02:35.959] 別にな、1回、1日1回は外に出ましょう
[00:02:40.400] という、そういうあれがありますと。あ、
[00:02:43.599] ムスタング2、こんばんは。久しぶり。
[00:02:45.400] 元気?はい、どうもちゃまゲーム今年最後
[00:02:48.159] の配信ね、やってきますけどもね、ま、愛
[00:02:51.319] も変わらずドラクエをまたあり、また
[00:02:55.040] ありやるだけですけどもね。
[00:02:59.080] やべえ、もう元気100倍
[00:03:00.760] 元気100倍ありな。もう残すところ
[00:03:05.000] 2025年もあと
[00:03:07.239] 8時間7時間半ぐらい。はええ。はええな
[00:03:11.760] 。
[00:03:14.440] ま、ちょっと
[00:03:16.280] 、ま、8時までやろっかな。8時、8時
[00:03:20.040] もしくは7時半。ま、気分でそんくらい
[00:03:24.720] まであの3やるわ。あ、3やるんだ。3は
[00:03:29.480] ね、もう俺もね、前回、前回っていうか前
[00:03:31.519] にクリアしたんだよね。もうドラクエ1
[00:03:35.239] めっちゃむずいでこれ。ほんまでも
[00:03:37.200] おもろい。いいね。この年せにドラクエを
[00:03:41.439] だらやるっていい年末だよ。
[00:03:44.920] ああ、年末。ああ、年末。
[00:03:50.760] ああ、明日メイっこにお年玉げないといけ
[00:03:53.920] ねえんだよな。そうね。ああ、つまんね。
[00:03:58.079] ああ、年末
[00:03:59.720] 毎年思うけど12月が早い。
[00:04:02.680] はい。お前今何歳だっけ?まだお前あれだろ。
[00:04:05.640] 10何歳とかでしょ。お前
[00:04:07.599] 30なっ。1
[00:04:09.280] 年めっちゃ早えぞお前。お前マジでね。いい
[00:04:14.480] さ。あんね年末正規末みたいなは
[00:04:19.639] 30まだ29だけ30近くになるとマジで
[00:04:24.479] 1年くそ早い。何もしてないんだけど。
[00:04:27.720] 俺こな間だまで25
[00:04:28.800] だったんだけど恐ろしいや年年食うとさ時間過ぎんのめっちゃ早えよな。気づいたら年末だもん。
[00:04:29.863] [笑い]
[00:04:40.440] こんにちは。
[00:04:41.520] あのみるさんこんばんは。こんばんは。こん。こんにちは。
[00:04:43.680] アウトフォクシーズが楽しいよ。
[00:04:45.639] なんだアウ[音楽]
[00:04:47.919] いうに4怖い。さっきまで
[00:04:50.960] 25だったのに。
[00:04:52.400] 本当だよな。
[00:04:53.000] モルカペッテリー今何歳な?ペッテリーって今何歳?はい、どうもこんばんは。ああ、年末ということで
[00:05:01.000] ね、40、[笑い]
[00:05:03.440] 15
[00:05:03.880] 年がこないだと思ってしまうぐらいやっぱあれだよな。分かる、分かる。俺もそう。こな間だまで
[00:05:09.560] 20
[00:05:09.759] 歳かと思ってね、あのなんだっけね。あの成人式やったばっかりかと思ってたらもうもうこんなシーズは花む子のゲームだ。
[00:05:19.440] ええ、知らねえ。レトロゲーム。
[00:05:21.840] また年の話してる。こんばん。
[00:05:23.560] 本当だよ。年の話ばっかりなあ。そちゃんこんばんは。やっていきますよ。
[00:05:28.880] 1
[00:05:29.039] 年前が先日ってき
[00:05:32.039] だから俺こないださ、綾たがさ、お前何年生まれつてさ、
[00:05:37.800] 2008
[00:05:38.560] 年って言われてもうドも抜いて最近こじゃ
[00:05:43.080] 2008年ってさ、
[00:05:45.680] この前だよね。[笑い]
[00:05:48.039] 2008
[00:05:48.800] 年生まれが俺の配信見てんじゃねえよ。
[00:05:52.319] 俺が怖く怖くなるから嘘でもいいから
[00:05:54.800] 2000年前にしてくれ。1999年以前
[00:05:58.360] の人間しかダめだよ。みちゃん2008年
[00:06:01.600] って
[00:06:03.400] もうNintendo堂DS3DS出てる
[00:06:06.039] ぐらいじゃない?2008年ってわかん
[00:06:07.319] ねえけど。ま、いいや。やってきます。
[00:06:10.240] えー、マタリー、ドラゴンクエスト今日も
[00:06:12.319] やってきますかね。よろし。頼んわ。なん
[00:06:15.639] かレトロゲームやりてえな。
[00:06:18.360] なんかレトロゲームもやりたいのでそのうちやります。また何か何かレ生まれてる人子供だと思ってる。
[00:06:26.319] 2000
[00:06:26.639] 年後に生まれたやつ子供どじゃねえよ。まだ精子精子
[00:06:30.560] ポケモンに色ついて
[00:06:31.720] まだ精子ポケモンに色ついてたらアウトごめん。それは俺も知らない。白黒時代赤緑世代だ。ポケモンに色ついてたらダメなんだ。
[00:06:41.519] [笑い]
[00:06:44.800] おっさんやな。さあ、やっていきますよ。あれ、レベル
[00:06:50.840] 23。あれ、待って。レベル23。
[00:06:54.199] ちょっと待って。怖い。ん、ちょっと待って。なんかレベル俺今
[00:06:57.039] 32
[00:06:57.639] とかだったと思ったんだけど。あれ?なんかレベル
[00:06:59.080] 23
[00:06:59.440] になってたの?今。なんだ?え、なんだ?俺レベル
[00:07:01.824] [笑い]
[00:07:04.080] た時に平成13とか見ると恐怖。
[00:07:06.960] レベル23だったよな。あ、レベル
[00:07:09.520] 32まで昨日上げたよな。
[00:07:11.720] え、なんか今レベル23って見えたんだ
[00:07:14.520] けど。やめて。ほんまやめて。本当にやだ
[00:07:16.280] 。あねえ。ちょ、本当やめて。めっちゃ
[00:07:18.919] 大変だったんだから。
[00:07:21.319] 未成年の方あらかじめ保護者の同意を得て
[00:07:23.400] からこのゲームを利用してください。なん
[00:07:24.800] でエッチなのがあんのか。パフパフがある
[00:07:27.919] からか。え、じゃ、ほんまやめて。早、
[00:07:31.599] 早くして。
[00:07:35.240] も、えって、えって、えって。え、ちょ、
[00:07:37.160] 本当やめて。マジでねえ。セーブできて
[00:07:40.160] ないとこやめて。
[00:07:44.000] これでこっちか。ああ、これよかった
[00:07:46.800] よかっ[笑い]たよかった。よかった。
[00:07:47.840] 中断してやめたんだ。オッケー、オッケー
[00:07:49.280] 、オッケー。
[00:07:51.120] こっからでございます。ビビった。焦り
[00:07:54.400] 申したね。セーフ。くんくんくんくん
[00:07:57.599] くんくんくんくんルンルンルンルン。これ
[00:08:01.120] なんか敵めっちゃ強かったんだよな。敵
[00:08:03.400] めっちゃ強かったんだよな、確か。
[00:08:08.879] ああ、そうでもねえか。ま、またありやき
[00:08:12.199] ますわ、今日も。
[00:08:15.560] いや、もう敵強い。
[00:08:20.159] 俺の見立てではさ、俺の見立てではさ、
[00:08:24.000] 年明けまでにドラゴンクエスト1クリアし
[00:08:27.080] て、年開けたらドラゴンクエスト2
[00:08:30.720] クリアしようと思ってたんだけど、
[00:08:32.215] [音楽]多分ドラクエ1で精一杯だね、
[00:08:34.279] これ。多分ドラクエ1クリアするだけで
[00:08:36.959] 終わりそうだな、俺の年末休み。
[00:08:39.479] 実家に帰らないの?
[00:08:40.839] 実家帰るよ。帰る。帰る。明日帰る。うゆ。やっぱりそうだよな。これ多分全然終わんないよね。多分ね。えー、そんなに長いんと思わんかったよ。ま、いいんだけどさ。別に長くできんの嬉しいんだけど。なんたったでドラクエ好きやから。気持ち悪いモンスター。悪魔の目玉。
[00:08:59.726] [音楽]
[00:09:03.160] 何?こんなモンスターいたっけ?ア
[00:09:08.320] あ、でも大丈夫?俺もだいぶ俺もダメージ与えれるようになってきたな。実家帰るよ、明日。明日の昼間は実家帰ってで日光東行くねん。日光東勝。じゃ毎年日光東勝に初詣当してもらうねん。ご気当してもらうね。気当な。
[00:09:34.200] いは坂は[音楽]
[00:09:37.399] 人押してもらいます。え、何?
[00:09:38.880] 徳川吉信の墓。
[00:09:41.240] 何それ?徳川吉信の墓島てい決める。
[00:09:48.720] れ坂行かない。別に色は行かないよ。別に走り屋じゃねえし。別に
[00:09:54.091] [笑い]
[00:09:57.120] 走まうらしいよ。子孫が。
[00:09:59.440] このへえ。
[00:10:00.640] え、何それ?え、何それ?毎年やってんの?
[00:10:06.160] あいやだ。
[00:10:07.000] 何がで?何が?え、ご気だけど。ご気当攻め。年瀬までもう下ネタばっか。もうほんまやだ。汚い。そういうチャンネルだと思われそうだよ。お前らのせいで。
[00:10:27.640] ララララルきめル感
[00:10:40.959] やだやだちょっと待ってこれあんまり
[00:10:44.399] MP使いすぎない方が良いので
[00:10:46.360] モンスターを
[00:10:48.457] [笑い]
[00:10:49.160] いたねガニラス
[00:10:56.040] の最後の最後まで下ネタばっかりだよな。
[00:11:00.279] え、強い。よしよし。刃のなんだっけ?刃
[00:11:04.040] の鎧いみたいの来てるからいいね。
[00:11:07.399] ダメージが跳ね返って。
[00:11:10.839] これさ、MPが結構枯渇するんだけど。
[00:11:14.519] 特技使いすぎかな?
[00:11:22.320] なんか広いよ、これ。
[00:11:26.440] あ、宝箱ル
[00:11:31.240] 4425
[00:11:32.760] ゴールド。なんだそれ?めっちゃ金落ちてた。今でかい金
[00:11:42.519] ここだ。
[00:11:44.200] いや、特技使わないと叶わへんて。これア
[00:11:49.480] よし。いや、どうしようかね。
[00:11:51.880] MP回復中に戻るかな。
[00:11:53.800] 松ルーラーで来れるもんね。ここね。に吹くと違う。
[00:11:56.800] 違うよね。これ意味ありえな。お疲れ。
[00:12:00.880] あ、もこらお疲れ。もら、お疲れ。結局やってます。結局やっぱり最後の最後までドラゴンクエストをやりたい。今年はなんだよ。何?メルキド彩れね。うんうん。
[00:12:17.240] うん。まあでも普通に8
[00:12:18.680] 時ぐらいでやめるけどね。[笑い]
[00:12:21.320] エイリアンフライって何?
[00:12:24.480] え、ハゲ?勇者の異品はどこにある?
[00:12:30.638] [音楽]
[00:12:31.800] ああ、ドラゴンフライのあれなんだ。こる
[00:12:35.040] 殺されても教えるものか。
[00:12:41.600] うわーそこじゃねえのかよ。そういや
[00:12:44.519] レベル30を超えられるようになったのね
[00:12:47.320] 。前27が最高レベルだった。
[00:12:51.160] エイリアンエイリアンフライ揚げ物どういうこと?
[00:12:57.680] MP
[00:12:58.040] がねえな。あれ使うしかねえかな。祈りの指輪チャレンジするしかねえからな。祈りの指輪チャレンジ。胃の指チャレンジする。胃井の指チャレンジちょっとやるか。
[00:13:19.519] あれ?俺祈りの指輪1個しかない。もう
[00:13:21.729] [笑い]
[00:13:23.040] 俺祈りの指輪ってもしかして1個しかもう
[00:13:25.199] 持ってないの?4つぐらい持ってたよね。
[00:13:28.160] あと全部使っ
[00:13:30.199] ちゃったらしい。[笑い]
[00:13:35.360] ちょっと祈りの指輪
[00:13:39.160] 怖い。2個すぐ壊れた。2個すぐ壊れてた
[00:13:42.639] 。ちょ、魔法の精水でちょっとお茶して。
[00:13:48.079] オッケー。こんだけあれいいだろ。
[00:13:51.759] 祈りの指輪って売ってないのかよ。どっか
[00:13:57.800] 毒ガの炎。
[00:14:03.040] ポポ
[00:14:06.959] だ。こういう風にさ、3対1とかやめてっ
[00:14:10.399] て言ってるよね。いてえな。
[00:14:16.279] もうもやめてだるい方だ。そういうことすんの?じゃ、ガーゴイルから狙っちゃおう。
[00:14:26.800] ああ、もうこれあれすっか。いや、もうこれ
[00:14:30.279] MP
[00:14:30.839] が足んないよ。でもこういうことやっちゃう。でもこういうことやっちゃう。
[00:14:37.000] ここだ。
[00:14:39.199] まれ。これ
[00:14:41.680] MP30使うんだよ、これ。[笑い]
[00:14:44.519] でも気持ちよくてやっちゃうんだよな。
[00:14:49.240] やっぱ気持ちいいの好きだし。なんて言っ
[00:14:52.320] たって
[00:14:56.800] 祈り祈りの指はあるしな。壊れなければ
[00:14:59.560] いいだけの話だから
[00:15:03.910] [音楽]
[00:15:09.040] 受けてみろ。
[00:15:10.360] よいしょ。気持ちくしてくれて。気持ちくしてくれてありがとう。ちょっともう祈りの指輪やったろ。来
[00:15:19.880] てくれてありがとう。
[00:15:22.639] 気持ちくしてくれてありがとう。祈りの指輪頼むよ。壊れんじゃねえぞ。もう
[00:15:30.360] 1
[00:15:30.440] 回行ける。壊れんなよ。危ねえ。よしよしよしよし。これたまにたまに使えば壊れないっていう。
[00:15:40.480] たまに使う分には大丈夫みたいな。おいぼれ。喋らなければ別の人間を痛めつけて殺す。
[00:15:49.680] ドムドーラでつめた。捕まえたこいつをな。
[00:15:54.440] ロシアンルレットだよな。大丈夫。引かなきゃいいんだよ。その壊れるあれを。
[00:15:59.480] こんにちは。
[00:16:00.560] あいぞさんこんばんは。いさんこんばんは。年瀬のドラゴンクエスト。やっぱり年の瀬はドラゴンクエストに限るぜ。
[00:16:09.720] あ、お、お前は誰?なんだこいつ?
[00:16:16.880] き、顔色が変わった。人間は苦を放置おか
[00:16:22.759] ない愚かな生き物。あのお方の言った通り
[00:16:25.759] だ。ロシアンルーレット
[00:16:29.800] 当てれ助かる。
[00:16:31.920] いつでも本気だから俺は。さあ、異品の
[00:16:34.839] ありがを開け。サモナとこいつをぶっ殺す
[00:16:37.920] ぞ。
[00:16:40.319] 気合が入っております。そんなモブ別に
[00:16:42.839] いいだろ。誰なんだよ、こいつ。ま、待て
[00:16:45.199] 。それだけはやめてくれ。
[00:16:49.079] 悠長にそんなことやってる間に俺が、俺が
[00:16:51.880] たどり着いちゃうんですけど。
[00:16:57.519] どこ?まだちょっと先。いや、絶対こっち
[00:16:59.800] なんかあるやん。
[00:17:02.000] 絶対なんかあるぞ。こっち。ほら、
[00:17:06.679] チーメダ。オッケー。チーメダもよし。
[00:17:12.120] 悪魔の目玉。うーんとこういうのもう
[00:17:16.221] [音楽]
[00:17:20.240] ベギラゴンで
[00:17:21.199] 焼き尽くせ
[00:17:23.600] 。
[00:17:26.959] MPゲだな。マジで。MPと無理やで。
[00:17:30.600] こっち1人だもんだって。
[00:17:40.160] 結構長いんですけど、このダンジョン
[00:17:43.640] 結構何もないんかい。こっちなんか置い
[00:17:47.080] とけや。
[00:17:50.360] ちょ、も、ちょ、これだる。これもう
[00:17:52.440] めんどくさい。めんどくさいからこう。
[00:17:54.039] もうめんどくさい時全部こ
[00:17:58.000] うわいやべえ。
[00:18:01.320] MP
[00:18:01.679] がなくなっていくぞ。どんどん。え、やる。もう何やってんの?大丈夫?行けるいける。魔法の整数いいよ。
[00:18:23.679] てかマジで前回これベホイム拾っといて
[00:18:25.679] よかった。マジでいもこ教えてくれて
[00:18:27.039] ありがとう。これ拾い逃してたら絶対積む
[00:18:30.280] よな。ベホイムの巻き物。
[00:18:34.200] 全くヒントでああのさ、本棚に隠んじゃ
[00:18:38.400] ねえよ。
[00:18:43.039] あ、ミニデーモン1発でほれるんだな。
[00:18:49.600] あんまり強くないのかもしかしてこいつら。
[00:18:52.440] あ、そんなことない。食らうか。
[00:18:56.760] え、もうザキとかやめろや。こっち
[00:18:58.840] 1人だかんだから。
[00:19:02.840] ねえ、お前ザキとかやんねえねろや。お前わし
[00:19:06.360] 1人やねんぞ。
