[00:00:15.210] 持った
[00:00:17.480] big キャラちおん
[00:00:20.930] 皆さんどうもこんばんは
[00:00:23.370] ついに始まりました
[00:00:25.050] ネットラジオぐうたら塩
[00:00:27.510] ねパーソナリティーを務めます
[00:00:29.850] 私 dd ゲームのちゃまと申します
[00:00:32.720] そしてお相手は
[00:00:35.520] エイト準です
[00:00:39.450] 明治ならよろしくお願いしますよろしくお
[00:00:41.820] 願いについに始まりましたけど
[00:00:44.130] ネットラジオなんつってねかっこつけて
[00:00:46.020] やってますけど
[00:00:47.880] だからラジオなんてさあ名乗ってるけどさ
[00:00:52.290] 大丈夫かねぇ
[00:00:53.760] ライブがー
[00:00:55.410] カッコつけてない俺ら
[00:00:58.130] いやぁまぁそんなもんよねーディスコ
[00:01:01.430] 背後発汗スターさあ立場からもういいよ
[00:01:03.530] ああああいやまんえラジオ始まりました
[00:01:06.500] けども a ね皆さんねいかがお過ごし
[00:01:10.430] でしょうか音声とうとうえっと bg
[00:01:13.640] bgm とあー我々の声のバランスとかね
[00:01:17.300] 俺はもう
[00:01:18.120] かなり猫の配信始まる前からね外部なんて
[00:01:21.990] 露挑戦してきたんだけどまだちょっとあの
[00:01:24.990] なんかうるさいなーとかじゅんさんの声
[00:01:27.690] うるさいなぁとかじゅんさんの行為等ない
[00:01:29.850] なーって方はぜひねコメントで教えて
[00:01:31.890] ください
[00:01:33.000] あそれはいるでしょ
[00:01:35.910] 俺の声はいるよいるから入り俺別に一人で
[00:01:39.420] 遠くドヴィンデルへなマジでブー
[00:01:42.530] ブーってラインな辛いんだけど
[00:01:46.970] にょ緊張してない
[00:01:49.460] なんかいないなんか違うよいつもと
[00:01:52.650] いつもと違うじゃもうちょっとぐうたらず
[00:01:54.450] そうだねやっぱり4番組の説明じゃない
[00:01:57.240] けどここでね聞いてくれてる方にねあの
[00:01:59.760] 一応説明すると我々の猫のぐうたら塩番組
[00:02:03.420] 名の通りそのまんまね我々がぐうたらする
[00:02:06.180] だけのねラジオ垂れ流すということで
[00:02:09.240] 誰の話だねうん何で女キーでの皆さんも
[00:02:12.330] こんな
[00:02:13.260] なんていうのかな
[00:02:14.370] あんまり
[00:02:15.970] あの方の力だね入れず聞いてくださいね
[00:02:19.630] これをようびのよるよるですよもう明日も
