[00:00:07.480] あれこれ行ってる
[00:00:10.700] [音楽]
[00:00:16.160] グラジオはい皆さんこんばんはということ
[00:00:18.800] でねついに始まりましたよとはいグータ
[00:00:22.880] ラジオ第2回ですよ第2回目が始まりまし
[00:00:26.240] た今夜またどうですかさん2回目だけど2
[00:00:33.399] 回目うん2回目がもう1ヶ月経つんだね
[00:00:37.520] そうだよねだからさラジオって目打っとい
[00:00:40.559] てさ月1ってのもまちょっとあれかなと
[00:00:43.320] 思うんだけどまいいんじゃないすかねま
[00:00:46.120] 前回さまあんだけ6時間ぐらいやった
[00:00:49.079] じゃん朝朝までやってさまあなんとなく生
[00:00:53.199] 放送でラジオってまこんな感じかなみたい
[00:00:55.680] なさそのまあなんて言うの俺らのさ経験
[00:01:00.320] じゃないけどノウハウじゃないけどさまあ
[00:01:02.519] なんとなく自分的にもさあったなって思っ
[00:01:06.040] たんだけどうんもう1ヶ月経ったらさもう
[00:01:09.280] ないよ
[00:01:10.759] ね忘れたよねぶっちゃけねあ内容とかて
[00:01:15.200] 内容っていうかそのなんて言うんだろうな
[00:01:16.799] もうその生放送でラジオをするま別に
[00:01:20.240] 大してね上手に前回だってできたとは思っ
[00:01:22.560] てない
[00:01:23.400] けどそのなんて言うのその気構えとかさだ
[00:01:27.320] からもう初心者と一緒って
[00:01:31.520] ああそういうことねうんなんかマイク遠く
[00:01:34.399] ない大丈夫マイク遠いいわかんないなんか
[00:01:37.759] たまに遠くなるわああじゃあわかりました
[00:01:41.119] そにそうそにちょっとちょっとあげますね
[00:01:45.079] はいはいはいまそんな感じでねグータ
[00:01:48.240] ラジオなんて言ってやってますけども今日
[00:01:50.840] もどうせ朝まで行くんでしょ今日も朝まで
[00:01:54.360] 行っちゃうなんか途中あれか飽きたらあれ
[00:01:57.640] か何別でゲームとかやっちゃういやそり
[00:02:01.880] どうなんラジオなまあまあ別になんだって
[00:02:04.039] いいけどでもラジオはもうそこで一旦
[00:02:06.840] 終わっ
[00:02:08.679] てそれありまあまあどうなるか分かりませ
[00:02:12.640] んよグータラジオですからねまこれお聞き
[00:02:14.920] の皆さんもねあの別にそんななんて言うの
[00:02:18.000] 肩の力を抜いてねま皆さんでぐーたらし
[00:02:20.599] ましょうよこのね土曜日の夜というこの
[00:02:23.040] 自由な時間じゃないですかね皆さんも明日
[00:02:25.319] 休みでしょうみんな飲んでるやつもいる
[00:02:27.920] でしょうからねま睡眠BGMにしていたく
[00:02:32.160] もよしねコメント等で僕らに介を出すも
[00:02:35.040] よしうんそうですねねぜひぜひあの皆さん
[00:02:38.080] で一緒に楽しんでいきましょうそんな感じ
[00:02:39.879] で始めていきますグータラジオよろしくお
[00:02:42.360] 願いしますよろしく
[00:02:44.120] ですあれこんな感じだったよね違った
[00:02:47.560] こんな感じうんこんな感じえどうじさんさ
[00:02:50.879] そのまラジオでま俺らも1か月ぶりにこう
[00:02:53.400] ラジオやってるけどさ結構その何あの1
[00:02:58.000] か月何してたん
[00:03:00.480] 何してたうんいや俺生活してた何何生活を
[00:03:05.480] してましたそういうの出たほらなんで違う
[00:03:11.280] なんか別にそんなさなんか微妙に受け狙っ
[00:03:14.200] てんだからなかわかんないけどその微妙な
[00:03:16.280] の狙ってないんよ別だその生活すのみんな
[00:03:20.239] そうじゃん違違う違俺はね俺個人のねあれ
[00:03:23.760] ねこの1ヶ月の変化と言いますかはいあり
[00:03:26.440] ますか前回こうラジオやってた時点では僕
[00:03:29.319] ねあのなんて言うんだろゲームま僕あの
[00:03:32.239] 一応自己紹介しとくとYouTubeで
[00:03:34.760] えYouTubeでえっとゲーム配信とか
[00:03:38.040] ゲーム実況なんかやってるちゃまと申し
[00:03:40.439] ます申すんですがえなんて言うんだろう
