[00:00:13.910] んで裏地を
[00:00:16.860] はい
[00:00:18.090] 皆さんこんばんはこんばんはゴマはゴマをやおりシャロー
[00:00:22.380] アコまあ俺はおしゃれブレス
[00:00:25.550] 親父分久しぶりになっちゃいましたね a good ラジオ第8回ということでね
[00:00:30.320] ハッ近い始まりましたけども
[00:00:33.199] はいあたら慶大だったんだけどねああっ前月で先月あの
[00:00:37.820] 早速休んでしまったティますよとアートロス疲れちゃん
[00:00:45.540] 4日ってびっくりしていますよねー僕ねあのごめんね前回ねあの
[00:00:51.350] 休んでいてこんなこというのもなんなんだけどハイあのね
[00:00:55.500] こう思われたくないんですよあのあこいつらもついに終わったなみたいな
[00:01:00.730] あーしか売れないもう1回休んじゃったり1か月ないじゃん
[00:01:05.840] あママはその皆が思ってたと思うわリダおい
[00:01:09.740] ぐうたら塩終わったなと
[00:01:12.430] なるほどあいつら誰か成り上がったあいつらもそれまでなんだなそう前の僕シャークで
[00:01:17.650] しょうがないんですよ
[00:01:18.730] 7たマネー
[00:01:20.570] 女型便からね
[00:01:22.830] d 忘れちゃったんですけど
[00:01:25.000] できなかったらなぁー予定入れちゃったんだよな
[00:01:30.280] まあその時点でなんで入れてねが者なんだけど
[00:01:34.060] まあまあねまぁまぁそんなこともありますよね人間生きてたらさ
[00:01:37.890] ありますねあれがねあの予定が合わない時だってありますから
[00:01:42.600] ありますそんな感じなんですよね
[00:01:45.530] 今月もギリギリだったもまぁギリギリだったねなんとか二人でさ
[00:01:51.590] あの
[00:01:52.830] 予定合わせてちゃんとが月末に
[00:01:56.300] を見つけましたけれども
[00:01:58.300] 主役待ってたよとああいう形ですねありがとうございまーたやつですね
[00:02:02.830] ここ数ヶ月いろいろ変わりましたよ僕も
[00:02:05.860] 服持って動くのなんて言うからいや俺ってや変わってないけど
[00:02:09.940] マーラねー
[00:02:11.310] あーなるほどねなんか色々変わってるなぁと
[00:02:15.380] 奈良線科
[00:02:17.520] そうですね本当のことだからな
[00:02:20.730] いやだからななんかさーああ変わったらいやーなんだろうな
[00:02:24.690] どういうアレさあ大体俺の周りの人間
[00:02:29.960] ね配信社会は円満人間ってまあ
[00:02:33.230] 同期じゃんだいたいね
[00:02:35.350] もちろん2年がやっている人もいればに託されているもいい人も行け大テイガー
[00:02:39.340] まあ俺と同じくして1年ぐらいのわけよ
[00:02:43.600] 今井孫今頃ねあぁそう
[00:02:47.870] o 0ば1年も経つぷ author
[00:02:50.480] なぜならその終盤にかけて
[00:02:53.190] ごっそり人がいなくなったなっていう
[00:02:56.640] 思いませんか
[00:02:58.690] まん僕の知ってる限りでは
[00:03:03.420] あんまいないですけどアソスか裏そうなんでもう4でも自分と何か良い何か良くないと
[00:03:07.800] か
[00:03:08.220] からも絡まない話に絡んでない人でもやっぱりあの城最近見ないなぁなぁまぁがあっ
[00:03:13.500] たり
[00:03:14.130] だいたい度1年くらいなんだからそ1年のハードルって高いなと思っ
[00:03:20.430] 1年離れねようやってきたで俺が
[00:03:24.260] やんねーよねうーんでんさー最近ねあの僕個人のでもなんかそのいろいろ準備期間なん
[00:03:30.590] ですよ今ね
[00:03:31.670] まあそれについてはまあ今日のなんていうかなあの
[00:03:35.060] 告知テイクまぁちょっということを話もあるんですけどもまぁそのマーズはその時期か
[00:03:40.579] もあってはちょっとね配信が抜けてたりね
[00:03:44.250] 海原お浜へよりはちょこっとね今本当に制作期間中だからあのあれなんだけども
[00:03:50.580] うんそう思われたくないんですよ俺って何故か知らないけど自分でもわかんないんだ
[00:03:54.330] けど
[00:03:54.720] 負けず嫌いなのかなんなのか浮かんだけどこいつもうやんねーんだろうこういうあっ
[00:03:58.890] たりとずつちょっとずつ平背知ってできている
[00:04:02.430] おい邪魔終わった
[00:04:04.240] だと思われたくないんでね7パッチンくるがバッカーあるはこれからもっとガンガン
[00:04:09.490] やっていくため準備中じゃいと声を大にして言いたいんですけども
[00:04:13.410] ジャンちゃま終わったな的ななんかそういうのは見たり
[00:04:17.400] ない完全にを来週被害妄想ブーバーやまあまあやるわかんないまあそんなことねあの
[00:04:26.160] まあもうみんな持ってないと思うよと思ってなくてもうアレスってどっちもいいんです
[00:04:29.970] けども
[00:04:30.570] 俺あー組まれそうじゃないよとこう
[00:04:33.400] ぶーびーのだけど
[00:04:43.580] [笑い]
[00:04:50.340] ロスを持って行っ減ったよね
