[00:00:16.279] ジマゲームさんコメントお待ちしてまジマ
[00:00:20.119] ゲームさんす
[00:00:26.400] [音楽]
[00:00:48.360] あ
[00:00:51.750] [音楽]
[00:01:22.560] はいにこ
[00:01:24.000] さんはいはいにこさんどうもこんばんは
[00:01:27.479] 今日もなんと今日もですねねやりますよと
[00:01:31.240] 僕普段火曜日は配信しないんですけどそ
[00:01:33.360] さんはいそさんお疲れそさんもお疲れ
[00:01:35.240] ちゃんどうも火曜日のちゃまです火曜日の
[00:01:37.880] ちゃま珍しいですよそれだけ僕がこの
[00:01:41.399] ゲームにいやゲームではないお疲れもう
[00:01:44.719] ゲームでもないのかもあゆきちさんどうも
[00:01:47.040] こんばんはお疲れちゃんどうもお疲れ
[00:01:48.880] ちゃんはこちゃんもお疲れちゃんもうね
[00:01:52.880] 今日はこれゲーム配信とは言いませんね
[00:01:55.759] ゲーム配信では
[00:01:57.680] ない愛なわけ俺の
[00:02:00.160] [笑い]
[00:02:03.240] ね愛です愛愛しか
[00:02:06.479] ないこんな俺だって普通俺平日はさ月水金
[00:02:11.920] しか配信しないのよそれが何ですか今日は
[00:02:15.319] 火曜日ですよ止まらねんだ愛に生きてんだ
[00:02:18.640] あの子にこれが
[00:02:24.720] 愛ね何言ってんだ
[00:02:30.040] まそんな感じでございます今日もねえ
[00:02:32.640] まったりと
[00:02:34.319] ねまったりと
[00:02:36.400] あの俺と何ちゃんだっけも名前覚えてね
[00:02:40.000] はいさんあ
[00:02:42.159] はい引いてるゆ5
[00:02:47.599] さんあぽさんどうもこんばんはこんばんは
[00:02:51.360] いらっしゃいときめきメモリアル2配信へ
[00:02:54.879] ようこそえもうね恋愛マスターチマのです
[00:02:58.840] ね恋愛講座3日目でございます
[00:03:01.879] よ3日連続でやってるこのゲームも止まら
[00:03:05.640] ん止まらんのよお疲れおしさんお疲れ
[00:03:09.799] ちゃんシジさんお疲れちゃんはい今日も
[00:03:11.840] すんなり出ましたねもう止まらん3日連続
[00:03:16.120] だよ3日
[00:03:18.120] 連続なかなかないぜ
[00:03:20.519] 俺いくらいくらはまってるとはいえ
[00:03:25.000] さ
[00:03:26.599] 配信止まんねえんだよ毎日やって方プリメ
[00:03:30.959] さん懐かしいで恋愛を学びまし
[00:03:35.400] たいいですね現実に行かせましたかねこの
[00:03:40.120] ゲームで学んだ恋愛って現実に行かせます
[00:03:42.280] たか僕はですねもう現実での恋愛を諦めて
[00:03:46.080] いるのでもう生かせなくてもなんでもいい
[00:03:48.159] 俺はこん中のひかりちゃんね光と幸せに
[00:03:53.879] なれればそれでいいななそうだよ
[00:03:58.439] なとために生まれてきたあいつを幸せに
[00:04:01.360] するために俺は今まで生まれてきたんだ
[00:04:06.439] よどこまで行ったんだっけな2年生の最後
[00:04:09.400] ぐらいまで行ったんかなおそらく前回
[00:04:14.040] ねもさくっととりあえず1周目1周目って
[00:04:18.239] 言い方俺は好きじゃないですけども1周目
[00:04:21.199] とか2周目とかないんで法プリメさん
[00:04:24.280] いろんな人に豆に連絡しないといけない
[00:04:27.000] ことを学びましたいいねいいね社会人の鏡
[00:04:31.479] だねなんか
[00:04:33.199] それ恋愛だけじゃないと恋愛だけじゃない
[00:04:37.400] とそんな感じでねまったりとねやってき
[00:04:40.720] ますよ今日も
[00:04:49.320] ね
[00:04:51.320] ああでもねやっぱこう3日
[00:04:55.520] 連続で配信してるじゃん3日連続で配信
[00:04:58.960] するでしょ気持ちは前え前えとあ今日も
[00:05:02.120] 配信しよう今日も配信しちゃおうって思っ
[00:05:04.240] てんだけどねいかせ寝る時間がないです
[00:05:07.840] ねだからね眠たいです眠たいけどもしかし
[00:05:12.400] たらちょっと今日早めに1時ぐらいに
[00:05:13.960] 終わっちゃうかもしんないけどでもやり
[00:05:16.639] てえやりてえあいつに合わねえで俺の1日
[00:05:20.199] は終わんねえんだよなああいつに合わねえ
[00:05:22.759] で俺俺の1日は終わん
[00:05:26.590] [音楽]
[00:05:28.639] ねもうだって俺2周目のコスを考えてもん
[00:05:31.600] 2周目誰行こっかなみたいな2周目誰
[00:05:34.880] 行こっかなみたい
[00:05:37.800] なでも2周目本当にフルで楽しむんだっ
[00:05:41.160] たらあのなんとかディスク買わないといけ
[00:05:43.319] ねんだよななんかその名前合成音声をさ
[00:05:47.840] なんかあれするやつがあるんだよねそれ
[00:05:50.560] 買わなきゃなま買わなくてもできんだけど
[00:05:53.120] 買った方が楽しいでしょうはいそんな感じ
[00:05:55.360] で始まります
[00:05:57.290] [音楽]
[00:06:00.120] はいどうもこんばんはおはようございます
[00:06:04.240] こんにちはちゃまちゃんと申しますまず1
[00:06:07.680] 個いいまず1個いいどうでもめちゃくちゃ
[00:06:11.479] もうなんやねその報告って思うかもしれ
[00:06:13.759] ないけどみんな俺を見てなんか気づかない
[00:06:16.319] はいクイズです俺俺を見てさん俺を見て
[00:06:19.880] 何か気づかないですいいですねその
[00:06:21.199] スタンプもいいですよそのスタンプと俺を
[00:06:23.120] 見比べて何か違うと思わないさん何何か
[00:06:27.280] 違うと思いませんか
[00:06:30.080] これ分かったら結構であれだね俺俺ファン
[00:06:32.840] 一級だねいや分かると思うけどなわかん
[00:06:36.520] ないわかんないねどうでもいい報告なんだ
[00:06:39.800] けど超どうでもいい報告なんだけど髭剃っ
[00:06:43.039] た
[00:06:44.720] わどうもこんばんは綺麗なチバですどうも
[00:06:48.960] 仕事の都合でちょっとひげそんなきゃなん
[00:06:51.479] なくて剃りまし
[00:06:53.440] たささんあ本だね俺やなんだよりたく
[00:06:58.080] なかったんだけどさ
[00:07:00.919] さん肌がすべすべだと思めっちゃすべすべ
[00:07:05.080] でしょ剃りたくなかっただ俺剃るとさもう
[00:07:08.720] あ20顎だからさ首首20ア顎これ境目が
[00:07:14.080] なくなっちゃってさもうずっと顔見たく
[00:07:15.800] なっちゃうからやなんだよあれさここまで
[00:07:18.199] が顔ですよって目印だったのにもう全部
[00:07:21.000] 肌色になっちゃったじゃねえかよまそんな
[00:07:23.039] 感じでね今日よろしくお願いします髭の
[00:07:24.560] ないチマもよろしくお願いしますまたすぐ
[00:07:25.919] 生しますけどもねまたすぐ生しますけども
[00:07:28.160] ねまそんな感じで今日やってきますよ
[00:07:30.680] また時めきメモリアル2こちらをですねま
[00:07:34.960] またーりとまたーりとやっておりますあ僕
[00:07:38.639] さんちゃこんばんはなんだそあびっっくり
[00:07:40.720] マークから始まるコメント弾かれちゃうぞ
[00:07:43.280] 引けそった俺やだって言ったのにパパンに
[00:07:48.319] なってんじゃんちゃまく顎パイ
[00:07:51.080] パンああそったよもうやもうだもうどこ
[00:07:54.919] までが顔だかわかんねえじゃないかどうす
[00:07:56.599] んだよこれおらほら
[00:07:59.680] さん笑笑何この
[00:08:02.680] 顔変な感じめっちゃ
[00:08:06.479] ツルツルツルツルですはい行きま今日も
[00:08:09.879] 京都で行きますよ
[00:08:11.680] とやってきましょう
[00:08:16.080] ね変な感じするさんか変な感じするわ俺
[00:08:20.759] 絶対もうすぐ生すけどなすぐまた生すけど
[00:08:23.120] ね今回の案件が終わればまたすぐ早すけど
[00:08:26.360] Playステ今日でもしかしたら終わるん
[00:08:30.120] じゃなかろうかと思われますわかんない
[00:08:33.120] けどなわかんないけどな1周きれに終わり
[00:08:36.440] たいね今日で
[00:08:39.159] ねもうやるぜ今日は
[00:08:43.120] コナミこのブーって音なんなんだ毎日言っ
[00:08:47.320] てるKCはいもういいです行きます
[00:08:51.240] メモリーカードチェック中さんバチクソ不
[00:08:54.040] で汚い男から潔感のあるかケメにな変わり
[00:08:58.560] すぎじゃね変わりすぎじゃない不衛星で
[00:09:01.680] 汚いデブだったのがちょっと綺麗なデブに
[00:09:04.800] なっただけ
[00:09:05.839] だろそんなにひどかったしかも覚えてます
[00:09:09.000] か恋人たちに祝福をうるせえ俺はもう早く
[00:09:13.000] あいつに会いてオープニングとかいらねえ
[00:09:15.560] んだよゲームじゃねえんだからさゲーム
[00:09:18.519] じゃねえんだよ恋愛にオープニングなんて
[00:09:20.519] 必要ねえんだよ愛を教授しに行くぜもぎ
[00:09:24.399] さんそしてちゃまく悲しいお知らせ何何何
[00:09:28.399] 何何何
[00:09:30.519] 悲しいや
[00:09:33.120] 何おはよう頑張ろうねそうだねあの視聴者
[00:09:36.560] 側から悲しいお知らせをもらうっていうの
[00:09:38.480] もなかなか頃まで
[00:09:41.680] 友達大丈夫だよ
[00:09:43.959] ありがとう
[00:09:46.000] ありがとうそんな時もありますわなさあ
[00:09:48.480] 行きましょう
[00:09:50.399] かねロムなんかロムせずに電話に集中しろ
[00:09:55.079] さんまたるあよあいよありがとう
[00:09:57.560] ありがとう
[00:10:00.360] ロードしてますしばらくお待ちください
[00:10:04.519] と今日でもしかしたら本当に1周終わり
[00:10:08.079] そうだねわ2周目どうしようか
[00:10:12.480] なもうすでに他の他のキャラクターに
[00:10:15.440] 目移りしているや今作マジでさなんかあの
[00:10:20.399] なんだろうキャラクターの表情とかアク
[00:10:22.959] ションっていうかなんつか反応とかがさ
[00:10:25.440] 豊富でさマジで他のキャラ超気になる
[00:10:31.839] よし行きますえ1回カレンダー確認しよう
[00:10:34.920] ぜなんかデート入ってたっけ
[00:10:38.160] はいんさんおはようおはよう今日もやっ
[00:10:40.519] てくよ今日もまたーりやってきます
[00:10:44.000] ねまたーりやってきますよと
[00:10:47.959] えっとだっけ
[00:10:50.680] とりあえず今の俺のステータスは容子
[00:10:54.079] 100文系86で結構頭もんじゃなか芸術
[00:10:59.920] と運動がだ運動はちょっとあげとこうか
[00:11:02.839] じゃ運動あげとこっか運動って根性も確か
[00:11:05.920] 上がるよなよしよし
[00:11:08.720] よしなんかイベント起きねえかなあ来た
[00:11:12.120] そういえば今日はささんの誕生日だな
[00:11:15.040] 誕生日プレゼントどうしようかなささんっ
[00:11:16.600] て誰だっ
[00:11:18.120] けささんって誰だこれね便利なのがねこれ
[00:11:22.480] 見るとね大体答え乗ってんだよなささあ
[00:11:25.560] この子ねこの子ですこの子この
[00:11:29.600] このなんだ自称ぽっちゃりとかいう
[00:11:32.680] ガリガリ体重646kgでぽっちゃりで
[00:11:36.079] すって言ってるぜ世のぽっちゃりを敵に
[00:11:38.360] 回したなこいつなえ好きなもの野球爬虫類
[00:11:42.920] 野球爬虫類手芸野球爬虫類でさこん中に
[00:11:49.279] なくね該当するプレゼントがま別にこれ
[00:11:53.160] この子に嫌われても別にねまあ
[00:12:00.920] ぽっちゃり駄しあげよっ
[00:12:02.400] [笑い]
[00:12:04.519] かと言ってもささんは遠い遠い大何何大門
[00:12:09.000] の空の下うん後で郵送しておいなんそれえ
[00:12:12.040] なん
[00:12:13.160] で何その
[00:12:15.360] イベントいい
[00:12:18.519] ねはいはいはい
[00:12:20.560] [音楽]
[00:12:23.760] はいさあデートしますあ待ってデートの前
[00:12:27.399] にデートの前お疲れお疲れお疲れお疲れお
[00:12:30.199] 疲れうるせえうるせえる疲れお前毎回それ
[00:12:33.800] で800ポイント消してんの気づけよ待お
[00:12:37.000] 疲れるお疲れ
[00:12:39.800] えー
[00:12:42.560] スケート紅葉は見に今何月何日だっけ11
[00:12:46.680] 月19日結構来てるね響きのタワーあ
[00:12:50.880] バーチャルハザード新アトラクションあ
[00:12:52.680] バーチャルハザード行きたい響きの
[00:12:54.760] アミューズメントプレースに
[00:12:56.839] 4300ブルジョはの遊びしてる
[00:12:59.680] え大型アトラクションバーチャルハザード
[00:13:02.600] が君を待っている行きましょう響きの
[00:13:04.480] アイランド行きましょうえ相変わらず僕が
[00:13:07.199] 狙うのは本ひかりちゃんこの人
[00:13:10.210] [音楽]
[00:13:13.240] です渡る渡る俺を見てなんか気づかない
[00:13:17.800] めんどくせえ女みたいなこと言うよねワく
[00:13:20.760] さんで今週もしてるんだ何が俺え違うこれ
[00:13:26.000] あのだってえ何が怖い怖い怖いあのあの
[00:13:29.320] これねゲーム配信じゃないから
[00:13:31.760] これ愛よ愛だからこれはあのゲーム配信は
[00:13:36.399] 確かに俺さん
[00:13:38.639] ゲゲ金しかやらないけどこれゲームじゃ
[00:13:42.079] ないんで愛なんでさん
[00:13:44.560] [笑い]
[00:13:48.639] きし嬉しいなかいいねあのさえ23日
[00:13:58.040] にえっとね遊園地だっけ遊園地に新
[00:14:02.560] アトラクションわんさんなんだ今日の違う
[00:14:07.600] ところその日だけはだめなのせっかくって
[00:14:11.120] くれたのさんめんどい女嫌いだからわかん
[00:14:15.440] ねなんで気づいてくれないのもっと私を見
[00:14:19.399] てよえ運動でもしとく
[00:14:24.800] か
[00:14:27.560] オはいはいはいはい
[00:14:30.360] はいえちょっと新アトラクション行きたい
[00:14:33.120] ね新アトラクションね9さんこんばんはあ
[00:14:36.759] さんこんばんは2周目やるよムスの服あ
[00:14:40.320] 違う違う違う違う俺俺俺ああ答えひげ剃っ
[00:14:45.600] た髭剃った
[00:14:48.240] よめっちゃ変じゃないもうそう髭剃りたく
[00:14:53.880] なかったの
[00:14:55.880] にわんさんすまんがすまんてなんでラキ
[00:15:00.959] さん2周目やるよ2周目も絶対やるもう
[00:15:03.320] ちょ気になってるキャラクターいすぎてさ
[00:15:05.519] 3週ぐらいやるかもしれくてわからんかだ
[00:15:08.040] からだから俺やだったのにおえなんか電話
[00:15:12.759] も出ないなん
[00:15:14.680] で電話も出てくん
[00:15:17.120] ないえじゃみさちゃんと遊ぼうたまには
[00:15:21.560] 違う女の子行こう渡るさんいやひげなくて
[00:15:24.600] も変わらんべあんまえなんかラ1129
[00:15:28.600] さんばやであがばがば頑張る頑張るわさん
[00:15:35.120] 楚清楚じゃないよ全然この子はこの子は
[00:15:38.480] 清楚じゃないちょっと頭ぶっ飛んじゃっ
[00:15:39.959] てる系
[00:15:42.399] さん
[00:15:43.959] てごめん
[00:15:46.319] なさいこのさんのさ喋り方やばくない
[00:15:51.199] ちょっとちょっとよしよし感じ
[00:15:54.110] [音楽]
[00:15:54.500] [笑い]
[00:15:59.160] 話見たね今ね可愛いんだけどね見た目
[00:16:01.759] すごい好きなんだけどシナーやってるとこ
[00:16:03.680] が悪いとこだ
[00:16:06.240] なえさぎコメさんどもどもどもおお
[00:16:10.759] きさらぎきさらぎじゃんこれあれだろワル
[00:16:13.839] んとこのさんああフイさん恋愛マスター
[00:16:16.959] フツ女の子に受けの悪い髭を剃ってきたよ
[00:16:21.120] あ見てくれフェイトさん俺髭剃ったわるん
[00:16:24.480] さんこれあれだろ渡るの渡るの息子か
[00:16:30.199] わんさんあれこれ呼ばわりすんじゃ
[00:16:34.600] ねんになった仕事で新しい案件でさ
[00:16:39.279] ちょっとそこは厳しく
[00:16:41.079] てれて嬉しいお髭をらなきゃならなくなっ
[00:16:44.199] しまっていやいやそりましたもうついに顎
[00:16:48.480] と首の境目がなくなった20が見える
[00:16:52.800] からあ目立つからなんだがねえ
[00:16:55.270] [笑い]
[00:16:57.839] と剃りたくなかったんだけどなオオオ
[00:17:04.280] やいやい松は初デートケケーキ付けに一発
[00:17:08.439] 行きましょうかまずは初デートそういう
[00:17:11.319] 意味で伸ばしそうだよここまでがるさん
[00:17:14.720] ここまでがても目立ってるよじゃここまで
[00:17:17.120] が顔ですよってのがわかんなくなっちまう
