[00:00:18.240] 邪魔ゲームさんコメントお待ちして
[00:00:28.960] ま
[00:00:30.560] [音楽]
[00:00:58.920] あ
[00:01:01.720] [音楽]
[00:01:28.920] DETあ
[00:01:31.030] [音楽]
[00:02:15.959] はい主人さんお疲れロムて
[00:02:19.440] ありがとう今日
[00:02:22.519] もやろうか
[00:02:25.319] なもぎさんもぎるのおり部屋
[00:02:31.400] どうもこんばんはなんや
[00:02:33.750] [笑い]
[00:02:36.040] それなんかごちゃごちゃ言ってたみたい
[00:02:40.159] ですね
[00:02:42.239] あの俺の配信をさんなんやねんほんまやね
[00:02:46.080] なんやそれあの成人指定だああだこうだと
[00:02:50.720] 言ってたみたいですけどもなんだそれ誰の
[00:02:54.680] せやねんおい第一世それ言っといて俺の
[00:02:59.200] 放送を
[00:03:00.440] え成人指定にしろだとか言うたじゃ成人
[00:03:04.599] 指定だろ違うんだ俺のチャンネルじゃなく
[00:03:07.319] てさあれだよもちゃんのコメントをあの
[00:03:10.560] 成人指定にした方がいいと思うあの表示し
[00:03:13.680] ますかはい大体私とお前のせいだろ
[00:03:17.239] 巻き込まれたよ俺
[00:03:19.680] はどうもこんばんはやって
[00:03:22.799] ますまゲームも悪いよねゲームも悪いわ
[00:03:27.000] ゲームも悪いよ最近はなんかあの
[00:03:30.879] メモなんてや女の子相手にやってたらそり
[00:03:33.400] はさ少しばっかし少しばっかしそういう
[00:03:38.519] そういうあれになるよ
[00:03:41.080] ねさて今日も赤ちゃんの名前でも考えよう
[00:03:44.879] か
[00:03:46.200] な俺とのさんちょっと
[00:03:50.640] 早早いんだそれどっかに保存し
[00:03:58.720] てぎさん巻き込まれてない
[00:04:02.519] だろ巻き込まれてる囚人さんさん自生ほ
[00:04:07.840] そのさすが早いっすねいいっすね囚人さん
[00:04:11.599] ね囚人さん愛人さんじゃないよ囚人さん
[00:04:14.799] ですよ
[00:04:15.759] と
[00:04:17.759] さ今日さん自粛性ありがとうございます
[00:04:22.880] まめさんちゃまめちゃんこんばんはまめ
[00:04:25.240] ちゃんもこんばんは今日もやるで理沙さん
[00:04:28.360] やんなっちゃう本当
[00:04:32.240] やんなる立場じゃない
[00:04:34.000] だろ楽しんどるや
[00:04:36.680] んま今日もねポキめきメモリアル中やっ
[00:04:41.400] ときますよいや今日本当9時からやり
[00:04:43.320] たかった今日は9時からやりたかもうだめ
[00:04:46.320] や2時までやったら次の日だめだま今日
[00:04:49.720] やるけど2時までえ本当ちょこれからマジ
[00:04:53.160] でね間に合う時はもう夜9時から1時まで
[00:04:55.479] なもう本当にさん突っ込めるのすご何かだ
[00:05:00.199] よ何でも褒めてくれるじゃんけどどうした
[00:05:02.759] めさん楽しみにしてありがとうありがとう
[00:05:05.960] お疲れちゃん
[00:05:07.720] ありがとうまあねちょっとこれから
[00:05:09.800] ちょっと夜間に合う時は夜9時から1時と
[00:05:12.479] いうことでねでもなんかそれダメだと思ん
[00:05:15.360] だよな結局それ俺2時までやる流れなんだ
[00:05:17.240] よ9時からつけたら2時までて5時間やる
[00:05:19.120] ことになるんだよな多分な流れでノリ
[00:05:23.160] で1ねさん楽しみにしてくれていたって
[00:05:27.759] ありがたいですねあの僕なんかの配信をね
[00:05:30.800] こう楽しみにしてくれるって人がいるのは
[00:05:33.120] ありがたい話でございますけども
[00:05:35.479] ねまねそんな口に出さなくてもみんなが
[00:05:38.639] 楽しみにしてくれた知ってるんですがね
[00:05:41.280] ですが
[00:05:45.639] ねき美ゆき今日はちょっと仲良くなりたい
[00:05:50.120] すね前回なんか思うように思うように
[00:05:53.880] 仲良くなれなかったからななんか
[00:05:56.520] なちょ今日はあの子の立場になってえ
[00:06:00.160] 女の子の気持ちをねさんさああと30秒で
[00:06:03.520] 何人集まるもうあと10秒でもういいんだ
[00:06:06.199] 今日はいいんだよもそれ
[00:06:08.900] [笑い]
[00:06:11.280] は20秒もラグあ
[00:06:14.360] るってことこっから雑談つくからあ違う
[00:06:17.440] 間違ったどうもこんばんはどうも
[00:06:20.400] こんばんはちゃまですどうもこんばんはえ
[00:06:23.560] 同が15人行くまで雑談し
[00:06:26.919] ます嘘ですけどねどうもこんばんはみさ
[00:06:30.080] さんアッパー
[00:06:32.199] 6おつおつまいいでしょう6人の視聴者の
[00:06:36.560] 皆さんどうもこんばんはチマでございます
[00:06:37.919] ね今日も京とて皆さんの大好きなゲーム
[00:06:40.360] やってきますこちらコときめきメモリアル
[00:06:43.319] 2いや好きでしょみんないや俺も好きなん
[00:06:45.039] だけどさやってきますよ今日
[00:06:47.560] も早速行き
[00:06:52.120] ますさあ今日はどんな出来事が起きるん
[00:06:56.360] でしょうか楽しみですねオープニング見る
[00:06:59.280] か1回少しでも引き延ばして引き延ばして
[00:07:02.479] みたいな引き延ばして引き延ばしてプレイ
[00:07:05.960] スタシィオンプレイスタティオいいですね
[00:07:09.960] もぎさんちゃまく知っている何を何よ大体
[00:07:14.520] のこと知ってるけどね俺大体のこと知っ
[00:07:16.520] てるけど聞いてみる聞いてみなん大体の
[00:07:20.080] こと知ってるけどコナミコナミさんゲーム
[00:07:24.199] ボーイでも1の植がそれちょうど今日俺
[00:07:28.720] 探してた
[00:07:30.319] で俺もそれおい知ったよ2個出てるよな個
[00:07:34.960] さんしかもボイス好きだよえすげえそうな
[00:07:37.360] んだ覚えてちょやってみたいよねゲーム
[00:07:40.280] ボイ版たけんだよなのことたけんだなあの
[00:07:43.840] 頃の思いおビ
[00:07:46.440] 投げろさん私もったよ笑嘘恋人たちに出を
[00:07:52.360] 与えるあの2個出てんだよななんか皇帝の
[00:07:55.680] なんちゃらと小火のアーダコーダみたいな
[00:07:58.400] それも今ではもうどっちも56するねやっ
[00:08:03.319] てしまったのちょっとオープニング見せて
[00:08:06.720] 1
[00:08:08.639] 回あと5000回
[00:08:12.330] [音楽]
[00:08:16.479] 頑張れ
[00:08:18.919] 39俺シレットこない流し流したつかま
[00:08:22.599] 拾ったは拾ったけどあれ
[00:08:28.440] 説ギフト大丈夫600円もすんだぜあれ
[00:08:32.080] 時めきメモリアル2あれオープニング流れ
