[00:00:18.800] ジマゲームさんコメントお待ちしてま邪魔
[00:00:22.600] ゲームさんす
[00:00:25.730] [音楽]
[00:01:00.000] OG
[00:01:01.040] [音楽]
[00:01:50.600] 囚人
[00:01:52.240] さんさんま主人さんこんばんはどうすん
[00:01:57.000] のどうもこんばんは
[00:02:00.439] こうあれですね
[00:02:02.320] なんかなんか
[00:02:04.360] こう久しぶりな気がしますね
[00:02:07.239] こう女の子に会いに行くというゲームとは
[00:02:11.080] いえど久しぶりのなんというか女の子と
[00:02:14.280] 遊ぶような感覚が今俺
[00:02:16.480] はとても今あれです
[00:02:19.440] よワクワクしてい
[00:02:22.140] [音楽]
[00:02:24.360] ます囚人さんさんおにの子に会いに行き
[00:02:27.760] ましょうああ今日こそ落とすべ落とすべえ
[00:02:32.080] よなんか久しぶりだわ久しぶりねなんだ
[00:02:35.680] かんだ1週間ぶりぐらいじゃないこの
[00:02:36.959] ゲームやんの前回でも何日目だかわかん
[00:02:39.760] なくたけどタイトルわかんねえわときめき
[00:02:41.680] メモリアル何日目になっちゃったなんだか
[00:02:43.440] わかん忘れちゃた何日ぐらいやったんだっ
[00:02:45.440] けわかんね
[00:02:46.519] けど全然どこまで行ったかも全然覚えて
[00:02:49.000] ねえやただ思い出すのはこのゲームに俺は
[00:02:53.599] とても傷つけられたそれだけそれだけは
[00:02:57.480] 断片的に覚えてます
[00:03:00.159] とても傷つけられた思い出
[00:03:02.680] だけういお疲れはいそうさお疲れちゃん
[00:03:07.480] そうお疲れはいお疲れちゃあそうそうそう
[00:03:10.080] ちょっとどうでもいいあれかもしんない
[00:03:11.799] けどそのなんだっけこれあのチャンネル
[00:03:13.959] ポイント値下げしましたあの200高と
[00:03:16.959] 思って50にしたわちょっとみんなも打ち
[00:03:19.040] やすくなったんじゃないかなとまソドさん
[00:03:21.599] なんかねバカみたいにあのポイント持っ
[00:03:23.000] てるんであなた多分このチャンネルで1番
[00:03:25.760] 持ってるんでね痛くも痒くもないでしょう
[00:03:27.280] けどねこれ初見さんも使いやすいから50
[00:03:30.840] ぐらいだったらってい前は1ポイントだっ
