[00:06:08.160] あはあヘイヘイ入ったあもうふざけんなよ
[00:06:13.400] マジでもめちゃくちゃ喋ってたの
[00:06:17.160] にわあふざけな返してくれ返してくれ俺の
[00:06:23.599] おめちゃくちゃ喋ってた俺くそだわマやめ
[00:06:27.599] た
[00:06:28.560] 今日めちゃ喋ってたじゃんふざけんなマジ
[00:06:33.199] 返せ俺の分おいああもう最悪うわ最悪
[00:06:39.160] めっちゃめちゃくちゃあくまさん
[00:06:42.360] こんばんはこんにちはすおやぽんちゃん
[00:06:44.280] こんにちはすもう返してくれよ俺のご分
[00:06:47.080] マジでいつもにいつもに増して喋ってたぞ
[00:06:52.000] なあなんか
[00:06:53.320] [音楽]
[00:06:57.879] すげんは
[00:07:00.560] 返してください俺の5分な俺の5分返して
[00:07:03.479] くれよめちゃくちゃ喋ってたわいつもに
[00:07:07.440] 増して喋ってたすげえお今日はあれだ
[00:07:10.680] みんな久々に地獄が見れるな
[00:07:14.840] み返すなんかフレームレートフレーム
[00:07:18.000] レートやばくないなんかなんかカクカク
[00:07:21.879] じゃないいこんなもんでしもえなんか何
[00:07:25.080] 今日は今日何
[00:07:30.720] なんか今日
[00:07:32.199] 何ね今日何今日は何あれになっちゃ
[00:07:38.800] たあれ見たくなっちゃったな今あのコム
[00:07:42.440] ドット見たくなった今今日は何コムドット
[00:07:45.680] みたなったえーもうなんかカメラの調子も
[00:07:49.159] 悪いしふざけんなよふざけんじゃねえ
[00:07:52.400] ぞめっちゃ喋ってたんすよねさっきもう
[00:07:54.800] いいっすかじゃあ今日は
[00:07:56.879] もう知らねえんだ
[00:08:00.120] えなんかさなんかさ遅れてね映像そんな
[00:08:04.919] ことないまいいやあの今日やるゲームこれ
[00:08:07.919] はいもうくそさっき喋ってたんでこの
[00:08:09.280] ゲームについてめちゃくちゃ喋ってたんで
[00:08:11.440] 最悪だわえ何俺がさ俺がさ超魔村で同じ
[00:08:15.720] ステージ17時間やったんだよガっていう
[00:08:18.360] 下りも聞こえてない
[00:08:20.039] の嘘ずれてるやっぱりなんでだよわからん
[00:08:25.199] もう俺わかんねええなんでどうした
[00:08:33.320] F終わったこれ
[00:08:35.479] であいいじゃんいいじゃんいいじゃん
[00:08:38.039] こんなもんじゃねいいじゃんいいじゃん
[00:08:39.880] いいじゃんいいねこれで
[00:08:41.599] 行こう
[00:08:43.760] いやもう1回最初から言いますかあのなん
[00:08:48.240] だあれです
[00:08:52.040] 今日あの今日久しぶりにレトロゲームの
[00:08:55.680] アクションゲームやりていなと思っても
[00:08:57.920] さっき全然テンションが違うちゃ説明して
[00:09:00.320] たの今日やるゲームこれねあのPC
[00:09:01.720] エンジンのね最後の任度ってうんだけど
[00:09:03.040] なんかクソ難しいみたいでなんかなんか
[00:09:04.680] 久しぶりに最近なんかギャルゲーとかやっ
[00:09:06.279] ててポケモンとかやっててなんかぬるい
[00:09:08.040] ゲームしかやってないんで地獄みたいなと
[00:09:10.160] 思いました
[00:09:13.079] はいはい行こうぜもうもういいやもうもう
[00:09:16.160] 俺もういいやもういいもう知らねああもう
[00:09:18.560] 最悪返してほしい俺の5分めっちゃ喋って
[00:09:21.600] たぜ俺こんな喋ってんのにこいつら全然
[00:09:23.880] コメントしやがんねえなんでこいつらと
[00:09:25.320] 思ったもんみんなにみんなに悪ついてた
[00:09:28.040] とこだったよしたら入ってなかったマイク
[00:09:30.120] がすませんでしたいやいや入ってなかっ
[00:09:32.120] たっていうかなんか決定が変わってた
[00:09:34.640] ふざけんなよマジで行くわアレム
[00:09:39.320] コーポレーション行き
[00:09:42.160] ますえまさかと思うけどこれゲーム音入っ
[00:09:45.560] てないまさかと思うけどなんかゲーム音
[00:09:48.920] 入ってな
[00:09:52.399] ねえねねゲーム音入ってる
[00:09:56.440] これ今なってるんだけどゲーム
