[00:00:00.240] もう緊張するでしょすごくない
[00:00:03.560] みんないやあの俺ロンダルキア洞窟抜けて
[00:00:07.960] ロンだきの祠たどり着いてよくここまで
[00:00:10.440] レベル上げたと思うんだけど褒めてくれて
[00:00:12.240] もいいと思うんだよ
[00:00:13.879] みんないやすげえなんでみんな超えねえん
[00:00:16.480] だよでも34でしょだからもうできるだけ
[00:00:21.080] はやったそうだね
[00:00:23.240] 34俺練習してたのが32のデートなのね
[00:00:28.480] じゃあじゃじゃ少しは
[00:00:31.239] 増しあとは運だねうんあとは運だねもう
[00:00:35.320] こればっかりはもうどうしようもないから
[00:00:37.879] まうんそうまでもねあの白村さんがだいぶ
[00:00:40.800] 吸い取ってくれたと思うんでもう吸い取っ
[00:00:42.960] たよ通スコン10何回食らってるからもう
[00:00:45.920] 大丈夫ですギガンテスの通行は絶対飛んで
[00:00:48.559] こない大丈夫そうねなるほどねなんだっ
[00:00:52.000] たらだきも前の俺の配信で吸い取ってるの
[00:00:54.280] 大丈夫荷とかありえねえから大丈夫大丈夫
[00:00:56.520] ちょっとマジでさほ頑張りますから
[00:01:00.160] ちょっともう応援してください本当にいや
[00:01:02.640] もう応援もうここまで来たら行くしかない
[00:01:04.560] でしょいやそりゃねここまで繋いできたん
[00:01:09.240] だからねそうだよねうんもうあとはクリア
[00:01:12.159] するだけなんでプレッシャーかかってる
[00:01:14.920] けど大丈夫あ新パ数も130行きそ
[00:01:18.920] すもうやばいんだよねなんかもう準備し
[00:01:22.720] てる時から様子がおかしいデンジャーに
[00:01:25.119] なってんだよねなんかねもう
[00:01:27.480] [音楽]
[00:01:30.200] シャレならんマジでいやすげ絶対カだけや
[00:01:33.520] だなと思ってたんだけどいやすげえ
[00:01:35.479] イベントだよこれうんいや自分も
[00:01:38.799] ぶっちゃけここまで来るとは思わなかった
[00:01:40.920] からさいやねえみんなすごいよね仕事中に
[00:01:44.640] こっそりいやだけどここで答えたい
[00:01:48.439] けど俺クリアしたことねえからなこれこつ
[00:01:52.119] 人生プレイえ人生プレイクリアしたこと
[00:01:54.159] あるんだっけ
[00:01:55.360] ないないよないっすよ
[00:02:00.320] ないないおいボテおいボテクリアしてねえ
[00:02:04.000] 2人なんで配置してんだよもういじめなん
[00:02:06.439] だよないじめなんでねまあでもね
[00:02:09.200] こんばんはお邪魔しますもうあれですよ皆
[00:02:12.120] さんこんばんは皆さんこんばんはちょっと
[00:02:14.640] じゃあ
[00:02:16.280] 早速呪文行きます行きますかわかりました
[00:02:20.200] あの僕見てるんで止めてくれれば入れます
[00:02:22.680] はいわかりましたはい
[00:02:25.800] はいやべえやべえめちゃくちゃ怖え
[00:02:31.040] [音楽]
[00:02:32.400] だ皆さんこんばんは頑張ります都え
[00:02:37.239] うむ
[00:02:39.800] うむやべえ間違え
[00:02:43.959] た気が楽になっ
[00:02:46.280] たくそ腹立つその腹立つそのめっちゃ
[00:02:51.480] 背伸びして
[00:02:53.519] やがるいやって
[00:02:56.200] さんでロンダ
[00:03:00.120] なきゃいけプレ
[00:03:01.920] で思ってたよベ上がってねでもねすごい
[00:03:06.159] よく3時間あそこ行きます生きのみたね
[00:03:08.519] 本当にねもうこれはね12回の人生
[00:03:12.640] プレあんだけやればねうんやべえ震える
[00:03:16.920] マジで
[00:03:19.080] ペペぬぬぬぬぬ足お先にこちらへペ
[00:03:27.480] トキ手振ってるあ違う違うあのねあそこ見
[00:03:31.560] てんかあの色いいてるからそうそれ
[00:03:35.760] ありがとうて
[00:03:37.480] トキながら死に
[00:03:40.200] そう
[00:03:42.680] どこ
[00:03:45.200] ひざやば息が上がってき
[00:03:49.120] ただってこだってさトイレ大丈夫トイレ
[00:03:52.760] めちゃくちゃ行ったトイレもう多分12回
[00:03:54.439] ぐらい今日ってるん
[00:03:56.760] でお腹の調子がおかしいんだよねあ前も
[00:04:00.439] なんかあのTwitterのTの夜の時も
[00:04:04.159] お腹痛いって書ラングでお邪魔しますはい
[00:04:08.159] 皆さんどうもこんばんは初の方ありがとう
[00:04:10.200] ございます
[00:04:12.760] っ
[00:04:16.280] てるごめんちょっとごめあのコせなかっ
[00:04:19.320] たらごめんな今ちょっとこれ入れちゃう
[00:04:21.160] からねコメントがね多すぎてね多分処理
[00:04:24.840] できないとう
[00:04:26.280] [音楽]
[00:04:28.720] あのあのあのさっきのあのすごいあの
[00:04:33.440] 弱々しいちょっとねちょっとねあ全てを
[00:04:37.080] 終わらせおかしいねちょっとこれなんか
[00:04:38.919] いつもの俺じゃない
[00:04:40.919] ねいつもの俺じゃないねなんかこんな俺俺
[00:04:45.080] も見たことないねえガツほガツほガツ
[00:04:52.600] ほほほほほガほくじはほくじはほちゃま
[00:04:57.759] さんがば頑張るよありがとう
[00:05:01.080] くじじゃちょっと待ね1回あいいやいいや
[00:05:05.320] 大いよ大丈夫だよいよいよこの企画の
[00:05:07.880] ラストがっ
[00:05:14.759] たできました呪文力
[00:05:18.440] えいやこれ入れてる瞬間のこのいや重え
[00:05:23.039] このバトンマジで
[00:05:26.360] マジで重たい重たいこの
[00:05:30.199] えっとレシ
[00:05:32.240] レシ
[00:05:34.680] レシ見えねえやあれがサブスクあれすげえ
[00:05:39.160] ことな見えねあちょっと待ってちょっと
[00:05:41.720] 大丈夫大夫違うう3ダ目違う君なら行け
[00:05:45.880] ますファンアート応援しくじ何えくじ
[00:05:54.639] くじくじ
[00:05:57.319] まほこ
[00:05:59.880] ですか落ち着いていきましょう落ち着き
[00:06:02.160] ましょうレク
[00:06:04.560] えレクホピゲホピゲほはピゲホピ
[00:06:12.400] ゲちょっと面白いからそのままにしとこう
[00:06:15.319] かな思ったん
[00:06:17.039] だあれパスワードが違うちょっとやめて
[00:06:20.880] 本当にいやでもこのゲームあの正しく
[00:06:25.240] パスワード取ってもあのそうだよねその
[00:06:28.319] パターンがあるからね
[00:06:30.639] シゴまさかそこでこれ引いたらそれはそれ
[00:06:33.520] で最悪だ企画倒れもいいとこ間違ってる
[00:06:38.400] どこ間違ってるどこ間違っ
[00:06:41.080] てるありがとう
[00:06:43.720] わ
[00:06:45.960] え
[00:06:48.560] ゲピゲなはいはいあっちゃたもう何やって
[00:06:53.599] 削っちゃった
[00:06:55.199] ごめん削っちゃった何削るて削るって
[00:07:00.720] コマンド何頑張れちゃまさん落ち着いて
[00:07:03.759] 削るコマンドいらないよ削るンいけなんで
[00:07:07.039] 上書き方式にししね削るってでシペゴシペ
[00:07:11.919] ゴねシペゴはいはいはい落ち着きましょう
[00:07:15.120] 落ち着きましょう笑ペゴシペゴ
[00:07:21.960] セピ行けるよ大丈夫いけるセピ
[00:07:27.280] ポポポケ座ホバ座だよねポバケ座だよねえ
[00:07:32.840] ポケ座うんあっポバケ座セ
[00:07:39.759] セセセ回進呼吸しようはい行きまし
[00:07:44.759] た来たおいああ来たありがとうございます
[00:07:50.159] ああ来たしまさんお疲れ様でしたお疲れ様
[00:07:54.520] ですあは任せてください頑張ってください
[00:07:58.080] 絶対クリアしますおいっすそれじゃ行くお
[00:08:01.599] 疲れ様でしたお疲れました最後のンが渡さ
[00:08:05.360] れたこんばんはちゃまちゃ皆さん
[00:08:08.039] こんばんはよっしゃ初見じゃないけど
[00:08:10.879] 頑張ってくださいちょレイド待ちますか
[00:08:14.639] こんばんはレイド来る前からさどせ83
[00:08:17.720] っておかしいの
[00:08:18.840] よみんな
[00:08:21.319] ありがとう行くぜ落ち着いて落ち着いて
[00:08:25.400] こんばんはこんばんはラスト頑張ってま
[00:08:28.840] ここまで
[00:08:32.680] てる
[00:08:38.289] [音楽]
[00:09:01.840] [拍手]
[00:09:02.510] [音楽]
[00:09:04.160] あざ笑ってる真だけど大丈夫
[00:09:08.200] [音楽]
[00:09:11.650] [笑い]
[00:09:15.320] [音楽]
[00:09:24.720] あのすませ1ついいかごめんねコメン
[00:09:28.680] ありがとコメントありがとねあれこれ来
[00:09:31.270] [音楽]
[00:09:39.090] [拍手]
[00:09:41.240] [音楽]
[00:09:44.560] ためましてゲームと申し
[00:09:51.360] ますみ分かってると思うけどでこのお祭り
[00:09:57.200] 終りんよ終るんよどんな形でももう終わっ
[00:10:00.600] てしまいます絶対にクリアしてみます本当
[00:10:04.399] によろしくお願いし
[00:10:07.000] ますよろしくそしてみんみんここまでレね
[00:10:13.560] ここまでボタンをついてくれたみ本にお
[00:10:17.200] 疲れ様任せて
[00:10:19.570] [音楽]
[00:10:22.160] くさいくせあれだぞどくせえ
[00:10:26.180] [音楽]
[00:10:28.320] あの
[00:10:30.510] [音楽]
[00:10:32.880] 最最
[00:10:36.700] [音楽]
[00:10:44.079] 最後
[00:10:45.600] の最後
[00:10:48.030] [音楽]
[00:10:50.560] のー10時
[00:10:53.000] までってれ
[00:10:55.399] にくい間
[00:10:58.770] [音楽]
[00:11:02.880] このあれあのこれは時間あと1時間で
[00:11:06.720] 締め切りです
[00:11:09.280] [音楽]
[00:11:37.680] まずはありがと
[00:11:40.720] み
[00:11:42.930] [音楽]
[00:11:45.240] 見よくここまでたどりついたよ待ってたよ
[00:11:48.000] お前のことって
[00:11:51.000] たこ36時間
[00:11:57.130] [拍手]
[00:11:59.470] [音楽]
[00:12:01.360] いいじゃね
[00:12:04.639] かねねねねねねこの人さこの人ここに来て
[00:12:12.279] のすなお前らしいよな
[00:12:17.240] おらのでい
[00:12:19.839] んお前には何も求めてねいや求めてなくは
[00:12:22.839] ないんだけど
[00:12:24.240] [音楽]
[00:12:31.399] この
[00:12:33.199] 人なのこの
[00:12:35.760] 人なんちょっとおれしてきました
[00:12:43.440] みたいしててんじゃ
[00:12:45.440] [音楽]
[00:12:49.740] [笑い]
[00:12:52.560] なんかしてたらい
[00:12:56.079] のまし
[00:12:59.660] [音楽]
[00:13:07.040] なるみあれよの盾持ってるよ世界
[00:13:10.700] [音楽]
[00:13:15.240] のこういう
