[00:00:18.600] D
[00:00:22.150] [音楽]
[00:01:05.080] こんばんははい主人さんこんばんははい
[00:01:08.320] こんばんはとやりますよ今日はねちょっと
[00:01:12.119] なんかねドラキュラやりたいんでちょっと
[00:01:14.000] 朝まで行こうかなと思っとりますよろしく
[00:01:18.600] 頼んますせ
[00:01:41.640] あれボテちゃんってやってないの今ボテ
[00:01:44.240] ちゃんさすがにマインドシーターのさ
[00:01:46.079] プレイあないないないんですかなんですか
[00:01:49.079] マインドシーカーっ
[00:01:50.799] てなんですか俺あれ記録から消したから
[00:01:53.439] やってないことになってる俺あのゲームも
[00:01:55.719] 知らないあの何マインドシーカて知らない
[00:01:59.920] どういうゲームそれ面白いのごめん俺
[00:02:03.000] あんまレトロゲーム詳しくなくてごめん
[00:02:04.880] ちゃまくあいろはちゃんこんばんはいろは
[00:02:07.360] ちゃんこんばんは何どうし
[00:02:10.440] たドラキュラやるよドラキュラなんか
[00:02:13.200] ドラキュラやりたくなっちゃっ
[00:02:15.800] たどうした何です
[00:02:21.040] かハリボテハリボテチキて知っ
[00:02:26.200] てるおけおらしけねあんなマジで2度と
[00:02:32.080] やんねえよあんなゲームじゃねえよ
[00:02:35.400] 笑笑ハリボテチキンスメはいつからやるの
[00:02:39.480] あ土曜のお昼12時からかあんだ今日
[00:02:42.760] ハリボテにレドしようと思ったの
[00:02:45.120] にケツ出すケツ出してほしいな土曜って
[00:02:48.800] 言ってたね土曜の昼かどうもこんばんは
[00:02:52.640] なげんさんこんばんはなげんさんも
[00:02:54.280] こんばんは今日はまたあれですよ今日は
[00:02:57.239] またあれですドラキュラをやります
[00:02:58.920] ドラキラやりたくちゃったななんか人
[00:03:02.239] 区切りついたじゃんなんか今やってる
[00:03:04.080] ゲームほとんどちゃんとわしてなんか
[00:03:06.159] ちゃんとわしてわけじゃないんだけど
[00:03:08.000] なんか区切りがついたんで久しぶりに土曜
[00:03:10.640] 休みたしちょっと朝までドラキュラでも
[00:03:12.400] やろうかなと
[00:03:15.159] うんマインドシーカーもねもうだいぶ遊ん
[00:03:18.440] だしあれもうもういいだろあれクリアだろ
[00:03:21.680] アクション楽しみいやもうやっぱ
[00:03:23.360] アクションゲームよねなんかあのもううん
[00:03:27.360] やめようサイキックゲームみたいなあれ
[00:03:30.040] どういうジャンルあれあれどういう
[00:03:32.280] ジャンルあれはどういうジャンルなの
[00:03:35.159] あれ謎のジャンルのやつた
[00:03:40.519] けどてか久々に土曜休みなんだけど何久々
[00:03:45.239] の土曜休み久々の土曜休みってもう見てる
[00:03:48.959] のはおもろかったよ笑2度とやんね2度と
[00:03:52.680] やんねやったねやったね嬉しいな土曜休み
[00:04:00.879] だからね土日ちょっと俺も暇だしずっと
[00:04:03.079] ちゃうね土曜日ああなんか配信つけてても
[00:04:05.799] いいんだよななんなら今俺今からドラクエ
[00:04:08.599] ドラクエ133でも頼んでゆっくりしな
[00:04:11.799] 配信したいなドラクエやろっかな今から
[00:04:15.319] 思ったんだワンチャン日曜の夜まで
[00:04:17.959] ぶっ続けでやろうかなと思ったんだけど
[00:04:20.359] ドラクエでもいいぞでもなんかボテさんが
[00:04:23.960] ねそんな33時間何十時間わかんない3
[00:04:27.000] 日間配信するって言ってる裏でなんか俺も
[00:04:29.039] そんなことやってたらなんか別にいいんだ
[00:04:31.440] けど別にいいんだけどなんかちょっと俺
[00:04:34.080] ごときじゃ何のあの邪魔にもならないと
[00:04:36.120] 思うんだけどなんかなんかなとなんかなと
[00:04:40.240] 俺ごときが裏番組でやってたろやってから
[00:04:42.639] やってろうが別にボテさんには何の影響も
[00:04:44.479] ないだろうけどねないだろうけどなんと
[00:04:48.039] なくちょっと遠慮した譲った今回
[00:04:50.800] は今回は譲ってやっ
[00:04:53.520] たくそ偉そうしなくていいんだろうけど気
[00:04:56.600] になる気持ちはわかるちょっとなんか
[00:04:58.840] ちょっとねだから譲ってやったの呼んだだ
[00:05:01.240] から譲ってやったあたさん
[00:05:04.000] こんばんは
[00:05:05.560] こんばんは今日跳ねえぞおそうだな金曜だ
[00:05:08.960] もんなドラキュラやドラキュラ綾貴さんっ
[00:05:11.680] てレトロゲーム好きなんだっけ私8月9月
[00:05:14.600] 1回もドラ休じゃなかった明日も
[00:05:18.880] かわいそう
[00:05:20.600] かわいそう俺でも俺も9月入ってやっと
[00:05:23.720] 土曜日初めて休みだよお互い頑張ろうな
[00:05:26.800] 来週は多分土曜仕事や頑張ろうな
[00:05:31.319] 稼げ稼げ稼げ稼げ金はいくらてもねあれだ
[00:05:35.120] ぞ損しねえから
[00:05:40.360] な変だ
[00:05:43.280] ねどうしよっかな俺もなんか長時間配信
[00:05:46.800] 最近やってねえからやりてんだよ
[00:05:51.120] なレトロゲ座触れたことないんですよねあ
[00:05:55.199] そうなんだえでもそれでも俺の配信見てて
[00:05:57.319] くれんの優しいね何やってんだこれ思わ
[00:06:00.680] ない特にこないのなんかレトロゲームの中
[00:06:04.759] でもそうサクソのゲームやったかる
[00:06:09.599] な始めましょうまったり
[00:06:15.400] なはいどうもこんばんはちゃまゲームで
[00:06:17.880] ございますどうも
[00:06:19.680] こんばんはあそういえばあれかちょっとす
[00:06:22.440] かこれただジゲームが好きでに来てるあ
[00:06:25.680] 嬉しいこと言ってくれんじゃないですか
[00:06:27.080] どうもこんばんはやるゲムはね
[00:06:30.720] こはえこ配信ましたて何えこ配信してんの
[00:06:35.199] きさんこんばんは見て球体ディスプレイ
[00:06:38.039] 買っちゃっ
[00:06:39.720] た欲しくなって買っちゃいましたこれすぐ
[00:06:42.319] 届いた見てこれすごく良くない
[00:06:44.360] めちゃくちゃ良くないこれめちゃくちゃ
[00:06:45.919] 良くないこれ高いやつやん高全然高くな
[00:06:48.520] 全然高6000円で書いたよ中古で超
[00:06:51.759] 安かっためっちゃ良くない
[00:06:55.440] これ今デモ流してるけど超良くないこれ
[00:06:58.560] ちょっとこにいてしようと思いますこれ
[00:07:00.360] からパススルーで俺がやってる画面が同じ
[00:07:03.599] のここに出るからねいいないいでしょこれ
[00:07:06.080] えでもこれね安く帰るシルドさん
[00:07:08.400] こんばんはシさんもこんばんはで今日やっ
[00:07:11.000] てくゲームはこちらでございます
[00:07:13.000] ババン悪魔城ドラキュラ漆黒たる前走局
[00:07:17.800] これでなんとダークナイトプレリードドっ
[00:07:19.960] て読むからなあダークナイトプレリュード
[00:07:23.639] て呼ぶからなこれで悪魔女ドラキュラのね
[00:07:26.080] あのゲームボーイやってきてんだけど
[00:07:28.160] ずっとワツってゲームボイのやつそれの
[00:07:30.039] 最後のやつかな久しぶりにちょっと久し
[00:07:32.360] ぶりでもねえかドラキュラこの間やった
[00:07:34.000] ばっかなんだけどなんかやりてえなと思っ
[00:07:35.440] てこれちょっとちょっとレアレアなソフト
[00:07:37.520] なんで見てこのプラスチックの指ちょっと
[00:07:39.720] 怪我してますレアなあのあれなんだケース
[00:07:43.960] にわざわざ入れ
[00:07:46.080] てるこれはいいゲームだよやったことない
[00:07:48.639] けどやったことないんだけどまあゲーム
[00:07:50.720] ボーイだからな朝までにはクリアできん
[00:07:53.000] じゃねえかなと思いながら前もそんなこと
[00:07:55.039] したけど悪魔白ドラキュラは父親がやった
[00:07:57.560] ことあそう
[00:07:59.840] だよねやっぱ悪魔城ドラキュラいいぞ悪魔
[00:08:01.919] 城ドラキュラはちょっとこれちょっとね
[00:08:03.800] ここ分かるかなこのここがちょっと
[00:08:07.560] ぐちゃってなっててちょっと残念だったん
[00:08:09.080] だ
[00:08:10.000] けどいやいいですよいいですよ状態もよし
[00:08:14.800] 状態も
[00:08:15.960] よしこいじゃちょっともう早速やろうかな
[00:08:20.000] もったいぶってもしょうがないんでそう
[00:08:22.360] これこのこのがこれここに置いたからさ
[00:08:25.159] あのこんばんはありちゃんこんばんはり
[00:08:27.800] ちゃんこんばんはみたい書いてない書いて
[00:08:30.520] ない書いてないさすにさすがに書いてない
[00:08:33.120] 今日はね今日はね今日は悪魔城ドラキュラ
[00:08:37.360] やります漆黒たる前走局りっちゃこれ知っ
[00:08:41.560] てるかなりっちゃもドラキュラ好きだもん
[00:08:43.719] なこれ知っ
[00:08:45.600] てるま公式からないもうあのなんつうの
[00:08:49.360] 公式の歴史からあのないものとされてるの
[00:08:52.279] ブックオフ行きました荒された何もなかっ
[00:08:55.320] たまそうだよねもう何もなくなっちゃっ
[00:08:57.399] てるよねこれなくないめちゃくちゃ
[00:09:01.000] これパッケージ見たことあるぐらいあそう
[00:09:04.000] な中身初めて俺も初めてやるんだけどこれ
[00:09:06.360] 公式からあのなかったことにされてるから
[00:09:08.399] ねこれねこれなんか公式からなかったこと
[00:09:11.680] にされたゲームですちょっとやってみよう
[00:09:14.519] ぜあもちゃんこんばんはもちゃん大丈夫
[00:09:17.399] 体調大丈夫か大丈夫どうもこんばんは今日
[00:09:20.760] はドラキュラがやりたいんでドラキュラを
[00:09:24.240] 朝までまったりやろうかなとおとり待ぜ
[00:09:27.040] おとり待っぜ行きます
[00:09:31.600] あごめんちょっとこれはあのこれは関係
[00:09:33.560] ないこれこれは全然関係ない買ったことに
[00:09:35.959] されてるかわいそうなゲムそうなんだよ
[00:09:38.399] そうなんだよこれなやる
[00:09:43.079] わちゃまくにやって欲しいかもしれない
[00:09:46.279] 何何何どうせパウパトだろこれ見て
[00:09:49.320] めっちゃ良くないこれこれめっちゃ良く
[00:09:50.959] ないこれめっちゃ良くないこれ見てほら
[00:09:52.399] ほらほら超よくないこれこの球体
[00:09:56.839] ディスプレイはい来た悪魔レイザー
[00:10:00.640] ルネサンスえ出た出た絶対やりたいやつ
[00:10:03.519] それそれ絶対やりたいやつなんで知ってん
[00:10:05.959] の逆になんで知ってんのそれ
[00:10:07.800] アクトレイザールネサンスやろうかなと
[00:10:09.320] 思ったんだよねアクトレイザールネサンス
[00:10:12.120] やろうかなと思ったんだよねなんで知っ
[00:10:13.360] てんのもちゃん知ってんだ行きます悪魔女
[00:10:16.360] ら漆黒たる前走局ニューゲームロードこれ
[00:10:19.640] セーブ機能ついてるらしい驚きだ
[00:10:24.399] なゲームセレクト昨日プレステストア見て
[00:10:27.600] いたら見つけたよなあれああのリメイク
[00:10:31.000] でしょアクトレーザーのスタンダード
[00:10:33.399] モードでいいか
[00:10:34.880] なやっぱ知っていたんだねいやそりゃ
[00:10:38.800] もう俺は狂気と絶望に支配されたトラン
[00:10:43.760] シルバに希望の光を与えた1人の少女の
[00:10:47.720] 戦いの物語であるいいですねいいですね
[00:10:53.240] めっちゃいいこれこれめっちゃ良くない
[00:10:56.639] これこのディスプレイめちゃ良くない今
[00:11:01.519] やってるおすげえグラフィック
[00:11:04.680] グラフィックめっちゃ良くない
[00:11:07.519] セクシーこれねすごい主人公がね女の子な
[00:11:11.040] んだよこれすごいでしょこれすごいしょ今
[00:11:13.240] やってるのがあのパススルーで出てるわ
[00:11:15.880] 買ったんですよねこの球体ディスプレイっ
[00:11:18.240] て
[00:11:19.160] いううわ曲あれや曲あれ
[00:11:23.240] だでもなんか思ってより
[00:11:26.279] グラフィックなんかグラフィック始唐突に
[00:11:30.000] 始まったけどゲだよすごいでしょどういう
[00:11:34.720] 価格だかわかんないけどすげえんだよこ
[00:11:37.720] ちょっと音大きしよ音大きくしていい音
[00:11:39.920] 大きくしたい映像
[00:11:44.800] キャプチャー大きくしてななんか
[00:11:46.880] ちっちゃいちっちゃい気
[00:11:48.519] こはこんばんは
[00:11:54.279] よいしょわ始まったなドラキュラだな
[00:11:57.160] やっぱな
[00:11:59.880] でもなんか思ったよりなんか主人公の
[00:12:03.680] 女の子だったお
[00:12:05.920] 疲れエねエドねあボちゃんお疲れボちゃん
[00:12:09.800] お
[00:12:10.839] 疲れエドワー見たかったなんでかなんか
[00:12:14.800] これさパッケージ詐欺じゃないなんかう
[00:12:19.399] こんななんかすげ美人のさ美人の女戦士
[00:12:22.680] みたいな顔してんじゃん何このなんか風の
[00:12:25.240] 達人こういう髪なんて言んだっけああ
[00:12:29.160] カンフの人がやる
[00:12:31.279] 発なんかこれパネルマジックじゃねえかよ
[00:12:34.760] これパネマジ来たなパネマジやっぱここや
[00:12:40.639] なベルモンド系は脱ぐことで有名ボテちゃ
[00:12:44.079] 明日頑張ってね明日から明日から頑張って
[00:12:47.199] ねケツ出すなよケツ出すなよマジで気を
[00:12:50.440] つけてね寝るって言ってたけどつなぎ来て
[00:12:53.440] 寝た方がいい
[00:12:54.519] ぞこの時間の
[00:12:57.680] ゲに絵が出ますよあそうなボテちゃんケツ
[00:13:02.440] 出してねそうだな気持ち悪なんだ
[00:13:07.600] この一緒にケツ出そうスーツの用意しとけ
[00:13:10.399] スーツスーツスーツの用意しといた方が
[00:13:12.680] いいよどうせ謝ることなんだから謝ること
[00:13:15.639] になるんだからスーツの用した方がいいぜ
[00:13:18.519] てかこれめっちゃいいこれめっちゃいいわ
[00:13:21.600] 良かったこれこれめちゃくちゃ良くない
[00:13:25.199] このリアルタイムでパススルーでさ
[00:13:35.040] やっぱドラキュラだよ
[00:13:37.560] な何
[00:13:39.800] このなんかグラフィック変なななんか万し
[00:13:43.079] たのあこれ6000円ぐらい6000
[00:13:45.800] ぐらい低下4万ぐらいすんだけど低下4万
[00:13:49.079] ぐらいすんだけどこれ2010年ぐらいの
[00:13:50.839] 商品だからも中古で超安かっ
[00:13:54.519] た深く深く開いたって無駄や深く履い
[00:13:59.720] たって無駄や発熱すごそうあどうなん
[00:14:04.240] だろうそんなに長い時間使ってないから
[00:14:05.680] わかんないけど今日使ってみてちょっと
[00:14:08.399] わかんないけどやってみてだね
[00:14:09.920] めちゃくちゃ爆発しそうだったらもう爆発
[00:14:13.079] しそうだったら使うの
[00:14:14.440] やめるああなんでなんで今の何がダメだっ
[00:14:21.440] た
[00:14:22.600] 今やっぱこの時間のちゃまでわ分かったよ
[00:14:27.480] 分かって今日買ってきたのうんうん
[00:14:29.880] ちょっと前に頼んでた頼んであの来てたん
[00:14:33.600] だけどめんどくさくて開けてなかった昨日
[00:14:36.880] 配信なかったから昨日配信なかったから
[00:14:39.639] ちょっとやって
[00:14:42.199] たそれに伴ってちょっとねあの部屋もね
[00:14:45.199] 模様模様替えってほじゃないんだけど
[00:14:47.839] 模様替えってほどじゃないんだけどあの
[00:14:50.079] ここにあったラバラバライトっていうあの
[00:14:52.199] さ熱熱でさあれするやつが後ろに行ったわ
[00:14:55.800] 後ろに行ったのとあの壁壁のあれを
[00:14:59.320] ちょっと変えためっちゃ良くないあの
[00:15:00.680] レコードを飾ってんのめっちゃおしゃれ
[00:15:02.639] じゃないあれそうでちょっとね色ちょっと
[00:15:05.120] 色々変えたあんま気づかねえと思うけど
[00:15:07.880] すごいいいでしょやっぱカボコボコカフェ
[00:15:10.519] ボコボコって言うのよおしゃれでやってん
[00:15:12.800] だよおしゃれでやってんだ
[00:15:15.480] よやっぱ配信部屋をカスタムするのはいい
