[00:01:15.960] ああああああああ映ってますか映ってる
[00:01:22.079] ちょっと待ってちょっと待って
[00:01:23.799] ねちょっと待ってね
[00:01:34.000] あああああおいたおいたよかったもうくそ
[00:01:39.280] 時間かかったわちょっと待ってくださいね
[00:01:41.479] ちょっとまだかかるわちょっと待って
[00:01:44.520] なんかもうくそめんどくもうなんなんだよ
[00:01:47.439] もうめどくさちょっと待ってくださいね
[00:01:50.719] ちょっと待ってください
[00:01:58.039] ねよし
[00:02:00.399] よしなかBGMと
[00:02:02.320] かえ棒読みちゃん不在なんでちょっと待っ
[00:02:05.680] てなんでよなんでよ
[00:02:13.160] もう
[00:02:19.360] あ時間はたくさんあるからまたあり行こか
[00:02:23.920] ああ
[00:02:30.440] 入った
[00:02:33.680] オ来
[00:02:35.879] た辛
[00:02:37.920] すぎる
[00:02:41.200] しんどいしんどいわしんどいしんどい
[00:02:44.480] しんどいはいどうもこんばんはおうござい
[00:02:47.480] ますおはようございます映像に遅延があっ
[00:02:50.519] てちょっと俺わかんないんだけど入った
[00:02:52.760] どうもアルツくこんばんはちゃん
[00:02:54.800] こんばんはちゃんこんばんはさんも
[00:02:56.800] こんばんはどうもと申しますお待たせし
[00:03:00.239] ましたすいませんねすまんねあのニアス
[00:03:03.159] ネットワークさんだどうもこんばんはえ
[00:03:04.720] 今日はですね何をするかと言うとですね
[00:03:07.959] あとね
[00:03:10.280] えーハンバーグを作ろうかなとなんか
[00:03:13.959] カメラの位置ちょっとちょっと変えよう
[00:03:16.640] こんばんは昼です俺も棒読みねえの
[00:03:19.599] しんどい
[00:03:20.879] なおちょっとね今ちょっと
[00:03:25.720] おつ今日はこちらのゲームソフトを私腐っ
[00:03:30.480] てもゲーム配信者なんでゲーム配信者なん
[00:03:33.400] でこれをね使ってね今日はゲーム
[00:03:38.760] を音声入っ
[00:03:42.200] てるお料理来たあシは好きだよ俺も俺も鮭
[00:03:47.080] は好きだよ俺もシャはちょっとさ何かった
[00:03:50.200] かちょっと説明しようか
[00:03:51.760] な何あったかちょっと説明していい何この
[00:03:55.599] 可い
[00:03:57.239] 包丁可愛いだろこの包丁1人暮らし始めて
[00:04:01.040] からずっとこれ使ってんだいやもうやっと
[00:04:03.640] 始まったもうくそ大変だったわ
[00:04:05.920] めちゃくちゃ大変だったごめんなさ遅く
[00:04:07.519] なっちゃっためちゃくちゃ大変だっ
[00:04:12.959] た色々買ったんすよまず
[00:04:18.560] ねお料理完成しましたゲちっちゃいまそり
[00:04:22.759] そうだよねこれ多分拾えないよ
[00:04:25.520] ね拾えないよ
[00:04:28.720] ね拾えてないのかな音BMすんません
[00:04:33.840] BGMちっちゃだもうこれ上上がんねえ
[00:04:36.120] もんだってこれ以上上がんねえんだよけ
[00:04:38.960] おじどかじゃ
[00:04:45.440] えっとゲーム音は無理だと思うよほど
[00:04:48.800] 近づけないとちょっと待ってねこて
[00:04:53.240] さこて使えんのか
[00:04:56.400] なあ使えねえか
[00:05:02.960] えないよ
[00:05:10.840] なちょ待っ
[00:05:12.880] てねもうなんかもうめんどくせえま声は
[00:05:17.919] 聞こえてるから良いんじゃないこはヘドン
[00:05:21.400] これやばいかもしに
[00:05:23.639] 聞えるカカに
[00:05:28.639] 聞こえる聞えねえんだよな音がもうこれ
[00:05:31.160] 以上上がんねえんだ音がちょっと待って
[00:05:38.479] ていやもうちょっと待て面倒くえ
[00:05:51.319] なちょっと待って
[00:05:54.680] ねちょ待ってスピーカーつげたらワン
[00:05:57.800] チャンかな
[00:06:02.199] えも拾えないよなでもこれ
[00:06:08.000] なお料理配信と聞い
[00:06:26.400] てキッチン広いね
[00:06:33.319] いや入んねんよなこれ
[00:06:35.680] なゲームも無理だねこれ以上上がんねえわ
[00:06:39.680] ゲーム上がん
[00:06:42.240] ない
[00:06:44.240] スピーカーいいスピーカーがねえんだよ
[00:06:46.919] いいスピーカーがねえだ待って違これ普通
[00:06:48.960] に今住所映ってるからスーパーの住所が
[00:06:52.240] 映ってるからさお疲れ様だいやもう普段
[00:06:54.960] 慣れねえことやってっからなこれななれ
[00:06:56.759] ねえから
[00:06:58.520] さおすいませんねあいておはようみ
[00:07:01.879] おはようあいちゃんもおはようええも拾え
[00:07:05.000] ねえのか
[00:07:06.199] これどにが拾いたいんだけど
[00:07:10.080] なこれじゃだめ
[00:07:12.840] かなんかスピーカーないんか
[00:07:24.039] なちょっと待ってね
[00:07:27.400] こんちはすげえめどくせえけどちょっと
[00:07:29.800] 待ってもおめど
[00:07:33.240] くせえヘッドホンでもあればマイクに
[00:07:36.039] 寄せることでいけるか
[00:07:53.360] もこんにちは
[00:08:01.520] ハウリングしないか
[00:08:23.599] なごめんねちょっとこて今違う部屋にいる
[00:08:27.199] んだけどちょっとスピーカーないか
[00:08:32.880] ななんかなげなんだよねちょっと待って
[00:08:36.680] ちょちょっとごめんちょっと時間くれもう
[00:08:38.599] めんどくせえああめんどくせえな
[00:08:42.479] ええわかん
[00:08:46.519] ねえあれケーブルねえんだよ
[00:08:53.640] な無理かなこれゲーム音ちょっと
[00:08:57.120] ちっちゃいまんま行くしかないかもな
[00:09:00.200] デモちっちゃいまま行くしかねえかもしん
[00:09:04.360] ね申し訳ねえんだけどちょっとねあれが
[00:09:08.560] ないわ線
[00:09:12.800] がちゃまさんが見れたらそれでいいです
[00:09:16.000] これでいいです
[00:09:18.240] かゲーム音はもういいから作ろう笑
[00:09:35.839] その代わりになんかBGM流すと
[00:09:38.880] か裸エプロンでハンバーグを作るママさん
[00:09:42.480] が見れたらそれでよいですすげえ疲れちゃ
[00:09:44.800] たよちょっと待っそれでもいいと思うよお
[00:09:46.839] ちゃまさん読みでもいやないよ
[00:09:51.200] なゲーム音はませこれで行くしかねえかも
[00:09:59.480] 線ねえんだよ
[00:10:00.800] なオスオスのさクラの線がどっこにあるん
[00:10:04.640] だけど
[00:10:06.959] ななくなっちったか
[00:10:11.760] な疲れたしウーバー
[00:10:20.480] たまん
[00:10:24.240] 笑笑お腹空いたっしょ
[00:10:30.399] お腹めちゃくちゃお腹空いたよ
[00:10:33.000] めちゃくちゃもうウパ頼ねえや
[00:10:35.839] もうわねえよせがもうめんどくさい草もう
[00:10:41.399] もう
[00:10:51.760] めんどもう疲れはててる笑マイク
[00:11:08.680] ああもうもう勘弁してくれもう勘弁して
[00:11:12.760] ほしい完成品はこちらですってウーバー
[00:11:15.040] 出すの今これスーパーのさ住所映ってっ
[00:11:19.160] から
[00:11:25.240] さはいこれ
[00:11:27.680] どうこれどうくそうるせえけどな俺んとそ
[00:11:32.240] うるせえけどなうるさ
[00:11:37.600] とりあえず音
[00:11:40.360] どうどうな
[00:11:42.320] これれこれはでかい文句多いの文句が多い
[00:11:46.399] のこれが限界
[00:11:48.880] ですなんとか言ったわなんとかなん見つけ
[00:11:52.440] たわうまい
[00:11:53.600] ことうまいこと見つけた
[00:11:56.000] わがゲムの設にってるの笑が取れないその
[00:12:01.279] 通そのっているのその通りなんだ入らと
[00:12:06.920] 笑いとが減るから音さちょっと下げてく
[00:12:09.680] からいいとこで言ってくんねどうすか
[00:12:12.240] こんなもん音この電気いらねんじゃないら
[00:12:16.600] なくないここまででも笑いが取れてるけど
[00:12:20.320] 笑こっちの方がいい
[00:12:22.639] なキッチン広いなりにお料理でん
[00:12:30.920] 途切れ途切れ
[00:12:35.320] [音楽]
[00:12:41.240] ちょっと待っててもうめどくせえじゃか
[00:12:46.480] [音楽]
[00:12:52.399] なカメラのマイクだからびれちゃうのかね
[00:12:59.639] 包丁でコード切り
[00:13:03.850] [音楽]
[00:13:20.560] すこれど
[00:13:23.639] よこれどうす
[00:13:26.800] かこれでどうでしょうか
[00:13:29.610] [音楽]
[00:13:32.920] ゲムかなりでかい
[00:13:35.440] けどこれさゲーム音もこれで
[00:13:38.680] いいいいすかいいっすねもう行きます
[00:13:44.360] よ始める
[00:13:46.800] ぜミでもうなうるせえなもうこれでどうよ
[00:13:53.240] これでどうも下げるも下げん
[00:13:57.160] のこれでいいか
[00:13:59.560] これで行くぞ
[00:14:02.399] オオいい感じいい感じよし始めます今日は
[00:14:07.920] え茶生まれて初めてハンバーグを作ると
[00:14:11.360] ことでですねえやらせていただきますけど
[00:14:13.759] もここに取り出したりますわこっちがいい
[00:14:17.120] かこっちの方がいいか電気あった方がいい
[00:14:19.000] かな電気あった方がいいかな電気あった方
[00:14:21.600] がいいか
[00:14:23.600] えここは隠さそうなんですけどここは隠す
[00:14:26.720] んだ
[00:14:28.040] けど豚肉をですね買ってきましたよ牛豚
[00:14:33.000] 挽肉を買ってまりまし
[00:14:35.480] たえ挽肉だけでハンバーグいや色ってきた
[00:14:38.680] よもう見えてたまいっかまいっかまいっか
[00:14:43.360] じゃこれ向こうもう向いちゃう
[00:14:45.519] ぜ向いちゃおう
[00:14:47.920] ぜよいしょほらはいこれと今日色買ってき
[00:14:53.639] たんだ
[00:14:54.600] よ買ってきまし
[00:14:56.320] [音楽]
[00:14:58.040] たまハンバーグから下してく感じでいいの
[00:15:01.320] ハンバーグからでいい
[00:15:02.800] のバーグハンバーグバーグでいい
[00:15:06.440] のえでもハンバーググってこんなもんじゃ
[00:15:09.199] ない
[00:15:09.420] [音楽]
[00:15:11.079] のハンバーグはいこれと卵とはい
[00:15:16.800] 卵あれえ
[00:15:20.240] つなぎつなぎって何あとなんかちょっと俺
[00:15:23.560] 見てチーズ入れようと思ってチーズ買って
[00:15:25.759] きたちょっと我慢できず食べちゃったけど
[00:15:27.320] 我慢できずに食べてますチーズ買ってき
[00:15:30.680] たつなぎて何つなぎてどれあこれだろつ
[00:15:36.240] これでしょこれ買ってきたよ
[00:15:38.040] これこれだ
[00:15:40.160] これ買ってきましたよこれ生
[00:15:44.000] パン粉えつなぎってこれだけでいいん
[00:15:47.360] でしょつなぎってこれだけでいいんだよね
[00:15:50.959] ままずはさDSお料りナビなんだ
[00:15:54.800] からハンバーグ行きましょう
[00:15:57.520] [音楽]
[00:15:59.360] 玉ねぎはまずはを切りとりあえず先生にき
[00:16:04.800] ましょうのハンバー
[00:16:09.279] でおりナビの通りにやればいいよな
[00:16:12.040] とりあえず
[00:16:13.920] なえもうこれ作る行っちゃっていい
[00:16:16.870] [音楽]
[00:16:19.720] のおいしいハンバーグを作りましょう
[00:16:22.440] よろしくお願いします
[00:16:24.880] の板
[00:16:27.920] 包丁みますちょ声
[00:16:31.680] 大きくまず玉ねぎを刻み
[00:16:34.680] ますあのそうあの玉ねぎの刻み方がわかん
[00:16:38.040] ないですけど先生先生玉ねぎの刻み方が
[00:16:40.600] わかんない
[00:16:42.360] です始まった始まりました今日はこれ
[00:16:46.079] こいつと一緒にハンバーグを作ってき
[00:16:48.880] ますはいじゃねえんだよぎをはいわかり
[00:16:52.560] ましたちょちょっと待ってくださいちょ
[00:16:55.120] ちょっと先生ちょっと待って先生ちょっと
[00:16:56.560] 待って片付けるから待ってちょっと待って
[00:17:00.399] えっとまずうるせえなあの玉ねぎ用意し
[00:17:04.880] ました玉ねぎこちらをね用意しましたよ
[00:17:07.120] 玉ねぎってこれどこまで向くのよまずそっ
[00:17:09.079] からだぜ玉ねぎってどこまで向くのよこれ
[00:17:12.400] これがおめえに言ってねえはいじゃねえは
[00:17:17.880] ちょ待っ待って待って待って待って待って
[00:17:19.720] おいまだ待って
[00:17:22.799] ください待って
[00:17:24.799] くださいお前
[00:17:32.559] こいくれマジで笑笑んじゃねえよえこれさ
[00:17:36.799] これどうすんのこれ茶色いところが
[00:17:38.679] なくなるまで向けばいいの茶色いとは
[00:17:40.760] とりあえずえいつまで向くのこれってこれ
[00:17:43.520] どこまで向くんすかどこまで行くんだろ
[00:17:46.000] これ笑待っ
[00:17:50.679] て
[00:17:52.640] はい皮を抜いた玉ねぎをぎりにして
[00:17:56.159] ください何も言ってねえよ俺まだ何もして
[00:17:58.440] ねえや
[00:17:59.799] やすい
[00:18:00.960] はいでは玉ねぎの皮をちょ早いよ早い何し
[00:18:06.480] てんだよこいつまだか向いてる向いてる
[00:18:10.159] 先っちょ切ったら切りやすいまでけばいい
[00:18:12.679] と思いますさ先っちょ切ったら無理やすい
[00:18:14.919] 向きやすいここここ切るのここねここここ
[00:18:17.240] 切ればいいみんなここ切っていい先生す
[00:18:21.480] まず玉ねぎを刻みますここ切ればいいと
[00:18:24.360] 包丁を用意してください切り
[00:18:27.280] ますはい切りました
[00:18:29.640] あでこっから向けばいいのねこんにちは
[00:18:32.120] このお
[00:18:33.280] 料理
[00:18:35.039] ですあ戻っ
[00:18:37.520] た俺さこいつと仲良くできる気がしねえん
[00:18:41.000] だけどこいつ仲良くできる気がし
[00:18:45.610] [音楽]
[00:18:49.360] ねえ全然向けねえんだけどどうやったら
[00:18:51.919] うまくむけんのこっちはいいのこっちは
[00:18:54.280] こっちもこっちもいいの向いちゃってここ
[00:18:56.640] も向いちゃっここも切っちゃっていいの
[00:18:59.240] 料り配信もネタバレなしでどうす
[00:19:01.039] こんばんはいいよね
[00:19:03.400] オ
[00:19:05.000] はいそっち来た方がいい切り
[00:19:09.640] ますここまで向けばいいでしょここまで
[00:19:12.720] 向けばいいよね画質いい
[00:19:14.760] な画質いいや手元カメラのここまで向けば
[00:19:18.840] いい
[00:19:20.120] でしょ玉ねぎてさなんか玉ねぎってなんか
[00:19:25.679] あれらしいよな玉ねぎのゴミはさ速攻
[00:19:29.120] 片付けないとゴキブが寄ってくるらしい
[00:19:30.840] じゃん一番大好物らしいぜゴキブリの
[00:19:34.559] 玉ねぎの皮
[00:19:36.799] がらしいよ玉ねぎ
[00:19:41.000] はちょっと待っ
[00:19:44.760] てはいはいはいはいはいはいはいこうきれ
[00:19:48.520] てか
[00:19:49.559] でけえでけえめちゃくちゃ
[00:19:52.400] めちゃくちゃでけえ
[00:19:55.640] なこゴミってどうすんのこれ
[00:19:59.799] ゴミってこれどうすんのこれゴミゴミ袋
[00:20:02.559] みたいの作た方がいいか
[00:20:04.240] これゴミ袋にしようこれゴミ袋にしここ
[00:20:09.020] [音楽]
[00:20:13.440] なキッチンが狭いんだよねナチュラル
[00:20:19.440] に見たら
[00:20:23.080] 分かる均やえでもて結構有名なやつだよ
[00:20:26.840] なんかわかんないけどやってパってきた
[00:20:30.600] 包丁泥棒しきたはい来ましたこれどうす
[00:20:34.440] かそうもう作るって言ってんじゃんの
[00:20:37.600] キッチン
[00:20:38.720] よい広い方かなこれおいしいハンバーグは
[00:20:42.159] おいしいハンバーグ作りましょうよろしく
[00:20:43.240] お願いします改めてよろしくお願いします
[00:20:45.280] のね
[00:20:48.120] はいまず玉ねぎをみますはいまな板と包丁
[00:20:52.520] を用意してくさいはいはい
[00:20:55.240] はい燃やす
[00:20:58.720] では玉ねぎの皮を向いてくださいオッケー
[00:21:02.240] オッケー
[00:21:03.960] はい皮を向いた玉ねぎをみじん切りにして
[00:21:07.559] くださいみじん切りってどうやんのにも
[00:21:09.799] スポみじん切りってどうやるんですかん
[00:21:13.080] みじん切りってどうやってやるんです
[00:21:15.679] かみじん切りってどうやってやるんですか
[00:21:19.320] みじん切りってどうやんのみんな
[00:21:21.200] みんなみじん切りってどうやってやるんだ
[00:21:23.279] なみじん切りってどうやってやるんだ
[00:21:25.120] ページあるよみじん切りってどっから
[00:21:29.320] てくれどっから攻めればいい
[00:21:31.720] のうるせえからこいつちょっとどっから
[00:21:34.360] 攻めればいいのみじん切りって半分にきん
[00:21:36.120] のねオッケー半分で切ね半分ちょ待って
[00:21:38.120] わかったごめんBGM
[00:21:39.919] かけようBGMかけようぜBGMかける
[00:21:44.480] わドス先生成された笑笑半分に切り
[00:21:49.360] ましょう横に寝かして玉ねぎを半分に切っ
[00:21:53.000] てまず服を脱ぎます先生のんが煽りでしか
[00:21:57.240] ない笑笑敵をつけてねちゃまさんいちいち
[00:22:01.279] 面白いこと起こしすぎでしょう
[00:22:14.440] よ配信にBGMなのきついなと思っ
[00:22:18.039] て手気をつけてねありがとうえ半分に切っ
[00:22:22.600] ていいのね半分に切りますよ
[00:22:25.960] はいおい
[00:22:28.919] はいはいはいはいはいはいはいはいはい
[00:22:31.679] はいはいはいこんな感じよとりあえず半分
[00:22:34.080] 切りました今玉ねぎが半分になりました
[00:22:37.279] そんで逆って
[00:22:38.960] 何逆って何逆にして逆にするここう
[00:22:44.919] ねにはいはいはいはいはい
[00:22:48.720] はい涙出てくる玉
[00:22:51.159] でここうこうでいいのこうでいいんだよな
[00:22:57.080] 芯をくり抜くて何を
[00:23:05.240] えてどれどれこと言ってんの
[00:23:08.679] 真ん中白飛びしちゃってて見えねえかも
[00:23:10.960] しんないな私そのま食べてる抜かなくて
[00:23:20.080] いも食べいいよなわかんけど
[00:23:25.080] くい
[00:23:27.480] [音楽]
[00:23:28.880] 矢印そもい
[00:23:32.060] [音楽]
[00:23:36.720] ね
[00:23:40.440] てく
[00:23:46.679] よってんかこれ
[00:23:49.720] でこなんかなんかスライススライスなっっ
