[00:00:44.559] おはようおはようはいさ
[00:00:48.879] おはようよし今日はねちょっともうあの
[00:00:53.640] なんだっけラストハルマゲドンちょっと
[00:00:58.120] ちょちょっと今日はラストはちょっとお
[00:01:00.519] 休みして違うゲームやろうと思います
[00:01:04.360] さすがにな
[00:01:06.960] うんせっかく昼間からやるしよよく寝まし
[00:01:09.680] たかよく寝たねかなり寝たあ昨日ね
[00:01:12.040] ちょっとね家族で飯行ってて久しぶりに
[00:01:16.640] うんよく寝たわ
[00:01:38.799] おはようございまおえりちおはようえりち
[00:01:42.439] おはようちょっと昼間から配信しますわ
[00:01:45.799] 珍しく今日ボテラジあるからちょっとその
[00:01:48.840] 1時間ぐらい前ぐらいまでやろうかなうん
[00:01:51.759] ボテラジがあるんででま夜も配信するんだ
[00:01:54.399] けどボテラジ手前までちょっとこれやって
[00:01:57.759] うんでボテラジやってあのねままた夜も
[00:02:01.520] ちょっと配信つけようかなって今日はね
[00:02:03.719] プリンセスメーカーをやろうかなと思い
[00:02:06.320] ますようんどんなゲームなのか全くわから
[00:02:08.959] んああやPCまたPCエンジンなんだけど
[00:02:11.879] あのこないだのラストハルマゲドンと一緒
[00:02:14.080] ままだあれも続きやんなきゃいけねんだ
[00:02:15.560] けどさもうやんなきゃいけないになってる
[00:02:17.000] からねいつの間にかあんなに楽し楽しい
[00:02:20.879] 楽しいてつたになんかもうやんなきゃいけ
[00:02:22.560] ないになってる怖いっす
[00:02:26.360] ねあれ長そうやもんな
[00:02:30.200] 今日はちょっとたまには違うゲーム挟んで
[00:02:32.000] ちょっと気分転換じゃないけど
[00:02:33.800] さシられてるラス
[00:02:36.879] ハゲ年末までにクリアしねえと俺あれやだ
[00:02:40.000] ぜ持ち越しはあれ持ち越しはしんどい
[00:02:53.400] ぜ何時からだっけボテラジ今日2時から
[00:02:56.720] 始まんの
[00:02:57.760] か12時からじゃねえんだな
[00:03:00.480] だ確かね14時からだわしは19時から
[00:03:04.360] 20時の1時間やるんでねよかったらね
[00:03:06.319] そちらもよろしう頼んますわ14時からっ
[00:03:10.360] すねあ何何話すかとか何も決めてねえけど
[00:03:14.040] な何も決めて
[00:03:17.130] [音楽]
[00:03:20.360] ねえまどうにかなるでしょちょっとやっぱ
