[00:00:00.280] 詳しい
[00:00:01.320] でしょおはようの
[00:00:04.000] たおはようで
[00:00:08.360] ござるゆがこの曲何この曲ナンバリング何
[00:00:12.679] テ
[00:00:13.920] モルゲンこの曲
[00:00:20.119] 何これもメタッピーク戦んだよ
[00:00:24.000] な66かやっぱ6BGMいいな
[00:00:30.080] 6めっちゃBGM良く
[00:00:35.879] ない邪魔ゲームがおならを椅子のって嘘
[00:00:39.280] ついたのが世界で2番目の
[00:00:42.079] 嘘くだらねえ嘘だなくだらねえ嘘つくなよ
[00:00:47.640] 笑笑ダーマ神殿だっけ皆様おはざますです
[00:00:52.559] あこれダーマ神殿笑笑
[00:00:55.280] 笑笑ドラクエで2の次に好きなのが6
[00:01:02.160] あそう
[00:01:03.839] なん6はね俺ね途中までしかやってねえん
[00:01:08.040] だよなんか繋がったらしくなっちゃって
[00:01:09.479] やめちゃったんだよな配信でやろうと思っ
[00:01:12.040] てる
[00:01:16.960] わ普通にナンバリングのドラクエやりてえ
[00:01:19.720] わなんか縛りとかなしで普通
[00:01:21.960] に楽しみながらやりたい
[00:01:32.159] これも多分6は最初にやったドラクエだわ
[00:01:35.960] あそうなん
[00:01:38.759] だ
[00:01:40.560] ストーリー
[00:01:43.040] メリクリメリクリやさんは縛りより耐久の
[00:01:46.479] 印象
[00:01:48.520] ああそうか
[00:01:55.159] なまあ耐久っていうかがあるはず配信し
[00:02:00.240] てるだけで別に何時間眠れませんなんてに
[00:02:03.680] 体験始めるしな笑笑ああの普通になあの何
[00:02:07.280] の告知もなしに24時間とか平気でやるん
[00:02:09.759] で時間があればね別にだって家に1人で
[00:02:13.640] いるのも配信つけても変わんねえ
[00:02:23.120] じゃんだからドラクエとかやったらねそ
[00:02:25.920] ちゃんも同じだよねそうだよね別になんか
[00:02:30.959] そのいつから配耐久配信しますみたいな
[00:02:35.239] そういうのいらね10時間が限界だった
[00:02:38.800] それがどんどんどんどんあれなんだよ2
[00:02:41.879] こええぞそっからどんどんどんどん伸び
[00:02:43.800] てくよ俺だって最初俺なんか最初毎日2
[00:02:47.720] 時間しか配信しなかったんだぞ
[00:02:49.440] YouTubeでやってる時2時間だよ短
[00:02:52.120] すぎるだろそれで限界だったいもう疲れた
[00:02:56.000] つって9時から12時までやって終わりだ
[00:02:58.640] よ3時間か
[00:03:00.360] とか今じゃな4時間土日になったら何時間
[00:03:04.360] やってんのもう10時間やってんのアホ
[00:03:07.599] やしかも寝ないでホちゃうほんま昨日仕事
[00:03:11.519] だったんだよ俺もう26時間ぐらい起きて
[00:03:14.720] んだから今こんな元気だけどコメントの力
[00:03:17.599] 絶対
[00:03:19.840] あるねといながら時間配信だから喉の強さ
[00:03:24.319] にるはめ
[00:03:27.599] 強いアホだね
[00:03:30.879] 喉はめちゃくちゃ強いやっぱデスボイスと
[00:03:32.879] かであの鍛えられてる
[00:03:36.280] からそう簡単にぶっ壊れる喉じゃねえよ
[00:03:39.200] アホとは言わんけど中毒やね中毒つうかう
[00:03:43.959] 別に
[00:03:44.959] なんかそうだよアホだよパークマンサー
[00:03:49.560] マークパンサーパーク
[00:03:56.000] マンサーやべえ進まなくなってきた
[00:04:03.790] [音楽]
[00:04:09.720] デスピサロの素材こんなもんかこれどこの
[00:04:14.190] [音楽]
[00:04:18.359] コーナーどこにすっかなこれあごめんこれ
[00:04:21.160] は見つかったわこれどこのコーナーやろう
[00:04:24.280] とすると見つかるんだよ
[00:04:26.199] なこれどこのコーナー
[00:04:30.960] これどこやろうとすると分かるさん
[00:04:33.120] おはようさんおはようおはようわるん
[00:04:37.000] おはようわた見て頑張ってない
[00:04:39.880] めちゃくちゃめっちゃ頑張って
[00:04:43.840] ないまさかちゃまゲームこんなできると
[00:04:46.240] 思わなかった
[00:04:47.840] だろしかも文句言わずに楽しんでやってる
[00:04:50.840] からねそれがでかいっすよ
[00:05:01.120] ちょっとわかんない文句行ってねえのかよ
[00:05:03.680] 文句全然行ってない楽しいもんいえ
[00:05:06.800] よ嫌じゃん好きなイラストなら向いてるの
[00:05:10.280] かもしれないですね殴りたい衝動はなく
[00:05:13.400] なるくらい頑張っ
[00:05:15.039] てるなんで殴りたい衝動があるんだよまず
[00:05:18.160] そっからなん
[00:05:20.560] だろ全然文句言ってないねうん楽しい
[00:05:30.199] どうすかドラゴン作るか次ドラゴン行って
[00:05:33.600] みる1回ぶっ壊しかけてた
[00:05:37.360] けどドラゴン作ってみるかその辺この辺
[00:05:40.440] ドラゴンなんだよねていうかねちげえあれ
[00:05:43.639] が
[00:05:44.400] 邪魔邪魔ちゃんやればできる子おこさん
[00:05:48.280] でしょちょっとなんか昨日今日耐久してる
[00:05:51.319] 人多いな
[00:05:52.840] 笑何なんだろうな何が俺たちをそんな書き
[00:05:56.120] たてるんだろうなこのクリスマスとかいう
[00:05:58.160] イベント
[00:06:02.039] キラマやってみていい
[00:06:07.280] キラマこの辺キラーマシンなんだよな多分
