[00:00:03.000] よしナイスエに隠しコマンドあるんだって
[00:00:06.399] 知らなかったわ
[00:00:09.280] 笑バだ
[00:00:15.960] あナイスナイスナイスナイスあいいいい
[00:00:20.519] いいいいコントラコントラしてるぜ
[00:00:30.679] るラくるくるだよああバたねよしよし
[00:00:34.680] ナイスナイスナイスナイス
[00:00:37.559] よゃこれ武器大事にしてえぞ
[00:00:41.120] ここああ
[00:00:47.600] ごめ
[00:00:52.280] せ左側は大体
[00:00:55.480] 大よにするもうここでこれカバーあ
[00:01:01.000] ごめ抜けてきたおらおらおらら
[00:01:05.400] おら抜けてきたやつ
[00:01:08.240] やっやあうっとるやんなんかおおお
[00:01:13.840] うまいうまっとるやんよしよしよしよし
[00:01:17.240] よしよしよしよしよしザキあ11あんだ
[00:01:21.560] 1111ある
[00:01:23.640] ねええやないか
[00:01:26.840] いを壊しよこれ敵のポイントを
[00:01:33.000] 目すこの機能ねこのためにあるもんねあ
[00:01:37.280] そういうことねうんこれファミコンのマイ
[00:01:39.600] クってこれやるために
[00:01:41.960] あるここ自力で超えたことないよねない
[00:01:44.960] ここで挫折してあの残機増やしたんだよ
[00:01:48.920] ここマジえぐいの
[00:01:54.159] ね爆弾これから
[00:01:58.240] きいやもう
[00:02:00.560] もう何に当たったこれもうこれ爆爆風が
[00:02:04.200] すげえ残るんだよこれ
[00:02:07.360] あバカちん女女女女女女女女女女女撃て
[00:02:12.959] 撃て撃て抜ける抜ける抜けるあ行くの行く
[00:02:15.959] よすげ後ろ倒すよしよし
[00:02:22.920] よし
[00:02:24.519] あああの谷があよした超
[00:02:30.480] こっからマジで奇問だよなあいつらも
[00:02:33.920] ジャンプしてこねえからなかなか倒せるく
[00:02:36.640] おナイス
[00:02:38.680] ナイス
[00:02:47.480] よし
[00:02:52.680] ガキワップし
[00:02:58.120] ちゃあぶねえなあいつマジかこいつら性格
[00:03:03.239] 悪いえなんで何に当たってんのこれたた今
[00:03:07.440] 切れた消たマジでけた見えねえ
[00:03:22.319] よ
[00:03:24.159] ペブう
[00:03:26.770] [笑い]
[00:03:31.560] うるさ
[00:03:33.640] おい
[00:03:37.760] これあ
[00:03:40.799] 危ないろじんちゃんの叫び
[00:03:52.159] 笑笑
[00:03:58.000] およいしょ
[00:04:00.840] 弾これ雪やとマジ
[00:04:04.879] うや
[00:04:07.840] だ女来るよダ
[00:04:38.780] [音楽]
[00:04:46.560] ああやばいおおおおおおおすげえ自でここ
[00:04:50.759] まで行っ
[00:04:52.320] た超連だれあああああ
[00:04:57.919] ああああ
[00:05:00.479] 倒せ倒せ倒せ倒せ行けるけるけるけるける
[00:05:02.840] あれあれどこ向いてんのどけるけけ無理
[00:05:06.160] やろけけけけけけけけ
[00:05:08.639] けけこれ無理だよ
[00:05:11.560] なこれ無理だよなああゲームオバだ
[00:05:17.440] 笑笑これでコンティニュー切れでこれで
[00:05:21.400] コンティニュー切れであの最初からなんだ
[00:05:23.680] よやっぱ自力でやるとこのステージ超えれ
[00:05:26.759] ねえよなけどあそこまで行ったね行けたね
[00:05:30.520] と思ったのに
[00:05:32.360] 笑せめて5にしたら違う5機にするとか
[00:05:36.800] ないんだよ2か30かなんだ
[00:05:40.039] よバカなのね1か100かぐらいの画面で
[00:05:44.240] 左とセレクトとAを押したままスタート
[00:05:46.680] 押しタイトル画面が消えるまで押し続ける
[00:05:49.319] とステージセレクトモードに入る上下で
[00:05:52.479] 選択しスタートで開始笑笑あ笑笑極端笑笑
[00:06:00.680] ステージセレクト
[00:06:07.680] するこんな感じテジセレクトさすがに
[00:06:11.960] ステージセレクトしないと無理だろこれは
[00:06:14.720] タイトル画面で左上とセレクトを押した
[00:06:18.080] 時間ぐらいかかりそうセレクトとスタート
[00:06:20.280] を押しんセレクトとAを押したまま左上と
[00:06:23.319] セレクトとAを押したままスタートを押す
[00:06:25.479] くそめんどくせえなえっとスタートと
[00:06:28.479] セレクトとセレクトスタあ分かんない
[00:06:31.680] なんかわかんねえからなんかあ始まっ
[00:06:34.660] [音楽]
[00:06:43.680] た
[00:06:45.800] 笑笑気合は
[00:06:48.319] 入れる待て後ろ後ろあれあれあれメージ
[00:06:52.199] エンディングに画面がスロールを始めたら
[00:06:54.919] スタッフロールの間セレクトとスタートを
[00:06:57.520] 押し続けるとエンディング後にレッド
[00:06:59.960] ファルコンからの戦慄のもう読むの疲れ
[00:07:02.800] たいとく
[00:07:04.720] ね戦慄のメッセージへちょっと見
[00:07:10.520] たい爆エセあそうなん
[00:07:20.840] だいやでもこれ時間が許すれるんだったら
[00:07:24.160] 本当に24時間とかかけて紙もりながら
[00:07:26.759] ちゃんとクリアまで目指したいな
[00:07:29.680] それ分かってね悔しいよなそれは
[00:07:33.039] ねやべえ変な変なと入っちゃった変なとこ
[00:07:36.319] 入っちゃったなこ下行くわあう
[00:07:40.000] ええ当たり
[00:07:42.199] 判定いやしょうがねフ取れるようなかった
[00:07:46.759] ギ
[00:07:48.680] 取れれねんかあ俺
[00:07:53.319] っ仕事休み休なうんないないないあったら
[00:07:56.879] ダメあったらあったらこんなこんなこと
[00:07:58.759] やってらんだよな
[00:08:00.120] 死ん
[00:08:01.120] でる
[00:08:03.080] もうそれそれそれこんなステージ1でよ
[00:08:06.840] 残機減らし話になんねんだっその悔しさ
[00:08:10.639] この悔しさだよな俺たなかったそう30期
[00:08:13.840] なんか増ししまっ俺ずずっとそうだったよ
[00:08:16.120] 俺は俺はずっとそうだった
[00:08:22.240] いどうやったら増えるのえとタイトル画面
