[00:00:00.240] お肉はね鶏肉の形なんだ
[00:00:03.520] よ声優って誰言ってみわかんねえけど水希
[00:00:08.719] 7か恋の
[00:00:11.440] 視力さゲームが
[00:00:15.160] 始まる
[00:00:18.279] ラわかん
[00:00:20.960] [音楽]
[00:00:23.439] ね最近の声優ってすげえよな可愛くなきゃ
[00:00:26.800] いけねんだもん声優なのに
[00:00:30.320] 鶏肉にしか見えなくて腹立ってだろだちん
[00:00:33.920] だってオレンジ色
[00:00:37.239] のそんなそんな腹だった飲むちゃっ
[00:00:42.039] てあれ
[00:00:43.880] [音楽]
[00:00:45.079] は残念ながらげだちゃうんや残念
[00:00:53.879] ながらこれだよ本物の肉は
[00:00:57.230] [音楽]
[00:01:12.799] いや
[00:01:17.400] よわもうよきられないんですよこの変な
[00:01:45.079] 面白くない面白くないゲームこのゲーム
[00:01:48.719] 面白く
[00:01:51.520] ない嘘めっちゃ面白いっす神ゲめっちゃ
[00:01:56.280] 面白いっす
[00:02:11.440] 笑笑
[00:02:19.500] [音楽]
[00:02:23.120] や頑張れマジむい
[00:02:28.319] これマジで難しいんだよなこのゲームな
[00:02:33.280] 本当
[00:02:34.599] にマジで12時間やってんの俺この
[00:02:40.760] ゲーム止まんなん止まらんもんだってもう
[00:02:44.000] 今日の配信の音も何かつく何何ここ通った
[00:02:47.959] 時メデウサヘッドの避け方うまいなって
[00:02:51.440] 思ってたけどたまたまやったな何何今日配
[00:02:55.360] 何初めて通った時メディトカリカリう
[00:02:58.840] まだまだだった
[00:03:00.480] うわあ俺梅食えねえごめんな梅食えない派
[00:03:05.040] 人間なん
[00:03:06.000] です梅食え
[00:03:09.830] [音楽]
[00:03:11.720] ねえメデューサヘッドマジでさくばれ
[00:03:19.160] [音楽]
[00:03:23.959] あれうまくなったなここ
[00:03:28.760] ないやマジでうでもほらやうまくなるね
[00:03:31.400] 人間ってチマゲーム戦いながら強くなり
[00:03:34.280] ます俺は余裕でダメだった
[00:03:39.439] よ1回目余裕でノだめだった俺
[00:03:45.319] 俺何なんだろうななんか
[00:03:48.840] その緊張か
[00:03:51.519] な何なんだろうなんか行ける時と行けない
[00:03:54.799] 時あるよねう
[00:04:00.600] [音楽]
[00:04:07.760] ここはもう絶対食らうもん
[00:04:10.319] ねどここ食らうん
[00:04:14.280] でここはもう中間踏めばよしし
[00:04:17.720] ます中間踏めば全然バンバ歳ここは
[00:04:28.570] [音楽]
[00:04:37.120] オッケー中間とりあえずなあもう
[00:04:40.280] とりあえずここまでくればまあまあ
[00:04:43.360] ままいやここペテが教えてくれたこのさ
[00:04:47.680] ここしゃがめば大丈夫マジでかいわここ
[00:04:51.800] でイライラするなんじゃ今の
[00:04:55.590] [音楽]
[00:05:04.320] まあまあまだいぶだいぶでも安定したここ
[00:05:09.940] [音楽]
[00:05:11.360] 本当はいはいはい行きます1回ジャンプし
[00:05:15.720] ますはい
[00:05:18.520] オここが相なビザし
[00:05:21.479] てよし
[00:05:26.630] [音楽]
[00:05:30.680] うまうまなっとるやんチャピチうなっとる
[00:05:35.319] で
[00:05:37.890] [音楽]
[00:05:39.520] 俺頭部ちょっと切れ
[00:05:47.000] たったわおお帰りラーメン食べれた
[00:05:50.560] ラーメン食べれまし
[00:05:54.160] たここもうちょっとでクリアできるぜ妙を
[00:05:57.919] 見い出した俺は
[00:06:05.090] [音楽]
[00:06:07.400] うまいわハート潤沢
[00:06:10.810] [音楽]
[00:06:13.520] だ酒で気持ちめてた
[00:06:16.960] わ最高じゃんチマゲーム見て酒飲んで
[00:06:21.030] [音楽]
[00:06:22.360] うるまもうこのこのステージ何時間やっ
[00:06:25.319] てんねんて話だかた
[00:06:30.199] カリカリ梅もうまい
[00:06:32.840] もんカリカリ梅はちょっと
[00:06:37.360] なうわしんどこここいつらマジしんどく
[00:06:41.800] ないキモく
[00:06:44.639] ないキモくないあの赤赤赤
[00:06:48.010] [音楽]
[00:06:54.720] たちこしゃがんでいんだって
[00:06:57.560] さ時間ぐ食うつって怒ってたのバカみてだ
[00:07:01.520] なしゃがんだら当たんねんだよおこんあ
[00:07:05.520] うきさんこんおコンコンコンこんばんちゃ
[00:07:08.800] 今日は悪魔城ドラキュラやってますよ
[00:07:11.360] ちなみに今日のお肉も聞くあ聞きたいなん
[00:07:13.759] で食べてきた
[00:07:16.759] のいい学びだな牛豚羊あ羊ええやん羊好き
[00:07:23.919] ジギ感好き
[00:07:25.800] よはいはい大大会はいはいオーナー
[00:07:31.680] そうそう同じこと言ったオーナー大会で
[00:07:35.319] ここが相して
[00:07:39.720] よしよし縄入れない笑そう俺オは入れない
[00:07:46.080] 男の子だったからやめてほしいオーナー
[00:07:48.960] 入れない男の子だったんよずっとこうやっ
[00:07:51.840] てていう系の男子だった可愛いだろ運動
[00:07:56.000] できないから怖いよなあれなしかもだから
[00:07:59.759] 俺ああいう連帯責任みたいなゲーム好き
[00:08:01.800] じゃねえんだよだからさ連帯あなんか1人
[00:08:05.319] が引っかかったらおしまいみたいな笑
[00:08:07.960] なんかだから俺はそれ以来誰かと協力して
[00:08:11.440] 何かをするってこが嫌いになっちゃったん
[00:08:12.960] だよあんなもんやめた方がいいずっと待っ
[00:08:16.280] てる人そう怖い
[00:08:18.319] よ可愛いだろそうだろなもっと
[00:08:23.240] 褒めろもっと
[00:08:25.560] 褒めろでもさあ何何
[00:08:29.599] 私無理すぎて回してだった
[00:08:33.360] わそっち側に逃げるやつねそっち側に
[00:08:36.800] 逃げるのもありだよな連責任で成功させ誰
[00:08:39.959] だ誰さマジで心臓止まるんだってようやっ
[00:08:45.600] たよ俺あんな本当すごい
[00:08:48.000] わだってさ俺あれ正直悪いけど俺まで
[00:08:51.240] バトン回ってくると思ってなかったもん
[00:08:53.080] 回ってきちゃったんだもんしょうがない
[00:08:54.519] じゃん死ぬかと思ったよマジでやるしか
[00:08:57.800] ねえんだもんタイプでめっちゃ入って
[00:09:01.519] た
[00:09:03.240] [音楽]
[00:09:04.720] 何何何ガンガン入って
[00:09:07.839] た俺までどうせ回ってこねえだろうと思っ
[00:09:10.560] て安心してたら回ってきちゃったんだもん
[00:09:12.440] やるしかないや
[00:09:14.410] [音楽]
[00:09:15.560] んめっちゃあれやばかったよこんばんは
[00:09:19.160] まだやってたランディこんばんはまだやっ
[00:09:21.360] てるよクリアできないんだもんだっ
[00:09:23.959] てただもうだいぶ巧妙を見い出した俺は
[00:09:32.110] [音楽]
[00:09:37.880] よしこっちダッシュしていったらこっちも
[00:09:40.320] こっち72時間やないないないないない
[00:09:43.680] もうクリアできるよ
[00:09:49.079] ここうますぎおじさんですどうもうますぎ
[00:09:53.600] おじさんですどうもうますぎおじさん橋本
[00:09:57.000] です何そのタケコプターおじさん
[00:10:00.079] やれよやらねえよ72時間
[00:10:03.680] だ明日寝るさん明日寝るからな俺チ
[00:10:10.320] ゲーム72時間やったとおら見ねえ
[00:10:14.399] べ配信
[00:10:16.360] れる確かに48で終わっちゃうから
[00:10:19.640] な年末のドラクエもギリギリギリギリ
[00:10:22.920] アウトだったからクリアはしたけど切れ
[00:10:26.399] ちゃっ
[00:10:27.120] た10分ぐらいのイブってのすげえ気に
[00:10:30.120] なるんだ
[00:10:31.760] よ年末のドラクエな笑ったあれなレイト
[00:10:36.440] できねえし
[00:10:37.330] [音楽]
[00:10:44.880] 最後
[00:10:46.480] よし母ちゃんは見てるしあれはレドでき
[00:10:50.040] なかったといううちで笑やってもいるよ
[00:10:53.480] 寝る
[00:10:54.320] けどまいてくれるだけありがてえわビてこ
[00:10:58.040] な
[00:11:01.880] まずったか
[00:11:09.450] [音楽]
[00:11:15.000] これまずどうもビコですビコじゃねえよ
[00:11:19.440] テコ赤いやつキモすぎ赤いのマジきし
[00:11:22.519] こいつ
[00:11:23.300] [音楽]
[00:11:27.200] 本当うわこんなと
[00:11:30.959] さっさ加減やんそっち
[00:11:34.480] のあるねの戦か
[00:11:41.120] な俺このゲーム好きすぎて
[00:11:44.959] さやっぱり嫌いやっぱり嫌いだこのゲーム
[00:11:49.560] あフォローあざすおこさんあざすおこさん
[00:11:52.720] フォローありがとう
[00:11:58.880] [音楽]
[00:12:08.120] あわであそうなん
[00:12:11.959] おビコに
[00:12:15.600] お
[00:12:17.720] ラミエルラミエルいたね今
[00:12:21.930] [音楽]
[00:12:24.560] ねラビエルのモさせんな俺に今集中してん
[00:12:28.839] だから
[00:12:30.000] あなたは死なないわ私が守る
[00:12:33.399] もの笑笑
[00:12:37.040] ありがとうですオですですオですお猫なの
[00:12:41.639] にオなん今
[00:12:44.199] はー
[00:12:52.510] [音楽]
[00:12:55.959] あるやべえ何これ
[00:13:05.840] [音楽]
[00:13:06.840] [笑い]
[00:13:10.680] 強いよ
[00:13:13.839] お
[00:13:21.199] おる
[00:13:24.160] 何はに
[00:13:29.600] ん
[00:13:32.360] だえ私別に興味ないんだけどて感じだろ
[00:13:36.199] 多分だよ
[00:13:41.410] [笑い]
[00:13:47.199] なかそせめて俺俺のことは分かるように見
[00:13:50.440] ててくれよ今日俺も出るからさ
[00:13:56.780] [音楽]
[00:13:59.279] かなんか行きます行きますだのああだのか
[00:14:01.440] だ
[00:14:02.800] の本当にこルはどを呼ぶのよく言ったもん
[00:14:06.480] だなマジでいつも見てますって言って
[00:14:09.720] ほしい累ともだ
[00:14:13.560] なよし満タンで行くぜじゃ満タンでボスト
[00:14:18.800] 戦わせてくんねえと話なんねって
[00:14:21.430] [音楽]
[00:14:23.279] これこさんです嘘
[00:14:26.560] け見てないじゃねえかよははは
[00:14:30.959] ぶ俺が俺が兵したことたこと言うんじゃ
[00:14:34.040] ねえくっそつまらん下ネタとか言うけど
[00:14:37.040] リアルに合うとまた別やで
[00:14:42.450] [音楽]
[00:14:45.120] はしらなけ
[00:14:52.040] なさうまいうまいうまいうまい
[00:14:54.680] うまいうましてうま
[00:14:57.360] してうましてええ
[00:15:01.839] これえうわも最悪だもう武器変わっ
[00:15:08.720] たもう最悪だもう
[00:15:15.079] こんな
[00:15:17.040] ああ笑笑こんなもん無理やろ
[00:15:22.680] が笑笑マジで
[00:15:29.120] が落としやがったナイフをでもいける嘘
[00:15:32.250] [音楽]
[00:15:33.440] だろこんなんザーボンて言っ
[00:15:37.560] たザーボンさんザーボンさんこれどうして
[00:15:41.160] くれるんだドリアさんも
[00:15:46.040] 呼ぼけねえじゃねえか
[00:15:48.519] よあ行けるか
[00:15:51.040] なあ悪くないかも隊できるいやあ全然だめ
[00:15:56.759] だうわうわうわうわうわは終わったあや
[00:16:01.880] おらむクソだこのゲームこのゲームクソだ
[00:16:05.880] わ難しすぎる
[00:16:08.759] わピザ食べて
[00:16:15.199] いいじゃあのさブーメランじゃなきゃだめ
[00:16:21.079] よさよなら十字かパート2出たねパート2
[00:16:25.360] 出たな全米が泣いた続編
[00:16:30.079] ピザ食べようかなチンしてくるのめんど
[00:16:31.920] くせえな若干な俺もハリボテみたいに買う
[00:16:34.839] かなここにあいつさ机の下にさあれあの
[00:16:38.279] レンジでチンできるようになってんだ
[00:16:40.959] よあの食し坊配信者
[00:16:45.160] のパートの方が泣けるよ
[00:16:48.399] ねでも1も悪くねえんだよなあのあけ
[00:16:51.720] ずるいな感じ
[00:16:56.880] がよし
[00:16:59.560] マジもう武器落とさないでくれお前らマジ
[00:17:01.480] 頼むからいらねえ
[00:17:03.320] [音楽]
[00:17:07.640] から府さん
[00:17:10.280] 雇うえマジで俺金持ちになったらマジで火
[00:17:13.760] 府1人雇いたいもう俺何も配信以外何もせ
[00:17:18.039] ず暮らしていきたい
[00:17:19.890] [音楽]
[00:17:29.160] 逃げはみてな感じだよ
[00:17:32.200] なんか濃いダンス踊ろよ濃い
[00:17:36.160] ダンスいやもう当たるもん
[00:17:41.650] [音楽]
[00:17:45.160] なる笑顔
[00:17:49.760] よしもうこのゲーム面白くないいっすね
[00:17:52.240] マジ
[00:17:54.240] できはダメゲです
[00:17:58.960] おじさんだなまだ1気あるまだ1気ある
