[00:00:05.759] ういお
[00:00:08.280] 疲れお
[00:00:11.330] [音楽]
[00:00:17.199] 疲れ
[00:00:20.279] やっほーお
[00:00:24.599] 疲れはいお疲れはいどうもこんばんはと
[00:00:30.519] 引き換えてんのチマゲームですこんばんは
[00:00:34.559] がチマゲームですチマゲーム
[00:00:38.560] [音楽]
[00:00:40.239] です邪魔ゲーム
[00:00:42.230] [音楽]
[00:00:44.480] です1ついいかチマゲーム
[00:00:48.199] ですチマゲームですはいなはいすいません
[00:00:51.079] どうもこんばんはちゃまゲームですあの
[00:00:53.239] はいちゃまゲームがんで引き替えてるのあ
[00:00:55.320] いやシャツのデザインめっちゃいいじゃん
[00:00:57.559] ああいいね見てくれた見てくれました
[00:01:01.399] さすがこんばんはですはいどうも
[00:01:03.359] こんばんは皆さんマテこんばんはえもこ
[00:01:06.119] ちゃんこんばんはえいろちゃんこんばんは
[00:01:08.680] えたさんこんばんは
[00:01:11.479] ええこんばんはとそうなんすよ僕が所属さ
[00:01:15.640] せていただいてるえんでし画像作りまし
[00:01:19.439] たすませんありがとうありがとう反応でき
[00:01:22.200] ったごあのねあのなんだっけんだっ
[00:01:28.920] けほのチーム名が瀬戸内スパークスですか
[00:01:33.560] の新しいTシャツのデザインジャマゲーム
[00:01:36.680] がやりましたあれめちゃくちゃ良くない
[00:01:38.200] です
[00:01:38.880] かめっちゃいろはちゃんカラーじゃ
[00:01:41.880] ない作ってと思ったなんかめっちゃ可愛い
[00:01:44.719] のがいいなと思ってちょっとちょっと
[00:01:46.240] ちょっと可愛くてでもかっこいいの作ろう
[00:01:48.320] と思ったらめっちゃいろはちゃんカラー
[00:01:50.439] なっちゃったまいいかなと思ってまあいい
[00:01:53.600] や可愛いしと思ってまあまあまあちょっと
[00:01:56.799] デザインしたんでよかったら皆さんあのま
[00:01:58.520] 買えとは言いませんがまこんなこともゲ
[00:02:01.200] できるんだなと思っといて
[00:02:03.119] ください私のために作ってくれたんかと覚
[00:02:06.920] した笑それだったそれでもいいですよ別い
[00:02:10.239] ちゃんのたに作りましたいちゃんのことを
[00:02:12.400] 考えながらちょっとデザインしてたら
[00:02:13.920] あんななっちゃいましたねそしてですね
[00:02:17.000] 今日はですねなんと皆さんついにチマ
[00:02:21.959] ゲームがまたラストハルマゲドンという
[00:02:25.280] ゲームを米印スパークスのたですあのやり
[00:02:30.519] ますよいつぶりですかねもう4ヶ月ぶり
[00:02:34.200] ぐらいですか多分去年の11月とかあシ
[00:02:39.239] さん
[00:02:40.000] こんばんは去年の11月とかにってたやっ
[00:02:44.319] てたのや年末にかけて11月10月11月
[00:02:48.599] 12月ぐらい3ヶ月やって半分ぐらいしか
[00:02:51.280] 行けなくてちょっと本当に時間かかるんで
[00:02:54.120] ちょっとこっからロングランだと思います
[00:02:55.599] もしかしたら夏ぐらいまでかかるかないや
[00:02:57.640] そんなかかないと思うけどちょっと時間
[00:02:59.239] とってかなりロングランでやるんで土日と
[00:03:01.239] かももうもうほぼ土日ずっとこれにも今日
[00:03:03.959] は見てほしいそうですねそうですねこの
[00:03:06.680] ゲームまたやろうかなという気になったん
[00:03:08.840] ですようちょっとどうしてもやっぱクリア
[00:03:11.840] 見たいしねちょっとこれやってたんだけど
[00:03:14.840] そのねとあるバグが発生して進行不能に
[00:03:17.840] なっちゃいましてまその辺のねバグの解消
[00:03:21.560] ができずにちょっとなんつうの入りという
