[00:00:24.880] はいはいはいはいはいはいはいはいどうも
[00:00:28.800] どうもどうもちゃまゲームです
[00:00:32.280] よどうも
[00:00:34.879] こんばんはもこちゃんこんばんはとえ
[00:00:37.960] シーズさんこんばんはえりちもこんばんは
[00:00:40.960] とやっていき
[00:00:44.120] ましもきちゃんこんばんは寒くね寒くね
[00:00:49.760] なんか最近めっちゃ
[00:00:55.199] あ
[00:00:58.519] あ何
[00:01:01.760] BGMない今今今今今
[00:01:07.360] 今あ今BGMあるよ
[00:01:15.840] ななんだ
[00:01:17.759] と
[00:01:20.600] 何これでどう
[00:01:24.439] じゃ棒読みちゃんもなってないこれでどじ
[00:01:28.079] おねこんばんはチャピこんばんは
[00:01:31.920] おオッケー
[00:01:34.399] はいオケはいはいどうもこんばんはちゃま
[00:01:38.640] なでなでちゃまなでなでちゃまなでなで
[00:01:42.079] なったあざはいお疲れちゃんちゃお疲れ
[00:01:45.200] あれなんかみなんかあれなんか今日は欠席
[00:01:49.399] 今日の周回には出ないみたいな聞あれ
[00:01:52.079] なんか今日のあのうちのうちのうちのうち
[00:01:56.360] の何あの宗教の集まりには出ないみたいな
[00:01:59.360] 気す
[00:02:00.370] [笑い]
[00:02:03.840] いやいやいや今日もあどうぞどうぞどうぞ
[00:02:07.560] どうぞどうぞそちら優先してもらってね
[00:02:09.800] あのはい始まりました今日も皆さんで
[00:02:15.720] え怖え先輩方怖えなあザホム何だっけ
[00:02:21.360] おザホムってんだっけカダッ
[00:02:25.480] の素晴らしいですねじゃチソたびあのこれ
[00:02:30.879] はサービス問題えっとシェルは
[00:02:33.640] シェルシェルは何でしょう
[00:02:36.400] かもう切れてるの草さすがです
[00:02:42.080] 笑笑シェルってなんだっけ回復
[00:02:46.519] おいいいですねさ染まってきましたさ今日
[00:02:49.680] も皆さんでえお勉強え深くてえ素晴らしい
[00:02:54.360] えラストハルマゲドンの世界を皆さんでお
[00:02:57.159] 勉強していきましょうねそしてねあの
[00:03:01.840] ラストハルマゲドンに感謝して
[00:03:04.720] えっと信じるものはられますからね皆さん
[00:03:07.959] ラスト春まげ教に皆さんあのじさんはお猫
[00:03:11.480] さんをどうしたいの笑さっき勉強しててが
[00:03:15.280] めちゃめちゃ引っかけ問題だなって思った
[00:03:19.080] さっき勉強しててだっ
[00:03:21.680] て配信ありがとうございますそうだろそう
[00:03:25.680] だろスだから俺めろよお前らあれだんなあ
[00:03:29.959] あの常金常金収めさせるから寺立てようぜ
[00:03:34.640] 俺の俺の石像が立ってる寺洗脳勤勉すぎた
[00:03:42.360] 笑笑さんあのネタですからねあくまで
[00:03:45.879] あくまでネタなんでやめてくださいね
[00:03:47.959] なんか本当になんか知りませんよあのさて
[00:03:51.239] いうかさこれみんな朗報だぜあれさみんな
[00:03:55.799] あのあれ知ってるあのなんだっ
[00:03:58.720] けえっとポリメガってしてっかポリメガっ
[00:04:02.680] てポリメガっていう作る
[00:04:06.159] わポリメガていうあの海外の互換機あの
[00:04:10.400] レトロフリークってあるじゃないあの
[00:04:11.840] ファミコンだのなんだの色々あのクソ高い
[00:04:14.319] やつあのファミコンだのなんだの色々俺が
[00:04:16.560] 配信で使ってるやつそうそうそうあの
[00:04:19.519] ファミコンとか俺がレトフリて使ってんだ
[00:04:22.199] けど増俺が使ってるのはファミコンなの
[00:04:25.440] スーファミのアーノカダのていうレトロ
[00:04:27.280] フリークていう日本のやつ使ってんだけど
[00:04:29.039] 海外のオリメガっていうそういういろんな
[00:04:31.320] ゲームが1年のゲーム機でできるやつが
[00:04:33.000] あるんのよめっちゃ高いんだけど1個
[00:04:34.280] 10万ぐらいする7万7万ぐらいするんだ
[00:04:35.960] けど低下ででそれではなんかお疲れ様です
[00:04:39.000] あのCDのゲームああ散散在系のはるさん
[00:04:42.880] やんけありがとうあのあれだよねあのニコ
[00:04:46.080] のところが来てくれたでしょありがとうね
[00:04:48.240] そうで海外のそのポリメがやってやつは
[00:04:51.520] えっとプレステ1とか
[00:04:55.240] えっとなんだっけえっとセガのCDセガ
[00:05:00.080] CDとかディスクのゲームが遊べるやつな
[00:05:02.600] んよでもちろんあのなんだっけえっと
[00:05:05.919] ラストハルマゲドンが遊べるこのPCPC
[00:05:09.160] エンジンのCDロムロムっていうシリーズ
[00:05:11.240] もそれで遊べるんですよそれがなんとです
[00:05:13.639] ねたおさんこんばんはなんとこいの新発表
[00:05:16.919] セタンじゃのてセガサタンじゃない
[00:05:18.560] セガサターンは遊べないいんだなセガCD
