[00:00:09.639] H
[00:00:12.200] [音楽]
[00:00:43.520] おはようございますCにさがぽよぽよ
[00:00:46.480] [音楽]
[00:01:09.119] はいはいはいはいどうも
[00:01:12.430] [音楽]
[00:01:15.360] こんばんはやるで
[00:01:26.590] [音楽]
[00:01:32.159] よしよしよしよし
[00:01:34.800] [音楽]
[00:01:44.159] とちょっと今日ねから早く終わるかもしん
[00:01:47.000] ない
[00:01:50.200] [音楽]
[00:02:00.039] T
[00:02:02.020] [音楽]
[00:02:46.040] 早め
[00:02:49.280] よままあ普通に2時までやるかもしんない
[00:02:52.319] けどとりあえず今日はちょっとレベル上げ
[00:02:55.159] を中心に頑張ってみようかなとり
[00:03:01.400] ますまったりやろう
[00:03:04.879] ぜないと思っただろ
[00:03:07.519] 今日俺はなんとなくみんなのあれが分かる
[00:03:11.480] 今日どうせ俺ないと思われてるなと思って
[00:03:14.239] あいつ
[00:03:15.159] どうせ2日連続で配信なんかしねえべって
[00:03:18.080] いうなんか最近の俺のなんかまあねあのっ
[00:03:23.200] だろうなだよ
[00:03:25.120] なだよなないと思ってた
[00:03:27.560] だろお疲れっだろあるん
[00:03:32.920] ですあり
[00:03:35.030] [音楽]
[00:03:36.799] ますただ今日はちょっとわからんなんか
[00:03:39.439] 眠くなっちゃうか
[00:03:41.480] もちょっとでちょっとでもなレベル上げし
[00:03:44.120] ねえと進まねえからよって
[00:03:48.000] たあるんだよあるんだよある時もあるんだ
[00:03:55.079] よいや別に
[00:03:57.519] ねなんかやったしなって思ったんだけど
[00:04:01.599] もう毎日やんねえとこれ終わらねえなって
[00:04:04.599] いう
[00:04:06.760] もう仲間義務感昨日のあの感じだとないん
[00:04:10.239] やろなって心が前でい
[00:04:13.319] たえらいねえらい
[00:04:17.440] だろちょっとこれは今日はもうでもない
[00:04:20.400] ずっとレベル上げだだらだらレベル上げ
[00:04:22.320] しようと思って別にもうなんかなんつうの
[00:04:25.360] かなもう今日はダラダラですダラダラあの
[00:04:28.720] 別になんか
[00:04:30.639] なん
[00:04:31.560] だろう配信的にドカーンと面白いことし
[00:04:34.919] なきゃみたいなないですまいつもねえけど
[00:04:38.240] 別
[00:04:39.280] にも今日はだらっとレベル上げして眠く
[00:04:42.479] なったら寝る
[00:04:44.400] わちょっとでもやっとかねえとないや
[00:04:48.400] ちょっと明日は配信ちょっとない
[00:04:52.120] から金曜日はもうがっつり進める朝まで
[00:05:00.320] こないだ昨日いろはちゃんが貼ってくれた
[00:05:03.560] 明日なし了解そうなんですわかんないけど
[00:05:06.360] もしかしたらもしかしたらいやいやもう
[00:05:08.320] それはないわいやあのすませんないです
[00:05:11.680] 期待あまりねあの期待を持たせてしまって
[00:05:14.960] もあれなので明日ないもしもうなんか
[00:05:21.479] あのもしかし
[00:05:24.800] たらもしかしたら
[00:05:29.800] ない
[00:05:31.120] かないかわかんねけど
[00:05:35.199] な何割何割え笑な0割0割0割0割2部
[00:05:44.680] ぐらいある可能せ
[00:05:47.199] はなんか今日あれだわあれだあの笑笑あれ
[00:05:51.240] だ今日マジでうちのうちのリスナーうちの
[00:05:55.120] リスナーマジで今日ないと思ってんかねえ
[00:05:58.120] と思ってんのかんねけど人ね
[00:06:01.400] わあいつもなんかロってるよとかつって
[00:06:04.639] 来るあれやばもうみんなあれか分かってん
[00:06:08.080] のかもうあねえよ今日はチマゲームねえよ
[00:06:10.639] みたいなあるんだよ集まり悪いな集まり悪
[00:06:13.759] なエリチとチソしか来てねえじゃん
[00:06:17.440] おまいっかまいいや今日はまったりやろう
[00:06:24.800] ぜ日頃の行いがあれだないます
[00:06:30.400] いましたのびさん
[00:06:32.440] こんばんはさんもこんばんはさん
[00:06:35.960] こんばんはあります
[00:06:38.400] よゲーム今日あります
[00:06:41.120] よ今来た
[00:06:43.440] 業様今日はダラダラレベル上げそれだけ
[00:06:47.880] です今日はダラダラレベル上げだけま
[00:06:51.280] ちょっとストーリーも進めたいけど次の
[00:06:54.160] ちょっと行くべきとがちょっと難しいとこ
[00:06:56.039] なん
[00:06:56.840] でっとげ
[00:07:00.000] が弱いこと弱えこと弱えことよなんヒルを
[00:07:05.360] ねちょっと
[00:07:08.520] あのあれしますヒキをレベル上げしようと
[00:07:11.680] 思い
[00:07:12.860] [音楽]
[00:07:20.599] ますひき
[00:07:22.879] 強化マジで昼弱すぎて話になんねえからさ
[00:07:27.400] 始めますかい
[00:07:30.840] はいどうもやってきますよとのちゃま
[00:07:33.440] ゲームでございます今日はありますから
[00:07:35.310] [音楽]
[00:07:36.479] ね
[00:07:38.520] よしま今日はもうまったり
[00:07:45.560] や前回もヒキ強化しねえとダメだわこ
[00:07:49.280] れってレベル上げしてたなやっぱねあの
[00:07:52.120] あのパーティ弱えよな魔法もかぶってるし
[00:07:55.759] さラストハルマゲドンやりましょう
[00:07:59.560] アルマゲドンと書いてハルマゲドンと読む
[00:08:01.479] んですね知りませんでし
[00:08:04.639] たさあこれ15分ある
[00:08:07.319] オープニング今日も見たいと思いますまず
[00:08:10.599] はなまずはそこから15分見ようまずが
[00:08:13.599] なぜ滅びたのまずは15分見るぞ今となっ
[00:08:16.720] てはもう知すべも
[00:08:19.199] ないこの星は完全に死にたいあ疲れ
[00:08:23.120] た標できづくものは水曜
[00:08:26.639] ってに第の一部となり解けていっ
[00:08:31.839] たただ後輩した地標が限りなく続くこの景
[00:08:36.919] まチもみんなもお疲れ様なにも目に止める
[00:08:39.399] ものはい
[00:08:41.560] ない
[00:08:43.519] 今1つの歴史が幕を閉じてあもういらない
[00:08:47.519] ああリセットしちゃったごめん間違えた
[00:08:50.560] 飛ばそうと思ったらリセットしちゃった
[00:08:52.760] じゃこのゲームやから笑何それ
[00:08:56.959] 明日ってなんか祝日かなんか明日休みの
[00:08:59.920] やつ多くね明日休みのやつ多くない祝日か
[00:09:04.399] 明日
[00:09:05.399] ってうちブラックだからさ祝日休みじゃ
[00:09:09.279] ねえんだ
[00:09:10.680] よ明日なんで休みなのみんなうぜえな類が
[00:09:15.680] に休みいい
[00:09:17.800] な木曜休みとかいいな行き
[00:09:22.560] ましょう前回どこまでやったああはいはい
[00:09:25.959] はいこのね月に1回出勤するこいつらは
[00:09:29.760] もうめちゃくちゃ強くなったんだよ
[00:09:32.040] めっちゃ強くなったのね正直こいつらは
[00:09:34.519] もういいのよこいつらもうええねん
[00:09:37.920] ちょっと早く時間経ってくんねえか
[00:09:43.320] な全然時間経たないねこれ
[00:09:47.839] さあ時間のあれがねどうしてもちょっと
[00:09:50.720] これこいつらもちょっとじゃレベル上げに
[00:09:52.160] 行くかえっと
[00:09:55.079] ね次行く場所も決まっててどこだったかな
[00:09:59.870] [音楽]
[00:10:03.399] あれどこだったっけこの辺のそうそうここ
[00:10:06.399] こここここの奥の変な宇宙船みたいなとこ
[00:10:08.800] をやりたいんだがそこめちゃくちゃ難しく
[00:10:14.010] [音楽]
[00:10:15.240] てえ魔法
[00:10:19.959] え獲物がいたぜ獲物がいたぜ癖になってき
[00:10:24.320] た分かってきた
[00:10:27.170] [音楽]
[00:10:28.320] じゃんもなんとなくもう俺も魔法覚えてき
[00:10:31.440] たわ魔法覚えてき
[00:10:35.680] たシェルは回復デカは沈黙
[00:10:39.399] ないや強いこの呪文強い隕石の
[00:10:44.399] 呪文500だよ全体
[00:10:47.560] にこの奥
[00:10:53.480] のどこだっけこれこれこれここここここ
[00:10:57.120] ここなんすよ
[00:11:00.240] ここがさめっちゃくちゃむずくては入口の
[00:11:04.279] はいもこちゃんお疲れちゃんもこちゃんお
[00:11:06.120] 疲れ扉の横になんか今日チマゲームどうせ
[00:11:08.880] ねえやってみんなに思われたらしくて
[00:11:11.440] なんか全然人が集まらないいす
[00:11:14.440] ねまさかチマゲームが2日連続で配信する
[00:11:18.000] なんて思わなかった
[00:11:21.040] だろうなんかでもねこのゲームはできんだ
[00:11:23.480] よななんかどうせまったりやればいいや
[00:11:24.959] みたい
[00:11:26.100] [音楽]
[00:11:28.240] なダホムは席か
[00:11:31.040] [音楽]
[00:11:33.000] なやっぱこ敵強はなかったなあ思ってねえ
[00:11:36.720] よな俺も思わなかったもんだからずっとね
[00:11:39.240] あの配信つつけるまであの告知しないよう
[00:11:43.600] にしようと思って昼間にさ今日やるよって
