[00:00:10.280] ういお疲れ
[00:00:15.690] [音楽]
[00:00:38.840] おはよううお
[00:00:42.050] [音楽]
[00:00:48.640] 疲れあもう最悪ちょっと待っておいくそ
[00:00:52.480] うわもう最悪
[00:00:54.280] ださ今ね開幕開幕こんばんはちゃ
[00:01:02.359] マイクミュだったも最悪
[00:01:05.479] だ
[00:01:07.080] もうめっちゃテンション高かったのにうわ
[00:01:10.560] みたいな今日はみんな楽しむぞと人事つ
[00:01:16.600] 笑笑終わりだよ終わりはいどうも
[00:01:19.360] こんばんははい改めましてこんばんは
[00:01:21.040] マイティさんこんばんはモラトさん
[00:01:22.759] こんばんはえあたさんこんばんはえりか
[00:01:24.880] さんこんばんは人さんこんばんはえチ
[00:01:27.400] こんばんはといや来たとれ来た来た来た
[00:01:31.360] そろさんもこんばんはヒーペルル来ました
[00:01:33.680] 皆さんお酒は準備してきましたかどうも
[00:01:36.520] エースですええお酒は準備してまいりまし
[00:01:39.920] たかあのですね今日ですね僕生まれて
[00:01:42.000] 初めてキャバクラというものに行って
[00:01:44.200] みようかなという配信でございますよと
[00:01:47.719] いやいい時代になりましたえ
[00:01:49.719] インターネットキャバクラです
[00:01:52.920] かインターネットキャバクラということが
[00:01:55.880] 今日はできるらしいので楽しみですねつに
[00:02:00.280] 皆お酒の準備はよろしいでしょうかすい
[00:02:02.320] ません昨日やるって言ってできなかったん
[00:02:03.680] でね今日やりますよといやいいですね再
[00:02:07.079] 先端のVのキャバクラキびっくりちみに
[00:02:11.319] はいえこんばんはマイティこんばんは
[00:02:14.360] マイティもこんばんはえ楽しみですよ
[00:02:17.560] ねおにのに会酒飲む前に牛乳入れて放して
[00:02:22.000] ますいい
[00:02:23.480] ですオンラインのホストやキャバがあり
[00:02:25.920] ましたへあそうなんだへえオンライン
[00:02:29.200] キャバ
[00:02:30.640] インターネットキャバ嬢落とすわな
[00:02:32.920] インターネット
[00:02:35.239] キャバ嬢インターネットキャバ嬢を落とし
[00:02:37.879] 行くわゲーミングデスク見てたら配信開始
[00:02:40.720] してくれてなかっ
[00:02:42.720] たゲーミングデスク見たら何何何
[00:02:45.920] こんばんはありがとごこんばんはあり今日
[00:02:49.040] はお酒を用意して来たですか来てない方は
[00:02:53.879] 今からパソコンパソコンじゃねえや
[00:02:55.200] コンビニに行ってるかな落とせるでしょ
[00:02:58.080] いやわかんないどうなんだろ今日今日で
[00:03:00.080] 落とせるかわかんないけどまちょっと
[00:03:02.159] なんてインターネットキャバ嬢みたいな
[00:03:04.120] もんだよなインターネットキャバ嬢に
[00:03:06.720] 落としに行きましょう今日はプレイ23つ
[00:03:08.840] 置けそうなデスク見ておったのあなるほど
[00:03:11.080] ねなるほどね俺ちなみに今のデスク
[00:03:13.319] めっちゃちっちゃいのに画面クソでか画面
[00:03:16.319] 3つ無理やりくっつけてる
[00:03:18.680] よあのいつ天板が割れるかわからない
[00:03:22.239] ミシミシ言っ
[00:03:24.480] てるめっちゃ安いもう1つ言うといやもう
[00:03:30.000] もうスペシャリストがワハ落とせたこと
[00:03:32.480] ありません同じ酒ちお金はいっぱい落とし
[00:03:35.239] たのにな笑お金はいっぱい落としたのにお
