[00:00:00.000] OG
[00:00:14.050] [音楽]
[00:00:42.280] お疲れはいどうもこんばんはれちゃま
[00:00:47.000] ゲームと申しますおはようござい
[00:00:49.600] ますああああはお声でかくねか俺疲れ昨日
[00:00:55.520] 行てごめんなさいはいヘあああ声うるさく
[00:00:59.399] ねこもああああはあああどうもどう
[00:01:06.040] も眠いや大丈夫だ大丈夫大丈夫はいもこ
[00:01:10.119] ちゃんえりかえりかこんばんはマイティ
[00:01:12.840] こんばんはえ綾たかさんもこんばんはと
[00:01:15.119] 今日も
[00:01:16.240] はそうっすね私もちょっと寝ました
[00:01:19.960] めっちゃ寝てたわ昨日ありがとうござい
[00:01:22.000] ましたえいろはちゃんとねコラボさせて
[00:01:24.040] いただきましたけどもいや面白かったです
[00:01:25.640] ねゲームもクリアできたし良かったんじゃ
[00:01:28.200] ないでしょうかえええじまさん
[00:01:30.600] Discordの雑談の音源聞いてみてえ
[00:01:34.759] 何Discordの雑談の音源何音源
[00:01:38.399] っってえちょっと待って量小さいかもあえ
[00:01:43.040] え嘘ちっちゃいはあえいえい
[00:01:47.740] [音楽]
[00:01:50.000] えい何何何disordの雑談の
[00:01:54.079] 音源何音源
[00:01:57.140] [音楽]
[00:01:58.840] って何これなんか貼ってあんなオケ
[00:02:01.880] ちょっと待ってちょっと待っ
[00:02:05.240] てちょっと待って何これちょっと待って
[00:02:07.600] 聞いて
[00:02:13.400] いいちょっとちげえ
[00:02:15.560] [笑い]
[00:02:17.120] しこれいろはちゃんのな昨日の
[00:02:22.959] なこんばんは元気ちんだよなはいどうも
[00:02:28.879] 主人さんもこんばんは
[00:02:30.760] これなんかあれな俺のあのビッツもらった
[00:02:33.599] 時の音
[00:02:36.400] だろ遊戯王のアイキャッチの音ね遊戯王の
[00:02:40.560] アイキャッチの音知らねんだろうな多分
[00:02:43.640] ななるほど
[00:02:45.560] ねいいですね実に可愛らしいじゃないです
[00:02:48.519] か使おうかな
[00:02:51.640] これどうも今日もえん
[00:02:57.200] たた
[00:02:58.840] もやていきなと思っておりますけどもえ
[00:03:02.519] このゲームもうもうなんか後半なんじゃ
[00:03:04.799] ないのかなっていう感じはしてるんすよ
[00:03:07.840] うん後半なんじゃねえかなそろそろという
[00:03:10.680] ところ
[00:03:11.959] でキャバクラに行きたい気持ちもちょっと
[00:03:16.959] あのありますがま今日はねちょっとえに
[00:03:21.720] 行こうかな
[00:03:22.920] とえ攻略サイト見
