[00:00:00.120] はい
[00:00:04.500] [音楽]
[00:00:30.279] ういお
[00:00:33.390] [音楽]
[00:00:39.280] 疲れさんこんばんははいどうも
[00:00:44.640] こんばんは邪魔ゲームです
[00:00:48.719] よ今日は
[00:00:51.199] え大丈夫あ大丈夫止まった止まったなんか
[00:00:54.359] わかんねけどさ今日はチキンカレー食べた
[00:00:56.559] よ
[00:00:57.800] ラストてです豚ソープスど久ぶですはい
[00:01:03.280] どうもお疲れお疲れしきちゃんもお疲れ
[00:01:05.119] ちゃマティお疲れえチお疲れ柊さんお疲れ
[00:01:09.600] あたさんお疲れ様です今日はなんと長々と
[00:01:15.320] 続いてきたあのねあの配信あのなんだっけ
[00:01:20.759] ラストハルマゲドンなんと最終回じゃない
[00:01:24.000] かなというに学投稿するの忘れちゃったの
[00:01:27.600] よまそうなんだバグ治ったバグ治った直っ
[00:01:32.320] た治ったっていうか最初からやってんだよ
[00:01:34.600] ね最初からやってバグ踏まねえように今
[00:01:37.520] やって最終回まで来たよもう多分クリアだ
[00:01:40.040] と思う今日長かっためちゃくちゃ長かっ
[00:01:45.479] た仕事終わってからボテさんともしもしし
[00:01:48.920] たしてないてかあいつふざけんなマジで
[00:01:53.000] あいつ
[00:01:54.320] さ仕事中は勘弁してくれマジで2回も3回
[00:01:58.840] も電話かけてあいつ配信中電話かけてたの
[00:02:01.560] あ得に行けるいや次はちょっと何やるか
[00:02:04.600] まだ決まってないんだけどそうそうう宮に
[00:02:08.440] 新しい次郎系のお店できたよそうなのあ
[00:02:11.800] そうだよあいつさ夕方5時半ぐらいかな
[00:02:15.879] 電話笑まだ全然仕事やってんのにさすげえ
[00:02:18.840] 電話かけて鬼でかけてなかってなんだよと
[00:02:20.879] 思ってちょっと今出れねえ何って言ったら
[00:02:23.440] 出ていいから出てみたいな笑笑いやちょ
[00:02:25.840] 無理だよ今仕事中だよって言ってんのに2
[00:02:28.239] 回も3回もかけてきやがって悪みたいな
[00:02:32.280] 島村さんは出たのにみたいいやいやいや
[00:02:35.040] 仕事中は無理だよつってあいつふざけんな
[00:02:39.760] マジで俺会議してたんだよそん時めっちゃ
[00:02:43.080] 周り人いんのにさ俺だけなんか何回も電話
[00:02:46.440] ブーブーブーブーなってお前ふざけんな
[00:02:48.000] ブブうるせえからやめろ言った悪い部分出
[00:02:51.080] てたな
[00:02:52.599] あいつま別にいいんですけど別にいいん
[00:02:56.680] ですけどあお疲れちゃん別にいいんです
[00:02:59.239] けど
[00:03:03.480] こんばんはあさん
[00:03:07.640] こんばんは何の電話
[00:03:11.319] な何の電話だったのあれわかんねんだけど
[00:03:15.519] 何配信中になんか電話俺に電話かけてたて
[00:03:19.280] ことでしょなんか
[00:03:22.200] わか仕事中はやめてくれ仕事中はやめて
[00:03:26.879] くれ
[00:03:30.000] から来いあそういう
[00:03:34.200] ことやいいんすよでちゃまゲーム呼ぼうぜ
[00:03:37.439] というで行く行けるわけねえ
[00:03:39.519] だろまあまあまあまあま別にねあのそんな
[00:03:42.560] 怒ってないすけどそんな怒ってないすけど
[00:03:45.120] 仕事中は無理だよ無理だろ仕事じゃ無理
[00:03:48.640] って言ってもかけてきたけどなあいつ無理
[00:03:51.159] だ
[00:03:52.680] よボテちゃんそういうとこ悪いとこ出て
[00:03:55.480] ました
[00:03:55.850] [笑い]
[00:03:58.720] ね別にねいいんすけどねそうそういうかけ
[00:04:01.599] てくれただけ嬉しいすけど
[00:04:07.280] ねま今日はてか今日から休みだよやったぜ
[00:04:13.280] おいやったぜまあなんか配信できるようで
[00:04:16.320] あんまりできないんだけどさちょっとね
[00:04:19.359] 24時間配信とかも入ってるしまあまあ
[00:04:21.440] まご連休やった
[00:04:26.680] ぜま明日明後日とちょっとねもないのか
[00:04:30.800] 笑笑うんいやままままままままあまあまま
[00:04:34.280] 別にそま悪いやつじゃねえからよだろおい
[00:04:37.880] そのちゃお疲れおラストハルマゲドン最後
[00:04:41.199] だぜラストハルマゲドンラストですよ
[00:04:43.759] やばくね来たついにエンディングだ今日
[00:04:47.440] 多分わかんないけどね多分ね多分
[00:04:49.120] エンディングだと思うわこれラストなだろ
[00:04:51.960] あれ多分もうラストって言ってたし
[00:04:54.160] ねで最後かちょっと寂しくなる寂しいよな
[00:04:58.360] なんか俺のチャンネルのさまちょっと
[00:05:01.840] その俺のチャンネルの若干なんかそのなん
[00:05:05.800] つうのかなして点だけどあのなんか顔じゃ
[00:05:12.039] ないけどなんつうのちょちょっとみんなも
[00:05:14.320] なんかやっぱこのゲーム特別感あった
[00:05:16.520] じゃん茶といえばラス
[00:05:19.000] ハゲねうお疲れパート数で言ったらもこ
[00:05:23.160] ちゃんお疲れもちゃれグッズ買おうぜ
[00:05:25.160] グッズねえよラスルパグ俺好きすぎて色
[00:05:28.280] 調べたけどてこんな面白いゲームなのに
[00:05:32.199] 全然グッズがないグッズとかないのよ
[00:05:35.000] アイテムなしほとゲームだけゲームと
[00:05:37.800] サントラしかないもうサントラ予約してる
[00:05:41.520] からもこちゃんこれもう最後ですようん
[00:05:44.360] そうだよねでもだどうやらねあのLPね
[00:05:46.960] どうやらねあのPCエンジン版じゃない
[00:05:49.000] らしいっ
[00:05:50.080] す俺も知ったわさっきこないだ知ったんだ
[00:05:52.720] けどPCエンジン版じゃねえだってマジか
[00:05:56.560] ラスハゲが終わるとは信じられんな前回の
[00:06:00.160] 時あんなにやったのにいそう寂しいよね
[00:06:04.160] もうあの曲聞けねえんだぜやばくない
[00:06:07.360] 寂しくないちょっと本当
[00:06:11.520] にだこれ終わったら俺何やろう喪失感が
[00:06:16.400] でけえ心に穴が1番ラストお疲れじん
[00:06:19.199] ちゃんそうだラストだよやばくねえか本当
[00:06:22.360] にちゃんとクリアまでやった
[00:06:23.830] [音楽]
[00:06:27.720] などゲムでござい
[00:06:31.039] カメラちょっと待ってラスト
[00:06:34.319] かがある
[00:06:36.680] じゃんドリクラはドリクラだ
[00:06:39.240] けどはいじゃ今日はこちらの
[00:06:42.800] ゲームラスト
[00:06:45.680] ハマド頑張ったなこれついに今日終わり
[00:06:49.599] ますよいやおもろかったマジでまだクリア
[00:06:52.880] してないのにこんなことなんだけど
[00:06:54.280] おもろかったこのゲームマジで面白かった
[00:06:56.919] 癒てだけラグエンド前にバグるでしょ
[00:07:01.680] いや最終回なんですぺてこんばんは主人
[00:07:04.759] さんこんばんはもうやばいよね長なかった
[00:07:08.080] 本当にだってだって本当に前回の前から
[00:07:11.599] やったらだって何ヶ月やってたよ前で2
[00:07:14.080] ヶ月ぐらいやってた2ヶ月思ったから1
[00:07:15.840] ヶ月やってま今回ま2ヶ月ぐらいかでも
[00:07:18.840] そうそうそうそう期間そう考えたらでも
[00:07:22.680] 長かったよねチマゲーム結構割とね早めに
[00:07:25.199] 終わるゲームがかったけどいやなんか配信
[00:07:27.599] で初めてじゃないからちゃんとこうなんか
[00:07:29.599] 1本なんかRPGを最初から最後までや
[00:07:31.840] るってのは早く壁の中見せてよやマジで
[00:07:34.680] やめてくれ最後の最後になったらどう
[00:07:37.199] するそしたらもうエンディング見るわ
[00:07:39.599] YouTube
[00:07:40.599] でいや
[00:07:43.039] 寂しい本当にいいゲームだったんですよ
[00:07:45.680] これ曲はいいわストーリーはいい
[00:07:48.960] わ
[00:07:50.800] ねちょ考え深いですけども始めましょうか
[00:07:54.120] ね慨深いですけど
[00:07:56.080] ねいや始めますかねPCエンジンCDこの
[00:07:59.639] 画面見るのももう当分ねえぞPCエンジン
[00:08:02.280] のゲームなんて多分そそうそんなにやん
[00:08:04.159] ねえから
[00:08:06.199] いやあちょっと考え深いなこのゲーム
[00:08:09.280] 終わるんかとか言ってまだ終わんなかっ
[00:08:11.560] たりしていやま終わると思うよ終わると
[00:08:14.960] 思うみんな言ってたし今日ラスト
[00:08:16.919] ダンジョンだよって曲は仕事中口ずさむよ
[00:08:19.440] ねいやマジわかるだからさ今日なんか俺さ
[00:08:21.960] 寂しくってさすげえ久しぶりにもう
[00:08:25.120] 聞き飽きてたから聞いてなかったんだけど
[00:08:26.840] YouTubeでこれの30分耐久聞いて
[00:08:29.080] たもん
[00:08:29.730] [笑い]
[00:08:31.440] 寂しくてさうわまでしかもやっぱさ色合せ
[00:08:36.080] ねえよなあんなに聞いてもやっぱかっけ
[00:08:40.039] もん始めましょうかちょっと今日今日は
[00:08:44.039] ごめん今日はいつものふざけじゃない
[00:08:46.200] オープニング見ていいかラストに15分
[00:08:49.720] ぐらいあるけど足んでいいかなぜ滅びたの
[00:08:53.399] か今となってはもう知るすも
[00:08:57.320] ないこの星やっ見るわごめちょここは見
[00:09:01.240] させて標できづくものはその姿音量大かな
[00:09:06.640] もっとあげるの一部となり解けていった
[00:09:10.440] こんなもんかただ後輩した地標が限りなく
[00:09:13.800] 続くシンプルで声ちっちゃいんよこいつが
[00:09:16.240] 幸いにも目に止めるものはい
[00:09:19.760] ない
[00:09:21.720] 今1つの歴が幕を閉じたのいや幕を
[00:09:25.760] 閉じようとしてるよマジでしかし
[00:09:29.480] はその力の偉大さを保持するかのように地
[00:09:33.160] の奥底に眠る生命体を呼び覚ました新しき
[00:09:37.680] 歴史を生み出すがため
[00:09:40.760] に美しい大地
[00:09:44.720] だこのが我らに帰ってきたの
[00:09:48.360] だ魔族の対等で
[00:09:51.959] ある星は新しき世界の明けに異業の州を
[00:09:56.240] 呼び覚ました声ちっちゃんだよな
[00:10:01.640] た我々魔族以外は全て滅んだようだ
[00:10:07.880] ないよいよ我々の時代が訪れたのだ早速魔
[00:10:13.240] に帰り報告するとしようか可愛いよ
[00:10:17.760] ね何者だ
[00:10:20.970] [笑い]
[00:10:23.680] わるが一瞬にして消え
[00:10:26.760] たは魔族のを認めなったのだろうか結局
[00:10:31.760] こいつ出てきてねえし誰なんだこれ今出現
[00:10:34.120] しこの殺戮を行った新たなる異業のものに
[00:10:37.959] 星さえも驚いたこと
[00:10:40.720] だろう異業のものは天より降りてきたま天
[00:10:44.480] と言ってもここ地下なんですけどね実星が
[00:10:46.279] 指定より魔族を呼び覚ましたのと
[00:10:48.600] 同じく変が彼方よりこの者たちを呼び寄せ
[00:10:53.279] たこのことを魔界に報告せねば
[00:10:59.780] [音楽]
[00:11:01.079] その口から1つの目玉がこぼれ落ちた瞬間
[00:11:06.360] その目を足に挟み天空へと飛び立つもがい
[00:11:10.639] たスケルトンよ足お前
[00:11:16.959] の手で持てばいい
[00:11:19.680] じゃん新しい歴史は相なる本当の春で幕を
[00:11:26.959] 開けた
[00:11:31.079] ここBGM神なん
[00:11:38.079] でやっぱいいわ
[00:11:40.680] これ
[00:11:42.880] かっけラストハルマゲドン
[00:11:45.180] [音楽]
[00:11:47.200] マジかっこいい
[00:11:49.260] [音楽]
[00:11:52.240] ここやべえ考えけな終わるんかこれ
[00:12:00.639] ここまででいっ
[00:12:02.760] かなめっちゃかっこよく
[00:12:07.160] ないやべえ寂しい
[00:12:10.399] なマジで寂しいこのゲーム終わんのラスト
[00:12:14.600] ダンジョンでございますもういきなりです
[00:12:16.519] けどねこれもラストかこれもラストだ
[00:12:20.279] ね
[00:12:23.199] 行こうめっちゃねごめちょっとマップ見
[00:12:26.839] ながらやりますよッ
[00:12:29.279] ちょマップ見て欲しいんだけどマップ見て
[00:12:32.199] 欲しいんだけどラストダンジョンのマップ
[00:12:33.680] 見てくれこれ
[00:12:35.399] URううるさごめん音うるせえ
[00:12:38.060] [音楽]
[00:12:43.040] やっぱラストダンジョンのマップえぐく
[00:12:45.560] ないこれ1回だからねすぎて笑うこれ1回
[00:12:48.560] だからねこれ1回これ1回これ何回かある
[00:12:51.480] らしいこれ5回ぐらいあるらしいもう見
[00:12:53.760] たってわかんねえよって話じゃん見たって
[00:12:56.279] わかんないわけよ
[00:12:59.240] どう行くんだよっていうねきつめっちゃ
[00:13:03.160] きついよねこれねマップ恐怖症出
[00:13:07.279] たどっから行くんだこれさマップ見ても
[00:13:10.480] わかんねつうのマジ
[00:13:12.959] でそれで化もするんやろぐいゲームよな
[00:13:18.240] そう
[00:13:19.839] どうああ分かった分かった分かったこう
[00:13:23.880] だ獲だ
[00:13:26.000] ぜ獲物がいたぜな
[00:13:29.360] てなん
[00:13:30.760] だいやまだBGMいいなラスダン
[00:13:33.670] [音楽]
[00:13:38.920] のわなんか寂しいマジ
[00:13:42.840] [音楽]
[00:13:48.480] でちょっとこのパーティーで行きたい
[00:13:52.120] なままたなんかこういうゲームあればね
[00:13:55.120] なんかやりたいけどねなかなかねえんだよ
[00:13:58.360] な
[00:13:59.680] BM違うよ第2部はBGM違うんだ
[00:14:03.000] よ第2部はBGM変わるんだ
[00:14:07.639] よ今日はでも最後にみんなで聞こうと
[00:14:12.519] 思うなんか見ないうちにパーティー鮮やか
[00:14:15.480] になってるじゃんそうそう前からこんなん
[00:14:19.320] だよえ今どこにいんの俺えここ来
[00:14:25.920] ていやわかんねえよこれどっから
[00:14:31.000] 行くなマップ見たって分かるか
[00:14:37.920] これでもこのビジもかっこいくね
[00:14:44.120] てて私からえてないん
[00:14:48.079] だ
[00:14:49.639] 笑あ前回見てないんだっ
[00:14:53.900] [音楽]
[00:14:56.120] け寝んの早いかなちょっとはなないわ
[00:15:00.279] 笑もう覚える必要もねえや終わりだもん
[00:15:03.560] 今日
[00:15:07.040] で
[00:15:09.000] オ前回秒で寝たんよあそうなんだ前回確か
[00:15:13.639] にストーリーがっつり進んだからねラスト
[00:15:16.360] なんか畳みかけるよう
[00:15:18.320] にやめろよ寂しい
[00:15:24.560] だろラスハゲ終わるんだな
[00:15:30.560] 待っ
[00:15:31.790] [音楽]
[00:15:38.600] て
[00:15:40.120] あどう行くんですかこれはこうこうこう
[00:15:44.000] こうこうで
[00:15:46.839] えまだこのゲーム終わらないでよいや
[00:15:49.920] 終わるんだよグルーポ終わっちまうよこの
[00:15:52.920] ゲーム
[00:15:54.600] こんばんはさんありがとうありがとう
[00:16:00.160] のアたの挑戦場みたいなクソゲーええ
[00:16:04.480] なえねえわしどこ行くんだこれマジで
[00:16:09.519] わかんねえこうこうこうこう配信が強
[00:16:12.199] すぎるよこう
[00:16:15.399] ニコニコ裏配信が強
[00:16:19.680] すあそうそう最初からやってんの最初
[00:16:24.000] から最初からやってんだよ
[00:16:29.800] 12345待ってねえええええここかここ
[00:16:36.199] だな2番目に入ればいいんだねうんフェイ
[00:16:39.759] チン
[00:16:42.920] エッチいやマジわかん
[00:16:51.040] ねえ
[00:16:53.680] [音楽]
[00:16:55.319] ああ何裏配信って何やってんの誰誰が何
[00:16:58.440] やってんの
[00:16:59.570] [音楽]
[00:17:03.759] テ08ハローテ08ヘッ08レベル
[00:17:08.959] めっちゃ上がっとるめっちゃ上がらざるえ
[00:17:12.000] でもやっぱなんかこれ平均的に上がんねえ
[00:17:14.520] なやべ今どこに行かわかんなかっっしから
[00:17:18.199] ん何やってっかわかんねどこにいるか
[00:17:20.799] わかんなかっちゃった
[00:17:23.160] よここか
[00:17:28.960] マジでロすぎて
[00:17:30.520] わかメンバこれヒキだねさんさんさんさが
[00:17:35.200] ちゃんでキャンプしてるあそういうこと
[00:17:37.820] [音楽]
[00:17:40.600] ね
[00:17:47.800] [音楽]
[00:17:50.160] うと裏配信強すぎるか別にいいんだよな
[00:17:57.540] [音楽]
[00:17:59.000] そんなことよりこのゲームが終わっちまう
[00:18:00.640] のがマジで
[00:18:03.020] [音楽]
[00:18:12.360] 寂しい寂しすぎ
[00:18:17.200] ねこのゲームの穴を埋めれるゲームは出て
[00:18:20.360] くんのか
[00:18:22.200] なマジで今日最終回だよこれ
[00:18:30.679] きっと腕を取って2周目するんだ
[00:18:34.120] ねっの
[00:18:35.840] 笑どっかの村やん
[00:18:39.910] [音楽]
[00:18:44.880] まじかいやマジ長かったでも本当ゆっくり
[00:18:48.440] 魔法思い出しとく
[00:18:51.280] わはいこれ
[00:18:53.440] がっとったけどこれ2階らしい
[00:18:56.720] すこが2階のマップ出すできればこの
[00:19:00.520] パーティーのまま住みて他弱すぎて
[00:19:03.170] [音楽]
[00:19:06.880] さまお猫もチャピもあんまりこのゲームま
[00:19:11.360] 言うてまださこれ最近だっただろうけど
[00:19:15.919] あのなちょっと前から見てるやつらからし
[00:19:18.640] たらな前はめっちゃみんなはまってバグっ
[00:19:22.120] て止まってできなくなったっていうのが
[00:19:24.240] あってそれもあってちょっとやっぱこの
[00:19:27.159] ゲームこのゲーちょっとやっぱ特別だった
[00:19:30.120] よないつやんの続きみたいな感じでずっと
[00:19:32.720] 言われてたしマップ出るまで待っ
[00:19:38.559] て終わるんだな戦闘離脱
[00:19:44.559] よセーブしとくうん待ってたねこれが
[00:19:49.880] 終わっちゃうんだセーブしとこうか1回1
[00:19:52.000] 回セーブしとこかごめんねえーマップ
[00:19:56.520] フロア2ここかな
[00:19:59.480] 新しいウンドで開いちゃおうか
[00:20:01.960] なここが2階のマップとなっております
[00:20:05.120] お前らにも見せてやるよこまセブ大事ね
[00:20:08.200] URL
[00:20:09.960] 省略も楽しくやってくれてるって思ってる
[00:20:12.880] から寂しさはないでいや俺が寂しいな俺
[00:20:16.760] このゲーム本当好きだった
[00:20:18.500] [音楽]
[00:20:20.919] からこのゲーム終わっちゃうんかいよて
[00:20:24.850] [音楽]
[00:20:26.200] いうと変わらんには僕夏もあるなんだこの
[00:20:31.760] マップちょっと待ってどっから行けばいい
[00:20:34.600] のかわかんねえっ
[00:20:37.559] てオ見えた見えた見えた見えたこれがナン
[00:20:43.280] フロアもあるらしいこれマジでマップ見
[00:20:45.640] なかったら一生終わんねえよなそういう
[00:20:48.280] ことか一生終わらなくてよかったのか
[00:20:50.760] ないやでもやっぱりクリアしたいじゃん
[00:20:54.480] やっぱクリアしてえじゃん
[00:21:00.520] なんこいつ気持ち悪てきた
[00:21:02.600] なでれば単体の敵はちょっと殴りで倒し
[00:21:06.240] たいかなクリアして欲しいわいやマップ
[00:21:09.400] 見るいやマップ見る
[00:21:12.039] よマップ見ますマップは寂しいけどマップ
[00:21:15.679] は見させてくださいこれ無理
[00:21:17.360] ですこれは無理
[00:21:24.830] [音楽]
[00:21:27.000] だろちょマップ見たってわかんねえぞこれ
[00:21:31.120] 俺今どこにいん
[00:21:32.720] の俺今どこにいんだ
[00:21:35.460] [拍手]
[00:21:39.120] えーっとここかここだなここにここって
[00:21:42.320] 言ってもめにわかんないとこうで外回りね
[00:21:45.000] オッケーこう行ってこうこうだなこうこう
[00:21:48.480] 外回りはいはいはい外回りぐるっと行って
[00:21:53.440] 2番に入るオッケーなんか敵単体が多い
[00:21:57.520] ね楽でいい
[00:22:00.120] [音楽]
[00:22:02.039] わでもラスボスとかあんだろ多分これ
[00:22:04.840] わかんねえけどラスボスめちゃくちゃ
[00:22:06.880] 強かったりして
[00:22:08.400] なレベル上げあと1週間かかりますみたい
[00:22:11.240] なあるかもしん
[00:22:13.740] [音楽]
[00:22:19.600] ね一旦ピンウドしないやだよそれはやだよ
[00:22:26.640] でもこれどうしようクリアしちゃい
[00:22:31.279] そうどうなんだろうわかんないめっちゃ
[00:22:33.480] 時間かわかんねけど
[00:22:39.400] さてか明日から休みなのめっちゃ嬉しいわ
[00:22:43.200] な休み中の配信はできれば毎日やろうとし
[00:22:46.080] てるけどま明日明後日ってちょっとできな
[00:22:48.159] そうなんでちょっとその後あのおうわや
[00:22:52.679] さんだ10ヶ月目です遅くなってごめんね
[00:22:56.799] やども気持ちありまティアさんじゃじゃ
[00:22:59.520] ないすか早く終わったら
[00:23:03.200] そのできるじゃんティアさんだ
[00:23:11.760] 2500円けろお様のおり
[00:23:16.100] [音楽]
[00:23:18.000] ださんです
[00:23:22.080] かだんだ遅くなってごめん
[00:23:27.440] ねさんじゃなくてもなんか毎回ピアさんで
[00:23:30.480] してくれてるけどきつく
[00:23:32.720] ね茶に毎月3000円払のきつく
[00:23:37.520] ないやめないやありがたいんだ
[00:23:41.840] けど平気だよ金持ちか金持ちだもんなログ
[00:23:46.799] エデアがガチャログやこんばんはやめな
[00:23:51.760] やめなっての変だ
[00:23:53.640] なヒローは遅れてやってくってこか
[00:23:58.840] 待ってあげサブスくれあ
[00:24:04.000] あらさすがしちゃんまずくなったら下げる
[00:24:08.520] ね
[00:24:10.120] 何何何あやばくなったら下げる1
[00:24:14.960] にログAではキチやんけ
[00:24:19.799] ゴルチケナイスすぎナイス
[00:24:22.640] ゴル久々に見たってきたらゴル
[00:24:28.640] 5で5ポイント多め
[00:24:31.840] ですでなんか今日なん本当考え深いなんか
[00:24:35.520] もうこのゲーム終わるの
[00:24:38.919] かこれ終わったら俺何
[00:24:42.159] やろうなんかさあのあれなんだっけあのさ
[00:24:47.360] あのドリームクラブあるじゃんドリクラ
[00:24:50.159] あれはなんか毎日やるんじゃねえんだよ
[00:24:53.360] そう毎日やるゲームじゃねえ
[00:24:55.919] からとかないのかるよこれ続編あるよ続編
[00:24:59.600] っていうか外伝っていうか1個だけ出てる
[00:25:02.559] んだよそれもまやろうかなと思ってるんだ
[00:25:05.760] けどまま連続でやるもんでもねえからま
[00:25:09.320] それRPGだから
[00:25:12.770] [音楽]
[00:25:14.000] さ何やろっかなマジ
[00:25:17.600] でキャバクラでもいいんだけどキャバクラ
[00:25:21.520] でも楽しみは取っておかないとかばんはあ
[00:25:25.320] たこんばんはたお疲れさんさん
[00:25:28.799] まなんかなんかまただからなんかサクっと
[00:25:30.679] 終わるやつはまあなんか入れる
[00:25:33.370] [音楽]
[00:25:34.679] けど何やろっか
[00:25:37.580] [音楽]
[00:25:39.720] な終わっちまうのかこれ本当バとカロリー
[00:25:43.760] 高すぎるから毎日やったら痩せちゃう
[00:25:48.600] よ次今俺どこにいんの
[00:25:51.679] これここでしょマジで迷路すぎるこれこう
[00:25:56.960] でオオオ
[00:25:58.880] はいはいはいはいはいはいはいはいまこれ
[00:26:00.840] ワープしたんで
[00:26:07.679] オまあまああれだななんか
[00:26:11.120] あのなんだっ
[00:26:14.360] け一旦戦闘画面行くと居場所マジでわから
[00:26:18.159] なくなるなねマジでね
[00:26:22.120] あのなんだっけあれあれあれあの
[00:26:25.640] リクエスト枠も消化しなきゃなんねんだよ
[00:26:27.880] な
[00:26:30.799] リワおアさんやあさんレドセキお疲れ
[00:26:35.080] ちゃんレドありがとうござい
[00:26:37.320] ますレドありがと
[00:26:40.399] ね俺は今日このゲームが終わっちまうのが
[00:26:43.440] 寂しいでよあるんだねリックめちゃくちゃ
[00:26:45.919] まだまだ超あるよやべえほど溜まってるよ
[00:26:48.799] 大渋滞でハリボテ死ぬほどっ
[00:26:52.799] てるナイスレド死ぬほど溜まっとんのや
[00:26:56.640] けど次の陸がさ
[00:26:59.080] まだRPGなんよねRPGいやもう頭
[00:27:02.799] ね
[00:27:04.559] RPG1週間だからちょっとどうしよっか
[00:27:07.799] なと思っててこれまたRPGだったから
[00:27:11.159] うんて感じなんだな順番関係なくやるいや
[00:27:15.919] でもそれじゃ申し訳ねえしな
[00:27:19.200] [音楽]
[00:27:29.600] またすげえマップだよ
[00:27:33.480] これURL省略どうどうなってんの
[00:27:41.559] これどう行くのこれえ分かったあでもここ
[00:27:46.679] 簡単だわたら者
[00:27:48.960] にいやまあでも順番通りやるよ順番通り
[00:27:55.960] やるもう見てもわからん
[00:28:01.240] 徴の画像かと思っ
[00:28:03.840] た内臓みてえだよなマジで
[00:28:07.000] なこれをさノーヒントでやったらマジで
[00:28:10.880] 終わんねえよ確かにこれ
[00:28:14.860] [音楽]
[00:28:21.200] はあ意外とダメージ食ってるね24とか
[00:28:24.200] ダメージ食らってんじゃん
[00:28:27.420] [音楽]
[00:28:33.480] 何気ちょっとダメージちょっと食らってる
[00:28:35.320] ねちょっとずつ
[00:28:39.080] ねなあこれでもラスボスどんくらい強ん
[00:28:41.880] だろめちゃくちゃ強かったりしてさ全然
[00:28:44.760] かわねえじゃんってなったらさ終わらない
[00:28:47.159] から
[00:28:49.840] ねそれはそれでいいんだけど全員この多
[00:28:52.960] ぐらい強かったらいいんだけどねめっちゃ
[00:28:55.399] 強レベル61だもんね
[00:28:59.559] それはそれで助かる的にクリアできそうな
[00:29:03.399] のわかんない数だってわかんねもん
[00:29:06.720] ラスボスがどんだけ強いかと
[00:29:08.600] かなんでそいつだけそんな高いのあのね
[00:29:12.399] これね
[00:29:15.480] あのもう間違ったもうげるもうちょっと
[00:29:19.880] 待って待て待
[00:29:22.640] てれたよごれ
[00:29:26.630] [音楽]
[00:29:28.640] なんか忘れちゃったごめん大丈夫えあげた
[00:29:31.679] のに待てなかっ
[00:29:34.519] た私もあげようと思ったの
[00:29:37.610] [笑い]
[00:29:40.559] にってくれようとして
[00:29:43.470] [音楽]
[00:29:46.279] たで悪ガチャで当ってたのにな女の子に
[00:29:53.919] はげガチャ
[00:29:58.159] てたのよあのサブスクね切れたら教えて
[00:30:01.720] つって言ってたんだけどごめん忘れてたし
[00:30:04.519] の待てばよかったか笑笑来月だ
[00:30:08.679] ななんもう1回言ってくれりゃあげたのに
[00:30:11.960] 来月忘れるなよ
[00:30:14.840] なマ隠れ
[00:30:17.720] 笑オオごめん
[00:30:20.110] [音楽]
[00:30:24.919] な行ったぞ笑笑もう1回言ってくれて
[00:30:29.080] よかったわり
[00:30:31.880] ちょっと予定表に書かなきゃね
[00:30:36.159] うん
[00:30:38.039] うちょっと待ってえ今どこにいんだ俺どこ
[00:30:41.120] にいんのこれわかん
[00:30:43.600] ねえマジで1回マップ見落とすとマジで
[00:30:46.640] どこにいるかわかんなくなるぐしぐしさん
[00:30:50.039] がましたすぎてそれはさすのんだ別にいい
[00:30:54.760] でしょ当ってんだ
[00:30:56.080] もぐさんがサえ
[00:31:00.559] ありがと
[00:31:02.440] ありがとう金持ちちげえ
[00:31:05.080] な金持ちちげえ
[00:31:08.720] 金持ちはちげえ
[00:31:10.960] もう5000円近く使ってんじゃ
[00:31:14.279] ないどここれマジで感謝しろ
[00:31:18.430] [音楽]
[00:31:23.880] ニコニコありがとね
[00:31:26.700] [音楽]
[00:31:36.159] いつも助かってます笑ったいやマジでそう
[00:31:39.600] よしちゃんだってもうこのサブギフで何個
[00:31:43.519] よてくれるかないつまでこの
[00:31:47.519] まいつまでこのままデブだよ別にいつまで
[00:31:50.960] もデブじゃん何の心配じゃそれえこう来
[00:31:56.399] てこうて
