[00:00:26.240] はいどう
[00:00:28.119] もはい
[00:00:30.880] はいちゃまゲームですはいお疲れはいあい
[00:00:35.559] お疲れちゃんどうもこんばんはチマゲーム
[00:00:38.760] ですよと今日
[00:00:40.280] はよっ
[00:00:42.079] と今日はですねやってきますよとはいはい
[00:00:46.600] はい寒ちょっと冷房寒もう冷房ガンガンよ
[00:00:50.480] 冷房ガンガンまる冷房じゃなくて除湿なん
[00:00:53.800] だけど
[00:00:55.320] 寒なんかわかんない勝手な勝手なあれだよ
[00:01:00.840] 勝手なあれだけどよあもこちゃんお疲れ
[00:01:02.680] あれなんかこれ棒読み切ってる棒読み切れ
[00:01:04.280] てるなん棒読みなってなくねつ読みなって
[00:01:08.360] なく
[00:01:09.759] ねあつ読みなってねえじゃん意味がわから
[00:01:13.920] ん何してんだよ何してんのばんちゃん
[00:01:19.600] こんばんは切れそうマジでこれでどうこれ
[00:01:24.280] なんかコメしてみ
[00:01:26.400] てなってないです
[00:01:28.920] ねなりましたなりまたどうもちゃまゲーム
[00:01:32.600] ですあのお元気ですかなってお元気ですか
[00:01:38.360] あの今日はですねあの月刊じゃない週刊
[00:01:43.799] ビッグバイターを作る関ということで今日
[00:01:47.799] あの茶あいいタイトル俺それすれよかった
[00:01:50.320] あそれもらおうそれもらおう今から付け
[00:01:53.040] 直そうゴスティスティーにすればよかった
[00:01:58.840] よ卵スティーだからあれだよ今日は羽を
[00:02:02.680] 組みますで来週初回は590円から初回
[00:02:06.680] だけ半額にしていいネーミング
[00:02:09.000] スめてくださいあれあれを最後まで行ける
[00:02:12.920] やつ0人説初だシさんこんばんはひしさん
[00:02:17.480] こんばんは初回だけあれずるいよな初回
[00:02:20.519] だけ安いのずるくないあれそういう先輩な
[00:02:23.360] んだろうな絶対最後
[00:02:25.120] までな城を作る相関あれ作ったやついんの
[00:02:30.070] [笑い]
[00:02:32.160] 声部品あるよなそう高い部品だただから
[00:02:36.239] 今日も今日ねあのプラモデル配信なんす
[00:02:38.879] けど今日あのプラモデル配信でプラモデル
[00:02:42.159] 作るんすけどあれっすよあの今日羽しか
[00:02:45.120] 作らないっす今日は今週はで来週また
[00:02:48.120] ちょっとずつやってきましょう最後まで
[00:02:50.280] 行けるかわかんない
