[00:00:00.040] いつの前かけの底根に見えている
[00:00:02.879] かありがとうもう限かあありがとうな
[00:00:06.120] ランディもありがとうおやすみみんな限界
[00:00:09.320] まで付き合ってくれるの嬉しいね俺だっ
[00:00:11.599] たら眠くなったらほっといて寝るけどな
[00:00:13.559] 配信
[00:00:15.520] なんて俺だったらほっとといて寝るけどな
[00:00:18.080] いつまでやってんねんこの配信者アホが
[00:00:19.880] つってみな優しいね限界まで付き合って
[00:00:22.880] くれるんだ
[00:00:25.439] もんうーんやっぱ鋼の剣欲しいな
[00:00:31.840] 鋼の通欲しく
[00:00:34.130] [音楽]
[00:00:35.840] ね確かお金とか落ちてたようなあ
[00:00:41.960] マジそこ敵は強いの行くだけ行ってみる
[00:00:47.800] かマニマーニャとミネアがいれば絶対
[00:00:50.719] 大丈夫だろ行けば分かるさ行けばわかる
[00:00:54.520] 行かないとわかんないピタっとすはいはい
[00:00:57.800] はい
[00:01:00.239] ここ
[00:01:02.280] な
[00:01:06.159] 何この背景初めて見た毒のちのとこで戦い
[00:01:11.040] なっ夢を信じる
[00:01:13.360] ぜ行こう
[00:01:17.400] ぜ私の占いではこの洞窟に我々にとって
[00:01:20.439] 必要なものはないと出ました嘘つけ信じて
[00:01:23.119] いただけるならここから出ませんか
[00:01:24.680] いやいやそれとも私の信じられとひどい
[00:01:27.520] あんまり
[00:01:28.920] です基本的に洞窟で嫌いなのよ何か目的が
[00:01:32.200] あるって潜るなら我慢もできる意味がない
[00:01:34.040] なら借りたいわいやここには何かがあるし
[00:01:39.840] えサンドマスターとうんこんくらいだっ
[00:01:43.040] たらいける
[00:01:43.880] [音楽]
[00:01:46.680] なこんくらいだったら
[00:01:49.750] [音楽]
[00:01:53.840] いけるうんこんくらいだったら余裕だわ
[00:02:00.520] 俺には分かるん
[00:02:02.439] だこの先には何かが
[00:02:08.520] あるム枯渇だけは気をつけてそうだじゃあ
[00:02:12.360] もう作戦変えるか
[00:02:14.670] [音楽]
[00:02:33.400] だって取りに来ないで転売で終わらしたん
[00:02:35.959] だから
[00:02:39.680] 笑あこういう
[00:02:42.400] [音楽]
[00:02:52.879] スタイルここそんななんかあんのかよ本当
[00:02:55.280] に
[00:02:56.800] 回収ここ本当になんかあんのかよ安定の
[00:03:02.640] 転売本当にここなんかあん
[00:03:05.110] [音楽]
[00:03:10.280] のこのシーン
[00:03:13.159] いるこのワンクッションいる
[00:03:16.550] [音楽]
[00:03:27.799] かうわ
[00:03:32.879] これ大丈夫
[00:03:34.660] [音楽]
[00:03:46.280] あ大丈夫ああ全然平気
[00:03:49.740] [音楽]
[00:03:53.360] な全然平気だ
[00:03:55.640] ね
[00:03:57.239] ういいね
[00:04:01.599] HP伸びるねやっぱ勇者だ
[00:04:05.799] ねで何ここわ宝いっぱいあんじゃん
[00:04:12.180] [音楽]
[00:04:45.800] まくこの洞窟はどうなってんだ宝箱が取れ
[00:04:48.120] はしねえじゃねえ
[00:04:49.639] かうわめっちゃ宝ある何それ
[00:04:52.470] [音楽]
[00:05:11.840] お解けるか
[00:05:15.240] な
[00:05:17.390] [音楽]
[00:05:26.759] 部迷わず行けよ
[00:05:31.560] 迷わず行ったる
[00:05:32.760] [音楽]
[00:05:37.440] わ
[00:05:41.400] ああこの洞窟クリアしたらやめるわ6時
[00:05:44.560] までじゃなくてちょっと早めに寝て少しで
[00:05:46.639] も早く起きれるようにしたいと思うどうだ
[00:05:49.280] いどうだい
[00:06:00.199] おおなるほど
[00:06:02.600] ねあマジだここめっちゃお金お金じゃない
[00:06:06.319] 宝箱ある
[00:06:08.800] ねオッケー
[00:06:12.840] [音楽]
[00:06:52.000] ええマジだお金だ
[00:06:56.870] [音楽]
[00:07:02.639] もうこれはあれなんじゃ
[00:07:06.160] ね3勝でここに来ないで5章のために取っ
[00:07:09.560] とくって結構な
[00:07:12.360] 結構いいあれ選択だったんじゃない俺測ら
[00:07:17.240] ずもこうなったけど3章でここのお金を
[00:07:20.199] 取っておかずに5章のために取っておく
[00:07:22.960] これ
[00:07:25.520] 結構人プレーの中でもこ結いいいあれかも
[00:07:30.039] しんねえな人生プレーのあれでも転売し
