[00:00:28.760] はいお疲れ様です
[00:00:31.199] はいしもちゃんロムてありがとうやってき
[00:00:33.079] ます
[00:00:34.600] せやりますよ今日もおはようございます
[00:00:38.360] はいえお疲れ遅くなっちゃいましたどうも
[00:00:41.039] どうもこんばんはチゲームでございます
[00:00:43.760] すいません昨日はちょっと眠っちゃいまし
[00:00:45.480] て配信できなかったんですけど今日は
[00:00:47.160] ちょっとやりますかまあまあまあまあ
[00:00:50.039] 前回ねドラゴンクエスト4え表のラスボス
[00:00:55.480] デスピサロクリアしたということでね今日
[00:00:57.520] から第6章え
[00:01:00.440] ボスつうことでねやってきますけどもえ
[00:01:04.960] レベル上げかな今日は
[00:01:07.240] ないや遅くなっちゃいました今日ちょっと
[00:01:10.600] お出かけしてましてえまTwitter見
[00:01:13.040] てた人は知ってるかなお出かけしてたんす
[00:01:16.759] けどうんちミュージアムっていうところに
[00:01:20.320] あのは行ってまし
[00:01:23.320] たうまうんちミュージアムねあの僕が普段
[00:01:27.720] 仲良くしてるえ配信者のね太陽神ハニさん
[00:01:32.119] という方がいるんですけどもどうしても
[00:01:34.240] うんちミュージアムに行きたいとどうして
[00:01:36.560] ももううんちが好きでたまらんということ
[00:01:39.079] でうんちミュージも行きたいんだけど
[00:01:41.600] よかったら行こうよっって言われたんで
[00:01:43.520] 行ってきたんす
[00:01:45.079] よすごかったねうんちうんちうんちでした
[00:01:49.520] よあの
[00:01:51.960] あのすごいんだよねなんか
[00:01:55.240] あの声がすごいあの常にっちゃ子たち
[00:02:01.200] の何叫び声というかなんだろうなんか
[00:02:06.920] うんちっていううんちってすごい
[00:02:10.879] こうとてつもない量でこう言ってるんです
[00:02:14.040] よね常
[00:02:16.200] にんすごいなんかすごいな俺の知らない
[00:02:19.800] 世界ってあるなって思って面白かったすね
[00:02:22.640] 面白かったはい主さんこんばんはどうも
[00:02:25.160] こんばんはすいません昨日なくて寝ちゃい
[00:02:26.920] ました昨日疲れて寝ちゃいましたなので今
[00:02:30.000] はちょレベル上げかなレベル上げしてこう
[00:02:32.879] かなと思いますけどもねえええええやって
[00:02:36.080] いき
[00:02:37.640] ましょう
[00:02:40.800] あれっか
[00:02:44.159] よしてかさメタルキングどこに出んねん
[00:02:48.239] メタルキング今日メタルキングがりしてえ
[00:02:50.159] なと思って10レベぐらいがっつり開けて
[00:02:54.000] 行きたいかなってちょっと思ってんだよ
[00:02:57.159] ねちょメタルギングちょっとちょっと
[00:03:00.640] ましょうメタルキングを探すだな今日は
[00:03:03.000] 移民を集めながら移民の村を発展させてえ
[00:03:08.599] メタル
[00:03:09.560] キング探してレベル上げしてかしていき
