[00:00:04.560] G
[00:00:05.390] [音楽]
[00:00:13.799] 再びはいお疲れさごめんごめん
[00:00:18.039] ごめんどうもどうもこんばんはバブ
[00:00:20.560] こんばんはえしもちゃんもおはようごめん
[00:00:23.560] 1回ちょっと一瞬ちょっと切れちゃった
[00:00:25.720] よし今日もやりますかねやりますかね今日
[00:00:31.000] も行きましょう
[00:00:33.160] ねキャバクラ行こうぜ
[00:00:36.600] キャバクラ今日もやっ
[00:00:40.640] てくえ今日からあれなわけですよ
[00:00:44.480] ターゲットを決めてえー攻略していきます
[00:00:47.840] からねよし
[00:00:51.199] 楽しみあっちいなあっちよ
[00:01:04.860] [音楽]
[00:01:08.560] よしいやあ疲れた
[00:01:12.280] な仕事疲れ
[00:01:15.400] た今週末からみんなお盆休みか羨ましいぜ
[00:01:19.680] 俺お盆休みさあれなんだよ
[00:01:23.840] な4日ぐらい4日間しかないんだよ
[00:01:28.920] ねちょっと厳しくないしんどくないみんな
[00:01:33.520] 何日ぐらいあんだろうあいや言わなくて
[00:01:36.280] いいやっぱ言うとなんか俺がへこむ
[00:01:40.439] からやみてえよ
[00:01:45.000] もっと4日間のうち3日間を配信に使う
[00:01:49.399] 予定なんすよ今週の土曜からな
[00:01:52.960] あのマイクラやるからさマイクラあの退去
[00:01:57.840] 配信やるから
[00:02:00.360] 48時間だろ大体3日間使っちゃうわけ
[00:02:03.320] ですよ丸2日ってことはまま3日なわけ
[00:02:06.759] ですよでその後1日休んだらもう仕事だ
[00:02:10.920] よふざけやがってでもいいでもいいんだ夜
[00:02:16.599] 配信できる
[00:02:18.720] からあんな感じでねやってきますよ今日
[00:02:23.440] も
[00:02:26.560] ポチうんうんうん
[00:02:30.400] うんうんうんうん
[00:02:33.000] うんはいはいはいはいはいオオオやってき
[00:02:36.319] ましょうね今日もねはいはい
[00:02:39.350] [音楽]
[00:02:40.840] とあ
[00:02:44.460] [拍手]
[00:02:50.480] あああ今年のハロウィンはキャバ嬢の
[00:02:53.319] コスプレして欲しいおいすはいお疲れわこ
[00:02:56.800] いす
[00:03:00.239] キャバ嬢のコスプレっ
[00:03:03.959] てあの女装1回ガチで本気のメイクしてみ
[00:03:10.040] たいんだよねガチメイクさがさんでもうち
[00:03:14.319] に呼んでやってもらおうかなガチ
[00:03:16.860] [音楽]
[00:03:21.319] メイクうまいうまいねおはようござい
[00:03:26.040] ますおいおいおいおいおい今日うえ待って
[00:03:31.200] おいいつの間にかフォロワーが1300人
[00:03:34.439] になっ
[00:03:35.400] てるまった
[00:03:37.879] ね1300人え嘘俺全然見てなかったわ
[00:03:42.040] 最近フォロワー
[00:03:43.439] こんじゃないガチなやつねあれ別に女装
[00:03:47.239] じゃねえだろ
[00:03:49.760] あの全然最近フォロワー数は見てなかった
[00:03:52.760] んだけどいつまでか1300になってん
[00:03:55.439] じゃんまいったね1200人記念やるって
[00:03:59.959] 言ってたら1300なっちゃった
[00:04:02.000] ありがとうございますいやありがたいです
[00:04:03.560] ねいやありがたいフォローもありがたい
[00:04:05.760] フォローってのもやっぱありがたいですね
[00:04:07.439] ありがたいんだけど
[00:04:10.000] まあまあまままままでもねこう見に来て
[00:04:13.120] くれる方が嬉しいかなやっぱ
[00:04:15.320] ねそっかもう13001300人記念とか
[00:04:18.759] やるなんかなんかさそのさ休みさえあれば
[00:04:22.320] もう長時間配信やってんじゃん毎回10
[00:04:25.320] 時間以上当たり前にやるじゃん休み休みが
[00:04:27.520] あればね休みがないんであんまりやって
[00:04:29.080] ないけど休みさえあればだてこないだのこ
[00:04:32.320] ね次の土日も48時間やるっつって記念
[00:04:36.520] 配信って何やればいいかわかんなくなっ
[00:04:38.280] ちゃったんだよなとか1000人ごとで
[00:04:39.919] よくね何が何が何が何が1000人ごとで
[00:04:43.440] 言って何
[00:04:44.680] が記念配信あま別にうん記念配信って俺
[00:04:49.000] あんまりやってねえんだよなやってねえん
[00:04:51.479] だよなでも22ってだいぶ先だ記念配信
[00:04:55.039] いやなんかにあのなんか長時間配信になれ
[00:04:59.039] ちゃうとさ
[00:05:00.560] 何やっていいかわかんなくなるよな何やっ
[00:05:03.320] ていいかわかんねえ
[00:05:05.039] わ記念ってなんだろうなまま元々あんま
[00:05:08.880] やってなかったけどね600人の時に1回
[00:05:12.360] やって1000人の時に1回やってだから
[00:05:16.919] まそんなにやってないんだよねそんなに
[00:05:19.440] やって
