[00:00:08.960] うんどうもこんばん
[00:00:12.759] なすパパパはいどうもこんばんはどうも
[00:00:16.480] 遅くなりやしたさせすいやせん遅くなり
[00:00:20.880] やしたちょっと所持場で遅くなりました
[00:00:24.720] どうもこんばんはチバゲームですけども
[00:00:27.800] おはようございます
[00:00:30.119] どうもどうも遅くなった遅くなった遅く
[00:00:32.439] なったはいはいはいはいはいどうもどうも
[00:00:35.360] ちくらこんばんはちこんばんはしもきん
[00:00:37.840] ちゃんも今いるかなもう1時間以上前に
[00:00:40.239] コメントしてくれてんだよなあロってる
[00:00:43.320] ありがとうはいはいはいえこんばんはもこ
[00:00:45.160] ちゃんこんばんはいやあのねちょっとね
[00:00:48.239] あのねあのねさこんばんはちゃうねんあの
[00:00:50.320] 今日ちょっと裏で
[00:00:52.079] さっき今週のね日曜日に今の日曜日にあし
[00:00:57.359] ちゃんのさイベント出るじゃん
[00:01:00.079] イベント出るでしょであのなんつうのかな
[00:01:03.160] あのチーム分けであのパーティーアニマル
[00:01:05.760] が燃えたか昆虫のね昆虫のそう今中の
[00:01:08.600] 日曜日にあのしちゃんのイベントがあるん
[00:01:11.600] よでパーティーアニマルズをねみんなで
[00:01:14.000] やるあの配信者でさ別れてやるそれでうち
[00:01:18.040] のチームの俺とさがちゃんとみみさん
[00:01:20.840] みするさんちみさんとえっとタブちんさん
[00:01:23.720] 4人でちょっと顔合わせとなんかどんな
[00:01:26.159] ゲームかだけちょっとやっとこうぜつって
[00:01:28.560] あのすぐ終わるから話してたら3時間やっ
[00:01:30.960] ちゃっ
[00:01:31.720] た面白すぎてごめんごめんな面白すぎて
[00:01:35.479] パーティーアニマルズ3時間やっちゃった
[00:01:37.040] みんなでクソおもえわあのゲーム笑笑あの
[00:01:40.040] ゲームくそ
[00:01:41.439] おれマジで面白かった綺麗なちみ
[00:01:45.040] さん楽しくなっちゃったね楽しくなっ
[00:01:47.600] ちゃったそうチミねえチミねえとあの佐尾
[00:01:52.759] とタブちんさんでやってきたよ面白かった
[00:01:55.159] わ楽しみみんな日曜遊び来てな日曜遊び来
[00:01:59.479] てなこんな感じでございますちょおもろい
[00:02:01.640] タブちんさんタブちんさんめっちゃいい人
[00:02:04.119] だったよめっちゃいい人だった超丁寧に
[00:02:06.280] 教えてくれた
[00:02:08.160] しいやよかったよかったおもろかったま
[00:02:12.080] ちょっとこの時1時間あのあれしました
[00:02:13.920] けどもまやりますドラクエやりますからね
[00:02:16.239] ドラクエあとイケメンねめちゃくちゃ
[00:02:19.920] ねめちゃくちゃイケメンしかも
[00:02:22.080] めちゃくちゃあのなんなんOBS使い
[00:02:25.000] こなしてるよなあの人それも後で教えて
[00:02:27.519] もらおうそれも後で丁寧に教えてもらおう
[00:02:30.879] やりますからねこの時間からですけどもで
[00:02:34.440] もちょっとごめんこの時間からアド俺明日
[00:02:37.800] 出張なのね落すの教えてもらってきてあれ
[00:02:40.560] ねすごいよねあのちょっと早めに終わるわ
[00:02:44.040] 今日1時半やっても1時半ぐらいまでやり
[00:02:47.720] ますからよろしくお願いしますまた出張
[00:02:51.360] ああまた出張明日スーツや告できないもん
[00:02:55.120] ね明日はスツだねまあまあまでも新幹だ
[00:02:58.920] から新だ
[00:03:01.080] 寝新幹線の中で寝るから大丈夫往復6時間
[00:03:05.200] ほぼ寝
[00:03:06.440] ます寝ます朝さえきれれば
[00:03:09.799] 勝ち新幹乗ったらも寝はいお疲れはいお
[00:03:13.480] 疲れお疲れお疲れ主さお疲れくなりました
[00:03:16.480] すいませんちょっとパーティーアニマルズ
[00:03:19.640] 裏で練習してたら面白すぎて3時間やっ
[00:03:22.280] ちゃいましたすいませ
[00:03:23.290] [笑い]
[00:03:25.200] んまやりますからねドラゴンクエストく
[00:03:29.840] それがさまた静岡なんだよ
[00:03:32.680] ねもう良くない何回行くんだよもうホーム
[00:03:37.920] になってきた静岡がまた静岡なんだよね
[00:03:41.400] たまたまだよたまたまたまたままた静岡
[00:03:44.560] どんだけ静岡行くんだ
[00:03:46.920] よまたかよまた爽やかいや爽やか分明日は
[00:03:50.560] 無理だと思う明日新幹線移動だから車じゃ
[00:03:52.560] ないから自由に移動できない検索しよか
[00:03:55.640] あんま時間ないと思いましたのたぬき結び
[00:03:58.280] は食べた何それ
[00:04:00.319] 何たぬき盗ってあドラゴンクエスト
[00:04:02.920] モンスターズスーパーライト左するらしい
[00:04:04.959] ねこんばんはもうやってないけど前は
[00:04:08.040] ちょっとですこんすきさんこんばんはすき
[00:04:10.280] さんこんばんは今日もやりますちょっと1
[00:04:11.879] 時間押しちゃいましたけど帰り日帰り
[00:04:13.879] 日帰り日帰りダガガのおにぎりうん食いて
[00:04:18.160] うまいよ
[00:04:21.479] へえなんか悪魔のおにぎりみたいの昔
[00:04:25.720] なかった同じような
[00:04:27.240] やつ大変だねでもてる
[00:04:30.280] りつも寝てるだけだからねはいのきちゃん
[00:04:32.840] もこんばんはのきちゃんあそうなんだのき
[00:04:35.400] ちゃんもこんばんは生きてます生きてます
[00:04:36.800] ちょっと裏であのちょっとあの日曜日の
[00:04:41.400] イベントのね顔合わせとあのあれをしてた
[00:04:44.039] んですよチームのねあの俺とチームが俺と
[00:04:47.440] え佐とえチミねーとえタブちんさん4の
[00:04:53.880] チームなんだけどそれでみんなで4人で
[00:04:55.280] 初めて顔合わせしてパーティーアニマルズ
[00:04:57.720] の練習をしてたんだけどめちゃくちゃ面白
[00:04:59.680] 色したせいで強くなって終わりな仲めっ
[00:05:05.080] 面白かっ
[00:05:06.280] た色々追加しあそうなんだまあまあまある
[00:05:09.360] あるだなやってき
[00:05:12.680] ますよどうもこんばんはやってったらそこ
[00:05:16.400] がってるあそうなんだちょっと調べてみ
[00:05:19.240] どうもこんばんはめちゃくちゃおしえわ
[00:05:21.800] あのゲーム今度配信でもやるわあそうなん
[00:05:24.880] だ静岡お今日はんやろなやりますから今日
[00:05:29.720] ドラクエですよ今日はドラゴンクエスト
[00:05:31.319] やってきますからよろし頼みます安い季節
[00:05:35.280] になっ
[00:05:36.520] たパーカーは最高ですねパーカーは最高
[00:05:40.280] やりますドラクエドラクエあま時間ねえ
[00:05:43.639] からサクサク行く
[00:05:44.980] [音楽]
[00:05:48.960] ぞつんねちょっと待ってんねなんで
[00:05:52.720] ドラクエがつん
[00:05:54.080] ねちょっと待ってくださいね線がそうだ
[00:05:57.000] あれだあれだのコントローラーに変たんだ
[00:06:01.240] ん大丈夫今今映るから待って
[00:06:03.840] えーよいしょよいしょよいしょよいしょ
[00:06:06.720] これ
[00:06:08.960] はいオオオオ
[00:06:14.319] オやってきますそろそろクリア近いって
[00:06:18.199] いう話なんですけどどうでしょうか
[00:06:19.639] そろそろクリア近いみたいなんだ
[00:06:22.160] けど行きますよろしくお願いいたしますえ
[00:06:26.960] てかみんなもパーティーアニマルズ買いな
[00:06:28.639] よやろうぜみな
[00:06:30.360] ことは偽トロなのかうんうんそうニセトロ
[00:06:33.880] これ充電器とこれがマイクロUSB顔
[00:06:37.840] シューティングやる顔シューティングいい
[00:06:40.120] よ今度やろう
[00:06:42.319] なさあやってきますもう持ってるよあ持っ
[00:06:46.360] てるあれめっちゃおく
[00:06:48.160] ねよしあれ昨日どこあれだあれ倒したんだ
[00:06:52.720] よ
[00:06:54.039] なあれ倒したんだえめっちゃおもろいよ
[00:06:57.120] マジであれをクリアしたんですよなんだっ
[00:07:00.879] けブオンを倒しましたブオンをねブオン
[00:07:05.360] 倒したらなんかいいことあんの
[00:07:08.199] かあ最後の鍵手に入れたんだ最後の鍵手に
[00:07:13.280] 入れた
[00:07:14.720] からあれだよもう行けねえとこねえんだよ
[00:07:17.560] えなんかさおすめのさ宝箱ある
[00:07:20.970] [音楽]
[00:07:22.800] かどこ行けばいいんだろうもうでも本当
[00:07:25.759] どこに行けばいいかわかんなくなっちゃっ
[00:07:27.120] たよ
[00:07:28.520] ね最後のを手に入れてがあげたグのさつに
[00:07:32.039] さああうんうん写真あげたねたくさんいい
[00:07:35.479] ねいただきありがとうございましたえー
[00:07:38.000] どこ行こっか
[00:07:42.120] なガンガン進みたいんだけどエルヘブン
[00:07:44.840] 行くかじまさんのせいで最近桜あゆしか見
[00:07:48.280] て
[00:07:48.919] ない俺のせいじゃねえだよおめえがただ
[00:07:52.319] はまってるだけだべ猫事件思い出したああ
[00:07:55.400] そうそうそうあのトネ事件ねあのち村
[00:07:57.680] でしょ
[00:07:59.720] 古で買ってきた配信でやろうと思ったらさ
[00:08:01.560] データ消そうと思ったらなんか本当に
[00:08:03.639] データ消していいですかちんこ村のデータ
[00:08:05.680] が消えますけどみたい
[00:08:07.280] な爆笑したわあれな懐かしいなあんな
[00:08:11.120] アクシデントもあったなでここどうするん
[00:08:14.080] だっ
[00:08:15.759] けでも桜あゆという存を知ったのはまさん
[00:08:20.039] のせいだよおこ懐かしいここ何やるんだっ
[00:08:23.240] けなここって
[00:08:27.520] さあだけもらえるのって絨毯
[00:08:35.640] だけ何すんだろうこの後わから
[00:08:41.320] ねえね嫁さんって結局どこにいるの嫁
[00:08:45.800] そろそろ助けてもいいんじゃねえの
[00:08:51.240] なあちょっと稽古下げるかとアイテムいく
[00:08:55.080] つかじゃなかったオオなるほどもさん
[00:08:58.000] こんばんはもやんこんばんはね天空どっか
[00:09:01.120] やっちゃったんだ
[00:09:02.240] けど天空場って行けんのこれあ行ける
[00:09:05.040] よかったよかったよかった天空どこに止め
[00:09:08.120] たかられないよしよしよよしよよこれ
[00:09:13.399] でこれでも行ってねえとこガンガン行こう
[00:09:16.040] ぜ行ってねえとこねえけどな正直行って
[00:09:19.079] ねえとこねえんだけど
[00:09:21.240] ねビアンカ選んでないだとデボラに決まっ
[00:09:25.160] てんだろDS1だぞなる
[00:09:29.519] これどこに行けばいいん
[00:09:32.700] [音楽]
[00:09:34.320] だろうここじゃないし
[00:09:38.640] ねこれもう光の教団行くのか
[00:09:42.959] ななんかもうクリア近いでしょこれブオン
[00:09:47.120] 倒した
[00:09:49.079] しここか違うなこんなとこじゃない
[00:09:56.760] ねどこ行きゃいいのかわかんないんです
[00:10:02.399] あと天空の鎧も持ってないよ俺天空の鎧は
[00:10:05.200] どこでもらう
[00:10:07.480] のデボラはどこだえ天空の教団で光の教団
[00:10:12.640] でしょラキさん
[00:10:14.000] こんばんは光の教団だよねあれてどこだっ
[00:10:23.760] けってねえとの団の場所どっかでけた気が
[00:10:27.320] するなんかけたのよなんか山の上にある
[00:10:30.959] から多分これで行くと思うんだけどどう
[00:10:33.320] だったかなまだ取得できる条件揃ってない
[00:10:36.279] えそんな最後なの鎧いブーちゃんばロット
[00:10:39.680] シリーズてにあうんちゃんこんばんはうん
[00:10:41.560] ちゃんこんばんは遅くなりましたこの時間
[00:10:43.440] からですがやってきますよ鎧もうちょっと
[00:10:45.680] だよもうちょっとどこ行きゃいいの
[00:10:49.240] これどこ行くんだ
[00:10:52.279] よここじゃないねあ分かったここだこれあ
[00:10:56.560] ちげえ
[00:10:58.240] しやべえ今日日これで終わったらごめんな
[00:11:01.399] 今日これで終わるかも3時間今日クリあり
[00:11:04.720] ますかえどうだろう
[00:11:08.920] あるないないかさすがにないかここでしょ
[00:11:12.920] ここってどうやって行くのよ無理っす笑無
[00:11:17.600] もわから
[00:11:18.519] ないあれこれ行くんじゃねえのここじゃ
[00:11:21.279] ねえ
[00:11:22.519] のここじゃねえの
[00:11:25.200] [音楽]
[00:11:33.639] ああ何していいかわかんなくなっちゃっ
[00:11:37.760] たおこな優雅なBGM聞いて終わるぞ今日
[00:11:42.399] これそこはもうちょっと身軽な乗り物で
[00:11:45.639] 行く何あれあれが光光の教団だべあれが
[00:11:51.000] あそこに嫁がいるんだ石になった嫁
[00:11:55.519] がえごめんマジで何やっていいかわかん
[00:11:58.360] ないただ眠くなるただ眠くなるね
[00:12:01.639] これただ眠くなるのこれなどこから行くん
[00:12:05.160] やろヒルの
[00:12:07.519] 教団牛場か天空の城の中探索し天空の城の
[00:12:12.680] 中探索したしたんじゃないのしてないかな
[00:12:15.519] え天空の城ってどうやって行くの天空の城
[00:12:19.199] ってどうやって行けろっていうかここだよ
[00:12:20.600] これだ
[00:12:22.360] よ牛場牛の舞
[00:12:29.600] 俺もツートンにしよっかな鳥のBGMも
[00:12:32.160] 眠くなるあれいい曲だよな城の中に水に
[00:12:35.399] 閉じ込められた人人が何人か残ってね時間
[00:12:37.360] をため眠ってたあなるほどねここちょっと
[00:12:40.760] じゃ探索しますなんか情報くれそうじゃ
[00:12:46.320] ないなんか情報くれそうじゃないラーミア
[00:12:49.800] の曲は眠くなるね神局だよなあれないや人
[00:12:53.360] いる
[00:12:54.320] しおあなたがこの素私ってくれたんと言っ
[00:12:57.560] て
[00:12:59.240] もはて天空人はそんなような名前のものは
[00:13:00.839] いなかったはずだ
[00:13:03.560] がえこれ何やんの次もうもうでもほぼほぼ
[00:13:08.000] もうやることないじゃないよなここまで来
[00:13:11.760] たらいやなんか本当にこれ2台目でクリア
[00:13:15.360] しちゃいそうなんです
[00:13:16.880] けど私たちはこの日が来るのなどんなに
[00:13:19.399] 待ってことでしょうかさあ奥によるおじい
[00:13:20.680] さんにも知らせてやってください大事に
[00:13:22.680] 守ってた世人の内はこの通り元気にして
[00:13:24.720] ますどうかこの城を救ってくださったあな
[00:13:26.160] 方がお持ちください何これは
[00:13:30.360] 世人の苗木何これこんなあったっ
[00:13:34.480] け何何これれ世界人の内だって
[00:13:38.600] さどうもありがとうございました是非ここ
[00:13:41.040] にある世界中のめっちゃくれるやんうわ
[00:13:44.560] マジかこれ何個取れんのか
[00:13:47.600] なこれめちゃくちゃ大事だぜ世界中の
[00:13:51.800] 手1個しか持てない
[00:13:56.720] となんとこのが上したそれはめでたいそれ
[00:14:00.000] は龍の神様マスタードラゴンの復活を待つ
[00:14:02.040] ばかりじゃないあマスタードラゴンは
[00:14:05.759] ポイントはありますけど全滅するポイント
[00:14:08.600] はほぼないですねこれ勝っちゃうなこれな
[00:14:11.240] テルパドールの西の塔ボブルの塔にその
[00:14:14.279] 能力を封印したその炭素の中を持っていき
[00:14:17.240] なされあ来たわこれだわ今日ここだわ行く
[00:14:19.880] ところフック付きロープめちゃくちゃ
[00:14:23.079] なんか原始的
[00:14:24.800] なえ何もう1回ってテルパドールの
[00:14:29.480] テルパドールの西の塔ボブルの西の塔ね
[00:14:32.320] テルパドール西ね
[00:14:36.160] テルパドール西行きますじゃあ今日はそこ
[00:14:39.120] クリアしましょうなんか着々だな淡々と
[00:14:42.320] 進んでる
[00:14:44.100] [音楽]
[00:14:46.920] な
[00:14:50.420] [音楽]
[00:14:54.519] 違う何これテルパドールに石ねだもルーラ
[00:14:58.040] で行っちゃうか
[00:15:02.320] いやイベント楽しみやな面白い
[00:15:04.720] めちゃくちゃあの
[00:15:06.680] ゲームテルパドールと
[00:15:09.090] [音楽]
[00:15:14.160] これれテルパドール
[00:15:16.120] 西西ってこっち
[00:15:20.279] じゃんこれもしかして天空の城じゃないと
[00:15:23.199] いけないな天空場じゃなきゃいけないね
[00:15:25.920] これねルーラだと天空しついてこないルの
[00:15:29.600] 塔やってあれやってそれやって略ラスボス
[00:15:33.040] 倒したらクリアですねもこれクリア行っ
[00:15:34.839] ちゃうじゃねえかなんでこんな今日この
[00:15:36.600] この人生プレイいつになく順調だよないつ
[00:15:40.839] もだったらもっとギャーギャーさうわ全滅
[00:15:43.399] だよってやってるはずなのに
[00:15:46.920] ね金毛だよつってやってるはずなの
[00:15:50.470] [音楽]
[00:15:52.319] にこっちか略がどのぐらい長いのかは
[00:15:57.079] プレイする人あそうなんだ
[00:16:01.880] とあおもん
[00:16:03.260] [笑い]
[00:16:05.079] なありがとうちょ喉かいた
[00:16:10.920] よいしょこっち
[00:16:16.079] かテルパドール西ってここあここ白じゃ
[00:16:20.279] なきゃいけないな確かに
[00:16:22.040] ここここかはいはいおい向きにここに天主
[00:16:26.880] 止められますから行き
[00:16:30.530] [音楽]
[00:16:32.079] あんま時間ねえな
[00:16:33.560] 今日駐車場
[00:16:37.120] 完備得点高いすね駐車場
[00:16:41.120] [音楽]
[00:16:44.160] 付きちょっとジュースジュースつかせ
[00:16:48.720] て行きますかなんかもう俺
[00:16:53.440] あのだいぶ自信ついちゃったもうレベル
[00:16:56.800] 上げとかいらないと思う正直
[00:17:00.079] なるほどここあれがないのねオッケー
[00:17:01.720] オッケー馬車なしねえこっち
[00:17:06.099] [音楽]
[00:17:07.520] かあなんだここなんだこここういうことあ
[00:17:12.919] はいはいこういうことだ
[00:17:14.119] [音楽]
[00:17:16.559] ねこ
[00:17:20.439] ちょっとねこれちょっとむかつくこの
[00:17:23.720] カメラこうねこうねはいはいはいはいはい
[00:17:28.240] はいはい
[00:17:32.960] [音楽]
[00:17:38.080] オえこんなイベント覚えてないけど俺何が
[00:17:42.240] あんここでボスいた何これここ
