[00:00:17.760] おいおいイスピソソソソSおいおいスピー
[00:00:21.920] ソソソS
[00:00:41.280] おつ
[00:00:49.920] ちゃまはいどうもお疲れちゃんどうも
[00:00:52.840] こんばんはこんにちは今年もよろしくだよ
[00:00:54.800] おいウェイよそうだよチビなんか俺の配信
[00:00:57.239] 来るのあれだよ
[00:00:58.399] な疲れもよろしくなちさんこんばんは
[00:01:01.719] ワルツくワルツくプライムサブス
[00:01:03.359] ありがとう13ヶ月ありがとうございます
[00:01:05.400] どうもどうもこんばんはこんにちは
[00:01:07.040] おはようございますチマゲームでござい
[00:01:08.680] ます今日はですね久々だよななんかごめん
[00:01:11.880] なあのましておうざいまエはもうあれなだ
[00:01:16.240] けどお願いしますどうもよろしくよろしく
[00:01:18.799] どうぞ今日はですねついにやりますよ私
[00:01:22.600] 新年これずっとやりたかってんなちょっと
[00:01:25.799] まちょっと頭工作冬の自由研究やります冬
[00:01:30.600] の自由研究配信ですえま愛も変わらず
[00:01:34.200] ゲームボイアドバンス改造配信です好きだ
[00:01:36.320] ね好きだ
[00:01:38.280] ねこう改造配信何台目本当にあじちゃお
[00:01:42.720] 疲れ昨日もありがとう昨日もありがとね
[00:01:44.880] あのやりますからはいあの色々準備してき
[00:01:48.759] ましたんでね今日はですね中にも礼儀あり
[00:01:51.840] だろ社会して漫画うく漫画肉うまくいった
[00:01:55.920] よでよかったうんうまくいったかうまく
[00:01:57.960] いってないか言ったらうまくいってなかっ
[00:01:59.399] たね
[00:02:00.719] あの結局あれですね全部解体しました全部
[00:02:04.479] あの後巻いたやつを全部剥がして1枚肉に
[00:02:07.920] 戻して食べたまだ残ってる
[00:02:12.000] けど結局あれはもう全部ばらして別々に
[00:02:15.360] 焼いて食べましたの体あダメだったねあの
[00:02:19.319] 骨をもし使うことがあるんだあれば次はと
[00:02:22.040] して最低限の次はあのミンチ肉でやろうか
[00:02:25.400] なハンバーグみたいな感じでやりたいなと
[00:02:27.000] 思いますまちょっとまいつになるか分かり
[00:02:28.640] ませんけども今日はですねちょっと違い
[00:02:30.200] ますよ今日はゲームボーイアドバンスを
[00:02:33.360] 史上最強の期待にしようじゃないかという
[00:02:36.480] 回でございますけどもえちょっと本当に
[00:02:39.319] ちょっとね実際ねできるかどうか俺も不安
[00:02:42.200] なとこあるんよね今回の改造はですね今
[00:02:45.800] までの何だかやってきましたねあのゲーム
[00:02:48.080] ボーイカでミチでよろしくゲームボーイ
[00:02:50.760] カラゲーム初代ゲームボーイねあのとかね
[00:02:53.599] 色々やってきましたけども今までのねとは
[00:02:55.879] ね全然ね訳が違うわけですね訳が違うん
[00:02:58.680] ですよ
[00:03:00.360] ちょっと一松の不安はありながらま失敗
[00:03:03.480] することを恐れては何もなしえないという
[00:03:05.360] ことなんでえやりますけど
[00:03:08.519] もはいはいはいはいはいちょっと待ってね
[00:03:11.879] よいしょ
[00:03:13.400] いちょっと待って
[00:03:21.680] てよいしょ今日はね
[00:03:26.760] 楽しくうん俺が
[00:03:29.879] も無言であの半田付けとか行ってる作業を
[00:03:34.360] みんなが黙って見てるというそういう配信
[00:03:37.720] ですそういう配信ですいててててよし部分
[00:03:41.319] なくさないでねいや部品なくさないように
[00:03:43.120] しないとマジでなあちょっとちっちゃいお
[00:03:44.799] 皿持ってくちっちゃいお皿持ってきます
[00:03:47.280] あのネジとかのちょっとちょっと待ってて
[00:03:49.599] ちょっと待っててそうだ部品外したやつが
[00:03:52.720] あるから
[00:03:55.680] なお皿大事
[00:04:22.360] よしよいしょま精密機会なんで
[00:04:27.080] ねネジ1本なくしちゃいけないのでで
[00:04:30.360] ちょっとお皿を持ってきましたままったり
[00:04:34.080] やってこうやこのね正月休み最後俺も明日
[00:04:37.560] から仕事だから最後の正月指最後のねお
[00:04:41.720] 遊びと言いますか
[00:04:44.720] よいしょよしよし
[00:04:55.280] よし
[00:04:56.960] よしで
[00:05:02.400] ちょっと待ってちょっと色々ちょっと待っ
[00:05:04.400] て用意しとくもんがいっぱいあるちょっと
[00:05:06.160] 待っ
[00:05:14.280] て
[00:05:16.680] よいしょよいしょよいしょよいしょと
[00:05:19.240] よいしょよいしょよいしょま失敗してもね
[00:05:23.160] まあまあまあやってみなきゃわからない
[00:05:25.680] からどうなるかちょっと本当にねまめ説明
[00:05:29.400] しねとんでもないことになるんですよこの
[00:05:31.680] ゲムアドバンスっていうのはね可能性は
[00:05:34.120] 無限大なわけ作る配信気になるけけけはい
[00:05:37.840] レオルこんばんはお疲れおはよう
[00:05:41.240] こんにちはあけおめってもうなんか何回も
[00:05:43.520] 言ったような気がするけどな何回も言った
[00:05:46.639] ような気がしますけど
[00:05:48.280] もちょっとね今日は楽しいですよ楽しいて
[00:05:51.960] か俺が俺が完全に楽しむ配信だけどね最強
[00:05:55.840] グが
[00:05:57.240] 見れるたそうですから昨日もありがとうね
[00:06:01.280] いやいやいやそうなんですよまだちょっと
[00:06:02.960] 詳しくは言いませんが皆さん今年僕ショと
[00:06:04.800] 本当に目標がちょっとできましたんでま
[00:06:06.639] これはまだね言えないんですけどね昨日
