[00:00:00.240] に
[00:00:02.520] [音楽]
[00:00:04.400] ちゃハリボテあげだねハリボテあげだ
[00:00:09.200] ねどう
[00:00:12.960] もどうもこんばんはどうもチバゲームです
[00:00:15.839] おいお前らお前らお前らひどいなー
[00:00:19.439] の森本ユダがさずっとさ始まる前にさ俺が
[00:00:24.800] 1コメ取る1コメ取るつってお前らお前ら
[00:00:28.160] 容赦なく1コメ
[00:00:30.759] 残念でし
[00:00:32.120] たてこんばんはこんばんはくこんばんは
[00:00:36.320] こんばんははいやりますマをじしてマを
[00:00:41.399] まくっ
[00:00:42.600] てをたなマを実施すぎた今日この頃どうも
[00:00:49.399] もこちゃんこんばんはついにね私チマ
[00:00:53.320] ゲームやっていきますやっていきますよ
[00:00:56.960] はいどうもこんばんは
[00:01:00.079] こんばんはえ今日からですねついにチマ
[00:01:04.239] ゲームポケットモンスターブラック2時期
[00:01:08.320] だからこやなんかパルワールドなんか
[00:01:12.119] なんかポケモンわからないうんいやわかん
[00:01:15.119] なくてもどんどんコメントしてくれなんな
[00:01:16.600] のこれどういうことって言ってくれたら
[00:01:17.840] 全然あの大丈夫です僕も初見なんですけど
[00:01:20.280] ねあのあれですねなんか昨今流行ってるさ
[00:01:23.680] パルワールドってあるじゃんなんかその
[00:01:25.600] パルワポケットモンスターっていうパル
[00:01:28.200] ワールドのパクリゲーがあるらしいんだよ
[00:01:30.159] うんパルワールドのパクリがパクリゲーが
[00:01:33.040] あるらしくてちょっとそれやってみるわ
[00:01:34.119] 今日これ誰の配信チマゲームだよなんでだ
[00:01:37.399] 俺だろう俺様の配信じゃどうもこんばんは
[00:01:40.920] なん今日あったかいね今日あったかくて
[00:01:43.000] いいね今日はやりますよ今日からねやり
[00:01:47.719] ますからねポケットモンスターね下のパル
[00:01:50.560] ワールド様のパクリとかそうだよあの天下
[00:01:53.320] のねパルワールドのったなあったかかった
[00:01:56.640] ね今日ねもうちょっと今日はなので
[00:02:00.920] やっあかくなるとテンションが上がるんで
[00:02:02.759] ねあの日から寒いらし
[00:02:07.000] 24明日から寒いんだやだやだ配信者は
[00:02:11.599] 寒くなるとねすぐ体調壊すからな僕が9歳
[00:02:15.239] の頃マジで若ブラック2なんて俺正直やっ
[00:02:19.640] てみちゃんこんばんはブラック2なんて
[00:02:21.760] やったことないからね言っとくブラックは
[00:02:24.080] 2年前昨年の年末ぐらいにやったんよ実は
[00:02:28.200] 昨年の年末ぐらいにやっじゃブラック2
[00:02:30.599] やるわって言って早1年過ぎましたねえ
[00:02:33.879] だいぶ久しぶりですポケットモンスターの
[00:02:36.239] 本編を触るのはだいぶ久しぶりですねま
[00:02:39.000] 今日から人生縛りということでね死んだら
[00:02:41.599] 逃がす縛りでホワイトまで流行ったけどに
[00:02:43.959] はやってちょいいねちょうどいい3年生の
[00:02:46.959] 時の友達とはれでしたおすおすあたさん
[00:02:50.800] こんばんはあこんばんはえ今日はえ
[00:02:52.840] ポケットモンスターブラック2でござい
[00:02:54.680] ますいや楽しみですね久々のポケット
[00:02:58.319] モンストロやってきますからねなんか周り
[00:03:01.080] ではパルワールドがあーだこうだ
[00:03:02.840] ごちゃごちゃごちゃごちゃうるせえんだよ
[00:03:04.519] と俺は言いたいですねねポケモンみたいな
[00:03:07.239] ゲーム見るんだったらポケモン見れば良く
[00:03:09.080] ないってことですはい僕はそれが言いたい
[00:03:11.200] ねポケモンみたいなゲーム見るぐらいだっ
[00:03:13.519] たらポケモン見ればいいじゃないとね本家
[00:03:16.480] にまさる文化なしそういうことですはい
[00:03:18.200] やってきますからね今日はよろしう頼ん
[00:03:21.120] ますそれワコンです
[00:03:24.080] よオワコンオワコンやっぱポケモン
[00:03:27.390] [音楽]
[00:03:28.760] よやっていきましょうねでも出てくる
[00:03:32.080] ポケモンとかブラックとか全変わんないん
[00:03:33.879] だよな
[00:03:35.120] ポちなみにパルワールドのキャラクター
[00:03:38.040] ほとんどポケモンだったりだったりす
[00:03:40.360] らしいねらしいねめちゃめちゃあれらしい
[00:03:41.840] よねなんかまあでもあれも面白そうだけど
[00:03:43.959] なまあでもやっぱ僕はポケモンっすわ
[00:03:45.920] やっぱ僕はごめんなさいポケモンすはこの
[00:03:47.720] 流れに逆ってやってきますポケット
[00:03:49.840] モンストロねやってきますからブラック2
