[00:00:06.040] 1コメは俺
[00:00:07.440] だありがとありがと張りボテあげだね張り
[00:00:11.639] ボテあげだね1個目ありがとちゃまだりえ
[00:00:15.000] 配送2個ドジウン1
[00:00:21.480] べウェイおういお
[00:00:27.160] 疲れ1と2はいただかれましたね
[00:00:30.480] これ俺だ
[00:00:36.000] ねすごいねこれ
[00:00:46.320] 笑おいお疲れおいおいっ
[00:00:53.039] すはいどうも
[00:00:55.520] こんばんはゲーム細川
[00:01:00.559] たのにふざけんなよしたとて務所はいどう
[00:01:06.840] も
[00:01:07.759] こんばんは1コメは1コメいただきました
[00:01:11.320] 残念でした残念でしたゆ今日も1コメなら
[00:01:15.119] ず
[00:01:16.479] とお前もう無理やで多分なんかそのだから
[00:01:20.840] 無理なんだよ森は多分1コメとんの今日
[00:01:23.439] ちくらでしたはい残念でしたふざけん
[00:01:27.360] なはいどうもこんばんはムです今日もえ
[00:01:32.680] 今日取ってえやってきますからえねすい
[00:01:35.680] ません遅くなりましたすいません遅くなっ
[00:01:37.560] ちゃったあの寝ちゃった
[00:01:39.720] おたおたで寝ちゃいましたはいどうもあ
[00:01:42.119] どうもリこんばんはえ強すぎだはいどうも
[00:01:44.880] どうもどうもあくこんばんはええ
[00:01:47.799] こんばんはえチもこんばんはえもこちゃん
[00:01:51.520] こんばんはが違うつががちえなつがいいぞ
[00:01:55.960] その待機する感じいいぞそのいいねやっぱ
[00:01:58.920] 1個別に
[00:02:00.479] 俺別に1コメお前らが取ろうが取らないが
[00:02:03.200] 何にもしてあげるつもりないんだけど
[00:02:04.840] なんかその勝手に盛り上がっててなんか
[00:02:06.320] いいね勝手に盛り上がっててなんかその俺
[00:02:08.879] の配信に待機するって
[00:02:10.840] いうプレンどうもこんばんはえあその
[00:02:14.360] ちゃんもこんばんはポケモンです今日も
[00:02:16.760] ポケモンポケモン今日朝から朝までやり
[00:02:18.640] ますから朝まで行きますから今日ポケモン
[00:02:21.480] ねやりますよちゃんはいみちゃん
[00:02:24.920] こんばんはみちゃんこんばんはお疲れり
[00:02:27.879] さんこんばんはやりますやりますえ
[00:02:30.040] Twitterでのね秒内私のあの
[00:02:33.319] Twitterでの私のねあのあれですよ
[00:02:37.120] 発表見てくれました色々ごちゃごちゃ発表
[00:02:39.840] しましたけどものせねそうう何が何何が何
[00:02:44.879] が何がそのちゃ何見たよ細川細川はいえ
[00:02:49.040] ねんそんなのはそんなのはええ
[00:02:51.440] ねんあのね色々あのスタンプ枠はもうない
[00:02:55.840] ですスタンプ枠もうない
[00:03:00.040] いやまあ別にないよ深いなんかあの変な作
[00:03:03.599] するなよお前ら別に何もないからなただ
[00:03:05.400] 単に俺がなんかまとりあえずもうあれかな
[00:03:08.360] と思ってやっぱりあのまそのまずね瀬戸
[00:03:12.360] スパークスっていう僕が所属してたねE
[00:03:15.599] スポーツチームあ体脱退させていただく
[00:03:19.640] ことになったんですけどもま別にその喧嘩
[00:03:21.799] 別れとかじゃないす別になんかそういう
[00:03:24.159] ことじゃなくてまあまあまあ色々色々です
[00:03:26.480] よ
[00:03:27.360] 色々色々色々です全然話せる範て言って
[00:03:31.560] 全然話せねえ話せなくないんだけど何も
[00:03:33.879] ないもんだって別
[00:03:37.680] にまあ別になんか
[00:03:40.599] そのなんつうのかなななんつうんだろうね
[00:03:44.680] 難しいけどなんか
[00:03:46.879] その何て言えばいいんでしょう
[00:03:50.400] ね普通に大人の話し合いで決まっ
[00:03:54.040] た12月行けたらいからあそのちゃんあの
[00:03:57.959] そうなんですあのブログ僕グを今日から
[00:04:00.519] あの一般開したんでぜひ読んでください
[00:04:02.439] 色々そこにね深く書いてあるんでそこそれ
[00:04:04.400] 読んでくればいいよそれ読んでくればいい
[00:04:06.480] やうんなちゃんこんばんはそう12月に
[00:04:08.480] ですねそうブログ中でしか発表してないん
[00:04:10.200] だけど12月に私宇都宮でですねオフ
[00:04:13.879] ラインイベントを開催しますえこれ
[00:04:17.519] ちょっと本当にねあの今年僕のかなり
[00:04:21.479] 大きな目標でめちゃめちゃ早いじゃん12
[00:04:25.120] 月宮かあの12月ってさめちゃめちゃ先
[00:04:28.800] じゃんなんでそんな先の話してんのと思う
[00:04:31.360] じゃこれが理由がありましてですねただに
[00:04:33.639] 適当になんか12月ぐらいにやろうかなと
[00:04:36.039] かそういうことじゃないんだよあごめん
[00:04:37.440] ありがとねもどんどんどんどんこの1年を
[00:04:38.800] かけてどんどんどんどん解禁してて色々
[00:04:40.199] 情報出してくんだけど今から準備して妥当
[00:04:43.199] なんですよねて考えたそうあと11ヶ月先
[00:04:46.479] なんでかと思うなんでかて言うとこれはま
[00:04:48.120] 後でまた説明するけどちょっとですね普通
[00:04:52.520] のオフラインイベントじゃないっすそう
[00:04:55.160] ですちょっとちょっとねあのまオフライン
[00:04:58.280] イベントって今まで何回か参加させて
