[00:00:06.080] ハリボテあげだねハリボテあげだね針ボテ
[00:00:09.480] あげだ
[00:00:14.670] [音楽]
[00:00:21.199] ね2個
[00:00:24.640] 目いただきましたハリボテあげだね
[00:00:30.060] [音楽]
[00:00:36.879] 来
[00:00:42.340] [音楽]
[00:00:49.640] たじゃがいものたそのにいつか撃破する
[00:00:56.540] [音楽]
[00:01:03.920] よ農業でか
[00:01:14.119] デブ北酒場まだか
[00:01:22.560] なはいどうも
[00:01:26.000] こんばんはどうもこんばんはどうもチマ
[00:01:29.040] ゲームです今日もやり
[00:01:32.240] ますまた1コメ取れなかったんかあいつ
[00:01:35.640] 森本ユダこんばんはエリシこんばんはにん
[00:01:38.720] なかこんばんはあだこんばんはまたお前1
[00:01:42.840] コ取れなかったんだ
[00:01:45.200] ななすごいねいや逆にでもじゃないやつは
[00:01:49.040] 取れないよそうだよなそうそういうことだ
[00:01:52.040] よそういうことそういうこと正解そういう
[00:01:55.680] ことです森はちょっとね筋で生きてい俺の
[00:02:01.079] 昼昼間ぐらいから俺のチャンネルの前で座
[00:02:04.280] しとかないとじって言ってたからもう少し
[00:02:06.880] 遅いと思うや
[00:02:08.479] ん座しとかないとほらいつ始まるかわかん
[00:02:12.000] ないからねそういうもんだからな人生も
[00:02:14.360] そうだよぶあ人生もそうだおこんばんはま
[00:02:18.519] いつか取れるように頑張ってくださいはい
[00:02:20.519] Twitterから来ましたあどうもどう
[00:02:22.440] もくさんこんばんは嘘
[00:02:24.080] だろで22時から待機してましほらねこう
[00:02:28.879] だよ
[00:02:31.400] まあまあま別に1コメなんか取っても取ら
[00:02:33.160] なくていいんだけどうん本当なんだの紹介
[00:02:36.720] できました紹介してた紹介してた俺も俺も
[00:02:39.680] でかくなったもんだなま今日もやりますよ
[00:02:43.400] ポケモンポケットモンスターね今夜も紹介
[00:02:47.920] できましたガチやそれ多分ガチだな
[00:02:52.040] あの今日もえポケットモンスターやってき
[00:02:55.720] ますからね朝までやりますからえええええ
[00:02:58.040] 今日ちょっとがっつりすレベル上げはもう
[00:03:00.680] ええかなとちょっとがっつり進めたいなと
[00:03:03.040] そして仲間を失うことなくうんやっていき
[00:03:05.519] たいかなにしそういう感じでございます
[00:03:09.400] えまやってきますよ今日もねバッチはえ今
[00:03:14.760] 4つ目半分まで来たね半分まで来とるやん
[00:03:18.280] 結構来とるやんもうそこまで来てん
[00:03:23.080] じゃんよいしょ
[00:03:31.599] 逃したの何匹2匹えっとあのリオルとなん
[00:03:37.400] だっけリオルとあれ逃がしたよねそう死ん
[00:03:40.640] だんだよ昨日リオルとなんだっけ忘れ
[00:03:43.159] ちゃったなつの名前おちゃなんだっけあ
[00:03:46.239] みーちゃんこんばんはなんだっけリオルと
[00:03:48.959] なんか逃がしたね昨日ね死んだねもう
[00:03:52.200] あんな悲しい思いしたくない名前忘れた
[00:03:54.360] けど名前は忘れたけどなんてんだっけ
[00:03:57.879] なんて言ってたっけ忘れちゃったね忘れ
[00:04:00.439] ちゃったね
[00:04:02.439] うんまあまあまやっていきますわええ4時
[00:04:05.920] まで起きてリオルの進化見ようと思ってた
[00:04:08.319] のに落ちしちゃった大丈夫あの死んだで
[00:04:11.280] 逃がしたんで死んで逃がしたからなんか
[00:04:14.720] 今日なんかもっと新しいポケモン
[00:04:16.440] 捕まえようよ今日ロザリオなロザリオと
[00:04:18.680] ブーちゃんな悲しかったです
[00:04:21.360] ねロザリオブーちゃん死んだ時なんか俺
[00:04:25.000] わけわかんなかったよんでんで死んだのか
[00:04:28.440] わかんなかったもんすぎてうん北斗の剣
[00:04:32.479] みたくなってたよブーちゃん死んだことに
[00:04:34.639] 気づかなかった殺されたことに気づかない
[00:04:37.800] で首首切断された後も喋ってたも俺あれ
[00:04:41.880] なんか世界が傾いてみたい
[00:04:46.199] なそんな感じなったねなんか一瞬で殺され
[00:04:49.560] た満タンから満タンから一発
[00:04:53.240] であまりにも鋭い立ち筋だったもん
[00:04:58.639] な落とされてて
[00:05:01.520] 草あんな強いんだ打ち落すってなあ別に
[00:05:05.199] 急所に当たったわけでもなかったもんな
[00:05:06.600] 普通に抜群で取られたわなちょっとやっぱ
[00:05:09.199] このブラック2やってと思うけどレベル
[00:05:11.560] 高いよね敵の敵のレベル高めだと思う
[00:05:16.479] わまそんな感じでやってきますかね今日も
[00:05:20.680] ねどうもこんばんは邪魔ゲームですけども
[00:05:25.720] 皆さんどう過ごしでしょうかこの土曜日の
[00:05:27.840] 夜最高ですねね1週間で1番好きです
[00:05:30.800] 土曜日の夜がじゃ今日もね長々と今日は黒
[00:05:33.960] パーカーでございますあの俺の大好きな
[00:05:35.919] スプラッターハウスのパーカー
[00:05:38.039] ね君もいいっすやってくぜ今日も長なって
[00:05:41.800] もう4日目でございますよパデ黒パーカー
[00:05:44.280] デブはいはいはいあのやってきますよ
[00:05:46.199] じゃあクシ
[00:05:48.120] と今日も朝までやろうかな眠たくなるまで
[00:05:51.560] やろうかなって感じです
[00:05:54.520] よいしょさあちょ私のパーティーを見ます
[00:05:58.240] か
[00:06:01.600] ワビルのレベル35強いねこれ40で進化
[00:06:05.479] なんでしょでな様そうだ静かで総にやるよ
[00:06:09.440] え100話に強に進化できたらいいなと
[00:06:12.199] 思いますね40で進化って言たっけこれ
[00:06:14.919] もうエースですからうちのもうまた止まる
[00:06:18.280] ねこれちょっとマジでやばいんだけど
[00:06:20.160] こんばんこったけど何今ライモンシティ
[00:06:24.199] クリアしたとこライモンシティクリアした
[00:06:25.880] とこだよダカのか
[00:06:29.880] いいよなこれ名前すごいいいね
[00:06:33.919] わっか気持ち良すぎだろ気持ち良すぎだろ
[00:06:39.240] ティな気持ち良すぎだろ気持ち良すぎ
[00:06:44.639] だろねあのコネクトもう普通に聞こえませ
[00:06:47.840] んから私はちゃんと歌え
[00:06:49.720] よはだめだろ言っちゃはね
[00:06:55.240] と消される消される消される消される消し
[00:06:59.319] て増えますけどね消したらまた増える
[00:07:01.639] みんながあれダウンロードしてっから消さ
[00:07:03.520] れたらアップロード消されたら
[00:07:04.720] アップロードでどんどん画質が悪くなって
[00:07:07.039] いくという
[00:07:08.199] ねダルマッカでございますはいダルマッカ
[00:07:10.639] さんですねこれも進化したいこいつ進化何
[00:07:12.400] レベよこいつ進化何レベだよ変わったああ
[00:07:15.319] これじゃんこんばんはそうそうアイコン
[00:07:16.479] 変わりましたちょっと潜在写真取ってきた
[00:07:18.280] というかま一応前にアーシですよアーシ
[00:07:20.560] アーティストなんで俺うんやっぱり俺
[00:07:22.000] アーティストだしねうん生み出す側の人間
