[00:00:05.319] 一応1コメ譲るか一行しました1コメ
[00:00:09.160] ありがとう張りボテあげだね張ボテあげだ
[00:00:12.280] ね張ボテあげだ
[00:00:14.160] ねかわいそう
[00:00:25.679] にさすいろはちゃんはいサブスクよろ
[00:00:36.079] おす
[00:00:38.040] はいお疲れはいはいはいはいはいはいどう
[00:00:45.440] も
[00:00:46.960] はいはい森本くはい森本ユダ君森本ユダ君
[00:00:54.160] こんばんはも一しましたどうもこんばんは
[00:00:56.600] 皆
[00:00:57.440] さんはいどうもどうも
[00:01:01.800] どうどうもこんばんははいちゃまゲーム
[00:01:05.760] ですいやいいいいやんなくていいかねおい
[00:01:08.200] ゆやめろよ笑笑お落ち着け落ち着けゆ笑笑
[00:01:13.520] 森落ち着け大丈夫だよあいいいいいいはい
[00:01:16.880] どうも取らしてやれよお前らほと鬼だな
[00:01:20.799] はいいろちゃんどうも1個目おめでとう
[00:01:22.320] ございますはいええこんばんはえお
[00:01:26.040] こんばんはうんちゃんもこんばんはえく
[00:01:28.000] こんばんはえちゃんこんばんははいどう
[00:01:31.119] もどうもこんばんはチワゲームです今日も
[00:01:34.439] やってきますよはいどう
[00:01:37.119] もお前ら本当意地悪だ
[00:01:41.720] なもりお前30分も前から待機してんの
[00:01:47.240] にいやてかよくもうまあ取れないわこんな
[00:01:50.719] に何が違うのなんでお前らはこんな取れる
[00:01:55.000] の簡単にるこさんリスナーこういうとこ
[00:01:58.039] あるける
[00:02:00.159] ねしもちゃん
[00:02:01.719] こんばんは何が違うのいろはちゃんがいて
[00:02:04.600] 安心したのはある愛かな愛かなやっぱそう
[00:02:07.799] だよねだっておかしいもんねそんくらい
[00:02:10.440] しか説明がつかないよねだっ
[00:02:12.400] ても何も言えお森ゆ死んでんじゃねえの
[00:02:17.120] あいつもうなんかショックで
[00:02:18.920] おい森本ユダ君大丈夫ですかはいどうも
[00:02:22.959] こんばんは泣泣いてるよあいつきっとおい
[00:02:26.440] 泣いてるぜ1コメやれよ
[00:02:30.440] 本に
[00:02:32.599] もう泣いちゃったはいじゃ今日もやってき
[00:02:35.640] ますポケモン
[00:02:37.120] ね10分くらいチャットボタンにカーソル
[00:02:40.360] 合わせて待機してまし
[00:02:42.480] たいいね場効果ね泣かせた
[00:02:48.879] あいつえもマジであのきちゃんのきちゃん
[00:02:55.400] ねえ何あの絵バカ良かったんだけどえ
[00:02:59.920] 嬉しいよみんな見たあの絵すぎたねえチ
[00:03:04.720] 博士あれめっちゃいいめちゃめちゃいい
[00:03:07.319] ありがとうござい
[00:03:08.599] ますさんのほんま可愛いなんか使いたいね
[00:03:11.680] あれねなんかねちょスタンプにするには
[00:03:14.040] でかすぎるけどなんか使いたいねなんか
[00:03:15.519] 設定もめっちゃ良かったね
[00:03:18.280] こんばんは画見てたありがとうありがとう
[00:03:21.599] ありがとうこ配信しよプロあれなんか
[00:03:26.080] ライブ2Dにしよっかポケモン
[00:03:29.879] はあれでやるあれめっちゃでもライブ2D
[00:03:31.799] にしたらめっちゃ可愛いと
[00:03:34.280] 思うゆ大丈夫かおい
[00:03:39.280] 森本森本大丈夫か笑笑ちゃこば消えた笑笑
