[00:00:05.080] 1個メ会館ハリボテクレイが済むハリボテ
[00:00:08.920] クレイが済むハリボテクレイが済む
[00:00:13.799] うおうお
[00:00:23.359] 疲れ表示はんおじになるの
[00:00:32.399] すどうも
[00:00:35.360] こんばんはいやいやこれは可いそうだろ
[00:00:38.719] いやこれはなら理だけどこれ理だねおせえ
[00:00:43.360] な
[00:00:46.559] はいすお
[00:00:49.120] 疲れどうも
[00:00:52.239] こんばんはもうだからもうえでもうんもか
[00:00:58.920] な
[00:01:05.810] [音楽]
[00:01:13.600] 9ありがとこかったね
[00:01:17.240] [音楽]
[00:01:18.680] ニコニコありがと
[00:01:20.920] サ
[00:01:24.119] ありがとこんばんはこんばんはこんばんは
[00:01:28.439] さんこんばんはありがとね
[00:01:34.360] ヤッあのいや今日は1個メはこれはもゆ君
[00:01:41.360] ですよ
[00:01:42.079] ねあもうほら本人ももうそのつもりなんて
[00:01:44.799] いいんじゃないです
[00:01:46.360] かんこんばんは言わねんラディごめん
[00:01:50.200] ラディこんばんはごめんごめん
[00:01:53.000] ごめん
[00:01:54.840] ランディたまたま配信
[00:01:57.470] [音楽]
[00:02:01.240] ガチガチ映っちまったじゃねかでもこれ
[00:02:04.039] 10時前なんでおじこんばんはこんばんは
[00:02:06.960] しきちゃんもこんばんは笑すいませんね
[00:02:09.319] はいどうもこんばんは金曜日ですやってき
[00:02:12.560] ましたついにポケモンこれ最終回にしたい
[00:02:14.720] です無理かなこんばんはどうだろうな
[00:02:17.959] わかんねえけどなんかさ何ベリちゃん
[00:02:21.200] なんかやってんじゃんポケモンびっくりし
[00:02:22.959] たわダイヤモンドやってるねこんばんはあ
[00:02:26.519] はじめちゃんこんばんははじめちゃんです
[00:02:28.720] こんばんははいどうもどうもどうもジマ
[00:02:31.760] ゲームです今日やってるねね耐久とか
[00:02:34.239] めっちゃ辛いぞ多分ダイパの耐久とか
[00:02:37.200] きついぞ多分そんなすぐに終わんねえから
[00:02:38.920] なスターフックスで切れ散らかしてあそう
[00:02:41.519] なのスターフォックスダイヤモンドやっ
[00:02:43.560] てるねええダイヤモンドの耐久大変そうだ
[00:02:46.800] けどなそんなすぐに終わんないだろう30
[00:02:50.519] 時間は見た方がいいんじゃない分かんない
[00:02:52.599] けど今日朝まで今日朝までそうミシ
[00:02:55.080] こんばんは今日朝までなんだけどじゃ今日
[00:02:58.000] 俺朝までやるんだけど
[00:03:00.480] 明日俺カキ行くからどうしようどうしよう
[00:03:04.000] かなどうしよっかなって感じカキ行くから
[00:03:06.959] さ昼間カップルで耐久好きなんだから確か
[00:03:11.000] にねどうもこんばんはちゃまゲームです
[00:03:14.599] いつから14時14時です14時14時な
[00:03:20.200] ので12時ぐらいに起きたいんだよね俺も
[00:03:22.480] 明日切ってもらいにねもうばっさり行く
[00:03:25.239] ばっさ行くわばっさ何時に
[00:03:28.760] 起きるきたいな12時には起きたいです
[00:03:32.360] ねじゃあ13時まで行けるじゃんじゃね6
[00:03:36.480] 時終わりで6時終わりじゃ無理だよ俺6
[00:03:39.480] 時間睡眠じゃ起きないもん絶対え何時なら
[00:03:43.519] 起きれのるやっとみたいなもちょっとね
[00:03:48.280] やっと明日は何もない土曜日なんすよもう
[00:03:51.400] ずっとずっと何かしらちょっと年けてから
[00:03:55.519] 超忙しくていね
[00:04:00.000] 13時にでもいい
[00:04:02.159] ようんま起こして後
[00:04:05.760] でいやまあまあまあ
[00:04:08.640] あのやっと土曜日暇な土曜日なんすよ明日
[00:04:13.239] だからねあのねあれなんだよ
[00:04:16.160] ねずっと切りたかったんです僕も切りたい
[00:04:19.560] もやや起きなんなんで寝起きいややっぱ
[00:04:22.880] いやおなんかわかんないそんな感なんかり
[00:04:26.240] しちゃってます起して
[00:04:28.000] もえこんばんはま今日もポケモンやるで
