[00:00:05.040] テる
[00:00:06.250] [音楽]
[00:00:09.040] みちハリボテクレイが済むハリボテクレイ
[00:00:12.719] が済むハリボテクレイが
[00:00:15.090] [音楽]
[00:00:28.000] 済むあ
[00:00:34.800] すお疲れどうもどうもちゃまゲーム
[00:00:41.399] ですこんばんは
[00:00:44.879] こんばんはどうもちゃまゲームですはい
[00:00:47.239] しもちゃんこんばんは1コメおめでとう
[00:00:49.399] ございますええりこんばんはあたさん
[00:00:52.280] こんばんははいどうもちゃまゲームです
[00:00:55.000] はいお疲れ配送してねえだろうんちゃん
[00:00:57.559] こんばんはいやいや配送してねだろ来たべ
[00:01:01.079] もやに地獄の育成ですどうも今日も
[00:01:05.000] ねちゃんこんばんはちゃんも
[00:01:09.640] こんばんは
[00:01:11.759] 4なんかあれたね
[00:01:15.000] ラプラスだよもう今考えてもくる
[00:01:19.759] わんおれおれもうラプラレベル50までた
[00:01:24.759] によフライゴンというゴミの
[00:01:28.920] さでおかしいわあれマジでシャガとかいう
[00:01:31.920] バカもうやだもうまた今日も開始2時間は
[00:01:35.280] レベル上げですはいすいません何育てよう
[00:01:37.079] かななんかおすすめの水タイプ氷タイプ
[00:01:39.320] 教えてくれよ水氷タイプまた地獄のレベル
[00:01:42.560] 上げだよくそがよはいどうもこんばんは
[00:01:45.960] ジャマゲームですはいどうもあの何森ゆは
[00:01:51.240] 何あいつ1回1回あれか1回あの1コメ
[00:01:55.719] 取れたらもういいんかあいつなもう全然
[00:01:58.000] 今日待機もしてねえあいつあの野郎マジで
[00:02:00.520] 昨日1回1コメ取れたぐらいでなあいつ
[00:02:03.200] 絶対あれだぞ女とが1回エッチしたらもう
[00:02:05.640] もうすげえ冷たくなるタイプだわうわ
[00:02:07.920] なんかもううわもう嫁行けないわな乱暴さ
[00:02:11.039] れたね汚されちゃったさんあいつマジな
[00:02:15.560] あんなによ豚ソープあいつよエッチする前
[00:02:19.560] はあんなにさ俺のこと好き好き言ってよ1
[00:02:21.879] 回1コメしたらよ1回あれだよエッチし
[00:02:25.480] たらこれだよざんなよあいつマジでチ
[00:02:28.280] こんばんは仕事疲れちゃ
[00:02:31.040] 満されあの満たされったんからあいつあ
[00:02:34.400] ちゃんお疲れ記録何が連勝記録だあいつ
[00:02:37.879] マジふざけんなよな森本ユダマジ注意です
[00:02:42.560] あいつあいつ1回エッチしたらもうすげ
[00:02:45.840] 冷たくなる男だあいつクソだわマジ
[00:02:49.640] で1回昨日1回昨日1コメ取ったらもう
[00:02:54.080] こやしねあの
[00:02:56.599] 野郎今日来たらどやどうもこんばんは今
[00:02:59.519] もやりポケモンねいや今日もま開始3時間
[00:03:03.599] はレベル上げだと思ってくださいはい今日
