[00:00:08.559] ハリボテクレイが済むハリボテクレイが
[00:00:11.360] 済むハリボテクレイが
[00:00:13.440] [音楽]
[00:00:22.519] 済むおえおえおえおえおえおす
[00:00:33.520] ういお
[00:00:36.140] [音楽]
[00:00:52.000] 疲れ
[00:00:53.520] おいよすお
[00:00:57.199] 疲れやるぜあまああ
[00:01:02.760] あうわああ
[00:01:11.080] [音楽]
[00:01:16.799] あどうも
[00:01:18.920] こんばんはこんにちはおはようございます
[00:01:22.040] え昨日ですねじゃ今朝かなえやってました
[00:01:28.000] よ今朝やってましたケットモンスター人芝
[00:01:31.119] やってたんです
[00:01:32.240] けど1番1番強い僕のパーティーの金めで
[00:01:35.960] あるメンタルと呼ばれているですね
[00:01:38.200] メタグロスさんがですね死にまして
[00:01:40.960] ちょっとあまりのショックでちょっと僕は
[00:01:42.640] もう立ち上がれなくなり配信一度切りまし
[00:01:45.360] たがちょっと寝てきましたけどもだいぶ
[00:01:47.280] ちょっと寝すぎた感もありますがあの
[00:01:50.719] メンタル死んだんだよいろんな意味でな2
[00:01:52.960] つの意味でメンタルが死ん
[00:01:55.360] だ2つの意味でメンタルが死んだメンタル
[00:01:58.320] が死んだし俺のメンタルも死んだそれで
[00:02:01.520] いやマジありえねえよマジ勘弁してくれよ
[00:02:05.880] もう今日人狼そうだから9時まではやる
[00:02:09.200] けどる9時まではやるけどま8時半ぐらい
[00:02:13.520] までやってそっからちょっと配信切らない
[00:02:17.280] でそのまんま移行する
[00:02:18.920] けどそう今日人狼あるからそれまでしか
[00:02:22.200] ちょっといきないんだけどまちょ今ぐらい
[00:02:24.080] からやるわ
[00:02:26.680] くそああどうしようかないやまあでももう
[00:02:31.120] やるしかねえからさもうやるしかねえから
[00:02:33.720] さまやるやるけどいやメンタル死んだ
[00:02:40.560] なまでもやるよやる
[00:02:45.280] やるしょうがねえ
[00:02:48.440] なよし気合入れるぞまたちょっと育成育成
[00:02:52.920] からになっちゃうんだ
[00:02:54.120] けどまちょっとストーリー進めてもう
[00:02:57.200] ちょっとレベル高いとこ行ってレベル上げ
[00:02:59.640] しよちょっともうあそこじゃきついないつ
[00:03:01.239] ものどころ
[00:03:02.280] じゃもうレベル上げもきつくなってきた
[00:03:05.440] からまちょっとあれだなあのこんにちは
[00:03:08.920] いきなり
[00:03:09.950] [拍手]
[00:03:11.120] テンションま寝起きってのもあるけど寝起
[00:03:14.040] きってのあるメンタルそうなんこれを見て
[00:03:16.280] くれれば分かるメンタルが死んだいろんな
[00:03:18.200] 意味でな2つの意味でメンタルが死んだん
[00:03:21.159] だよ
[00:03:23.840] くそとんでもねポケモンブラック2むず
[00:03:27.360] すぎるこのゲームマジですんげえむずい
[00:03:30.400] [音楽]
[00:03:33.040] まシクシクとやらせていただきましょう
[00:03:35.280] 今日も
[00:03:37.030] [音楽]
[00:03:44.760] ねああ
[00:03:47.840] [音楽]
[00:04:07.159] 耳やけしました早朝にこの量出てたって
[00:04:11.000] 考えたらおもろ
[00:04:15.040] すぎる何耳けしたどうしたのなんで耳焼け
[00:04:18.600] すん
[00:04:20.280] のいやももちょっと体力使いすぎたね本当
[00:04:24.560] ちょっとそう早朝にの量出してもう
[00:04:27.759] ちょっと早く起きれるかと思っけど全き
[00:04:29.960] んかった全然起きれなかった
[00:04:34.600] わまちょっとエンジンかかるまで時間
[00:04:38.280] かかりそうすけどやってき
[00:04:40.800] ます
[00:04:42.320] や
[00:04:45.890] [音楽]
[00:04:47.600] もうほんまこのゲーム
[00:04:50.479] きついどんなレトロゲームよりきついかも
[00:04:53.280] しれない本当に超南関レトロゲームやる
[00:04:56.759] よりきついかも
[00:05:01.280] またレベル上げからか何育てようかな
[00:05:03.479] やっぱでもエスパータイプ絶対必要だ
[00:05:06.240] からやぱエスパーて絶対必要やねん
[00:05:09.120] [音楽]
[00:05:11.120] なもうワンチャンもう1匹もう1回
[00:05:14.479] メタグロス作んのはありだけど
[00:05:16.639] ねちゃんこんばんはおはよう
[00:05:20.520] およがイプ問題どうなっもラプラスもう
[00:05:24.039] もう1匹捕まれ
[00:05:26.800] たどうもこんばんはゲームです顔白俺今日
[00:05:31.919] 顔
[00:05:32.960] 白顔やばくない真っ白じゃんもう顔白
[00:05:36.360] すぎる真っ白じゃねえかよもう体調が悪い
[00:05:39.400] よもう体調が悪いもう真っ白はい今日も
[00:05:43.080] やってきますの治ってないの
[00:05:45.639] 笑うこたゆと同じ白さちょっともう
[00:05:50.000] ちょっと待ってねえっとねちょっと待って
[00:05:53.000] これとこれを出し
[00:05:55.240] てこっちに出してオッケーやるかやるぞお
[00:06:00.199] 今日
[00:06:01.570] [音楽]
[00:06:05.720] も
[00:06:09.800] よしこんちは髪型ちょくなってるあフラ
[00:06:13.560] さんこんちはすフラちゃんこんちはす今日
[00:06:16.240] もやってちょっとちょっと待って待った
[00:06:18.240] なんかんちょっと待ってなんか最近DSも
[00:06:20.800] 映んなくなってきたしもうなんやねん
[00:06:23.280] もうDSもなんかなかなか映んねね最近
[00:06:26.960] ちょっと待ってねはい
[00:06:32.120] オ
[00:06:33.759] はいもうここのBGM聞き飽きたよもう何
[00:06:37.199] 時間聞いてんだよはい今これ俺の
[00:06:39.880] パーティーねいやどうだ
[00:06:43.319] これどうだこれ
[00:06:48.599] れおはようおはようこんにちこんちは
[00:06:52.400] こんばんはあさんもおはようやる
[00:06:56.440] ぜやるぜくそ
[00:07:00.440] もうなんかエスパータイプ生きてんだよな
[00:07:03.960] エスパータイプ生きてんだけどなまあでも
[00:07:06.560] ちょっともいいやちょっと
[00:07:08.560] とりあえずちょっととりあえずストーリー
[00:07:10.800] 進めるわうんちょっとストーリー進めるね
[00:07:14.160] なんかもうちょっとなんかいいところ
[00:07:16.280] なんかこの次の草村とかがあればそこでも
[00:07:18.960] 多分狩り多分できる
[00:07:22.960] からうんとねどこ行けって言ったんだっけ
[00:07:25.520] なそれも覚えてねえんだよなどこ行けって
[00:07:27.520] 言ったっけそういう時はえ聞きまし
[00:07:30.280] 分かんない時は素直に聞いた方がいいん
[00:07:34.400] ですちょっと待って
[00:07:35.980] [音楽]
[00:07:41.879] ねちょっと何しろつたけ
[00:07:46.440] [音楽]
[00:07:48.080] な何してる手分けしてプラズマフリゲート
[00:07:52.440] を探し出すお前は22番ドルオ22番道
[00:07:55.080] 行ってみるわ
[00:07:56.520] オオでもこれプラズマ殺される可能性も
[00:08:00.280] あるからな不安だわプラズマダに殺される
[00:08:03.759] 可能性も全然あるから
[00:08:05.319] ね22番道路
[00:08:07.750] [音楽]
[00:08:10.440] ねどこ22番道路
[00:08:15.120] ってここかオッケー頑張れ頑張れおお
[00:08:19.000] おはよういややるよもう今日はマジで
[00:08:23.240] ちょっと今日9時からあの人狼なんだっけ
[00:08:27.560] えっと雪山人狼やるからそれまでしかでき
[00:08:30.479] ないんだけどまあまあまあまあまあ
[00:08:34.760] 22番道路ってどうやって行くんだこっち
[00:08:40.919] かこっちだな多分
[00:08:43.720] な22番終ったはいはいはい
[00:08:47.480] なんかどうすかねこの辺ねおはちゃまみー
[00:08:51.080] ちゃん
[00:08:52.080] おはようだいぶ寝てメンタルがリセットさ
[00:08:54.720] れましたうんだいぶもうメンタルは治った
[00:08:58.000] もうやるしかないというね
[00:09:00.040] たエスパータイプはどうしようエスパー
[00:09:02.640] タイプじゃなくてもいいんだけどなもう
[00:09:03.839] ここまで来たらなんか悪タイプとかでも
[00:09:05.320] いいけどね何育てるかだよねやべこれ部が
[00:09:09.440] 悪いな
[00:09:11.519] くそ何育てるかだよな問題
[00:09:15.970] [音楽]
[00:09:18.640] はさすがに1発じゃ落ちないよ
[00:09:22.720] な何育てっかななんかあと1匹枠があるん
[00:09:27.360] すよねだから
[00:09:29.920] まあエスパーはエスパー必要だと思うけど
