[00:00:05.839] 1コメ剣闘1
[00:00:14.960] ピういお
[00:00:25.880] 疲れよ
[00:00:36.399] よすお疲れどうもこんばんはおゆマジで1
[00:00:41.719] コメ取れてん
[00:00:42.800] じゃん証明の
[00:00:46.199] やっとやっと取れたなかったねやじゃなく
[00:00:49.399] てね本当だね良かったね取れて
[00:00:53.840] ねの1
[00:00:56.120] 個本当に取れるんだ
[00:01:00.480] びっくりゆけるうん取れると思わんかった
[00:01:04.239] さんが5ドルでサブスあらチありがとう
[00:01:07.280] あら1年じゃないのよ1年じゃない
[00:01:11.159] の1年じゃねえかよありがとうございます
[00:01:15.159] おめおめおめき先生が本気出してきたら
[00:01:18.119] 負けてた優しさだな多分しもキ先生のどう
[00:01:21.520] もこんばんは皆さん
[00:01:24.119] えと記念日だねおいおい記念1年記念日だ
[00:01:28.479] ね
[00:01:30.720] 1年記念日だなやべえななんか高級
[00:01:35.040] レストラン行かねえとな1年記念日じゃ
[00:01:37.560] おれはいお疲れお疲れみんなはいはい
[00:01:39.799] はいたかさんこんばんはボリウム1コメお
[00:01:41.840] めでとうお疲れえしちゃこんばんはルフィ
[00:01:45.439] さんこんばんは
[00:01:48.360] えさんこんばんはえはいはいはい
[00:01:51.640] こんばんはこんばんはおちでお家で
[00:01:54.280] ゆっくり過ごすのが1番だよ
[00:01:56.159] なよいしょ今日もやってくぜ久しぶりの
[00:01:59.320] ポケモンや久しぶりになっちゃったすん
[00:02:01.119] ません昨日ね気づいたらもう11時過ぎて
[00:02:04.920] たねうんすんませんピカチュすいませんあ
[00:02:09.640] くつくもいどうもどうもライさん
[00:02:14.879] こんばんは待ってこれいつ終わるねんて
[00:02:17.319] いうパワ上司どうやって閉めるかワクワク
[00:02:20.680] してる昨日眠かったからいいよ最近終わ
[00:02:25.200] ねんでいい
[00:02:27.720] じゃんいつ終わんねこのポケモンマジで
[00:02:31.800] もうも10日目でございます配信と10回
[00:02:35.519] 目て当分ポケモンはやらんから当分
[00:02:39.840] ポケモンはやりません本当に1年に1回で
[00:02:42.280] いいです十分ですはいわかんないけどね
[00:02:43.920] そのうちやるかもしんないですけどま今日
[00:02:45.680] もやってきますからね邪魔の影響で
[00:02:48.040] レコードプレイヤーでえやばやばみえ
[00:02:52.040] ちゃんこんばんはえマジでスクイズてで
[00:02:55.120] リクエストするもお前それ460まする
[00:02:57.599] やつな見たよ俺も拒絶反応おい460ま
[00:03:01.120] するやつだろあのちびまるこちゃん
[00:03:02.720] デラックスクイズなマルコのデラックス
[00:03:04.560] クイズあれねゲームオーバー画面くそ
[00:03:06.920] 面白いんだよあれのゲームオーバー画面
[00:03:09.959] めっちゃ面白いんだなネオジオのやってた
[00:03:11.480] ネオジオ
[00:03:13.159] のあれのゲームオーバー画面面白いから見
[00:03:16.000] て
[00:03:18.360] ほしいレコードプレイヤー買ったんみー
[00:03:21.000] ちゃんマジかよいい
[00:03:23.239] ね1枚目のレコードは何すんのやっぱ
[00:03:26.400] マザーかあれいいよあれがあると
[00:03:30.280] 豊になりますねどうもこんばんは
[00:03:33.120] こんばんはやりますよ今日もポケット
[00:03:35.560] モンスター人生縛りですよ高いよねまだ
[00:03:38.159] 高いてかもうねレコードドっていうのはな
[00:03:40.680] レコードっていうのは発売の時に買わない
[00:03:43.439] と全部高くなります速攻であの大体の
[00:03:47.760] レコードが受生産限定とかあオタク特の
[00:03:51.239] 早口になっちゃったあのそうなんですよね
[00:03:54.200] 発売の時に買わなきゃいけないですようっ
[00:03:58.159] ブのだめちゃめちゃ欲しいオタク特有の
[00:04:02.200] 早くなっちゃったさ今日もやります
[00:04:03.560] ポケットモンスターブラック2ね10日目
[00:04:06.079] もうバッチは全て手に入れたの
[00:04:08.079] で今日ありちょっとプラズマダ壊滅行こう
[00:04:12.799] かなと思ってますちょっとレベル上げ
[00:04:14.159] レベル上げもいいんじゃないかなどうなん
[00:04:15.640] だろうなまあまあいいや今まやってき
[00:04:17.320] ましょうねはいはい
[00:04:18.840] はいなんかちょっとTwitterで今俺
[00:04:21.320] プチバズ中なんだけどチチャパチチャパの
[00:04:25.080] ゲームボーイミックスが200で超えそう
[00:04:27.840] なんだけど
[00:04:31.560] やべ有名人になっちまうよお前結伸びてた
[00:04:35.440] な220行ったらごめんなこれで有名に
[00:04:39.360] なっちゃったら配信を捨ててなんか全て
[00:04:41.840] そちらに行くかもしれ
[00:04:44.840] ない全てなんかそゲームボーイでコピー
[00:04:47.520] する人間のリツイートするわなんか毎日
[00:04:51.720] なんかさあの俺の声までリツイートしてる
[00:04:54.120] よ
[00:04:55.160] なんとかあなんとかゲームですどうも
[00:04:58.199] ちゃんもこんばんは
[00:05:00.120] やってまいりましたこのゲームもそろそろ
[00:05:01.600] 終盤でございますよやってきますから
[00:05:04.440] ねごめんちょっと今日1時半で終わって
[00:05:08.960] いい理由はちょっと寝坊が怖いこんばんは
[00:05:13.400] こんばんは通行くのかあそうそういや
[00:05:15.720] ありがたいからいいんだけどタピ
[00:05:16.840] こんばんは女なんで女になるんだそれ1時
[00:05:18.759] 半に終わってなんで女になるんだ
[00:05:22.639] よやりますぜちょっと最近本当ね裏でも
[00:05:27.080] 色々やることが多くてね嬉しいでまその
[00:05:30.400] 12月のイベントのこととかなんだかんだ
[00:05:32.560] 色々やることありましてねちょっとね昨日
[00:05:35.120] はね眠たくなっちゃった今日してしまっ
[00:05:38.120] たって何よ何をして何もしてねえよ何もし
[00:05:40.560] てねえ
[00:05:42.400] よお疲れどうもこんばんはちゃまゲーム
[00:05:45.639] です時半から会う女怖怖1時半から会う女
[00:05:49.039] 怖どうもこんばんはチマゲームです今日も
[00:05:50.840] やってきます
[00:05:52.720] えっとブラックまたげてるまた横ですどう
[00:05:56.520] もこんばんはポケットモンスタ
[00:06:00.000] 今日もやっていきますからこちゃんも
[00:06:01.759] こんばんはこめちゃんこんばんはどうも
[00:06:03.919] どうもやってきますさあ今日はもう皆さん
[00:06:08.319] お分かりの通り今日は最終回に近い今週中
[00:06:11.400] に終わりますからね昨日は雪山人狼見直し
[00:06:14.080] ておあ良かったよかったよかった雪山
[00:06:16.039] やっぱおもやなこのやったけどな
[00:06:17.560] おもろかったわコ殴られたコカ殴られ
[00:06:22.280] たよし毎回近いって聞いてる気がするん
[00:06:27.000] 何何何が近いって何がよいしょちょっと
[00:06:30.120] 待って
[00:06:31.080] えっと音楽止めますか適当な返事で
[00:06:35.680] 草クソ適当じゃねえちゃんと返してる
[00:06:38.479] ちゃんと米を全て返すこれが配信者の鏡
[00:06:41.479] ですよ今のひどかった終わりが近終わりが
[00:06:44.960] 近いて毎回言ってる毎回何かめされちゃう
[00:06:47.240] じゃん欲しいな行きますかコメント全て
[00:06:52.160] 拾ってるだけいいと思え
[00:06:56.240] よこのオープニングあも
[00:06:59.639] も疲れちゃんランディお疲れやっていく
[00:07:02.400] ぜ拾ってる拾ってる1コモです心照明今日
[00:07:07.039] は誰も待機してなかったからね今日誰も
[00:07:10.960] 待機してなかったどうせ今日ねえだろって
[00:07:12.440] 思われてたんだろうなやるがなあるがな
[00:07:15.840] あるがなそこを信じて待ってて森君の勝利
[00:07:18.720] ですねさあやってきますめコスした上司
[00:07:22.599] 閉めるだっけごめん見てなかった見てませ
[00:07:26.160] んでした見てませんどうすっかレベルげつ
[00:07:29.319] まででやろっかなもうでももう進みたいよ
[00:07:31.599] ね正直ねも正直進みてえ俺
