[00:00:04.799] 1個目2日目検討1波と2検討1波と来
[00:00:13.300] [音楽]
[00:00:20.800] たTwitterの通知の方が早かったの
[00:00:24.160] なんで
[00:00:27.550] [音楽]
[00:00:32.200] ちゃんと今日も1コメや
[00:00:36.330] [音楽]
[00:00:46.559] んえらいよ俺
[00:00:51.260] [音楽]
[00:00:56.559] はえす
[00:01:01.160] [音楽]
[00:01:02.440] どうもおすおすおいおいおいすおいすおい
[00:01:06.920] すお
[00:01:08.200] 疲れチマゲームでございどうもはい
[00:01:11.799] こんばんはこんばんははい1個目1個目お
[00:01:14.960] めでとうございますもりさんどうも
[00:01:16.880] こんばんはえそのちゃんもこんばんはり
[00:01:19.799] さんもこんばんはいやあります
[00:01:23.200] よやあります今日もはいポケット
[00:01:27.439] モンスターやってきますから
[00:01:30.320] いやあなげえこのゲーム日もありますか
[00:01:33.799] 明日あるよ明日あるけど明日違う明日あれ
[00:01:36.439] なんだよ俺明日
[00:01:39.079] あれレイドリレー明日レイドリレーなんだ
[00:01:42.240] よドラクエ1レイドリレー全く練習して
[00:01:45.200] ないの匂いしかしないまずい気がするだよ
[00:01:48.200] やったぜまずいかもしれねえなまでも時間
[00:01:50.759] 結構あるからどうしよっかなって感じいや
[00:01:53.399] どうし俺で死んだら笑えるよなでも俺も
[00:01:56.200] 大丈夫大丈夫だと思いますはいあの頑張り
[00:01:58.399] ますあのま今日はですねまたポケット
[00:02:00.680] モンスターレベル上げです今日もね
[00:02:02.159] ポケットモンスターレベル上げ本当はもう
[00:02:04.000] デイトリレーまでクリアしようと思ったん
[00:02:05.439] だけど無理やね無理無理無理たん
[00:02:07.680] こんばんはたびこんばんはお疲れちゃん
[00:02:09.759] 今日もやるぜ今日もやるでおいなあ
[00:02:13.720] ポケットモンスターブラック2人生縛りえ
[00:02:17.080] 11日目やってんなおい11日もやってん
[00:02:20.120] だもうこれだいぶやってるやんはいみー
[00:02:23.400] ちゃんこんばんはどもテマですテマ
[00:02:26.920] テマギャルみててじゃんテマなんとかて
[00:02:31.319] なんとかてって言うよななんかギャルって
[00:02:34.040] どうもテマですテマどうもこんばんはテマ
[00:02:36.640] ゲームです今日もポケットモンスターやら
[00:02:39.480] せていただきますけどももやっていて
[00:02:42.040] 100時間超え
[00:02:44.280] てだった山山
[00:02:48.239] 山どうもこんばんは一時期俺の名前が
[00:02:51.840] ちゃまて言うんでさリスナーの間で俺の
[00:02:53.760] 名前が内山内山っておお前の名前内山
[00:02:56.879] だろって言われことあります全然違います
[00:02:58.400] 橋本ですだるな
[00:03:01.610] [音楽]
[00:03:02.840] 一時なんだ内山のチて橋本だよ俺はうん
[00:03:07.519] 橋本連ですよろしくお願いします今日も
[00:03:09.239] 笑笑今日もやってきます内山連ですそう俺
[00:03:12.319] のチマて実言ってなかったけどチマの由来
[00:03:15.680] は内山です内山連だから俺ははいちゃま
[00:03:19.440] ですマテテって呼んでくれ
[00:03:23.440] マテお疲れちゃんこんばんは今日はやっ
[00:03:26.640] てくちょっとリップクリーム塗らせて
[00:03:30.280] リセ体制だよリップクリームってよしやる
[00:03:34.439] ぞ今日もまた今日も育成解です今に嘘を
[00:03:39.120] つくるチューする今日チューするから俺
[00:03:42.040] 今日キスシーンあるからちょっとリップ
