[00:00:04.720] 1コメ検討1
[00:00:12.519] がちはいお疲れおおめえなんか最近マジで
[00:00:16.720] 1コメ
[00:00:17.600] じゃんはいどうも
[00:00:20.600] こんばんは森本雄大君最近マジで1コメし
[00:00:24.880] てんじゃんすごいねもこちゃんも
[00:00:26.519] こんばんはお疲れちゃんお疲れお疲れ
[00:00:30.800] 今多分歴代
[00:00:33.640] 最速いいねもうあれか誰かの誰かに負け
[00:00:37.600] ないとかじゃも自分に勝つため
[00:00:39.719] にライバルは自分かよいいなどうも
[00:00:43.920] こんばんはチマゲームですもちろん
[00:00:48.000] よ今日はですね今日も今日もポケモンはい
[00:00:51.960] チスこんばんはお疲れちゃシール
[00:00:53.320] ありがとう買ってくれてありがとうね
[00:00:54.680] 高かったべめちゃめちゃ高かっただろお
[00:00:58.039] 疲れ様ですあの今日ポケモンありますてか
[00:01:00.840] 土日全然配信できんくてごめんななんか
[00:01:02.640] ずっと打ち合わせ打ち合わせ打ち合わせ
[00:01:04.199] 打ち合わせ打ち合わせでさまちょっと色々
[00:01:06.880] 忙しくて配信がちょっとこんな時間まで
[00:01:08.680] できなかったすんませんすいません
[00:01:11.240] プライスですプライスですあそうよかった
[00:01:14.880] すずりたけんだよなすり高すぎるんよすり
[00:01:18.720] 高すぎまあまあまあ今日もやってきますよ
[00:01:20.479] よろしくお願いします
[00:01:24.759] ねなんかポケモンも久しぶりだなでも今日
[00:01:27.920] ワンチャン最終回あると俺は思ってるけど
[00:01:29.799] ね
[00:01:30.600] ワンチャン最終回あるんじゃないかと僕は
[00:01:32.920] 思ってますりだよありがとういやどうも
[00:01:34.720] どうもあうござデザインのパーカー欲しく
[00:01:37.040] なったうん売ってますけどねあのデああ
[00:01:40.840] いうデザインああいうの作るのが前は結構
[00:01:42.680] 好きでさ今最近は結構なんか時間なくて
[00:01:45.040] できてないんだけどなんか今年もなんかあ
[00:01:47.320] いうの出せたらいいなとなんか思いながら
[00:01:49.320] ね時間あればちょっとああいうの作りたい
[00:01:50.920] なと思いながらまあまあまあまあまあジ
[00:01:54.240] ゲームセンスもありますからね面白いし
[00:01:56.560] センスもあるしね配信楽しかったです
[00:02:00.680] こんばんはエこんばんは今日も今からです
[00:02:03.240] けどもね今日今からですけども配信ねやっ
[00:02:05.880] ていきますよはいはい今日もやってきます
[00:02:08.000] ポケットモンスターブラック2人生縛り
[00:02:10.200] 長いねマジで1ヶ月立とうとしてる1ヶ月
[00:02:13.480] ぐらい立とうとしてるやばいさんが2ドル
[00:02:15.560] でサブスクしまし
[00:02:17.239] たですゆ約束やゆさお前それティアさんで
[00:02:23.400] サブスクしてやばくねいいのありがとう
[00:02:28.640] ティアさんて
[00:02:30.680] えめっちゃ嬉しいけどさ高いべマジでお前
[00:02:34.879] ティアさんでサブスしてんだ富豪も富豪
[00:02:38.239] 3000円ぐらいすんんだぞティアさんて
[00:02:40.319] ありがとうございます歴代3人目かもな
[00:02:43.400] ティアさんでサブスクしてんのはもう飯
[00:02:46.360] 食えませんやめろじゃあもういいよしなく
[00:02:49.760] てしなくていいよティアさんでサブス
[00:02:52.319] なんてマジでいやありがたいけどま色々ね
[00:02:55.319] あのまありがたいですけどねうん
[00:02:58.000] ありがたいですけど
[00:03:00.640] もやし生活だねもやし生活だ
[00:03:04.040] ねこれで温泉旅行一緒に行ってくれそれは
[00:03:07.519] ない
[00:03:08.840] けどあそれはごめんないそれマジでない
[00:03:11.840] けどねごめんそれはお前がいくら積んでも
[00:03:13.920] ないけど
[00:03:15.799] うんあそれはないわ
[00:03:18.799] うんごめんなうんティアあのサブスクとか
[00:03:22.239] じゃないからそれ
[00:03:23.319] は1なんで昨日の打ち合わせ俺だけ誘お前
[00:03:28.720] 関係ねええランディも来てくれたの言っ
[00:03:31.920] たらランディも言ったら来てくれてたじゃ
[00:03:34.319] 言よかったかな12月のイベントの
[00:03:36.879] 打ち合わせとかが色々ありましてね笑笑
[00:03:39.840] うん色々ありましてま色々ちょっと忙しく
[00:03:42.480] てね
[00:03:44.400] うんごめんな誘えばよかったか運営だもん
[00:03:48.360] ねランディもね運営だもん
[00:03:50.680] ねだけ
[00:03:53.200] は前にねにみたい
[00:04:00.640] だせで槌の役割ちゃんで十分なんだねちゃ
[00:04:04.799] そんな感じだ
[00:04:07.720] からそうだお前まさかそんなこと言うん
[00:04:10.079] だったら食んだろうなまさか食んだろうな
[00:04:12.400] お前頼むぞ
[00:04:16.040] うんみちゃんこんばんはワンチャン最終回
[00:04:19.759] ありケリなんだけど今日えこんばんはそれ
[00:04:23.000] ワンチャン最終会ありうん今日しての
[00:04:26.360] 行ければいいけどなままたでまたレベル
[00:04:28.759] 上げまた多分ねがりだろうなだよな1回
[00:04:32.520] これもう安心安全で行くんだったらコンパ
[00:04:36.039] ともあのあれで行った方がいいよなあの
[00:04:40.639] レベル上げで行った方がいいと思うんだよ
[00:04:43.360] レベ上げばっか本当だよいつまでやんだよ
[00:04:48.160] これいつまでレベル上げ続けんだよもう本
[00:04:51.479] 飽きてくる
[00:04:52.600] わ行っちゃうしかねえ教えてほしいんだ
[00:04:55.639] けどこれ点ってレベルどんくらい出して
[00:04:57.600] くん
[00:04:58.440] のれにおる相手7でもいやいやいやいや
[00:05:02.240] ごめん明日仕事だから俺レベル上げ楽し
[00:05:04.080] すぎごめん明日仕事だからごめんなうん
[00:05:06.240] BW2明日仕事俺平日あのあの休日休み
[00:05:10.639] あのあれないんだようん3連休とかない
[00:05:13.120] からうちうん超仕事なのかド畜しド畜し
[00:05:16.880] ブラック企業なん
[00:05:19.639] であお疲れちゃんどうもこんばんはなんか
[00:05:23.560] すいませんね土日全然配信できなくてすい
[00:05:25.759] ません60付近だったと思う60付近だ
[00:05:28.840] やっぱな
[00:05:30.520] やっぱ60金なんだよなメガだどうも
[00:05:33.960] こんばんはどうもメガネ知てますどうも
[00:05:35.880] こんばんはまクソ立てメガネだけどどうも
[00:05:37.680] こんばんはえチマゲームでございます今日
[00:05:39.680] もねポケットモンスターブラック2人生
[00:05:41.960] 縛りの方やっていきますけども1周目だよ
[00:05:43.960] ねわ1周目1周目1周目だよゲといえば
[00:05:46.639] そのパーカーあ本当これこれ結構気に入っ
[00:05:48.680] てんだ可愛いでしょこれ可愛いよねこれね
[00:05:50.639] 袖にさこの魔法陣なんか書いてあってま
[00:05:53.280] いいやとりあえずやりますはいじゃあやり
[00:05:55.160] ますかねじゃあ最高でも60だと思うああ
