[00:00:11.160] ひしひ
[00:00:12.550] [音楽]
[00:00:18.279] 。うい。お疲れ。
[00:00:24.570] [音楽]
[00:00:56.280] え
[00:00:59.840] [音楽]
[00:01:12.080] お
[00:01:18.400] つちゃまお疲れ。はい、どう
[00:01:20.759] もこんばんは。ちゃまゲームです。はい、
[00:01:24.840] どうも。もことこんばんは。え、あらげマ
[00:01:28.920] さん、こんばんは。え、シジさん、
[00:01:30.520] こんばんは。え、ビオフェルミん、
[00:01:32.439] こんばんは。はい、どうも邪魔ゲームです
[00:01:35.000] 。はい、やります。今日
[00:01:38.479] もな、何だっけ?ラスト
[00:01:41.680] オブアス、ラスト
[00:01:43.920] オブアーダコーダーやってきます。
[00:01:45.920] よろしくお願いします
[00:01:48.479] 。すいません、ちょっとあのね、昨日、
[00:01:53.240] 昨日やるとか言ってたんすけどね。日だっ
[00:01:55.439] けそうなんすよね。すいません。
[00:01:57.719] すいません。ランディ、こんばんは。ランディさん、こんばんは。水曜日とか言ってすいません。寝ちゃ、寝ちゃったんだもん。しょうがないじゃん。ごめんって言ってんじゃん。
[00:02:06.159] こんばんは。
[00:02:06.880] ねえ、ごめんって言ってんじゃん。なんで許してくんないの?
[00:02:09.110] [音楽]
[00:02:11.520] た、男なんだね。うんうん。お疲れ。
[00:02:14.640] もうんじゃん。ずっとなんで許してくんないの?ごめんって言ってんじゃん。っていうわけわかんない切れ方する女いるよね。はい。どうもこんばんは。
[00:02:26.360] 手が出そう。
[00:02:29.400] はい、どうもこんばんは。はい、どうもしさん、こんばんは。が大切なの?
[00:02:35.959] 微妙に早い。
[00:02:37.000] どうも。そう、微妙に早い。微妙に
[00:02:39.000] あることさん、こんばんは。
[00:02:50.120] どうもこんばんは。よくあることだから気にしてない。それはそれでちょっと俺も危機感覚えて今日ちょっと早くつけました。すいません。しょうがないよね。だってさ、仕事してるんあのじゃ、俺
[00:02:51.120] 1
[00:02:52.000] 個言わしてくんねあ。1
[00:02:53.200] 個言わしてくんね。
[00:02:54.400] [音楽]
[00:02:55.560] Twitchってよ。
[00:02:57.040] どこかの配信者みたいになっちゃいました。
[00:03:03.239] なんで誰どこ誰ですか?誰?誰?誰?あのさ、
[00:03:04.239] 1個出してほしい。Twitch
