[00:00:05.520] ひひひおはちゃま人1
[00:00:18.199] 男たまきよたまぴきむぴよぴようお疲れ
[00:00:33.200] えい朝までういお
[00:00:42.280] 疲れういお
[00:00:51.719] 疲れキービジュアル最高でしたういお疲れ
[00:01:00.320] はいどう
[00:01:03.360] も
[00:01:09.439] すすやすどうもこんばんははいチバゲーム
[00:01:12.560] ですはいあゲーマーさんこんばんはみー
[00:01:15.920] ちゃんこんばんはえりこんばんはまる
[00:01:18.880] こんばんは人さんこんばんははいどうも
[00:01:21.119] チバゲームですあリさんもこんばんははい
[00:01:23.799] どう
[00:01:27.799] もです32月32ヶ月パチパチもう伴侶や
[00:01:34.680] んもうほぼ
[00:01:37.040] 3232ヶ月伴侶ですもうはいどうも
[00:01:40.079] こんばんはあの遅くなりましたもう疲れた
[00:01:43.600] よ侶ですね疲れたかいつま疲れ
[00:01:50.759] たほんまおめえら1個言っとくわ営業
[00:01:55.719] なんてな営業なんてしねえ方がいいぞマジ
[00:01:58.840] でもう全営業なんて人間のやろ仕事じゃ
[00:02:02.240] ない本当にもうもうあかんもうあかんあ
[00:02:07.560] かんであかんレドじゃんレイドじゃんマジ
[00:02:13.400] か栄養やめ
[00:02:16.959] とこレイドじんおねこんばんはおねこさん
[00:02:21.640] こんばんはどうもちゃまゲームと申します
[00:02:24.200] レドありがとね今日
[00:02:26.200] は僕はもうお仕事で
[00:02:30.760] たかだかたった2時間の打ち合わせのため
[00:02:34.080] に6時間運転してもうゴミゴミのゴミです
[00:02:38.319] 本当にもう本当にしもけんちゃんどうも
[00:02:40.920] こんばんはもういややめようもう
[00:02:45.599] やめようもうやめようなんでウブ会議知ら
[00:02:50.159] ねんかなも雨だそれなすぎるだろそれな
[00:02:56.800] それなんすよ
[00:02:58.840] ゴミそれなんです大雨大雨怖めでもうだろ
[00:03:03.840] 大雨こめいやだめダメだめあのあれだから
[00:03:06.360] あの誠意
[00:03:08.159] が信じられねえだろ誠意だっってさ相手の
[00:03:13.280] 元に出向くのが誠意だからああねえ本当
[00:03:17.959] もうくばればいいのにな相手ももうそんな
[00:03:21.599] 引いてたぜ相手もいやもう別にいいですよ
[00:03:23.959] ウブでってだめなんですよねこれが俺たち
[00:03:28.280] の
[00:03:30.519] ハート手心これが手心が行ってんのかそう
[00:03:34.439] だよこっちが行ってんだ
[00:03:36.280] ようちの社長が言ってんだよバカだから
[00:03:40.360] 本当
[00:03:41.760] もうざんなもう疲れたよもう6時間転して
[00:03:47.000] クソ雨の中今日雨えぐかったかんなマジで
[00:03:50.200] の台で終わらせようもう終わらせよう俺の
[00:03:53.040] 台
[00:03:54.040] で俺の台で終わらせます全てをまもういい
[00:03:58.480] や今日もすごかったねラスタバナやってき
[00:04:02.079] ますよラスタナスかなり強い雨だからスし
[00:04:05.560] て怒られに行ったわけ怒られに行ったわけ
[00:04:07.480] じゃない新しい案件のキックオフ
[00:04:09.319] ミーティングなんだけどキックオフぐらい
[00:04:12.040] はかなきゃままま俺もされてんのかなま
[00:04:14.920] 確かになと思うんだよねとに転職できるで
[00:04:18.600] やだだキックオフぐらいはま名刺渡に行か
[00:04:22.440] なあかんかなっていうところはままだよね
[00:04:26.240] だよねだよねだ俺もその方俺もちょっとう
[00:04:29.720] ああっていう社長専属もう俺ほぼほぼ今の
[00:04:32.520] 会社で社長専属運転手だよ俺さ社長専属
[00:04:35.919] 運転手だよほぼ俺今まもちろんあの営業も
[00:04:40.199] するんだけど運転も俺だから社長横に乗せ
[00:04:43.680] てねって手当てはすご手当てとかないよ
[00:04:46.759] だって業務時間内だもん別にないないない
[00:04:50.160] あるわけないやんないないそんなもん
[00:04:52.840] はさあ始めます
[00:04:57.199] 笑笑あどうもこんばんは
[00:05:01.800] バックどう
[00:05:03.440] もてん
[00:05:07.000] 何れカマスタイルで行くわ今日は終わった
[00:05:10.320] 後に喋んな終った後にんなどうも
[00:05:14.759] こんばんはあのちゃん
[00:05:17.680] こんばんはもう迷ったもん寝ようかなで
[00:05:20.960] もうさすに最近金曜日もう仕事疲れすぎて
[00:05:23.680] さ金曜日の配信ほやって今日ラタはやりて
[00:05:28.639] な何がはげてねえよはげてないだろ髪あん
[00:05:31.759] だろうがこんなにおいクソ神もりもりじゃ
[00:05:34.960] どうもこんばんはえ
[00:05:38.440] あみにしもうもうめっちゃ好きじゃん俺の
[00:05:42.479] ことん
[00:05:44.520] だみし残業なんかいっぱいだよみあの僕の
[00:05:49.000] イベントのえキービジュアルとえチケット
[00:05:54.319] の告知が出たのを皆さん見ましたかという
[00:05:57.720] ことでえチケット販売Tシャツ良すぎるT
[00:06:01.160] シャツ良すぎるべあれあののきちゃんの
[00:06:03.520] あのキービジュえぐいでしょあれのき
[00:06:07.080] ちゃんのキービジえぐいよねあれマジで
[00:06:09.400] あれめちゃめちゃえぐいっしょあの
[00:06:11.240] デザイン神あれいいよねめちゃめちゃね
[00:06:14.240] あれが今回のキービジョンになりますんで
[00:06:16.840] であれがTシャツにもなりますででですね
[00:06:20.120] えっと来週
[00:06:22.680] のえ金曜日か7月のシャ先
[00:06:30.319] 自分おふざけんなあレドざすレドざ
[00:06:35.039] こんばんはいメタルさんこんばんはお疲れ
[00:06:37.120] ですお疲れちゃん今日ロフカルマスタイル
[00:06:39.560] フカルマスタイルの俺さんこんばんは
[00:06:41.840] ありがとうあともう疲れた俺は疲れ疲れ
[00:06:45.639] 申している今俺はもう今日1日ずっと運転
[00:06:48.639] しててもうもうえまいいやとりあえず今日
[00:06:53.080] は今日もこさん冷ありがとうね
[00:06:59.720] やっていきますからラスタバナよしよし
[00:07:03.720] やりますもう疲れた幸せになって欲しい
[00:07:06.319] ランキング5ないに俺
[00:07:09.560] 俺幸せになりてえな幸せになりてえな俺も
[00:07:13.599] な幸せになりてえなあでなんだっけ
[00:07:18.720] チケットチケットが来週の金曜日なんで
[00:07:23.080] あの今のうちにそのライブポケットって
