[00:00:05.319] おはちゃま防人1チルド
[00:00:08.670] [音楽]
[00:00:28.960] ボ
[00:00:32.000] [音楽]
[00:00:58.920] OGDET
[00:01:10.810] [音楽]
[00:01:46.200] す
[00:01:47.719] こんちはどう
[00:01:49.560] もジャバゲームですおはようございますみ
[00:01:53.880] ちゃんこんばんはおございますしもちゃん
[00:01:55.479] もどうもやりますからの配
[00:02:01.159] ますやる
[00:02:03.360] やるラスタバラスやってく
[00:02:07.119] ぞもうちょっと早く配信ねやろうかなと
[00:02:10.959] 思ったんだけどちょっと結局こんな時間に
[00:02:12.440] なっちゃった申し訳ござません
[00:02:16.160] 戦やりますせ今日もな今日もやる
[00:02:22.519] ぞ今日さもしかしたらわかんねえけどもし
[00:02:26.440] かしたらなんか
[00:02:30.319] JJがさうちなんか飯行こうつってさ言っ
[00:02:34.519] てきたからさもしかしたら飯食い行くかも
[00:02:37.640] しれ
[00:02:38.560] んJがJから連絡あって夜もしかしたら
[00:02:42.800] ご飯行くかも行こうよってもしかしたら
[00:02:45.040] ご飯行こうってわけわかんねえあのJか
[00:02:47.319] あのJから来たからもしかしたら夜飯食
[00:02:49.920] 行くか
[00:02:51.159] もわかんないけどなんかあいつ誘ったくに
[00:02:54.360] LINE仕されてる俺のえ何行くのって
[00:02:57.840] いうLine返したんだけどなんか死活さ
[00:03:00.680] れてるから分かんない行くかどうか
[00:03:04.959] 笑笑多分行くんじゃねえかなどう
[00:03:07.320] [音楽]
[00:03:10.400] だろうまそれまでまたありやろう
[00:03:13.100] [音楽]
[00:03:21.799] やみまたありとなやりますぜ
[00:03:28.590] [音楽]
[00:03:43.000] もうでもなんかクリアできねえんかな
[00:03:44.680] なんかそろそろできそうな気がすんだよ
[00:03:47.360] ねもう後半
[00:03:58.200] だろ回と次回で行けそうやね今回じゃ無理
[00:04:02.360] かなちなみにあれだじんちゃん飯行っつっ
[00:04:07.120] たけどなんかそっち着くの10時ぐらいに
[00:04:10.000] なるとかさおせえんだよなあいつなんか人
[00:04:12.799] とずれてんだよな飯行こうつってさ夜10
[00:04:15.799] 時に打ち来るやついるやってねえよ
[00:04:18.919] 店だから10時ぐらいまだできると思う
[00:04:21.479] どちらんしよう遅めの夜ご飯遅すぎるだろ
[00:04:24.120] 俺俺めっちゃ腹減るやんそれまで待ってん
[00:04:27.040] のあいつさちょずれてんだよね
[00:04:30.600] 言っこそっち作の10時とかになるわ遅
[00:04:33.400] すぎるだろどう考えてもままいいけどま
[00:04:37.320] 待つけど
[00:04:44.840] さ痩せちゃう
[00:04:47.070] [音楽]
[00:04:49.320] よさあやる
[00:04:54.919] かどうもざ
[00:04:59.880] ドソ寝起きドソ寝起きチマゲームですどう
[00:05:02.800] もあござますもう顔もくちゃくちゃでだめ
[00:05:05.880] だ今日はどうもじゃ今日はえやってきます
[00:05:08.680] 今日もそんな寝たんだ寝ためちゃめちゃ寝
[00:05:11.960] てたえラスターバス今日もやってきます
[00:05:15.039] はいお疲れさんお疲れお
[00:05:17.039] 疲れやってく
[00:05:19.479] ぜはいやります
[00:05:31.720] やるじんちゃんが飯行くかどうかマジで
[00:05:34.560] わかんねえから何時までできるかわかん
[00:05:36.360] ない飯行こうって言われて誘われてんだ
[00:05:39.240] けど何の返事もねえから誘ったくせ
[00:05:43.479] に前髪が納得いか
[00:05:46.400] んギャルだからちょっと待ってギャルだ
[00:05:49.000] からマジ前髪ギャルだからさちょっと前髪
[00:05:51.440] 整えないとさあい
[00:05:57.000] ますぜ
[00:06:03.600] どういうストーリーだったんだっけな
[00:06:05.120] なんかもう
[00:06:06.759] あのあのドンパチが多すぎてもう覚えて
[00:06:10.680] ねえわでもドンパチばっかりもうずっと
[00:06:13.800] 銃撃戦もうえて銃撃戦しかが死んじゃっ
[00:06:19.520] たサラサラってあれじゃねえの娘だろ
[00:06:30.520] ラスタバナリマスタードやり
[00:06:44.880] ますああなんか病あれだ
[00:06:48.440] なんか学校学校に来たんだななんかな
[00:06:53.160] なんか学校に来て
[00:06:59.720] うまんのって学校に来たあれだ弟と別れた
[00:07:02.120] んだよ
[00:07:04.520] 確かそうだそう
[00:07:09.720] だそうだねここだった
[00:07:22.199] わおいタコ待ってろなんでタコなんて名前
[00:07:26.720] にしたんだドミに名前を聞かなかったのが
[00:07:29.840] 悪いんだ
[00:07:31.199] よタコかあれなんかあこれ
[00:07:35.240] さオートセーブから開催なんかさオート
[00:07:40.000] セーブから開始なんだよなずっとなこれ
[00:07:42.440] やったのに俺これ
[00:07:48.639] こここ全部やったのに
[00:07:55.120] なこれ全部取ったしな
[00:08:00.280] まいいややるか好きなとこでセーブでき
[00:08:03.639] ないのそう一応セーブできるんだけど
[00:08:05.520] セーブしてもさなんか再開はあれあれから
[00:08:08.440] なっちゃうんだよ
[00:08:11.680] ねま拾えるもん拾って見張りの後があるお
[00:08:17.879] いい
[00:08:21.280] ね
[00:08:26.919] ブブおちつおはようお疲れ
[00:08:31.479] ちゃんわこちゃまおクさんおはよう
[00:08:35.000] ブンブンてみーちゃんかよおが来たんかと
[00:08:38.440] 思っ
[00:08:40.680] たここやったのに
[00:08:47.560] な暑い今日今日暑いなも今日1日家にいる
[00:08:52.360] からわかんねえや家から1本も出てねえ
[00:08:55.000] 今日さっき起きた
[00:09:04.560] 試合3位だったよあなんか試合いって言っ
[00:09:07.880] てたっけ3位ってすげえなわかんねけどえ
[00:09:11.839] 何人何人中何チーム
[00:09:18.839] 中水学のさ大会だとさの
[00:09:23.560] 笑笑ままままいやま出ることにあれがある
[00:09:27.640] からなのようちの地元なんか水額なんか3
[00:09:32.360] つぐらいしかねえからもうあの出るだけで
[00:09:35.200] 同し確定みたい
[00:09:37.000] な35じゃすごいんじゃないわかんない
[00:09:42.480] けどいや出たことに意味があるんだよ出た
[00:09:47.079] ことに意味があるよしやって
[00:09:49.000] みようほらピストルのこ作ってねえ
[00:09:54.800] もん何よさ
[00:10:00.920] 何を育てるかだよ
[00:10:04.320] なまミニショットガンは絶対使うからこれ
[00:10:08.000] 絶対強いからこれは使う
[00:10:12.160] からまだ200ある
[00:10:15.480] あとシャガも行っとく
[00:10:18.640] か弾がねえんだよなでも
[00:10:22.640] な弾がねんすわあロムてありがとうお疲れ
[00:10:28.320] 様うま弓でも弓弓はちょっとごめん弓は
[00:10:32.959] 行かせてくれ弓もう伝説道だから俺はあ
[00:10:37.360] ディアブロディアブロ装備するのれ
[00:10:41.279] た俺の胸の
[00:10:45.440] ディアブロやっちゃうか
[00:10:48.240] これ
[00:10:50.480] よし懐かしいゲームとておゆっくり
[00:10:53.600] ジャスティスさんこんばんは懐かしい
[00:10:55.480] ゲーム初見でやってますもうでこれる
[00:10:59.440] やめてねやめてねじゃないありがとう
[00:11:01.120] ございますグルポありがとうあまだある
[00:11:03.760] やんけここにグルポありがとねレド
[00:11:06.959] センキューレドありがとえねよしもう10
[00:11:10.279] 年前のゲームだもんなやってた人からし
[00:11:12.320] たら懐かしいかもしれん僕は初見
[00:11:15.399] ですラスアスラスアスやってる
[00:11:18.920] ぜもう俺はも伝説のもう俺はもうみここに
[00:11:24.399] 住んで勉強だけしてたの子供じゃないのに
[00:11:27.560] そうしてで将来やりたいことを見つける
[00:11:32.440] 場所だったの大学か将来やりたいこと大学
[00:11:36.519] ね
[00:11:38.639] 大学どっから住むのこれ前回ここで終わっ
[00:11:42.480] たんだよ確かでどっからどこに行けばいい
[00:11:44.600] かわかんねえって
[00:11:47.920] いう勉強できるのは幸せだったんだ
[00:11:51.839] ね勉強のできる
[00:11:55.279] 幸せえ
[00:11:57.640] [音楽]
[00:11:59.480] お囚人さんやん
[00:12:01.600] えろ人さんやんありがとうレイドえ人さん
[00:12:06.399] て配信してん
[00:12:08.880] のさんお疲れレド
[00:12:13.440] ありがとう行けるんかい行け
[00:12:17.399] たレドありがと
[00:12:21.199] ね愛も変わらずやっていますこのになって
[00:12:26.079] あ本にわかんねそうなんだこれなってる
[00:12:29.680] プレステ5でももっときれになって
[00:12:32.399] でしょでもなんかプレステ5版は
[00:12:34.680] リマスターてよりあそうなんだ勉強配何の
[00:12:38.160] 勉強してんの何の勉強配信してん
[00:12:42.040] の弓で行くあピストルこれピストルあれ
[00:12:46.320] できたのでかいねピストルできたのでかい
[00:12:48.880] わ元も結構綺麗だったイメージだったから
[00:12:51.839] わからへんプレステ3だって言うたてきれ
[00:12:54.079] でしょ言うてもプレステ3なんてのあそう
[00:12:58.120] なんだ向上心
[00:13:00.639] 高め勉強はいくつになってもいいからな
[00:13:03.959] いくつになっても勉強をやっていいから
[00:13:08.760] な
[00:13:14.320] よし勉強せんとな土日は夕方まで寝
[00:13:19.800] て夕方になったらゲームつけて
[00:13:23.079] ごちゃごちゃ文句言って本当すいません
[00:13:25.279] クズ
[00:13:27.399] でごめんなていうかファイア
[00:13:30.680] フライ
[00:13:32.600] 全部おお前馬の
[00:13:35.720] の
[00:13:37.760] 確そうなんよ
[00:13:40.160] ねそうなんよねこのゲームさもうドンパチ
[00:13:44.000] が多すうまい1回降りればお前うま1回り
[00:13:48.880] もうなんか
[00:13:50.240] もう遊木民族みて
[00:13:53.000] な常にうに乗っ
[00:13:56.320] てるおいおい
[00:13:59.320] ってるだうと待ってろ俺が大丈夫いいか
[00:14:04.279] 逃がすなよジマップお前船降りろあいつよ
[00:14:09.360] 今日は準からの連絡次第そうそう連絡次第
[00:14:13.320] 多分10時ぐらいに来るとさね夜飯行こう
[00:14:16.040] ぜて誘ってきて10時ぐらいにお前行くわ
[00:14:18.199] と遅すぎるだろ普通に考えてあいつずれて
[00:14:21.759] んだよな常人の感覚
[00:14:26.160] とそれまで飯食えねえからさ俺
[00:14:29.560] 腹減っちめえよ
[00:14:36.000] なうせんだあいつマジ
[00:14:39.920] で朝まで飲むつもりなのかもいややだ
[00:14:44.079] よやだ腹ヘルと飯うまいやんだから遅いん
[00:14:48.880] だよそういうことゼもお
[00:14:53.360] 疲れあうわ待っているじゃん普通にうわ超
[00:14:58.399] いる
[00:15:01.839] でもなんかちょっとこれゾンビ女ゾンビと
[00:15:04.880] さこの声エロないなんかまた多いフン
[00:15:08.519] いっぱいおクリッカー多い
[00:15:13.399] てマジ多いしまなんだけど
[00:15:20.120] これうわしかもあいつ外出てき
[00:15:23.920] た声エロない
[00:15:30.079] まそのため
[00:15:34.720] のさすが
[00:15:37.959] によしよしよしよしよしおこのためのだな
[00:15:42.040] これ
[00:15:53.000] なエ一応弓最強なんよな音も出ないしね
[00:16:01.800] ちょっと待ってこいつこれだるい
[00:16:10.440] お前いや嘘
[00:16:18.240] でしょお前りんだよくそ結局
[00:16:23.759] こそ
[00:16:27.000] おらおよしゃよしまあまあまあいいだろ
[00:16:31.759] もうまあいいだろまあまあもういいだろ
[00:16:34.920] これでいいいいオオ
[00:16:38.120] オまあまあいいでしょオオ
[00:16:42.920] オジョエル無双いやさっきマチェットが
[00:16:47.000] あったからなマチェットマジ強えから全員
[00:16:49.279] 殺せば見つかってないそういうことそう
[00:16:51.199] いうこと全員殺せば見つかってないおこれ
[00:16:54.199] 飛ばシステム出た弓持ってるってことは
[00:16:57.240] 雪山パート終わったかえ終わって
[00:17:00.759] ないやめて
[00:17:03.039] ネタバレ雪山やった覚えないですねこのの
[00:17:08.160] おあ雪山なんて知らねえ
[00:17:11.439] ぞそうなんよ回数宣言なんだよ
[00:17:15.839] な雪山やってないよね雪山パートがあるん
[00:17:20.600] だ最初から持ってるでしょうがうちの草刈
[00:17:23.959] と一緒でなかなか回らない
[00:17:29.799] 弓何本あるな2本もらっちまったもったい
[00:17:35.240] ねえ思ったよるアイテムが
[00:17:44.320] ねしんさんこんばんはま別に大丈夫だよ
[00:17:48.360] パート楽しみだね
[00:17:50.280] ああそれでそこのあれ扉が開くとオ
[00:18:01.000] ショットガン使いすぎてショットガンの弾
[00:18:02.960] が全然ねみだ申しないあ大丈夫だよ大丈夫
[00:18:11.360] にどこらだろファイラ終わったくらかっ
[00:18:15.640] いいでしょちょっとだから何編終わっ
[00:18:17.440] たって聞くのやめてファイアフライ編も
[00:18:19.679] 分かってないからやめろその聞き方わかん
[00:18:22.240] ねっ
[00:18:23.159] て何編終わったとか言うなわかんねえから
[00:18:32.200] 何変っていう区切りわかんないやめ
[00:18:38.600] て今終わっ
[00:18:41.679] たすにんはさすに死んだ1番最初
[00:18:47.320] な
[00:18:51.440] のそれもわかんない
[00:18:59.120] かったの
[00:19:00.960] は歌手歌手嘘でしょ本当だよ歌手なり
[00:19:06.159] たかったのるいいじゃん笑わないからいや
[00:19:09.840] 絶対
[00:19:11.520] 笑う
[00:19:13.760] お歌う
[00:19:15.880] の歌え
[00:19:18.280] よ歌えっ
[00:19:21.440] て
[00:19:23.840] 歌えよ歌えよジョエルのオープニング辛い
[00:19:27.720] んだよな
[00:19:29.320] あなたを追っ
[00:19:30.760] て悲しみの日本かつ歌ほらこんばんはあ夢
[00:19:36.760] さんこんばんはお
[00:19:38.200] 疲れあなたはもう忘れたかしらし
[00:19:43.799] てジョエルの聞きたい
[00:19:49.320] 桜
[00:19:51.360] のさ
[00:19:55.190] [拍手]
[00:20:00.159] その時
[00:20:02.520] までしましたサクありがと月目
[00:20:06.000] ですさんありがとう
[00:20:09.400] サブスクサブスク神こっそりお疲れ
[00:20:13.640] ありがとうねナイサブナイスサブプライム
[00:20:17.440] サブ
[00:20:18.760] ありがとうこっちしか行けねえようだ
[00:20:30.960] あなん
[00:20:34.600] だ馬で超えるんかこれ
[00:20:40.159] めろこれって猿何がどああたくさんいるな
[00:20:45.559] 猿んサルなんかいねえ
[00:20:51.120] だろん猿なんかいるタコを見てるねのこと
[00:20:55.320] か嫌な名前だタコ嫌な名前か
[00:21:01.159] あ猿
[00:21:03.760] [音楽]
[00:21:06.600] だ
[00:21:13.200] 待て襲ってきたりしねえだろう
[00:21:17.159] なタコだの猿だ
[00:21:20.080] の
[00:21:23.520] ふ何なのあの猿ルっ
[00:21:26.520] てなんか感動した
[00:21:29.880] 猿をなんか感動的サルを初めて見た
[00:21:45.039] よでけえ大学だ
[00:21:47.600] なメインホールなんか見落としてぞ
[00:21:52.240] なんかわかんね人間以外染しないのかない
[00:21:55.279] ように隠れてるのか別犬とかそう出てきて
[00:21:57.400] なくない犬は出てきてるけど染したゾンビ
[00:22:00.200] と出てきてないから多分染しねんじゃない
[00:22:02.679] 人間以外はわかんない
[00:22:06.240] けどあのマークファイアフライどれどの
[00:22:09.679] マークあこれほそうだ
[00:22:13.559] なよかったファイヤフライのサインださ
[00:22:16.600] ファイヤフライもよく分かってないんだ
[00:22:18.000] けど本当にいい人たちなのファイヤフラ
[00:22:19.679] イってものすごいファイヤフライをなもん
[00:22:24.039] だろ人間みたいなもんだな気をつけている
[00:22:30.200] かい
[00:22:36.840] ない
[00:22:40.279] オ
[00:22:47.000] あキャンパスマップ来
[00:22:51.679] た今この赤丸んとこにいんのか
[00:22:55.440] な英語だからわかんないよこれ
[00:22:59.440] 英語だからわからんこれ
[00:23:04.240] な海外のさんこんばんは憧れるさん
[00:23:10.360] こんばんは海外の大学いいよ
[00:23:19.400] なま何かブシだけをいだきにきました
[00:23:28.559] の大学ってこんな感じな
[00:23:31.200] の量かな
[00:23:35.480] これ
[00:23:38.559] うおたねえかな
[00:23:41.559] た生徒の日記え1月18日急急かけずもの
[00:23:47.880] 間待ったか何もなし誰からも連絡はない
[00:23:50.360] 食堂から完全を見つけろができたけどこれ
[00:23:52.279] ももう長くは持たないだろう東の
[00:23:53.880] バリケードで問題が発生したがまだ安全だ
[00:23:56.159] あの化け物どもの群れを見たあの中に
[00:23:58.520] ヘザーらしき姿あった彼女だったのかも
[00:24:00.400] しれないくそえバッテリーの残りも少ない
[00:24:02.840] ためラジオは夜だけチェックしてる最後の
[00:24:05.000] 放送から3ヶ月も経ちもう望みは捨ててる
[00:24:07.159] え2月25日シェールがえ昨日外でタバコ
[00:24:10.960] を吸っていた中が耐らんなかったらしい俺
[00:24:13.840] がタバコを捨てた俺がタバコを捨てたら
[00:24:16.880] 怒っていたけど彼女は何も理解できてない
[00:24:18.760] 俺たちは警戒を怠っていけないんだだって
[00:24:21.760] さいつまでいたんだろうな
[00:24:31.120] たま
[00:24:39.000] ないや急にドカンはやめて
[00:24:46.320] ねくそ
[00:24:49.159] だえ士どこ
[00:24:53.840] がああ砂糖ね
[00:24:58.640] 使ってないよね俺全然あ本当だえてことは
[00:25:02.120] いるってことか
[00:25:09.159] これあいるやん
[00:25:15.279] けそう
[00:25:20.159] かしかもめんどくせえクリッカー
[00:25:23.279] だクカほんにクリカだりいよな
[00:25:32.919] おはようあ
[00:25:35.960] おはようクリカだるい
[00:25:40.120] なあま正直別に倒そうと思えば倒せる
[00:25:50.320] けどいるだろうな普通のやつ
[00:25:54.480] もクリッカーでしょクリッカークリッカー
