[00:00:04.839] おはちゃま
[00:00:06.750] [音楽]
[00:00:09.160] ひひひういお
[00:00:12.530] [音楽]
[00:00:21.080] 疲れちゃまだりえんひひ
[00:00:25.300] [音楽]
[00:00:31.320] ツ102にやにや
[00:00:33.440] とびにやにや
[00:00:39.090] [音楽]
[00:00:52.520] スピリテール
[00:00:54.770] [音楽]
[00:01:11.320] まいつでもBANできるから
[00:01:24.260] [音楽]
[00:01:26.600] なあああ
[00:01:31.640] はいお前マジでいい加減にしろよお
[00:01:35.720] 疲れなんだお前ら
[00:01:38.479] おいお喧嘩すんなおはいどうもお疲れ様
[00:01:43.000] ですはいどうもこんばんははいみちゃん
[00:01:45.600] こんばんはもらこんばんはさんこんばんは
[00:01:49.119] さんこんばんはこんばんは
[00:01:51.960] こんばんは
[00:01:53.640] めろやめろもうやめろてこんばんはお疲れ
[00:01:58.880] さやめろな笑笑怖い目ちゃのツイートの最
[00:02:05.799] うん知ってる知ってる知ってるよ知ってる
[00:02:08.720] よなもうあた俺もな何もないもんなもう
[00:02:12.599] あんな過去のことだよなもうなうん直接
[00:02:15.560] 行ってこいよ
[00:02:17.120] うんはいどうもこんばんはチマゲームです
[00:02:20.319] え今日もえ
[00:02:23.640] ザラスタマナスゲート子合体させておい
[00:02:28.160] 早いんだよな仕事がなずことが起きた仕事
[00:02:31.480] が早い仕事が早くていいです
[00:02:34.850] [音楽]
[00:02:38.840] ね気持ち悪気持ち悪すげえなこれどうやっ
[00:02:44.879] て作ったの
[00:02:47.440] これどうやって作ったんだよ
[00:02:50.239] これ
[00:02:54.040] すご送ってもらったけど愛合成技術本当
[00:02:57.720] なめてた合成してるとこがある笑笑すご
[00:03:02.280] 笑笑えこれすごく
[00:03:07.120] ないえちょっと待ってこれすごいわまもい
[00:03:12.040] 始めようはいどうもお疲れお疲れさんです
[00:03:15.519] どうもこんばんはジャマゲームですはい
[00:03:17.120] どうもはい今日もこちらのラスタワナス2
[00:03:21.560] やってきますからえちょっと待ってこの
[00:03:23.400] 画像1回見てくれ
[00:03:27.040] みんな今の時代こんなことですきるんだ
[00:03:30.760] 言葉帰れたらさらにすごそうちょっと待っ
