[00:00:04.920] おはちゃまスピリテールおはちゃまスピリ
[00:00:09.920] テールういお
[00:00:22.039] 疲れはい
[00:00:24.960] こんばんは皆さん
[00:00:27.000] こんばんは
[00:00:28.960] ニヤニヤゲムですにやにやタバ
[00:00:33.000] なすはいどうもよいしょとはいどうも
[00:00:38.320] ジャマゲームだ
[00:00:40.079] よ今日こそ今日こそやってきますはい
[00:00:44.440] よろしくお願いしますあの皆さんいいコラ
[00:00:47.640] がだった皆さんあしさんどうもはいえみー
[00:00:52.239] ちゃんこんばんはええりこんばんはあ
[00:00:55.160] こんばんははい
[00:00:58.239] あの私の12月のイベントのですね
[00:01:03.680] チケットががぐいクオリティあのチケット
[00:01:06.560] がですね本日より販売ということでえ皆
[00:01:11.520] さんねよろしかったらねあのこれ買ってね
[00:01:15.520] こっからね買ってね
[00:01:19.000] あのはい遊び来てくださいということで
[00:01:22.159] はいよろしくお願いし
[00:01:24.119] ますもう握りしめたもう握りしめたもう
[00:01:29.200] 握りしめためですウェイ買ったおリさん
[00:01:32.360] 疲れえ買ってくれたマジで
[00:01:34.159] 嬉しい嬉しいあタスなタバナも今日も最終
[00:01:37.640] 局面わかんねえけどどんくらい来てんのか
[00:01:39.720] わかんねけどなまとりあえず今日はえやり
[00:01:42.640] ますけども明日休みなん明日休みなんだ
[00:01:44.360] けど明日ちょっとスタジオあのあの
[00:01:46.159] イベントのバンドのスタジオの練習がある
[00:01:48.240] んでまそんな朝まではできないですけど
[00:01:50.920] まあまあまあいやもう早いもんだと山のり
[00:01:55.159] 握りしめましたありがとうございます僕
[00:01:57.039] ちょっと金玉でかいんで
[00:02:00.840] 何いきなり何いきなり俺の金玉の大きさの
[00:02:05.200] 話まどうでもええねんなもんはなもはどう
[00:02:08.840] でもいいんだよんなもんはどうでもいいな
[00:02:12.360] チケット買えよおめえらなやうるせえ馬鹿
[00:02:15.440] 野郎ちっちゃくねえわおい
[00:02:18.239] は俺あれだかんね金玉でかすぎてマジで
[00:02:21.560] 金玉の皮こうやってグって後ろ側に持って
[00:02:23.480] きたのマリオのマントマリオみたいに飛ん
[00:02:26.400] でけるからな
[00:02:30.280] 飛びます金玉がでかすぎてそんぐいでかい
[00:02:33.040] 俺は地面にこすれて歩いてるから
[00:02:37.160] なきの化け物たぬきの化け物
[00:02:40.720] です生はどうだお前らチケット買ったの
[00:02:43.760] かっていうもうねねチケット買ったんです
[00:02:47.959] か皆さんはおまさか俺のチャンネル遊び来
[00:02:51.800] てるやつ遊びこないやついねえよなまさか
[00:02:53.480] な仕事だろうがどこにするだ関係ね全員
[00:02:56.720] 行けないから買わないあそうだよねごめん
[00:03:01.239] そうだよなよに握りしめありがとうござい
[00:03:03.640] ますありがとうございいやでももちろん
[00:03:06.360] 配信もつきますから配信もつきますからね
[00:03:09.000] あの来れないって方は配信も是非楽しんで
[00:03:11.200] くださいね配信の方ももちもちやります
[00:03:13.959] からライブハウスにライブハウスにあの
[00:03:16.920] ゲーミングPC持ち込んで
[00:03:19.519] やる持ち込んでやりますんであの僕は
[00:03:23.400] ちょっとねいろんな今までいろんな
[00:03:25.080] イベント出てきた
[00:03:27.000] けどねあの現地のリアルイベンオフイベっ
[00:03:30.319] ていうのかないろんなの出てきましたけど
[00:03:32.400] どうしても配信がねおろそかになりがちな
[00:03:36.080] んですよおろかになりがちなのよ今までま
[00:03:39.040] まま別にそのなんかなんかその悪口じゃ
[00:03:41.439] ないけどしょうがないんだけどなんかこう
[00:03:44.400] 音が同時悪かったりとかなんか色々結構
[00:03:46.799] 大変なんですよあのそれなんないようにね
[00:03:50.120] あのちゃんとあのしてやりますけどね経験
[00:03:53.760] スタジオケトでそうあのバンドマン時代に
[00:03:56.640] 配信ライブってやってるから大丈夫です
[00:03:59.079] その辺はね
[00:04:00.400] よろしくお願いしますはいよろしくお願い
[00:04:02.040] しますね
[00:04:03.519] はい是非ねあの本当にグッズとかも通販で
[00:04:09.319] 買えるようにした方がいいのか
[00:04:11.040] なまちょっとまその辺はおいおいですね
[00:04:13.720] まだ5ヶ月ありますからまで行くと8時間
[00:04:19.199] かでも買ってくれたんでしょチケットいや
[00:04:22.960] 新幹線でくればいいじゃん新幹線止まんだ
[00:04:24.600] からのみ新幹線で来いよ3時間ぐらいと
[00:04:27.680] 来れんだよそしたら3時間持った5時間
[00:04:29.479] ぐらい
[00:04:30.680] 愛だね愛だねよろしくお願いしますね着々
[00:04:34.280] と準備も進んでいますからええええええ
[00:04:36.520] よろしくお願いしますグッズの方も色々
[00:04:38.560] 作ってますんでねよかったらよろしかっ
[00:04:40.520] たら遊び来てください
[00:04:42.720] はいさやりますか
[00:04:47.240] ねはいどうもこんばんはお疲れさんです
[00:04:50.520] ちゃまゲームですえ今日
[00:04:53.039] はラスタバスはい今日もやってきます
[00:04:57.039] よろしくお願いします金曜やね金曜やね
[00:05:02.120] 野球ベースボールチで行きます
[00:05:04.320] ベースボールチ野球のルール知らんけど俺
[00:05:06.759] 野球のルール知らないけどあのパワプロ君
[00:05:09.840] でしかやったことないんでわかんないです
[00:05:11.360] けどま今日もやってきますから
[00:05:14.320] 野
