[00:00:04.960] ドラゲナイきちゃブロード
[00:00:28.960] トラルOG
[00:01:27.560] まだエシーンあるかな当ても
[00:01:33.280] はいどうもこんばんは
[00:01:36.439] すみちゃん
[00:01:38.399] こんばんは今日やっぱあれだねやっぱ
[00:01:43.399] エロゲだ
[00:01:45.840] わあの任天堂あじゃねこうじゃねどう
[00:01:49.680] のこうのまだ終わってないんだけどあれい
[00:01:52.560] でも
[00:01:53.759] やっぱこっちがやりてえということで今日
[00:01:58.439] もねきますよドラゲナイドラゲナイ2ね
[00:02:02.840] ドラゴンナイト2やってきますよ全部ス
[00:02:06.640] どうしようかなあれいや気が向いたらやる
[00:02:09.399] んだけどいかせちょっと他にもやるゲーム
[00:02:12.080] がたくさんありましてちょこれもやりたい
[00:02:15.040] しねうんドラゲナイもやりたいしね
[00:02:17.480] ドラゲナイいや本当は土日はあのゲームに
[00:02:19.680] 捧げようかなと思ったんだけどまあ
[00:02:22.440] ドラゲナイやりたいなって
[00:02:24.160] いうやっていきます今日も
[00:02:40.560] がいそれなん
[00:02:45.200] よんありがと
[00:02:51.720] ありがとるる
[00:02:59.959] のエロゲ
[00:03:02.720] よまやってきますないかと思いますいや
[00:03:06.000] やりますやりますよやりますやり
[00:03:09.159] ますいや昨日朝どこまでやるぞやるぞやる
[00:03:14.879] ぞああ朝っていうか今日昼の11時ぐらい
[00:03:18.599] までてた俺今日
[00:03:21.599] 配信昼の10時とか11時ぐらいまでやっ
[00:03:24.799] てたよ朝10時くらいまでやってたねど
[00:03:27.480] 結構やってたねちゃまゲム珍しくね
[00:03:30.720] 結構熱中してやりましたもうでももう結構
[00:03:33.200] お腹あ月おいプライム久しぶりにおいおい
[00:03:38.159] おいマジかありがとうありがとうみー
[00:03:41.439] ちゃんサブスクじゃないかまやっぱな
[00:03:45.400] エロゲやってる時ぐらいはちょっと広告
[00:03:47.560] なしで見たいのあるよなエッチなシが
[00:03:49.680] いっぱいということ減るということですね
[00:03:52.159] どうかなま気がけばやるけどねあれね
[00:03:57.959] ねやてもいんだけど
[00:04:01.519] いや今日はちょっとちょっとやっぱエロゲ
[00:04:03.400] 挟みたいなっていうエロゲ挟みたいなと
[00:04:07.120] 思っております今日
[00:04:09.280] はおこんばんはおはようお疲れお疲れ
[00:04:13.000] ありがとうおいお疲れエロゲやるぞ
