[00:00:00.000] DET
[00:00:02.440] [音楽]
[00:00:32.800] ういお
[00:00:34.990] [音楽]
[00:00:43.879] 疲れまさか来るとは思わんかった
[00:00:48.550] [音楽]
[00:01:29.119] 会館会館
[00:01:31.290] [音楽]
[00:01:44.159] 会館はいどうも
[00:01:46.880] こんばんははいやりませい今日もはいどう
[00:01:50.920] もえもらこんばんはえみーちゃん
[00:01:53.000] こんばんはえさんこんばんははいはいやり
[00:01:57.200] ますやりますよ今日も
[00:02:00.520] ドラゴンナイト2ねまさか来ると思わ
[00:02:03.240] なかったいややりますやりますやります
[00:02:06.640] やりますやり
[00:02:08.239] ますでこの
[00:02:10.480] ゲームこの
[00:02:12.319] ゲームどうなんこのゲームってどあとどん
[00:02:15.760] くらいか結局いつもこうなんだよな最初の
[00:02:19.680] 方ちゃまゲームってこうRPGとか楽し
[00:02:22.120] そうにあんだけど後半ぐらいになってくる
[00:02:24.200] といつもいつもえこのゲームあとどん
[00:02:26.840] くらい続くのっていうところなんですよね
[00:02:28.680] 結局ね
[00:02:30.360] いやまやりますけど全然いいんですけど
[00:02:32.720] バニーエロかったな前回なバニーも
[00:02:36.680] エロかったしあのなんだっけケイトもう
[00:02:38.640] エロかったっすねも最近この薄いエロが
[00:02:41.959] なかなかなんか自分の中で結構こう来る
[00:02:44.680] ね薄いエロが結構来るか来るな最近な
[00:02:50.040] そんなドスケベじゃないんだけどねいいっ
[00:02:52.920] すねまだまだ新しいモンスター出てきそう
[00:02:54.760] の予感してますん
[00:02:56.920] でどうなんだろうね薄いのでねたまには
[00:03:01.040] 薄いのでこう
[00:03:03.680] ねぱ濃すぎると体に悪いすからなんでもね
[00:03:07.000] 塩分でもなんでもやぱ薄あ味薄めでいか
[00:03:10.920] ないと
[00:03:13.640] やっぱりままったりやってきますよ今日も
[00:03:17.570] [音楽]
[00:03:21.360] ねちゃまのエシーンつきますかオリジナル
[00:03:25.959] ねえよ酒オリジナル薄薄くてな
[00:03:30.840] 何ですか相オリジナルって僕ちわかんねえ
[00:03:32.920] わ何相オリジナルって知らない俺
[00:03:39.680] は今日もなんかエッチなシあればいいっす
[00:03:42.400] よ
[00:03:43.879] ね何ゾーンって本当に知らないつ
[00:03:47.959] コンドームそれ知らん本当にごめん本当に
[00:03:51.319] わかん
[00:03:52.959] ない本当に童貞だ俺わかんないねゾーンっ
[00:03:56.439] ていうあんのあれがコンドムが知ら
[00:04:02.920] んあるよえそうなん知ら
[00:04:07.959] ねえ知ら
[00:04:10.280] ねえ俺ちょ童貞だからわかんねえや刃道だ
[00:04:14.879] から
[00:04:15.980] [音楽]
[00:04:26.320] 俺薬局でバイトしてるからあそうなんだあ
[00:04:31.000] 薬局でバイトしてるんだえじゃやっぱあれ
[00:04:34.160] かその買ってくやつのことさやっぱ裏で
[00:04:37.199] なんか言ったりすんの裏でやっぱなんか
[00:04:39.639] 言ったりすんのうあいつおい天が買ってっ
[00:04:42.479] たぜあいつみたいなしないよあしないか
[00:04:46.320] 勝手にこっち側が思ってるだけかいやが
[00:04:48.639] 買ってないけどねテ買ってませんけども
[00:04:50.440] はいやってき
[00:04:51.560] ますよすお疲れどうもジマゲームですやり
[00:04:56.120] ます今日もやっていきますえドラゴン
[00:04:59.240] ナイトというゲームを今日もシクシクと
[00:05:03.560] やっていきたいと思いますいいこジケ
[00:05:05.919] なかなか見たらいいよねこれねこれやって
[00:05:08.199] きますよこれすあ今こいつ疲れやるぜ今日
[00:05:11.680] も今日もエチか黒やね今日もエチ求めて
[00:05:16.080] いきます最近は白か黒でございますね大体
[00:05:19.639] 俺洋服白か黒しか持ってねけどエチを今日
[00:05:22.520] も求めてエチを求めていきますよろしくお
[00:05:25.280] 願いしますあやちゃんもこんばんはやっ
[00:05:27.520] てくぜスケどもが
[00:05:30.840] やっぱこのゲームねやっぱエロてやっぱ
[00:05:33.759] いいねネットでエロてやっぱ人釣れるんだ
[00:05:36.199] なと思って同がいいもん最近でもいいから
[00:05:40.039] 超えてくでもいいから限界どこまであるん
[00:05:44.280] だろうラスボスとはなんか界超えそうな
[00:05:47.800] 予感ドラゴンナイト2
[00:05:50.919] マップとりあえずやっていくぜこのゲーム
[00:05:54.080] どんくらい長いんだろうねままいい
[00:05:55.680] とりあえずそんな不安はどうでもいいやっ
[00:05:57.240] てきます今日もを求めてし
[00:06:00.840] ますさあやろうじゃない
[00:06:03.960] かただ求めるはエチのみだなかさ昨日やっ
[00:06:08.240] てと思ったけどだんだんなんかその
[00:06:10.400] ダンジョンが複雑で
[00:06:13.160] さちょっとエチまでのクパンが長かった
[00:06:21.680] ね来ました
[00:06:26.820] [音楽]
[00:06:31.479] こんばんは覚えておくが
[00:06:34.400] いい私は決して許しわかっも飛ばせても
[00:06:39.400] いいと思うんだ
[00:06:41.400] 私の本当の力を知るが
[00:06:45.160] いいそしてび私の前にのでこれこいつのお
[00:06:52.280] でまずワン乳首確定してるから
[00:06:55.879] ねあファンタジーロールプレイング
[00:06:59.560] ドラゴンナイト
[00:07:05.479] 2いいBGMだな
[00:07:08.400] エロやっぱり
[00:07:10.840] なこのBGMを聞きこのこのこのぶぶれ
[00:07:15.680] まだいいえっとえっとねPCMはオンで
[00:07:19.599] オンだからオンでオン行きますよろしくお
[00:07:21.960] 願いしますオンでオン
[00:07:25.039] ね毎回これで10分取られるさどこに行く
[00:07:28.560] のですかはあそうだなえもう覚えてないよ
[00:07:32.360] なんだっけだええっとね何だったっけ何シ
[00:07:36.039] んだっけな何するんだっ
[00:07:39.360] けとりあえず長老の家行ってみようか
[00:07:42.520] なんか思い出してくんねえか
[00:07:46.120] なつまんのでも魔力を扱えるものいらない
[00:07:51.280] もう見つかったけどこにいるんじゃ
[00:07:56.840] ほほその女性がまあなんか魔法を使える
