[00:00:25.480] 会館ちゃまきちゃグググ
[00:00:35.239] 遅かったやないの待ってた待って
[00:00:48.559] た来た
[00:01:00.920] ピースピース
[00:01:03.559] ピース朝までです
[00:01:09.960] かはいどうもこんばんはどう
[00:01:21.000] もどうもこんばんはすませんどうも
[00:01:24.479] こんばんはゲームですきりしたどうもすい
[00:01:30.119] ません遅くなっちゃいましたねどうも
[00:01:32.680] こんばんはジムゲームですやりますか
[00:01:37.720] ねソロモンのアーダコーダやります今日
[00:01:42.040] もあべにスマホぶん投げたよ
[00:01:47.240] ねさ鼻ムズムズすんのよ最近なんか風邪
[00:01:51.520] 引いたかな最近くしゃみめっちゃ出る
[00:01:54.360] わくしゃみめっちゃ出ますどうも今日
[00:01:57.920] ちょっとだからくしゃみ多めかもしれ
[00:01:59.479] ごめん
[00:02:00.520] ごめんなやりますよはいあののあのね
[00:02:05.360] くしゃみのちゃまですどうも
[00:02:07.239] えさんこんばんはしきちゃんこんばんはえ
[00:02:10.200] こんばんはおこんばんはサブありがとう
[00:02:12.640] サブありがとう
[00:02:14.519] えみちゃんこんばんは
[00:02:17.040] えくこんばんはいもこんばんはとはいこな
[00:02:20.560] 感じですねどうもはい今日はいや明日休み
[00:02:24.720] なんで久々やな
[00:02:27.080] なんか夜長時ですよ今日は
[00:02:32.200] 久々久々うおいつも1か月ぶりじゃない
[00:02:36.280] そんなん
[00:02:37.640] ねまどうせお前ら寝るんだろうけど途中で
[00:02:40.480] な俺もま俺も眠くなったら寝るけどだか
[00:02:43.920] クリアしたいね俺このソロモンのあーじゃ
[00:02:49.000] ねこじねをさソロモンのあじねこじねを
[00:02:52.720] クリアしたいの今日今日行けるかわかん
[00:02:55.640] ないけどまた今日1からやるけどねセーブ
[00:02:58.800] 機能ないから前回の前回どこまで行ったん
[00:03:01.720] だっけな確かなんか30ぐらいまで行った
[00:03:05.480] んだよな30ぐらいまで行ったんだけど何
[00:03:09.159] ステージあるかもわかんないしまた1から
[00:03:11.480] やる6時に起きるからそれまで流行ってて
[00:03:14.360] ね時に寝てるそれ1番ゴールデンタイム
[00:03:18.799] じゃんあれか直か直ですかおさん大変です
[00:03:25.959] 戻しそんなかからんやろだっ
[00:03:31.159] やてそこまでってんだもう答え分かってる
[00:03:33.680] からねサクサクよ
[00:03:36.879] サクサク戻しなんか多分1時間以内で
[00:03:39.360] 戻せると思うよ今回もあのコンティニュー
