[00:00:08.679] T
[00:00:10.270] [音楽]
[00:00:39.320] グググググググググあまちゃまどももあり
[00:00:44.239] ちゃまどももあり懐かしいの来
[00:00:47.290] [音楽]
[00:00:58.920] たDET
[00:01:08.380] [音楽]
[00:01:53.960] はいどうもこんばんははいどうもじけです
[00:01:58.399] はい
[00:02:00.119] えりこんばんはおこんばんはさん
[00:02:02.840] こんばんはどうもえジマゲーム
[00:02:06.880] です今日もやっていきますかねえゲーム
[00:02:12.080] ボーイのレッドアリーマーというゲームを
[00:02:14.519] やっていきますから人さんてるありがとう
[00:02:16.959] どうもこんばんこんどもです
[00:02:21.920] どどうもこんばんはあもこんばんはお疲れ
[00:02:25.840] やるぞレッドアリマンをな今日も
[00:02:30.760] やすいませんあの昨日あのごめん
[00:02:34.120] ねもうごめんね最近
[00:02:38.360] さバカ眠いこれなんだこれこれは歓談差
[00:02:43.680] ってやつなんでしょうか分かりませんけど
[00:02:46.159] もめっちゃ眠くね最近なんかだめだ眠
[00:02:51.519] すぎる年かこれ年なのかお疲れ眠いもう
[00:02:57.239] 昨日なんかもう寝たらすぐよたらすぐもう
[00:03:00.560] ねもうちょっと8時ぐらいで家ついて眠い
[00:03:04.879] もんは仕方ないじゃないもう整理かもな
[00:03:07.959] 女の子の日かもしんねえな今日
[00:03:10.360] なちちゃんこんばんはそうかもしんねえな
[00:03:13.599] あのちゃうな
[00:03:16.319] 昨日グラコロ食ったんす
[00:03:19.440] よ茶は女の子グラコロ食ったらグラコロっ
[00:03:24.400] てよあれさ分小麦粉じゃん小麦粉しか小麦
[00:03:29.840] でしょでコロッケのこの小麦粉でしょで中
[00:03:33.599] のあのグラタンの部分小麦粉でしょも圧倒
[00:03:36.560] 的炭水化物でもうドカ食い気1個しか食っ
[00:03:40.159] てないんだけど血糖値爆上がりにあもう
[00:03:42.239] 帰ってきた瞬間寝たねもう9時にもう
[00:03:46.239] 目覚まし一応かけて血闘ち爆上がりコンボ
[00:03:49.480] やめてねでもまそんな眠くなかったのよ
[00:03:52.480] 眠くなかったし自信あるなと思って携帯を
