[00:00:08.480] ういお疲れレドカードレドカードレド
[00:00:12.040] カードき
[00:00:13.030] [音楽]
[00:00:17.039] ちゃーうおお
[00:00:31.359] のん
[00:00:50.440] BGMなんか曲流れない
[00:00:53.280] わどうこんばんはゲームです何これなんで
[00:00:56.680] 流れないのこれ
[00:00:58.320] おいあ
[00:01:01.519] 曲が流れない
[00:01:08.960] かえなん
[00:01:12.000] でなんかななんか曲流れなくなっちゃった
[00:01:16.479] ねなん
[00:01:21.600] でなんか流れねえやだめだ終わっ
[00:01:24.840] たむむ無ですこんばんはむどうも
[00:01:28.479] こんばんはむです曲が流れない俺はもう
[00:01:32.320] 終わり
[00:01:33.240] です何かたなんかないわ
[00:01:41.159] えなんでだよこれこ
[00:01:44.520] ラなんでだよ
[00:01:47.759] これ無無なんだが
[00:01:51.240] おいはあ
[00:01:57.290] [音楽]
[00:01:58.840] ぶん
[00:02:00.210] [音楽]
[00:02:06.560] ブ
[00:02:07.770] [音楽]
[00:02:23.640] 歌なんで流れねんだ
[00:02:26.840] こんで流れねんだよあるなんで流れねんで
[00:02:31.840] どうもこんばんはジャマゲームですはい
[00:02:33.200] どうもなんか曲が流れないわからない
[00:02:36.959] 寂しいあれがないとおあれがないと寂しい
[00:02:40.080] よあれがねえと寂しいよあれがねえと
[00:02:44.200] 寂しい
[00:02:45.159] よあれがねえと寂しいだめだあねえわえ
[00:02:49.040] 消えたいいやんたまにはなくてもたまには
[00:02:51.280] なくてもいいかでやってきますかよろしく
[00:02:53.239] お願いし
[00:02:57.080] ますどうもちゃですとかどっかの誰かさん
[00:03:01.360] みいなこと言わないでゲームば解決こ
[00:03:07.040] こんばんは果音はるんやねガンバさん涙に
[00:03:11.239] チゲームです今日はなんか何やろうかなと
[00:03:14.440] 思ったんだけどちょドラクエさあのあれの
[00:03:17.920] 前までゾマの前までだったらできるんだろ
[00:03:20.640] ゾマのデブですゾマの前だったらできんだ
[00:03:24.040] よなゾマの前までやろうと思いますはい
[00:03:25.760] よろしくお願いしますもう曲ないんで行き
[00:03:27.319] ます
[00:03:30.000] そこまでならピアス多ないえピアス多く
[00:03:33.959] ないいつもこうだえピアス多くない
[00:03:37.000] よいつもこうやでいつもこうやいつもこう
[00:03:41.519] やってきますえなんでこれBGMなそう
[00:03:45.319] だっけそうだよいつもなんで
[00:03:50.519] これピッピーじゃないピッピーじゃない
[00:03:52.920] ピッピーじゃない準備をしてる人もいるな
[00:03:55.920] よろしよろしこよろしこしこしこしこしこ
[00:04:00.319] はいどうもこんばんはチゲムです皆さん
[00:04:02.200] どうもこんばんはどせ1なんだけどそれも
[00:04:04.959] バグってるなんか今日パソコンの調子
[00:04:06.560] おかしいわ充電ちゃんとしといてねねもう
[00:04:09.879] 充電できない可い色だいい
[00:04:12.640] ね5mmの一生変わらソルスソルスティス
[00:04:18.040] になってるしもうだめだもうダメなんだよ
[00:04:22.120] 俺俺はもうダメなん
[00:04:26.479] だていうかさ
[00:04:30.840] みあげるよえミくれよあそのミ見てみたい
[00:04:34.360] んだけどでか
[00:04:35.800] 文字ていうかさドラクエた今週今週ライブ
[00:04:42.160] 本番店ま嘘だろまだ1ヶ月ぐらいあるよな
[00:04:47.000] アートディンクアートディンクってあれだ
[00:04:49.120] よななんか他のゲームやってたよな毎回
[00:04:51.280] 言う毎回言うこれだけはこればっかりは
[00:04:55.039] 毎回言うアートディンクってなんか他も
[00:04:57.240] やってるよねどうもこんばんは皆さんどう
[00:04:58.759] もこんばんは早いよな個別に挨拶するの
[00:05:01.759] ちょっとしんどいんでやめ
[00:05:03.400] ますすよ音ちっちゃおいバカこう
[00:05:10.000] だろうドラゴンクエスト列で
[00:05:13.680] 行こう
[00:05:17.960] [音楽]
[00:05:23.039] ば
[00:05:24.759] だ速配
[00:05:28.639] し
[00:05:31.440] ちゃちゃちゃまカンカンカン忘れたわもう
[00:05:36.160] やり方ドラクエのやり方忘れた
[00:05:39.280] わドラクエの瞬間忘れました13日ライブ
[00:05:44.080] だけどライブすっぽかしてそうだねライブ
[00:05:46.280] ライブの前の日にエンディング見よみんな
[00:05:48.680] でライブの前の日にやるかな最初からやる
[00:05:52.720] のもありやねありだよなぶっちゃけなまた
[00:05:55.720] なガンガンカンカンどこ何ここあり高橋
[00:06:00.039] やるかおすお高橋はやらないどうも
[00:06:02.280] こんばんはもうなごめんごめんな今日
[00:06:03.600] みんな個別に誰が来てるか大体分かって
[00:06:05.360] ます大体な
[00:06:07.050] [音楽]
[00:06:08.280] えー何するんだこれこれ何する日今日今日
[00:06:13.599] どんな日今日は何の日レベル高かえレベル
[00:06:18.080] 高いのこれ俺バラモスも倒してねえんだよ
[00:06:26.440] カカカラーの鏡はやったよもラーミア
[00:06:30.560] ラーミア復活うわ待ってるび
[00:06:37.000] ますこれさスピード面白そうこれスピード
[00:06:40.919] くそ遅く
[00:06:42.240] ない毎回思うんだけどこれもっと早くなん
[00:06:45.319] ねえのこれくそあ遅い何これこんな
[00:06:49.639] 動かせるんや
[00:06:53.400] これおっそ
[00:06:55.720] これどこ行きゃいいねこれ何やんの次
[00:06:59.800] [音楽]
[00:07:01.759] 雅まま雅ではあるちゃんラってたあもう村
[00:07:06.840] ここまで来てんだダシとかねえんだ
[00:07:09.440] バラモスてどこバラモス城ってどこだよ炎
[00:07:12.599] したんでしょすぎるなんかもうPCで
[00:07:15.560] なんか普通にMOD入れられまくって
[00:07:17.240] なんか改造されててされられ
[00:07:21.210] [音楽]
[00:07:30.199] 調子悪いな今日調口の
[00:07:32.879] やん
[00:07:35.599] のを応しそういうことだな前で緊張してる
[00:07:40.080] 言えないからってごまかさないでうるせえ
[00:07:43.919] な
[00:07:47.639] パラままこれがラーミアようんやば
[00:07:51.360] ラーミアゆっくりですやっぱラーミア早い
[00:07:53.680] ラーミアはラーミアじゃないんでゆっくり
[00:07:55.759] ですラー改造さられまくってるね改造さら
[00:08:00.240] れられされどこやねんでここだろ
[00:08:04.560] 絶対絶対ここ
[00:08:09.319] だろもうなんかみんなクリアしてんでしょ
[00:08:11.720] どこれ俺だけだろうなまだこんな鳥
[00:08:15.800] ジャンプ鳥ジャンプこれ鳥ジャンプですか
[00:08:19.599] 俗に
[00:08:22.520] 言ういや本当今日ねドラクエあるか
[00:08:26.319] ちょっと迷ったんだ
[00:08:27.800] けどなんかほ別のゲームやろうかなと思っ
[00:08:31.400] たんだけどまライブ前
[00:08:34.479] じゃんなんかだからなんかこうなんつうの
[00:08:37.399] かな変なゲーム始めちゃうと途中までやっ
[00:08:40.839] てライブ挟んでまたその途中からゲームや
[00:08:42.760] るってなんか霧が悪いから
[00:08:46.080] さ残り全部雑談かと思った雑談もねいや
[00:08:51.880] 直前は雑談するつもりなんだ色々ライブに
[00:08:54.760] 関してのなんかこう色々話すことあるから
[00:08:58.240] 直前木曜日は主地獄雑談しようかなと思っ
[00:09:02.320] たんだよねなんでだよお前はは荷造
[00:09:07.480] りってのは別にないよ荷造り旅行じゃねえ
