[00:00:11.719] ちゃまドペペペちゃまドペペペちゃまドペ
[00:00:15.440] ペペき
[00:00:18.880] ちゃちゃまペペペちゃまペペペちゃま
[00:00:23.439] ペペペうお
[00:00:28.960] どりゃ
[00:00:58.920] DETJA
[00:01:53.840] すはいどうも
[00:01:56.399] こんばんはどうもガマゲームです
[00:02:01.079] やっていきますか
[00:02:02.799] ね今日から新しいゲームをやっていきます
[00:02:08.520] けどもよろしくお願いしますとえやっと
[00:02:13.080] なんかあれだななんか今年入ってやっと
[00:02:16.360] まともなゲームがやっとできるなていう
[00:02:18.840] 感じでね
[00:02:20.120] あのいいですねはいどうもこんばんは
[00:02:22.959] えっとえいここんばんはさんこんばんはえ
[00:02:27.760] こんばんはえこんばんは
[00:02:30.400] こんばんはみちゃんこんばんはという感じ
[00:02:32.280] ですねよろしくお願いしますいやなんか
[00:02:35.720] ちょっと前回までの配信の記憶がないんで
[00:02:39.800] いやなんかやっとねポケモンプラチナ
[00:02:43.200] みたいんですか何それ
[00:02:45.440] わからんえポケモンプラチナって何えポケ
[00:02:51.400] え何ちょっとちゃこんばんはわかんないん
[00:02:54.360] ちゃ元気あみこちゃんどうもこんばんはジ
[00:02:57.120] ゲームですやってきますからよろしくお
[00:02:59.040] 願いしますあの前回まではもうなかった
[00:03:01.599] ことになったんで本当やめてくださいマジ
[00:03:03.040] で掘らないでくれ本当
[00:03:04.799] にもさすがに萎えたさすがにないわもう
[00:03:08.560] 2度とやらんなんやそれもう何ポケット
[00:03:11.280] モンスターダコポケットモンスターの略
[00:03:13.280] らしいなんかにやらんもうポケセ封鎖とか
[00:03:17.080] するやつ全員アホですやりません僕は
[00:03:19.560] そんなゲームよりもそんなゲームよりも
[00:03:22.080] 入ってると思ったらさえそんなゲームより
[00:03:25.080] も幸福ソス感
[00:03:26.959] ですバガ系に気合入ってるの自爆
[00:03:32.319] マもうやめてくれ
[00:03:35.319] もうもう嫌
[00:03:38.400] だマグニチュード9自爆はやめろ本当に
[00:03:43.280] 耐えれるかあんなもん最高のゲーム幸福
[00:03:46.680] 操作感とことで今日からね
[00:03:48.840] あの全世界で3000本しか売れなかった
[00:03:52.200] 伝説のゲームやっていきます幸福操作感と
[00:03:54.599] いうプレステ2のゲームやってきますこの
[00:03:57.439] ゲームのカテゴリー見てくれタンクやめろ
[00:04:02.000] このカテゴリー今日はねレトロはレトロ
[00:04:04.000] じゃなくてカテゴリーこのゲームにしてん
[00:04:05.519] だけどこのゲームのTwitchの
[00:04:07.040] フォロワー
[00:04:09.159] 2人ちなみに俺もフォローしてないし
[00:04:12.959] 素晴らしいゲームがやってきました幸福
[00:04:15.439] 操作感ね笑笑やっていきたいと思います
[00:04:18.079] 笑笑えどうやらこれWikipediaで
[00:04:20.239] 見たらこのゲーム出荷本数3000本
[00:04:23.240] らしいこれそんなマイナーだっ
[00:04:26.000] たす3000本のうちの1本がうちにある
[00:04:30.120] ぞ今1000が今うちにある
[00:04:34.360] ぞ素晴らしいだろやるぞま俺の配信長く見
[00:04:39.240] てる人はまあ1回見たことあると思うけど
[00:04:41.160] ねこれちょ前にちょっとやったんだよな前
[00:04:43.320] にちょっとやってままおもろかったんだ
[00:04:46.160] けどなんかちょっと別のゲームやりたく
[00:04:48.199] なってやめちゃったんだよねしか名前聞か
[00:04:49.919] ないかも幸福操作感なやってるやついない
[00:04:54.440] だろうな多分Twitchでなやっていき
[00:04:56.440] ますか
[00:04:59.800] どうもこんばんはジャマゲームです
[00:05:02.199] よろしくお願いしますえ今日からね気持ち
[00:05:05.759] を新たにやっていきたいと思います今日
[00:05:07.840] からやるゲームこちらですと同じ匂いの
[00:05:09.680] ゲームこちらでござい
[00:05:11.360] ます幸福操作感というそのパーカー
[00:05:14.400] めっちゃゲームをやっていきますいい
[00:05:16.759] でしょうあパーカーあいいでしょこれうん
[00:05:19.400] まええねんけどそれはそれはええねんけど
[00:05:22.160] こっちもいいだろうがこっちもいいぞお前
[00:05:25.280] らこっちもいいゲームだ幸福作感幸せ
[00:05:29.199] 100人丸ボタン
[00:05:30.880] 次第もうあの毎回もう前回もそうだったん
[00:05:33.960] だけど前回もそうだったんだけどこの
[00:05:35.800] ゲームをやるよって言った時のこのなんて
[00:05:39.120] いうかこの空気
[00:05:41.680] 感空気感がたまらんねパチパチ空気感が
[00:05:46.039] たまらんあなんかこれやばいちょっとクソ
[00:05:48.919] ゲーだろうなっていうみんなのその感じ
[00:05:51.840] 確かにあのルーマニアと似てますねそう
[00:05:53.800] ネジ君とちょっと似てるかもしんないです
[00:05:55.360] このゲームあのまあれが好きな人は好き
[00:05:57.919] でしょうおそらくまそんなような感じです
[00:06:00.120] もうちょっとしのの言わずやろう
[00:06:02.160] ぜしのの言わずなしのの言わずやって
[00:06:05.280] いこうこんな中身なんかちょっとおしゃれ
[00:06:07.000] だよま死の5の6の7の言わずにやってき
[00:06:12.880] ます問題ないですやっていきましょうかね
[00:06:16.400] ちなみに前回なったえなったでしょ囚人
[00:06:20.280] さんこんばんはえなんなかった待ってない
[00:06:24.280] 待ったでしょ待ってないもう1回なんか
[00:06:27.360] 鳴らしてみて
[00:06:31.960] ブラウザ
[00:06:36.000] 鳴ってますちっちゃい音ちっちゃいだけ音
[00:06:40.039] ちっちゃいだけごめんちょっと開け
[00:06:42.199] たやっていきましょう前回まで
[00:06:46.160] の
[00:06:49.919] えこいこ
[00:06:52.880] ピノコピノコえVIPなの
[00:07:01.680] ついに来たこ早くない笑うおすごいついに
[00:07:07.240] 来たかついに来たどうやってやるんだっけ
[00:07:11.560] ちょっと待ってそれは何も音ないいっす
[00:07:14.000] クラッ何も音ないあせさんこんばんはせ
[00:07:17.400] さんこんばんはすいません今日はパズル
[00:07:19.800] ゲーじゃないですまパズルゲーみたいな
[00:07:21.520] もんかな人間関係のゲームなんでま人間
[00:07:24.759] 関係なんてパズルみたいなもんだからよ
[00:07:27.479] 人間関係なんてパズルみたなもんだだから
[00:07:30.000] えでいこいこをえ何人目だこれちょっと
[00:07:35.280] もうそろそろさVIPの値段あげべかな
[00:07:38.199] あげようかなそろそろ
[00:07:40.160] えいこってどうやって書くのえいこのさ
[00:07:44.520] 名前出てこないんだけどこれなん
[00:07:48.479] でえ出てこないなんだこ25万高すぎやろ
[00:07:53.599] いやいや高くねえ
[00:07:55.520] だろあれだぞだって
[00:08:00.720] あれ違うちょっと待ってこれもたつくんだ
[00:08:03.960] よな毎回なディノ男性ディノ男性ディノ
[00:08:07.599] 男性はいいこさんをえVIPに46人目多
[00:08:13.400] すぎるんだよもう来ないVIP切ってく
[00:08:15.560] からな来ないビップ切るべたまにしか来て
[00:08:18.960] ないワもビッだからな安いあ僕もう来ない
[00:08:22.039] だから来ない人はもう来ない人切ってき
[00:08:24.400] ますよサラマさんこんばんはおさんも
[00:08:28.039] こんばんはやってきますよとやっていき
[00:08:30.280] ますよやっていこうじゃないの一体どんな
[00:08:33.919] ゲームなんでしょうかえもう見て感じて
[00:08:38.080] ください
[00:08:40.959] フルドやっ
[00:08:44.000] たえ知ってるこれ
[00:08:52.360] まさかさんどうも
[00:08:55.600] こんばんは存でしょう
[00:09:06.640] れ
[00:09:16.560] ラん
[00:09:22.959] もやってきます
[00:09:37.240] 不足れたせ
[00:09:42.519] ク
[00:09:45.640] みえない文字
[00:09:47.839] が現実に閉じ込められ
[00:09:51.640] た名の意識
[00:09:59.640] よろしくお願いします文字が飛びしてて全
[00:10:02.839] 読め
[00:10:06.880] な
[00:10:09.920] ありがとうちゃん俺
[00:10:15.760] よしはいやってきます
[00:10:18.079] か文字が白飛びして全然見えねのこれ
[00:10:22.000] 何文字がびして見えねえよこなん
[00:10:26.839] だこてねありさんこんばんはちょっと待っ
[00:10:30.640] てあのちょっとちょっとさあの色味色味
[00:10:34.040] 調整すんだよ色味調整すんだ
[00:10:37.279] よ
[00:10:39.440] 色味色味をなんでこんな白いのちょっと色
[00:10:43.240] をちょっと福操作ちょっと待っ
[00:10:50.519] 色みユーザー設定橋元ブス橋元ちょっと
[00:10:54.680] 待ってちょっと待って色味
[00:10:56.680] をちょっとちょっとちょっとなんで暗く
[00:11:00.440] なるんだ色味調整してんのに
[00:11:03.760] よいちえこれ何あこれどうすればいいの
[00:11:08.399] これわちょわかんない
[00:11:10.519] えいきなりトラブルか明るさ明るさ明るさ
[00:11:18.720] をえ何これちょっと待ってこれ飛ばせねえ
[00:11:23.320] のかよこれこれオープニング飛ばせないの
[00:11:27.120] 何回も流れてんのに笑笑
[00:11:31.160] 笑笑笑笑
[00:11:34.200] 笑笑お疲れ
[00:11:37.240] 1
[00:11:38.800] 11
[00:11:41.320] 足で足でブック男あもうさっきよなった
[00:11:46.480] けどそり3000本しか売れないわはいお
[00:11:49.360] 疲れお疲れみんなありがとうお疲れ君だけ
[00:11:52.399] だだから飛ばせない説ちゃまくこ僕
[00:11:56.399] しかこちゃこんばんはさやってきます
[00:12:01.160] 幸福捜査感よろしくお願いしますバされた
[00:12:03.800] 人だ笑バされた人ですどうもあんまよく
[00:12:07.240] わかんねえ
[00:12:08.560] けど
[00:12:11.839] え
[00:12:14.600] えちげえこれが聞いてねんだなんでこれが
[00:12:18.760] 聞かねえんだ
[00:12:20.240] よ
[00:12:23.800] え笑笑これどっちがあれこれどんなゲーム
[00:12:28.079] だっけこれあできたできたきたできたはい
[00:12:32.639] 来あざすえこれちょっとあのちょっと説明
[00:12:35.440] ちょっと最初からみな見ててなもうもう
[00:12:38.120] あの説明ちょっとめどくさいから説明
[00:12:41.120] ちょっとめんどくさいからあのどんな
[00:12:42.440] ゲームかはちょ見て感じてくださいあの
[00:12:45.639] なんかうんわかんなんか幸せにするゲーム
[00:12:48.880] らしいですたびこんばんは右上園草あれ
[00:12:53.160] プラチナはえなだプラチナって知ら
[00:12:56.920] ねえはいどうもやってきますよよろしくお
[00:12:59.440] 願いしますあまさこんばんはやっていこう
[00:13:04.079] ぜこのゲームのTwitchのカテゴリー
[00:13:06.680] のフォロワー2人だから減ったら水を食べ
[00:13:08.760] て水を飲む
[00:13:10.600] ゲームあれ始まらないなんだこ始まんねな
[00:13:16.120] あれ
[00:13:18.240] あれえ2人笑笑あれ何これ始まんないよえ
[00:13:26.800] あれれあれ
[00:13:30.360] なんだ
[00:13:34.440] これおなんなんだよいうことでね何マジで
[00:13:40.079] え映像が行たれた我か我じゃねえふざけん
[00:13:45.199] な73159ゲーム側が拒否え
[00:13:53.959] なん
[00:13:56.360] ええ何えちょ何でえだるいだるい
[00:14:01.800] だるい何これ傷かな再起笑再起しますすい
[00:14:07.040] ませんなんではせえってもうこんなんすぐ
[00:14:12.720] 始まんない
[00:14:15.079] と幸福2はさせねえよってプレステ2の
[00:14:19.040] 寿命がい嘘でしょプレステ2の寿命来た
[00:14:21.480] もうUBIK全然聞いたことねえメカUB
[00:14:26.440] IKですこれ今のところつまらない
[00:14:30.519] まだゲーム始まってねえんだわ今つまんな
[00:14:33.160] いって言われたら俺の配信がつまらないっ
[00:14:34.800] て言われてるんだけどおいちょっと待てあ
[00:14:37.199] 飛ばせた飛ばましたくすぐ動不行きますよ
[00:14:41.240] 行きますよ行きますよ行きますよえこれで
[00:14:44.079] 行けなかったら
[00:14:45.920] もう配信はあなんで行けなかった
[00:14:49.839] 今なんで行けなかった
[00:14:52.720] 今さどんなゲームですか分かりません
[00:15:00.040] でもなんか映像綺麗だよねプレステ2にし
[00:15:02.079] てはなプレてちょっとだけやったんだよな
[00:15:06.040] システム
[00:15:07.160] エロー文字全然読めねえこれ接続人数
[00:15:10.920] カウンター値異常
[00:15:12.800] 発生これ色味もっと接続人数のカウンター
[00:15:16.440] のうちが上限値をオーバーしてい
[00:15:21.680] ます100
[00:15:26.720] 101ワーニング
[00:15:29.040] げ
[00:15:31.199] ちゃおポットとのコネクトの切断が発生し
[00:15:36.279] ていますオンライン0オフライン100え
[00:15:41.279] 自動制御システムに不正な処理が発生し
[00:15:43.319] ましたシステムは強制終了され
[00:15:45.720] ます管理者は対処を指示して
[00:15:51.319] ください国家幸福省国家幸福省国務
[00:15:57.920] 技術め
[00:16:00.120] ね映像くそかっこよく
[00:16:04.720] ねなんか2000年代に見る2020年代
[00:16:08.519] みたい
[00:16:14.240] な全然読めね悪くないね悪くないよね今ん
[00:16:18.279] とこ使用時間12分パケージでものか思っ
[00:16:22.519] てたらすごいサイバーパンクすげえ
[00:16:24.160] サイバーパンク確かにすげえナっちゃーみ
[00:16:27.360] て
[00:16:30.199] 2100年全てが便利に快適になった日本
[00:16:34.399] で
[00:16:35.839] は人々の心から幸せを感じる力が失われ
[00:16:40.120] つつあった時代を読めないえ政府は早
[00:16:45.360] クローバーで
[00:16:47.839] あるBGMはいいぞウェルカムトゥ
[00:16:50.839] クローバーシステム
[00:16:59.199] はいハビタットはい仮想空間えその上に
[00:17:03.519] 100名の人の意識を取り出し街の住人と
[00:17:05.799] して生活させるはいえハビタの生活の中で
[00:17:09.720] 発生する幸せを名前からイメージとった
[00:17:14.400] 集め分配することで接続された全ての人を
[00:17:16.839] 幸せにする装置あなんだこれ鈴木先生
[00:17:19.839] みたいなえなんとかなんとかリーダーとえ
[00:17:22.760] 技術的な問題予算の不作やリーダーなんと
[00:17:25.400] か博せの失踪様々問題の乗り換えと成と寝
[00:17:27.919] ているだけで幸せになる夢のクローバーえ
[00:17:31.360] 内部映像を全国映され人々はクローバーに
[00:17:33.600] 殺した
[00:17:37.240] 笑笑だがそんな
[00:17:39.600] 時だお前ら覚えとけよもう2度と説明し
[00:17:42.880] ねえから
[00:17:45.679] な音でかくねっ
[00:17:48.720] た
[00:17:52.440] でかくあこの後チュートリアルがあるから
[00:17:55.200] ちょ待っとけよチュートリアルあるから
[00:17:59.240] え現状対処報告え自動制御システムダウに
[00:18:03.440] 対して主動で接続可能な制御システム早
[00:18:06.280] いってチュートリアルプログラムが完成し
[00:18:09.440] ていますとえ接続とかアバターとのもなん
[00:18:13.880] とかアバターのコネクトなんとか確立され
[00:18:16.919] ていませ
[00:18:18.360] んえ認証なんとかかんとかちょっともう
[00:18:21.720] ちょっと待ってなみんなもうちょっと
[00:18:22.880] 耐えろまだ耐える時
[00:18:25.640] ださあやってきます
[00:18:31.320] まどうやらなんかこの2100何年5人
[00:18:34.919] 減っ
[00:18:35.919] たに2100何年になんかこう仮想現実の
[00:18:40.360] 中で人々を幸せにする機会みたいのがある
[00:18:43.960] それハビタてに
[00:18:48.280] 者したけど
[00:18:51.840] とお疲れ様
[00:18:55.159] ですやってたけど俺中までしかやってなく
[00:18:57.600] てもう2年ぐらいやってねもう1回最初
[00:18:59.240] からやろうと思ってそうあの唯一多分俺と
[00:19:01.480] チャドクカさんだけだろうなTwitch
[00:19:03.080] でこのゲームやってたのビビったよ俺チド
[00:19:04.919] クカさんがこのゲームやってて俺とチドか
[00:19:07.440] さんだけだろうな多分カテゴリーの
[00:19:09.360] フォロー数見てみ
[00:19:11.159] 2人えチュートリアルモード起動します
[00:19:13.919] はいこれちょっとみんなさんにどんな
[00:19:15.159] ゲームかちょっとあの説明しますわ説明し
[00:19:18.600] ます僕ちょっとほんのちょっとだけやった
[00:19:20.400] ことあるんだ笑
[00:19:22.760] 笑笑どんなゲームかっちゅう
[00:19:25.720] とま見とけやな来ましたこのロポリたまん
[00:19:31.120] ねえよな更にえチュートリアルモード起動
[00:19:34.360] クローバーシステムの主動操作の
