[00:00:09.599] ググググググ
[00:00:12.320] [音楽]
[00:00:28.960] グググ
[00:00:32.810] [音楽]
[00:00:58.920] OGDET
[00:01:24.280] [音楽]
[00:01:43.280] 将来結婚したら奥さんとお風呂入りたい
[00:01:47.890] [音楽]
[00:02:05.600] 遅くなりまし
[00:02:07.080] たどう
[00:02:08.840] もゲーム
[00:02:11.400] ですこんばんはみちゃんこんばんはどうも
[00:02:15.080] やってきますよ今日
[00:02:16.519] も将来結婚したら奥さんとお風呂入りたい
[00:02:20.000] 何それ
[00:02:21.640] なんだそれ急に
[00:02:25.120] いやどう
[00:02:28.840] だろうああいはちゃんお疲れお疲れお
[00:02:32.319] 疲れ将来結婚したら奥さんとお風呂入り
[00:02:36.879] たいあーいすぎたいやどうかな別に入るん
[00:02:43.680] じゃない一緒に入れるぐらい広ければ
[00:02:49.400] 入れよいや入れるぐらい広ければないいね
[00:02:54.480] 何なんだよその質問何なんだよその質問
[00:02:58.920] [音楽]
[00:03:00.680] でも俺と入ったら多分ああでも経済的に
[00:03:04.959] いいかもなお湯多分湯舟の3ぐらいに
[00:03:08.760] 入れればもう満たになるぞ多分俺と嫁嫁
[00:03:11.720] さんが入ったら
[00:03:13.239] な水かさが経済的にいい
[00:03:17.840] ですエコだエコ
[00:03:21.720] ですさ今日もまったりやってきます
[00:03:25.760] よ遅くなっちゃいましたもう今日ちょっと
[00:03:28.120] ねて言われてほしい
[00:03:30.879] 言われて豚骨のゆちょっと何なんだ
[00:03:36.959] おい俺じゃ結婚する時言お俺が豚骨スープ
[00:03:42.400] になるからさ俺の麺になってください言
[00:03:46.879] 具材はこれから2人で色々作ろうなってあ
[00:03:51.640] やってきますよろしくお願いしますあのは
[00:03:55.040] お前だよ言うてねめっちゃ素敵
[00:04:00.360] 笑僕のチャーシュになってくださいいよね
[00:04:04.840] いようそれそれで行きますよろしくお願い
[00:04:07.680] します悲しくないか
[00:04:09.680] 全然もうそんな時期は当に過ぎた
[00:04:14.280] よあのさ明日さ今日休みなんだけどさ俺
[00:04:18.280] 明日さ家族とさあのなんだっけあれ初で
[00:04:24.120] 行くからさちょっと朝早いから今日
[00:04:27.000] ちょっとあんまりやりません
[00:04:28.720] よ3時2時3時ぐらいまでやります2時3
[00:04:32.919] 時ね
[00:04:34.720] 笑笑2時3時ぐらいまで初詣で今ああ初詣
[00:04:38.880] で今今初詣でえしもきんちゃんこんばんは
[00:04:42.360] えしちさん
[00:04:43.740] [音楽]
[00:04:46.840] こんばんはガタ一緒にいたのに今
[00:04:50.639] 日光日光日光ガタ一緒にいたのにガタは
[00:04:54.199] 動きたくねえだろ誰もガンタは誰も動き
[00:04:57.720] たくねえから今度にしようってなったんだ
[00:04:59.520] よそれはそう激組みだろうしねだろそうだ
[00:05:02.680] よも今行ったら激好き激好きはいやります
[00:05:07.919] ワもまだ初詣でしてないこんばんはゲーム
[00:05:11.919] ですなんか今日もうちょっと眠い神様も
[00:05:14.479] やっと来たかもうちょっと眠いっすあの
[00:05:17.440] もう今年は発毛でいいかもあのねちょ今日
[00:05:21.039] 仕事がちょっと長引いちゃって帰りが遅く
[00:05:23.319] なっちゃってでちょっとお風呂入りたくて
[00:05:26.759] 1時間ぐらいお風呂入ったらもう眠たい
[00:05:28.759] あったかくて今もうとてもあったかいババ
[00:05:31.360] 次郎ですあばババ次郎来たあババ次郎だ
[00:05:36.319] ババ次郎4歳来た中だったし蛍光デブギだ
[00:05:39.960] 蛍光デブですこもこんばんはいこもお疲れ
[00:05:42.160] いここんばんはババ次郎来たわクソ似てた
[00:05:45.199] だろクソ似てただろあれババ次郎来たババ
[00:05:48.120] 次郎よく見たら割と似てたわめちゃ似てる
[00:05:51.240] んだって8割のお猫ことババ次郎本名が
[00:05:55.199] 本名がバレちったごめんなこれ多分言われ
[00:05:59.120] んだろうなあのババ豊かみたいな感じでお
[00:06:01.360] 猫が有名な配信者になったら言われん
[00:06:03.319] だろうな本名ババ豊かって出所のない
[00:06:07.160] 噂ババ豊かババ次郎今日もやってきますか
[00:06:11.759] 変なゲームよ勝手にばらすやっていきます
[00:06:14.720] 変なゲームやっていきます幸福捜査感
[00:06:18.680] よろしくお願いしますまたあり人生山あり
[00:06:23.199] またーりやってき
[00:06:26.680] ましょうちゃうこれちゃうこれじゃない
[00:06:28.960] でしょこれじゃないでしょうかしょっぱな
[00:06:31.840] からそのバンダナは本気の証やないやもう
[00:06:34.680] ねももすぐ寝たいから人生山ありまたあり
