[00:00:14.599] どりゃ
[00:00:31.279] 会館会館
[00:00:38.440] 会館剣闘1パクパク剣闘1パクパク剣闘1
[00:00:58.920] パクパクDET
[00:01:50.000] ちゃまベリーベリークテファセあ
[00:01:55.159] ええびっくりしたパチパチパチパチ
[00:01:58.840] びっくりしたえ
[00:02:00.520] どうもこんばんははいどうもはいちゃま
[00:02:03.560] ゲームですちょうど今マイクオンにした
[00:02:07.200] タイミングでレド来たわささみちゃんお
[00:02:09.679] 疲れレドありがとうこんばんはどうも
[00:02:12.560] ちゃまゲームですあのすいませんレド
[00:02:15.959] ありがとうねありがとうありがとうはい
[00:02:17.440] こんばんははいどうもこんばんははいい
[00:02:19.480] こんばんはえこんばんはえさちゃん
[00:02:22.080] ありがとうレドこんばんはシさん
[00:02:24.000] こんばんはあざ今ちょうどほと始まった
[00:02:26.800] ばかごめんねまだあのはいどうもシャモ
[00:02:29.360] ゲームですはいあのあのさなんで俺
[00:02:32.760] Twitter凍結されたんあれ意味
[00:02:34.519] わかんねえんだけどマジで
[00:02:36.360] おい俺が何かしたかえちょっと意味が
[00:02:40.840] わからんすごいタイミングレいや
[00:02:43.640] ありがとうねレドねあいはちゃんお疲れよ
[00:02:46.640] ちゃん疲れあの昨日お疲れ昨日はお疲れ
[00:02:48.760] はいあのあのさえなんで俺Twitter
[00:02:54.360] 凍結されてなんかした俺この前の
[00:02:58.400] Twitch凍結から
[00:03:00.480] 本当だよなこの2025年始まってから
[00:03:05.400] 2025年始まってからTwitch
[00:03:08.360] BANされてTwitterBANされて
[00:03:09.840] あXですかすいませんXBANされて
[00:03:12.599] 何それはんだった本当だよ俺俺あれなのに
[00:03:18.040] ななりすましが検出されたってなんで何
[00:03:21.640] なりすまし行為がだってバカか唯一無
[00:03:25.040] だろうが俺唯一無だろうが
[00:03:28.760] このこのアラシフォルム誰が真似できんだ
[00:03:32.599] バカ誰が唯一むにむに
[00:03:36.280] 崎
[00:03:38.599] てクソ似てるからな一時期なんか駅とかに
[00:03:42.319] 貼ってあった岡崎体育のあの色ハのあの
[00:03:45.360] なんか広告マジで俺だから
[00:03:48.799] なびっくりするぐらい俺だからなうん足
[00:03:52.400] ちゃんお疲れちゃお疲れあ多分それかも
[00:03:55.360] しんねえ
[00:03:56.239] なあっちをしろよあっちがお俺のあっちが
[00:04:01.439] 俺のまだろうがあっちが寄せてきてん
[00:04:03.480] だろうがふざけんなスタンプにして欲しい
[00:04:07.560] もんあいいのかな怒られるかな岡崎体育的
[00:04:12.319] に怒られるかなそれおみくじの内容大丈夫
[00:04:15.120] おみくじの大丈夫だって大丈夫大丈夫超
[00:04:18.639] 大丈夫だっって勝負ごと勝つって書いて
[00:04:20.959] あったよ勝負ごと勝つ俺ですって言い切っ
[00:04:25.199] たらばれないだろそっくりさんでなんか
[00:04:27.919] わかんけど分くだと思うんだよだからもし
[00:04:31.199] かしたら多分すぐ帰ってくると思うんだ
[00:04:32.720] けどだからちょっとねあの配信告知とか
[00:04:37.320] できないんだよねま別になんかどうせ俺の
[00:04:39.320] リスナー俺の配信告知なんか見て飛んでき
[00:04:41.759] てないでしょどうせどうせおめえらあれだ
[00:04:43.680] もんな俺のこと大好きすぎてあれだもんな
[00:04:46.280] あのしてうるせえなうるせえうるせえな
[00:04:51.759] 確かに勝負ごともうもう1番最初の勝負
[00:04:54.960] ごと負けてるのに今年1番最初の大勝負
[00:04:59.000] 負けてます
[00:05:00.240] あこんばんは5番つれえよなてほらなだろ
[00:05:04.400] だから多分まどうせいらないでしょ俺の
[00:05:06.440] 配信通知なんてねそんな感じでやってき
[00:05:13.840] ます配信8やってくれてんのあおもお疲れ
[00:05:17.479] ね昨ありがとねお疲れ
[00:05:19.960] 様どうもこんばんは
[00:05:23.039] 行きますよ今日もやりますまったりやって
[00:05:26.120] いきますからよろしくお願いしますねえと
[00:05:29.160] 今もりにやってきますこちらのこちらのあ
