[00:00:00.199] ちゃまぷんちゃにめ
[00:00:06.720] はい、どうもこんばんは。ジブゲームです。よし、今日は、え、ゴーストぶ島の、え、ダウンロード攻をやっていきたいなということで
[00:00:09.770] [笑い]
[00:00:19.750] [音楽]
[00:00:21.439] よろしくお願いします。
[00:00:23.320] よろしくお願いします。お、今日は1
[00:00:25.800] 時間遅れ。
[00:00:28.480] そうよ。今日は1
[00:00:29.599] 時間遅れです。おあ、来たね。これよな。やっぱな。今日は遅いね。
[00:00:38.719] パ、これよ。ちょっと待って。
[00:00:42.120] これよ。
[00:00:42.879] ちょい待ち。え、ウンドウプロジェクター出して。ちょっと待ってね。
[00:00:47.640] あ、ちゃまく始まってた。
[00:00:49.600] 始まりました。どうもこんばんは。
[00:00:51.719] ピコパチパチパチ。
[00:00:52.760] どうもこんばんは。えっと、ちょっとごめん、ちょっと待ってね。
[00:00:54.460] [音楽]
[00:00:58.920] えっとね、これをこうして津島やる時は
[00:01:01.879] ちょっとね、俺の方で設定があるんですよ
[00:01:04.479] 。こうか。オッケーオッケオッケー。
[00:01:09.479] よし
[00:01:11.080] よし[&nbsp;__&nbsp;]
[00:01:13.960] で2周
[00:01:16.439] 目やろう
[00:01:18.720] 。息のやります
[00:01:26.000] やるっていやるぜ。ちょっと待って。息
[00:01:28.400] やる。うわあ。どうするこれ?息やりも
[00:01:33.600] ええ。かの知恵完了すればこの地へ渡れる
[00:01:36.360] 。
[00:01:37.140] [音楽]
[00:01:38.880] なんな?なんだってここか?あれな何だっ
[00:01:43.560] け?何やんだっけ?どこやればいいんだっ
[00:01:45.560] け?あ、これか。これだね。これやろう
[00:01:50.119] じゃあ
[00:01:50.920] 。よし。息のターン行きます。いやあ、
[00:01:55.560] まだまだ遊べるんだよな。
[00:02:00.000] あ、ここ用できんじゃん。よしよしよしよしよしよし。まだまだ遊べるんだよ。よし、行こう。おお、いいね。
[00:02:05.570] [音楽]
[00:02:12.580] [拍手]
[00:02:14.480] いつでも立てますぜ。行こうぜ。
[00:02:17.680] 酒井様、よろしいんですか?息はお侍いを嫌っとりますよ。
[00:02:22.319] へえ。
[00:02:25.720] これから長い物語が始まります。
[00:02:26.760] 息の息に救う敵勢は手ごく一期当選の武士すると言われないんかな?あ、ま、行くべ。
[00:02:34.800] 北製の騎士へ迎え取りだ。あれは父が立てたも
[00:02:39.760] 息で何かあれば民はあそこに逃げ。
[00:02:43.440] もしむかったら1
[00:02:44.560] 回戻ってきてあのスタミナ上げたりするわ。来
[00:02:47.239] てから海が荒れっぱなし。息では大風が吹いとるでしょうね。
[00:02:52.360] ドルクやそう全然いおりなのかもですが必ずお送りしますよ。来い影。
[00:02:53.390] [音楽]
[00:03:12.080] 新しい馬の影ね。難しいようだったら1
[00:03:13.799] 回強化強化に回るわ。1
[00:03:14.920] 回体力上げたりとか。
[00:03:21.640] おお、久しぶり。やっぱおめえだよな。やっぱおめに会ねえとよ。
[00:03:32.799] 影。
[00:03:34.460] [拍手]
[00:03:41.439] ええ。何これは?神風に神風食らってんじゃねえかよ。
[00:03:42.519] が。
[00:03:47.200] え、馬も死ぬの?これは2
[00:03:48.400] 台目の馬も死んだんだけど。え、もう戻れないやん。
[00:04:03.920] デジタルデラックス加影デジタルデラックスゲが
[00:04:04.920] DDKお影
[00:04:19.160] 影影死んだんちゃ
[00:04:22.840] 馬は無事だろうか?
[00:04:26.160] いやあもう死んだんちゃ馬って泳
[00:04:27.199] 受けねえだろ。どうした?どうした?なんでいきなりその顔?うわ、なんかすごくない?これ。うわ、懐かしい。やっぱりこれだよな。やっぱこれなんよ。あ、地図見れねえ。
[00:04:48.820] [音楽]
[00:04:58.120] やっぱこれなんよね。よ、
[00:05:01.039] これなんよ。やっぱこれなんよ。
[00:05:04.360] 抜けの隠し場所のようだ。
[00:05:09.199] あ、死んでますよ。一旦読んでみるか。これたまには。
[00:05:15.680] だ。
[00:05:19.080] えっと、我え、なんど、え、どれ、え、
[00:05:23.960] どれ?余境。あ、だ、え、なんかさ、え、
[00:05:30.560] 何これ?全然やってないじゃん。は、なん
[00:05:33.520] か鍵マークばっかなんだけど
[00:05:36.360] 。息き息き息き。あ、ごめん。いいや。
[00:05:39.600] もうもうわからん
[00:05:43.919] 。あ。これで見れんのか。え、息の民への
[00:05:48.639] 不告。え、大原国のいましき高にして、
[00:05:52.800] えー
[00:05:53.720] 、尊飛ぶべき大た族のおである
[00:05:58.440] アンクサートゥハン様の、えー、息の民に
[00:06:02.639] お言葉を
[00:06:05.000] 授けるの王が大案である不様との和ゴを
[00:06:12.639] 拒み、息の沖に大風を招いた。
[00:06:16.280] えー、風と波とが騎士を打つみりにくそみれえな。なんだこの分は今一度何治じらに和ゴの瓶をい
[00:06:31.199] ね、
[00:06:31.840] えー、与えよう。与えよう。我らが法を受け入れ大案に期待。これ読めねえや。
[00:06:42.319] 差しすれば総点より刺す黄金の光が何じら
[00:06:47.199] をもしなもし拒めば大地が何じらの地と涙
[00:06:52.560] で染まるまで我が民が高ごとく息の民を
[00:06:56.800] ついばむであろう。え、樹脂はえ4つの海
[00:06:59.759] のうちに住まう万所を身内として扱う。え
[00:07:05.039] 、息の民は我らを母と父として迎えよ。え
[00:07:08.879] 、我らは生の民を息子と娘として守ろう。
[00:07:11.400] なんやねん、それ何が言いたいかわからん
[00:07:13.960] 。何が言いたいかわからん
[00:07:19.360] 。よし。
[00:07:24.639] むずいねん。あ、弓もありますと。ああ、
[00:07:28.520] オッケーオッケオッケー。割と遺伝口は
[00:07:31.680] どこだ?割と久しぶりだからな。
[00:07:33.680] お、何それ?え、うわ、何これ?
[00:07:38.319] 何これ?こんな使い方しなかったじゃん。よし。た、
[00:07:43.160] 明る、明るいな。あ、なんか猿みたいのいる。うわ、うわ。何これ?息。え、行きすぎやん。なんか猿みていのいる。
[00:07:49.690] [拍手]
[00:08:02.240] 境取りでは遠くない。
[00:08:03.680] 誰かおらぬか調べねば。そして
[00:08:06.080] 行きすぎ。見つけてみせる。綺麗だね。
[00:08:09.680] 船が流れついていないか。
[00:08:12.479] 見に行ってみるか。
[00:08:13.440] めっちゃ綺麗だね。息の探索。うわ。おお。息き行きすぎだね。ほうほうほうほうほうほうほう。おめを継ぐ者の。
[00:08:32.680] え、クロードの噂は息まで届いていない。
[00:08:35.479] ああ、え、息の民をえ、じゃあこっちは
[00:08:38.519] こっちでなんだ。すげえ
[00:08:41.240] 。息の旅をつく1から噂を広めろ。
[00:08:46.080] ほお
[00:08:48.320] ほお面白そうじゃない?何?息びで使用
[00:08:52.600] できる新たな探索の技だと?あ、こっち
[00:08:56.680] 最初からやっとかよかった
[00:08:58.560] 。こっち最初からやっとかよかった。
[00:09:04.200] こっち最初からやっとよかった
[00:09:08.000] 。何これ?弓の終練場
[00:09:11.600] 。あ、俺義量1個持ってんだな。獣のレチ
[00:09:16.640] 。え、こんなんなかったよね
[00:09:20.160] 。この辺はあったけど、こんななかったよ
[00:09:22.800] ね。レチ地の風
[00:09:25.200] 。え、こんななかったよね。
[00:09:27.800] あ、あとなんか俺これ何これ?
[00:09:30.279] 増えたってこと?
[00:09:32.160] おお。う、何か俺これこんななかったよね。あった。これわかんねえ。集中の風何それ?え、あとごめん。これだけちょっとあの習得していい?よし。あ、しか全部待ってました。オ
[00:09:50.839] 破裂はあったんだよな。
[00:09:52.399] あ、あった。かに俺が回収してないか。
[00:09:56.959] なんだこの猿。黙れや、猿。よし。まずどこに向かえばいいんだよ。まずどこに向かえばいいんだここか。友の褒尾
[00:10:09.760] みたいな感じなのかな。
[00:10:11.200] 褒美馬力。褒尾に馬力もらえるらしいよ。馬なくなっちゃったんかな?
[00:10:22.560] くっそ序盤で取れたはず。
[00:10:23.760] え、そうなの?全然やってないやん。うわあ。最初からこっちやっとがよかった。最初からライフイズストレンジ挟まにこっちやっとよかった。
[00:10:34.440] [笑い]
[00:10:41.079] 黄色のイスだ。あ、
[00:10:43.200] あんな鳥は初めて見た。
[00:10:44.800] いやいやいやいつも見とるやろ、これ。いつもえ、一気打ちって出た。今なんかあ、
[00:10:50.480] 勝負しろ。
[00:10:55.000] やべえ、久しぶりすぎて覚えてねえ。言うても
[00:10:56.000] 1週間ぶりだけど。
[00:11:00.519] 前回の邪魔。え、ドルクてからでやろ。
[00:11:10.120] おいしょ。5匹よな。5
[00:11:11.920] 匹よな。あと見たことない武器使ってんだけど。何この武器?何この武器?
[00:11:20.880] おら。
[00:11:22.920] 待てや。ボケ。こら
[00:11:25.160] をいてください。
[00:11:26.360] 待て。おら、待て。死にてようだな、この野郎。あ、倒した。
[00:11:27.580] [笑い]
[00:11:38.360] 倒した。勝。うま。すっご。
[00:11:45.160] うまくない。あ、100
[00:11:47.079] 勝いた。あ、悪い。悪り悪い。100
[00:11:48.240] 勝いた。
[00:11:50.440] はい。神。うまくない。
[00:11:52.480] 実績解除してた。笑笑。
[00:11:54.120] [音楽]
[00:11:55.680] うますぎだろ。こちです。
[00:11:57.959] はいはいはいはいはい。
[00:12:00.519] 逃してやる。
[00:12:03.760] 俺のことは知らないんだな。撃てた。笑。
[00:12:06.720] あんたが片山の位置にいたら蒙を止められたんだろうな。戦ったのか。
[00:12:12.279] そうさとは言ってもついに位置を乗っられたがな。
[00:12:16.360] よくぞ心を決めた。俺が位置を取り返そう。
[00:12:22.920] ほお、また1からやり直すってことなん
[00:12:26.880] ですね
[00:12:30.600] 。どこ?ああ、ここね。うーん。もうこれ
[00:12:36.000] 本州に戻え。待って。戻れないの
[00:12:39.120] ?戻れないんかな
[00:12:42.160] ?いや、待って。どっち行こう?いや、
[00:12:44.519] ちょっと、ま、ここもやるけど、ま、まず
[00:12:46.920] このまま、この行こう。
[00:12:48.839] マックスなかなかごつく育だったね。
[00:12:50.540] [笑い]
[00:12:52.320] これライフイストレンジだよ。これがある意味ライフイズストレンジだのこれもかなりストレンジだと思うけど。あ、息に渡った船を見つける。これか。これか。ま、そのうち、そのうち
[00:13:09.800] 乗った船だ。
[00:13:10.440] 戻れるようになるんだろうな。
[00:13:12.199] 影、影どこへ行ってしまった?
[00:13:17.120] いや、死んだんちゃん。うわ、死んでる。埋める。
[00:13:36.160] 実はエムうまいかも。めちゃめちゃうかったな。村らってやんねえとな。また
[00:13:37.160] 1
[00:13:37.320] 人戦で命を落とし、またも俺は守れなかった。
[00:13:44.720] お主の胸必ず
[00:13:48.120] でもこれあれだよね。ハーは倒したことになってんだよな。もちろん俺
[00:13:52.880] どうした?死んだわけがない。
[00:13:55.639] 日の後があるはずだ。
[00:13:58.240] あ、この歪は影のものだ。
[00:14:05.000] おお、との行なんかでもとこれもしかしてノブが死ぬ前にやるべきだったんかな?まあでも影はかけ
[00:14:12.839] で分かるのすごいまった。
[00:14:14.839] 確かに相バだからな。俺の
[00:14:23.440] 足跡へ戻。これか?これだな。
[00:14:35.079] いや、いいね。いいね。ライフイズストレンジだね。
