[00:00:21.119] うい。お疲れ。
[00:00:43.230] [音楽]
[00:00:53.879] やり漫画な。
[00:00:58.950] [音楽]
[00:02:01.439] エ弾
[00:02:11.656] [音楽]
[00:04:53.520] はい、どうもこんばんは。はい、どうも。
[00:04:55.800] はい、ちゃまゲームです。はい、
[00:04:59.199] どうも。[笑い]
[00:05:01.440] はい、やってきます。今日こそ、今日こそっていうか、今日はあれだな、ドラクエ
[00:05:06.720] 1HD2Dの最終回かな。
[00:05:10.720] 通りなんてありえん。
[00:05:11.919] 何がよ、まあ、
[00:05:13.520] 3時にやるっつって[音楽]3
[00:05:15.000] 時頃つったからな。まだ3時頃だろ、3
[00:05:17.120] 時半は。どうもこんばんは。やってきますよ。えっと、囚人さん、ロムってる。ありがとう。こんばんは。もコらこんばんは。もコら連続撮影。
[00:05:29.720] えー、綾たこんばんは。ぺっりこんばんは
[00:05:32.639] 。ということではい、やってきます。もう
[00:05:34.360] 今日もう今日クりあるで。今日クりあてか
[00:05:37.919] 、もう今日クリアしないて。もう明日から
[00:05:39.160] 仕事だからな。もう今日クリアせなあかん
[00:05:41.199] ねん。
[00:05:43.600] はい、やってきま。ポーポー
[00:05:49.639] 。
[00:05:51.720] はい、やっていきますよ。
[00:05:54.600] もうあるで。でもこれなんかもうもうね、
[00:05:56.919] 前回あの竜王ラスボス手前までてか
[00:05:59.960] ラスボスの第2形態まで行ったんだけど
[00:06:02.360] 勝てなかったから
[00:06:04.680] もう本当それしか多分やることないと思う
[00:06:06.440] んで、ま、ちょっと
[00:06:10.440] あのなんだっけえね待ってこれさ、あれだ
[00:06:14.440] な。ワンパンだったもんね。ワンパンだっ
[00:06:16.919] た。ちょっと待って。これ違う。ちょ、
[00:06:19.919] ちょっと待って。ちょっと待って。えっと
[00:06:22.160] 違う。あのあれだよ。え、中段データから
[00:06:26.520] やんねえとな。あの、今、あの、小さな
[00:06:28.560] メダル集めてんだよ。小さなメダルを35
[00:06:31.319] 枚集めてなんか瞑想とかいうなんかなんか
[00:06:35.720] なんかなんかそんな感じす。[笑い]なん
[00:06:38.039] かそんな感じ。なんかそんなん欲しいなっ
[00:06:39.560] ていう。で、取れとったらラスボス倒して
[00:06:42.639] クリアだねって感じで。なんで今日多分
[00:06:44.520] もうすぐ終わると思うよ。[笑い]
[00:06:47.560] 今日すぐ終わると思うわ。ま、今日は7時
[00:06:50.800] ぐらいまでやろうかなって感じ。明日仕事
[00:06:53.160] だかんな。明日から仕事とかマジで打つな
[00:06:56.160] んだが。
[00:06:58.599] 休みってな早えな。休みってなや
[00:07:04.199] おめらも明日から仕事とか学校とかだろ。
[00:07:07.560] もう今日もうだから今日も7時までな。
[00:07:12.479] 今日7時までやっと終わり
[00:07:14.879] だ。早くクリアしちゃったら目つったら4
[00:07:17.919] 日でした。本当だよな。[笑い]マジで
[00:07:20.240] そうだよ。マジでそうだよな。
[00:07:23.199] 違う。あれ?中断した冒険あった。あった。これ、これ、これ、これよ。これ岩島
[00:07:30.960] 1回。
[00:07:31.400] ずっと仕事だよ。休みなんだ。
[00:07:33.240] ええ、ペッテリって何?仕事何してんの?ペッテリって仕事何してんの?あと
[00:07:42.080] 3個お宝を回収する回やってるんだよ。
[00:07:50.159] ペッテリって仕事何やってんの?ててて
[00:08:05.280] 新聞配達。[笑い]
[00:08:07.120] そうなんだ。新聞配達ってあるんだな。
[00:08:10.599] あのどこだっけ?もうペテリってどこ?何ズどこなんだっけ?な国どこに住んだっけ?なんだっけ?何人なんだっけ?おゾンビメイルね。
[00:08:23.280] こんにちは。
[00:08:24.639] あ、ドさんす。ドさんす。大最終回か。フィンランドにも新聞ってある?新聞配達ってあるんだ。おいおい。死の首方いらねえって。なんかそんなばっかやな。
[00:08:42.080] わあ、普通に宝箱置いてある。
[00:08:46.399] ち、
[00:08:49.000] やべ、あと2枚だ。あと2枚だ。
[00:08:52.440] あと2枚でやっと俺瞑想手に入れられる。
[00:08:58.839] もう今日大最終回だ。そっか。新聞配達は
[00:09:02.120] そうだよな。休みなんかねえよな。1月1
[00:09:04.519] 日からあるもんね。新聞ってね。
[00:09:09.551] [笑い]
[00:09:10.160] このフロアにはあと
