[00:00:30.960] う。
[00:01:42.439] ちわー。ウェイ。お疲れ。
[00:02:07.726] [音楽]
[00:02:33.440] オを押す。
[00:03:30.912] [音楽]
[00:04:27.680] まさかマくさえな。
[00:04:56.080] いす。[笑い]
[00:04:57.280] どうもこんばんは。どうもこんばんは。ちゃムゲームです。えー、彩こんばんは。え、なはちゃんこんばんは。りさんこんばんは。え、そのちゃんこんばんは。え、どうもこんばんは。
[00:05:07.880] いつまで待たせんだ。
[00:05:09.039] もうちゃうねん。マイクとかじゃないねんな。あ、ベロン使え。ベロン使え。マイクとかじゃない。もう最初の
[00:05:14.000] 5
[00:05:14.160] 分喋らんないことにしたの。あ、理由はめんどくさいから。もう、もう最初の
[00:05:16.368] [笑い]
[00:05:21.120] 5分ま、もう待たせようと思って。
[00:05:24.228] [笑い]
[00:05:25.000] そんなもう最初の最初のやもうかっこいいと思ってる。
[00:05:29.468] [笑い]
[00:05:30.039] かっこいいと思ってねえよ。別に別にかっこうん、かっこいいと思ってるところあるな。もう全然平気ない俺あそこ不安にならないねん。あの
[00:05:38.960] 5
[00:05:39.120] 分間もうそれがかっこいいと思ってるから。今あの
[00:05:42.800] 5
[00:05:43.000] 分間であ、もしかしたら来た人離れちゃうかなとか不安にならないから俺もうだ待ってください。
[00:05:51.083] [笑い]
[00:05:52.880] あの5分はでも俺も別に何じゃあその
[00:05:56.400] 5
[00:05:56.520] 分間何してんのかって言われたらここでずっとこうやってこうやってこうやって見てるだけなんだよタイマーを
[00:06:01.280] あれの半分ぐらいにしてよ[笑い]
[00:06:04.360] ぶっちゃけいられんだけどなあれな半分どころかぶっちゃけあの最初の
[00:06:06.149] [笑い]
[00:06:09.560] 5
[00:06:09.720] 分いらないらないんだけどまあいやでもさらなかったら
[00:06:16.000] 車してるんじゃないの?
[00:06:17.120] C車やら俺もうC
[00:06:19.000] シャバー行くやつ一番嫌いだから俺。
[00:06:22.800] 申し訳ないけど
[00:06:23.800] 家に置いてんだ。
[00:06:24.960] 新バ行こうとするやつ
[00:06:27.759] 1
[00:06:27.960] 番嫌いね。それこそかっこいいと思ってるからだろ。あれやってるやつな。
[00:06:29.074] [笑い]
[00:06:33.639] おやってます。
