[00:00:52.039] ひ
[00:00:56.440] オースオ
[00:00:59.399] お帰り。[音楽]
[00:01:51.600] うい。
[00:01:59.640] もう今日これ待ったし、もう1回待たなく
[00:02:02.000] てもええでしょ。
[00:02:14.560] 義務待機画面
[00:02:28.000] 行き
[00:04:44.320] 長いねん。
[00:04:54.753] [音楽]
[00:04:56.039] どうもこんばんは。
[00:04:57.720] ダゲムです。さっきぶりだな、お前ら。寒いねん。寒いっちゅうねん。マジで寒いんだけど。手が、手が寒くてなんか汚れてる。キり。
[00:05:09.163] [音楽]
[00:05:11.840] うん。お疲れちゃん。お疲れちゃん。え、いもこ疲れ。
[00:05:14.199] 2
[00:05:14.400] つあった。
[00:05:15.000] え、そのちゃんこんばんは。リーさんこんばんは。え、綾たこんばんは。え、みーちゃんこんばんは。え、そのちゃんこんばんは。そのちゃんは現在
[00:05:22.520] 10回連続視長。どうもこんばんは。
[00:05:24.520] たね、
[00:05:25.440] なんか明るけた。[笑い]
[00:05:26.520] 何が何も変わってないけど。飯食ってきただけで。なんで飯食ってきただけで赤抜けんねん。なんで飯
[00:05:33.759] 1
[00:05:33.960] 回食うだけで赤抜けてくるねん。いたさんこんばんは。あ、じんちゃんお疲れ。じんちゃんお疲れ。じんちゃんあれおもろいかなんだっけ?あれあのゲーム。
[00:05:41.720] スケアクローマン次のライブつだっけ?
[00:05:44.639] なんかやってたね。ライブね。あのライブっていうか、あのラジオやってた。俺も見てたけどあの
[00:05:50.240] ラスアス
[00:05:51.000] ラスアスおもれえやろ。俺ん持ってった。
[00:05:55.000] 俺ん持ってったやつ。
[00:05:56.639] ラスアス楽しい。[音楽]
[00:05:58.319] 良かったです。返してください。うん。よかった。返して。ま、別に返さ、返さなくて良くはないけど。別にま、別に返さなくていいけど。
[00:06:00.254] [笑い]
[00:06:09.240] 笑笑。
[00:06:10.560] 今返してもらおうかな。今、今あ、ごめん。
[00:06:13.240] ちょっとさ、ごめん。ちょっと俺、あの、
[00:06:16.000] ちょっとあれね、ちょっと申し訳ないけど
[00:06:18.120] 、今日ちょっと今Yooで落とそうとし
[00:06:20.520] てるゲームがあるから、ちょっと配信中に
[00:06:23.240] 忘れないようにちょ、タイマーかけとくね
[00:06:25.120] 。[笑い]ごめん。今日配信やってる間に
[00:06:28.160] さ、あと1時間でさ、あれするからさ、
[00:06:31.680] ちょっと本当にあの、
[00:06:34.969] [音楽]ちょっと待って。何分あと?ちょ
[00:06:37.400] 、どんな感動的なシーンでも一旦ゲーム
[00:06:39.599] やめてこっちに集中するからごめんな。
[00:06:43.840] あと1時間。あと1時間か。あと1
[00:06:45.960] 時間ね。オッケー。あと
[00:06:47.479] 1
[00:06:47.599] 時間ね。しさんのてるよ。こんばんは。のテこんばんは。やるよ。やるよ。え、あと何分?何分ってどこで見んの?これあと
[00:06:59.319] 58分ね。
[00:07:00.319] もノマネパートリー増えました。ダブルドラゴンクエストラゴンクエスト
[00:07:05.560] 1ア2ハマ2D版。ドラゴンクエスト
[00:07:10.160] アマイナ2Dれ
[00:07:13.520] ラスアスの滑らない話ダブル矢印
[00:07:16.360] 50
[00:07:18.000] 時6分にしとこうオッケーオッケー
[00:07:21.720] 56分にしとこう
[00:07:24.840] 506
[00:07:27.599] 開始オやろうよしラクやるぞワンチャンクリアするんじゃねえかと思っています私でよろし音でか
[00:07:39.080] お帰り。[音楽]
[00:07:40.120] ただいま。お帰り。
[00:07:41.879] 今日クりあります。
[00:07:43.000] 今日クりあるよね。全然全然あると思うわ。全然あると思う。さあ、やっていくぞ。さあ、やっていこうじゃないか。
[00:07:52.840] ゲーム特定して競り落としたい。
[00:07:56.560] 俺とやんねん。
[00:07:57.840] 俺と競り合わないでくれ。頼むから。俺と競り合わないでくれ。
[00:08:03.280] えっとなんだっけ?あ、ルビスを目指せ、目覚めさせるので。あ、なんかさ、激も今の立ち絵のせいで勇者が直しかの後ろ姿に見えてんで名前のゲーム
[00:08:16.400] いや、言わない。マジで俺が落とそうとしてるのなんかなんか邪魔されたくないから。あ、これな激おもマーメイドの恋いわいをあれしに行くんだよな。
[00:08:32.159] ここな。ここもう潜っちゃうか。
[00:08:41.479] ここね。俺海王恐怖症だから怖いんだけど
[00:08:45.080] 。この地面がない感じ。
[00:08:48.680] あ、違う違。
[00:08:50.279] こんなっか
[00:08:52.120] 俺今日ったやんけ。おめえの配信で。
[00:08:55.120] おめえの配信で貼ったやんけ。
[00:08:59.040] 笑。
[00:09:01.519] ギガデイン
[00:09:05.240] じじゃ。鑑定団でさ、鑑定団でな、
[00:09:08.240] 流したやつか。
[00:09:09.279] たっつんとたっつんとさ、俺と
[00:09:11.200] 3人でさ、飯、
[00:09:12.640] 飯食った後にさ、あの鑑定団つも行く鑑定団あるじゃん。あそこでおめ、あのなんかラスアズ気になってるあ、ラスやりたいなとかって言ってなんかこうやって持ってたやつさ。あ、でもチま持ってるよねつって買わなかったよね。
[00:09:28.546] [笑い]
[00:09:30.600] なんで俺が持ってると買わないのかがわかんないんだけど意味がわかんない。なんか
[00:09:35.160] 共有資産だと思ってる。違うよ。あれなんかあれどこ?あ、これか。どこだ?
[00:09:44.480] すって言ってもないのに。笑。のものは純のもの。
[00:09:49.160] ふざけんなよ。あ、トマンだ。
[00:09:52.640] 恐竜じゃないの?
[00:09:53.680] 共有なわけねえだ。ふざけんな。
[00:09:56.560] 笑笑。
[00:09:59.279] 共栄なわけあるか。ちょっと自分で買おうね。
[00:10:02.839] ジャイアンズム。笑。
[00:10:04.571] [笑い]
[00:10:06.079] ま、でも楽しんでそうでよかった。ずっとレガで戦ってたけどずっとレガ持ってんのエリーが。
[00:10:11.600] じちゃん意外とジャイアン属性あり
[00:10:13.760] あるね。しかも無自覚。え、きっとここね、女王様が話してた男の船は結構立派な船じゃねえか。嵐にやられちゃったのかな。
[00:10:25.880] 今魔物の巣窟になってしまってるようですね。スクえ、女王様が無視、無理して探索されなくて本当に良かったです。僕たちなんか、え、なんでここだけこんなオリジナルの
[00:10:38.639] BGMなの?何このBGM?
[00:10:42.440] このBGM聞いたことなくない?
[00:10:44.160] そんなに人魚好きなの?
[00:10:45.560] 人魚大好きだよ。人形大好きだよ。サイス猫好き、こんばんは。
[00:10:49.040] 3の曲。
[00:10:49.959] え、これ3の曲にこんな曲あった?え、
[00:10:56.079] 3にこんな曲あった?
[00:11:00.160] ありました。
[00:11:01.120] 嘘?全然覚えてねえや。
[00:11:02.120] メラゾーマ
[00:11:04.680] いいね。メラゾーマいいね。
[00:11:06.160] ギガデイン
[00:11:10.200] クッキーがマジで強すぎる。
[00:11:12.959] 本当にクッキーか。これ本当にサマルトリアか。お前出身あまりにも有能すぎない?
[00:11:18.839] なんかにのリメイク色々すごいね。
[00:11:21.680] 色すごい。あ、間違えた。間違えた。ええ、
[00:11:26.800] 海の中で雷出したらみんな食らうよね。
[00:11:31.480] 確かに。魔法のソ番。
[00:11:34.440] 今作のクッキー。はち。
[00:11:37.800] 今作のクッキーやばいよね。
[00:11:41.240] 神社閉店の日
[00:11:43.279] 天空のハドミB楽しみになるやん。
[00:11:46.120] いや、俺それは出ねえんじゃねえかと思うけどな。
