[00:00:34.360] ひ
[00:00:39.200] 有限実行
[00:00:58.800] オ
[00:02:26.080] 今日は早い。
[00:02:32.280] ここ長えな。
[00:03:09.319] ここの沈黙かけ。
[00:03:19.159] どうせ真顔で待ってるだけなのに。
[00:04:53.199] はい、どうもこんばんは。どうもチャバ
[00:04:55.840] ゲームです。
[00:04:56.680] はい、やってきます。いも、こんばんは。え、りさんこんばんは。え、そのちゃん、こんばんは。え、彩たこんばんは。え、やっていきます。
[00:05:04.639] はい、どうもこんばんは。よろしくお願いします。シャムゲームです。土曜日。土曜日だな。土曜日だな。え、有限実行。ちょっと超ちょっと
[00:05:17.680] ちょっと早いやろ、今日な。うんちゃん、こんばんは。え、こんにちはか。なみーちゃんもこんばんは。やりますよ。有限実行
[00:05:25.680] 3時。前にちょっと今日はつけましたけど
[00:05:28.479] も、今日もドラゴンクエスト、え、何日目
[00:05:30.720] ですか?今日は
[00:05:33.199] 16日目。すごない?チマゲームのさ、
[00:05:37.840] なんかゲーム配信の今最長かもしれん。
[00:05:41.440] 16日目。これ終わるんかこれ?今週
[00:05:44.880] 行けんのかな?今日長くやりますよ、今日
[00:05:47.680] 。今日まさ途1回切るかもしんないけど飯
[00:05:51.680] とか食うのに切るかもしれないけどっつい
[00:05:54.120] のがずるい。まそうやねんな。1と2
[00:05:56.199] くっついてるからな。そう、1
[00:05:57.319] からずっと累積でやって、今
[00:05:59.120] 16
[00:05:59.560] 日目やってますけどもね。これちょっと
[00:06:02.000] また回収鼻ずる。
[00:06:03.720] いや、もう、もう全然治んなかったわ。治んなかった。治んなかったけど昨日よりまだマしだから別に大丈夫。大丈夫だと思う。普通にま、あら鼻ちょっとずルズルしてますけどもね。今日もティッシューをティッシューをね。あ、もうやだよ。収を今日もあ、もうプレステ
[00:06:20.960] 5の電源ついちゃったよ。
[00:06:23.680] もうプレステ5の電源ついちゃったよ。
[00:06:26.960] これどうもこれだ。もうこれ画面これどう
[00:06:31.039] かさ、強制終了ってどうやってやんの?
[00:06:33.240] プレステ5の電源ついちゃった。プレステ
[00:06:35.080] 5の間違って。これ画面出すのさ、あれな
[00:06:38.639] んだよ。繋ぎ直さなきゃいけねえから
[00:06:40.440] めんどくせえからさ、もう強制終了したい
[00:06:42.160] んだけど。プレステ5の電源ってどうやっ
[00:06:44.360] て切んの?これもうわかんないよ。全然
[00:06:46.080] 使ったことないから。これ買ったはいい
[00:06:48.520] けど。ゴーストオブ津島しかやってない
[00:06:50.639] から。さ、プレス5買ったけど、これで
[00:06:53.280] どうやって切んの、これ?電源、もうこれ
[00:06:55.360] 電源ケーブル直抜きしていいか?これもう
[00:06:59.319] マジでこれどうやって消すんだよ、これ。
[00:07:03.160] なんかこれ電源ボタンってどこ?
[00:07:07.360] これどうやって消すんの?これ
[00:07:11.960] 消し方がわかんねえ。で、これで消
[00:07:16.479] どうやって消すんだ、これ?長押しで
[00:07:17.800] 消えるんかな?
[00:07:25.039] え、消えた?消えないんだけどな。これ
[00:07:29.680] どうやって消す?もういいや。もうちょ、
[00:07:31.840] もうごめんなさい。も、ちょ、ちょっと
[00:07:33.599] もう電撃ちょ直ぬ
[00:07:35.360] 。ちょわ、めんどくさい。もうめんど
[00:07:38.240] くさいし誰も何も言わねえし。なんなんだ
[00:07:40.639] よ
[00:07:43.160] これか。
[00:07:49.759] なんかアストロボット出てきたわ。なんか
[00:07:53.319] ボタン押したらアストロボット出てきた。
[00:07:55.440] もう1回入れとこう。
[00:07:58.400] めんどくせえ。これ対戦しないと画面出
[00:08:01.520] ないからさ。電源切れないんだよ。
[00:08:11.440] 電源抜きました。電源直抜きしてやった。
[00:08:15.080] 壊れたらまあどんまい。ま、あんま使って
[00:08:17.879] ないし。よし、じゃやりますよ。今日も
[00:08:20.400] ドラゴンクエストドラゴンちょ、あちいわ
[00:08:22.800] 。消そう。
[00:08:25.560] オ、やっていくぜ。ドラゴンクエスト2
[00:08:28.919] 16日目。もうほんま今中にクリアする
[00:08:31.240] から。
[00:08:33.719] 相変わらず鼻の調子は悪いけどな。相
[00:08:36.000] 変わらず鼻の調子は悪いけど。よし。
[00:08:40.599] ドーン。
[00:08:43.959] え、ドラゴクエスト2やっていく。もう
[00:08:46.360] 今日は回収じゃないよ。今日はもう進める
