[00:00:06.319] 最終回来ちゃー。ちゃまぷんちゃにめ。
[00:00:13.960] ひひひ。
[00:00:40.610] [音楽]
[00:00:57.160] ちゃまさん待ってましたよ。
[00:02:05.106] [音楽]
[00:02:53.239] オースオ
[00:03:01.840] そんな顔して待ってないで。
[00:04:45.120] はい、どうもこんばんは。ちょ、どうもお疲れさんです。
[00:04:51.880] です。こんばんは。こんばんは。
[00:04:53.160] こんばんは。こんばんは。こんばんは。こんばんは。こんばんは。こんばんは。わわわわわ。はい、やってきます。みーちゃん、こんばんは。え、いもこ、こんばんは。え、プランさんこんばんは。え、そのちゃんこんばんは。えー、プランさん、お、プランさんが待ってるじゃん。本当に待ってて草。本当に待ってて草。どうもこんばんは。ダゲームです。
[00:05:15.720] や、なちゃんもこんばんは。え、
[00:05:17.680] ついにトデイ
[00:05:19.199] isドラゴンクエスト2&amp;2金玉ちょっと
[00:05:24.080] 痒い。えー、最終回です。どうも
[00:05:26.400] こんばんは。[拍手]
[00:05:28.720] 今日は最終回ですよ。長らくやってまいり
[00:05:32.560] ました。長らくやってまいりました。
[00:05:35.880] ドラゴンクエスト1&amp;2
[00:05:38.919] 今日でラストです。おそらくな。おそらく
[00:05:41.360] なか
[00:05:42.440] 知らんけどな。知らんけど。
[00:05:44.759] 多分最終回。多分最終回。てか最終回にしたい今日というわけで、え、今日もやっていこうかなと思いますけどもね。
[00:05:55.880] 待ってたら待ってたらで草って言われるの草。
[00:05:58.720] どうもこんばんは。やってますよ。やってきますよ。今日、今日
[00:06:03.039] 12時までにクリアできれば最高。最長で
[00:06:06.160] 12
[00:06:06.440] 時半です。わかんないけど。わかんないけどいいか?やるぞ。
[00:06:11.360] じゃ、えっと、もう授けていい?もう別に開幕喋ることないよ。貴様らと別に喋りたいこともないし。ドラクエがやりたいのでやります。
[00:06:19.904] [笑い]
[00:06:24.360] 行きましょう。
[00:06:25.039] はい。行きまし。行き。行けぞ。音でか。音でかいな。音でかない。ゲモン音でかない。ボボボー。
[00:06:36.279] [音楽]
