[00:00:05.879] ちゃまぷんちゃめちゃまんちゃめちゃまんちゃ
[00:00:09.960] 目
[00:00:41.265] [音楽]
[00:00:56.960] 下の人におしっこかけとこう。
[00:01:13.119] 笑笑
[00:01:15.325] [音楽]
[00:01:35.640] 。
[00:01:40.759] 懐かしいね。
[00:01:59.211] [音楽]
[00:02:08.239] エボ玉
[00:02:48.991] [音楽]
[00:03:34.680] 最終回パート
[00:04:00.387] [音楽]
[00:04:20.720] 下の人の幸せ願いとこ。
[00:04:36.240] ありがとう。
[00:04:42.919] 嬉しい。
[00:04:52.639] はい、どうもこんばんは。はい、どうも
[00:04:55.240] ちゃまゲームです。えー、みーちゃん
[00:04:57.800] こんばんは。シロさんこんばんは。え、
[00:05:00.000] お猫こんばんは。なはちゃんこんばんは。
[00:05:02.080] え、コ太プリンこんばんは。ということで
[00:05:03.560] はい、どうもこんばんは。
[00:05:04.639] やってきます。今日はついにドラグニティクエスト
[00:05:08.508] [音楽]2かし
[00:05:10.479] やっていきますから。久々に派手でやってきました。いやあ、いいっすね。やりますよ。すいません。昼間からやろうと思ったんだけどちょっとあの部屋の片付けがはっちゃってたまにあるよな。部屋の片付け始まるとさ、もうなんかすげえ熱中しちゃうやつ。ま、ほとんど雑誌で終わったんだけど。
[00:05:29.468] [笑い]
[00:05:30.000] え、なんか部屋の片付けし始まってなんかとめ物雑誌が出てきて、あ、懐かしいと思って読んでたら
[00:05:36.840] 2
[00:05:36.960] 時間経つたわ。そんな感じであの部屋をね、ちょっと綺麗にしたんすよ。ちょっとわかんないと思うけどね機を
[00:05:37.983] [笑い]
[00:05:47.680] 掃除ちょっとここうしたのめっちゃ良くない?ゲーム機をちょっとこうした。それだけで
[00:05:56.600] 1日かかった。
[00:05:57.280] 分かるわかる。
[00:05:58.120] いいよね。めっちゃめっちゃいいよね。
[00:06:00.160] そんな感じで今日はドラゴンクエスト2
[00:06:03.319] 最終回2。[笑い]
[00:06:06.479] なんやねん、このタイトルっていう。最終
[00:06:09.000] 回2かこ2だからね。[笑い]
[00:06:11.960] 読み方まで指定してきます。かこ2ね。
[00:06:15.639] 最終回2ということで裏ボスみたいのが
[00:06:18.319] なんかあるみたいなんで3まで行こう
[00:06:20.720] あるみたい。いや、分かるか。どうなろね
[00:06:21.919] 。今日クリアできればやりたいな。行き
[00:06:24.000] たいなと思ってんだけど。今日、まあ、1
[00:06:26.160] 時ぐらいまでやろうかなと思ってるから、ま、
[00:06:28.039] 6時間でどこまで行けるかだよね。もう
[00:06:30.680] 最終回2D、
[00:06:32.840] 最終回HD2D
[00:06:34.880] やってきますよ。やっていきます。もうでも今週今日明日では絶対クリアしようと思ってるからちょっと楽しみすぎねえか。裏ボスいるんかい?裏ボスいるんかいて。
[00:06:46.240] のコメントのラグないわ。やっ
[00:06:48.724] [笑い]
[00:06:48.840] やばい。やばいなの。やばいやばいやばい。
[00:06:51.840] それいいことなの。それそれお魔かんでしょ。しかも俺の俺のせいじゃねえからな。いつも楽んのは。ハチこんばんは。はちこんばんは。何気にこれ
[00:06:59.400] 8も買ってたから。これおろだから。8俺
[00:07:01.824] [笑い]8
[00:07:02.400] 時間くらいやろう。
[00:07:03.759] え、8時間ってると夜中の
[00:07:06.639] 3
[00:07:06.800] 時?いや、無理や。無理、無理、無理。明日朝あのウォーキングしに行くから。ウォーキングしに行くから。ちょ、ごめんな。ごめんけど一時に寝かせてくれ。頼むわ。ということで、え、やってきますかね。やってきますかね。よいしょ。
[00:07:11.649] [笑い]
[00:07:23.400] 平日もウォーキングしてる。
[00:07:25.000] よろし。平日もしてるよ。平日も帰ってきて
[00:07:26.919] 1時間歩いてるよ。
[00:07:28.800] バチバチ会社に来て行ってる。
[00:07:31.360] バチバチ会社マジかよ。これで働ける会社何の会社なんだよ。ま、働き方改革ですわな。うん。あ、チずつこんばんは。え、現在
[00:07:33.265] [笑い]
[00:07:42.160] 20連続視長、どうもこんばんは。
[00:07:45.159] フォーマルでいいね。
[00:07:46.360] フォーマルどこがフォーマルやめん。もうやメンって言っちゃった。どこがフォーマルやねん、お前。
[00:07:51.240] え、ご注意。このゲームソフト結果なんとか許可なくインターネットを通じて配信それ以上読みません。え、未成年者の方へあらかじめ補充やてからこのゲームを利用してくださいということです。
[00:08:01.039] 背中スケの服で働いても怒られないから大丈夫。エロアートディンクってなんか見たことあるよな。他のゲームでもアートディンクってなんか見るよね。よくあさんこんばんは。待ってましたよ。じゃ、遅れてるやん。ちょっとちょっと遅れてますやん。
[00:08:18.919] この連続視長、
[00:08:20.840] 連続視長が連続、あ、星を見る人はガムね。
[00:08:24.355] [笑い]
[00:08:24.960] GA夢って書いて。笑。
[00:08:27.560] GA
[00:08:28.000] 夢と書いて。あ、ボンボンボンボンボンボンボンボンボンボンボンボンボンボンボンね、これミアの羽じゃないの?これミアの羽だよな。これラーミア出てこないじゃん。バボバボバボバボバボバー。はい、やってきます。よろしい。
[00:08:39.420] [音楽]
[00:08:45.360] ゲモンちっちゃくね。なんかちょっと
[00:08:47.240] ゲモンちっちゃい気がする。ちょっと
[00:08:48.399] 開けるね。うるさい。こんなもんだろ。
[00:08:52.959] よろピク。よろピク。今日は、えー、
[00:08:56.120] クリアします。今日は、え、クリアします
[00:08:59.720] 。裏ボス行きます。裏ボスがあるらしいの
[00:09:03.360] で。裏ボスなんかわかんないけど。あ、
[00:09:05.200] ちょうどこっからや。え、皆さん、
[00:09:07.880] いよいよこれからハーゴンとの決戦ですね
[00:09:09.560] 。
[00:09:09.600] いや、俺もハーゴン倒したねんけど。前回俺これゲームあるあるなんだけどさ、クリアした後にクリア前に戻されるのあんま好きくないよ、俺。
[00:09:19.920] 分かる。
[00:09:20.560] クリア後の世界に行ってくんねえか。あるよね。
[00:09:24.040] クリアしたから見れるぜ。
[00:09:25.440] あ、さん、こんばんは。クリアしてなかったから見て。見てなかったんだ。え、ちょ、何?裏もやった。裏もやった。今日裏行くよ。今日裏行くよ。このゲーム、この
[00:09:35.279] RPGあるね。
[00:09:36.399] ラスボス倒した後ラスボス倒す前に戻されるっていうね。あるよね。もうそれの筆トがあのロックマンエグゼ
[00:09:44.720] 6ね。ロックマンエグゼ6
[00:09:46.720] もラスボス倒した後に倒す前に戻されるんだけどそれ何がやばいってラスボス倒す寸前のデータってなんかもうみんながわーってなっててどこ行ってもどこ行ってもなんか
[00:10:01.560] BGMが一緒になっちゃうの。あのBGM
