[00:00:35.480] うお。
[00:00:49.199] きつ。
[00:00:55.840] ええやん。ええですやん。
[00:01:11.479] うい。お疲れ。
[00:01:14.920] 長いな、ここ。レトロゲームの邪魔なんよ。こんにちは。
[00:02:57.440] ສ
[00:04:17.720] 渾身の変顔で登場来る。
[00:04:57.479] はい、どうも茶ばけです。あの、本当やめてそういうの。はい、どうもこんばんは。あ、こんにちは。え、リウさん、こんばんは。いも、こんばんは。え、あずまぐさんこんばんは。え、彩こんばんは。えになりさんこんばんは。うん。はい、どうもちゃまゲームです。さあ、
[00:05:14.720] やざるを得なくなっ
[00:05:15.880] やもんやめて。そういうの。もうほんまやめて。やらざるえないやん。そんなんやられたらもう聞いてんだから。こっちもて
[00:05:25.560] 感じだね。こっちのや聞いてんねんから。
[00:05:28.319] ま、そんな感じで、え、今日もやってき
[00:05:31.440] ましょう。配信をね、配信をやってきます
[00:05:34.280] けども、え、前回ね、昨日は、え、
[00:05:37.240] ドラゴンクエスト2ね、あの、感動の
[00:05:40.600] エンディングを迎えましたが、えー、こっ
[00:05:43.360] からね、あの、またレトロゲーム、私一応
[00:05:46.000] レトロゲー配信者だったんで、なので
[00:05:49.680] やっぱレトロゲーやりたいじゃないかと
[00:05:51.319] いうことで、今日からですね、新しい
[00:05:53.639] ゲームやってきますけども、え、こ、今日
[00:05:55.560] やっていくゲームはこちらです。ダジャん
[00:05:57.080] 、ダジャん。シャドウゲート64。
[00:06:02.000] もうこれどうなっても知らんぞ。本当にどうなっても知らんぞ。いいんか?どうなっても知らねえからな。どうなっても知らねえぞ。誰の目かは知らんけど、どうなっても知らんぞ。これ
[00:06:16.360] 変わってんのかな?
[00:06:17.840] 変わってるんじゃないかな?これオリジナルね。あの前にあの配信休止する前だけどに俺
[00:06:23.720] 1
[00:06:23.880] 回これ配信でこれクリアまでやりましたけどもまあとんでもない。うん。
[00:06:29.360] ま、こ、あんま、あんま怖いこと言うのも
[00:06:31.759] あれなんだけど、ま、クソゲーですよ。
[00:06:34.720] いや、クソゲーじゃないね。おもろい。
[00:06:36.479] めっちゃおもろい。ツッコみどころ多すぎ
[00:06:38.440] てめちゃくちゃ面白いゲーム。これクリア
[00:06:40.080] までやったんだけど。いや、まあ、ま、
[00:06:43.240] なかなかなかなかなパンチの効いたゲーム
[00:06:45.319] だったんだけど、それの一応なんか続編
[00:06:47.520] なんかな。続編らしくてシャドウゲート
[00:06:50.440] 64。64で出たやつなんだけど、もう
[00:06:53.080] 賞味ね、ドラクエとの楽さがえぐい。シジ
[00:06:57.000] さんこんばんは。やりますよ。
[00:06:59.080] シャドゲ、シャドゲー。あの、俺の、あの、あまりにも俺はこのゲームに完復を受けすぎて、この死んだ時に出てくるこの死神。死神みたいのが出てくんだけど、これスタンプにしたからな。俺これスタンプにしてるからね、これ。
[00:07:16.000] 残念。こんにちは。
[00:07:17.560] そう、これスタンプにしてますから。
[00:07:18.879] 残念。残念。残念。
[00:07:21.160] 残念。スタンプ残念。お味噌なむこんにちは。こんにちは。どうもやりますよ。
[00:07:26.479] またレトロゲー配信者としてチマゲームがやっていく
[00:07:30.800] 残念スタンプな。あみーちゃんこんばんは。みーちゃんこんばんは。やりますよ。シャドウゲート
[00:07:35.240] 64
[00:07:35.879] シャドゲちゃ
[00:07:36.879] もうどうなっても知らんぞ本当に。ペロンお疲れ。ペロンお疲れちゃん。やるぞ。正直ドラクエ多分なんか配信半年ぶりに俺こないだやこいだからやってさずっとやっててそっからなんか来てくれるやつもいるんだよ。
[00:07:53.479] 多分そこから初めましててる人もびっくり
[00:07:55.560] すると思う多分。え、何?あのこの人こう
[00:07:58.199] いうゲームなんだ。元々僕こっち側の人間
[00:08:01.319] ですからね。あれドラゴンクエスト最新作
[00:08:04.599] とかケウですからツイチ2のゲームやる
[00:08:07.759] なんて。元々僕こっち側の人間なんで
[00:08:10.639] ちょっと今日はもう古いにかける古いに
[00:08:13.960] かけるドラゴンクエスト2のワワツで俺を
[00:08:16.680] 知ってくれた配信者じゃない。あのじん
[00:08:19.479] ちゃんお疲れじゃん。じんちゃんお疲れ。
[00:08:21.120] 震いにかける配信なんで、もうちょっと覚悟してください。も、どうなるかわからん。俺もどんなゲームか分かってない。ま、多分でもファミコンのやつのあれなんだと思うんだよね。続編だから同じようなアドベンチャーなんかな。わからん。全く情報がない。
[00:08:33.440] 8
[00:08:33.599] 割はここで落とされる。
[00:08:36.839] 行きますよ。ケムこ。ケムこね。信頼と実績のいや、どんなんだんでしょうか。私こそ真の視聴者だ。リメイクじゃない。いの目が荒すぎる。
[00:08:50.560] 古いの目が古いの古いの目がもうめっちゃ
[00:08:55.640] マ目が荒い。もうボロボロ落ちてくぞ。
[00:08:59.000] うお、いいね、
[00:09:02.839] いいね。
[00:09:05.240] めちゃめちゃ状態がいいじゃん。
[00:09:08.640] もう本当に毎回言うけど、こうレトロ
[00:09:11.120] ゲームで夜けに状態がいいゲームっていう
[00:09:14.200] のは僕中古で買ってますから。
[00:09:17.040] 中古で買ってますから前の持ち主が全く遊んでないってことなんですよ。
[00:09:22.000] どういうことなのかってことなんですよね。全く遊ばずに売ったということでしょ。これめちゃめちゃ状態いいぞ、これ。なんだこの新品同様のま、
[00:09:32.600] 64なんて久しぶりにやるけど
[00:09:34.640] 察しがつくんだよな。
[00:09:36.240] 察しがつきますね。もうこれ説明書も全く開かれてないでしょ。
[00:09:41.440] 説明書すら読む説明書を読むことすらかれるという折り目
[00:09:47.160] 1
[00:09:47.320] つついてない。ピッカピカやん。めっちゃ
[00:09:50.360] 説明書すら読まれてないというね。恐ろしいっすよ、これ。ま、ちょっと久々にちょっとじゃあもうやります。ちょっと
[00:09:59.040] 64
[00:09:59.480] 実機でやりますから。よいしょ。これ映るかな?映るかな?
[00:10:04.440] 帽子可いい。グーグ。
[00:10:05.640] 帽子可愛くない?これうざい犬ね。あのアンダーテールのね。
[00:10:09.200] ま、俺アンダーテール、アンダーテール配信じゃできないんですけどね。僕もうやっちゃってるからね。アンダーテール好きなんすよ。ま、アンダーテールのファンファン好きじゃないけど。あ、あ、はい。やってきます。よろしく。あ、
[00:10:22.200] はい。よろしく。つくっかいぞさん、こんちは。やるぞ。おい、やるぞ。シャドゲー
[00:10:29.800] 64
[00:10:30.519] ピコきますか?お、ついた。コントローラーは接続されていません。いや、されてる。あ、されてねえわ。ごめん。
[00:10:38.120] あ、ごめん。コントローラー接続されてなかった。え、なんでこれコントローラー接続されてないったな。この
[00:10:42.959] 来てしまったな。コントローラー接続されてないとできないんだ。なんなんそれ?なんなんそのこだわり。ちょっと待って。コントローラーさ刺さってなかった。
[00:10:52.240] レイアウトめちゃいい。
[00:10:53.480] レイアウトめっちゃ良くなったっしょ。あの
[00:10:55.200] 6、あの、あの16対9じゃなくて6
[00:10:58.240] 対、あ、え、4対3、3対4だから4対3
[00:11:01.480] だからちょっと画面でかくできるんで。で、ここにロゴがいいでしょ。かっこよくない?ロゴはロゴは一丁前。
[00:11:09.360] え、刺したんだけど。あれ?
[00:11:12.279] ええやん。ええやん。
[00:11:13.240] あれ刺したんだけどな。あれなんでダメなの?これ刺さしたよ。いや、まあ、コントローラーん刺したよな。これ
[00:11:21.200] 1匹じゃねえか。
[00:11:21.800] こういうところが
[00:11:23.959] こういうところ。え、もうなんかすでになんか匂い感じてる。あれなんで刺さってるよ。これ
[00:11:33.560] 1匹じゃねえかな。
[00:11:34.800] 起動時にチェックしてるから電源入れ直しとか。
[00:11:38.000] あ、電源入れ直しってこと?ああ、ダメなん?え、そういうこと?電源入れ直しなんだ。あれ?コントローラーパックが接続されていません。データをセーブしたい場合は本体の電源を切り、もうな、なんでこんな始まるまでめんどくせんだよ。もうこういうとこもうもう匂ってますやん。もうめんどいって。
[00:11:59.959] 笑笑。
[00:12:00.360] コントローラーパックって何だっけ?ここに刺つやつだよね。ちょっと待って。
[00:12:03.360] そんな俺聞いてねえよ。いや、あるけど。持ってるけど。持ってるけど。ちょっと待って。めんどくせえな。ちょっと探さねえとあるかな?多分あると思うけど。な
[00:12:13.720] んだよ。もうすぐ始まりよ。
[00:12:16.680] 64
[00:12:17.399] ってそんな感じだっけか。振動とか懐かし。
[00:12:23.320] コントローラーパックつって
[00:12:25.279] 64
[00:12:25.720] って、ま、全部のソフトじゃないんだけど、なんか後期のソフトはね、あのメモリーカードみたいなのが必要なんだよ。セーブするのに。
[00:12:33.800] これ多分後期なんだろうな。こういうのが、こういうのがあって、これをね、
[00:12:38.040] 回の持ち主これで切れて売り払ってたら笑う。
[00:12:41.120] これでここに刺すねん。コントローラーにこれメモカを刺すのよ。でもよかった。これ買っといて。はい。さしたよ。
[00:12:47.880] そんなんあったんや。
[00:12:49.360] そう。
[00:12:50.199] ほう。
[00:12:52.480] 刺したけど
[00:12:54.600] 知らなかった。
[00:12:57.920] あ、電源を入れ直さなきゃいけない。めんどくせえな。なんなんだよ。
[00:13:02.079] さっさと始まってくれよ。もうさっさと始まってくれ。え、されてるだろ。何これ?ちょっと待って。めんどくさいな。も
[00:13:14.639] 夫婦
[00:13:16.120] あんま良くないんだけどね。夫婦はね。よし。これどうだ?
[00:13:21.320] ここで2時間か。
[00:13:23.000] あ、始まった。
[00:13:25.920] イニシエの儀式きつ
[00:13:28.320] 始まりましたよ。
[00:13:30.360] 過ぎ去る時が山を削り川の流れ。ちょっと
[00:13:34.519] 待って。なんかさ、もう1回ちょ最初から
[00:13:36.199] 見ていい?なんかなんかなんかなんか早
[00:13:38.959] ゲムこ。あ、もう本当これだけなんだ。
[00:13:42.079] さあ、やってきますよ。やってきますよ。
[00:13:46.000] 過ぎ去る時が山を削り川の流れを変えよう
[00:13:50.639] と。今わしき記憶は消えることがない。
[00:13:54.880] 世代を重ねようとも風火されることのないその恐怖人の眠りを座はるか昔世界の早い早い早い闇よりも早い早い早いし多い早いし分が多い
[00:14:08.199] 笑笑
[00:14:08.680] 早いし文が多くて読めんデスノートかと思ったわートかと思ったデスノートかと思った文が多くてびっくりしたもうちょっと各自各自読んでくれこれこれもう読めねえよこ
[00:14:24.040] 完全に理解した。
[00:14:25.120] 完全に理解した。おお、シャロゲイ
[00:14:32.600] 男がたら男が動き始めた。シャドウゲート
[00:14:37.199] 64
[00:14:38.199] テイルズオブザフォワーズ知らない。そのサブタイトルあったんだ。あ、いいっすねえ。
[00:14:49.440] ニゲームでいいんかな?音どう?音どう?音ちっちゃい?あとゲーム音てかゲーム画面暗いとかちょ教えてくれ。
[00:14:59.199] ちっさめ。
[00:14:59.920] ちっさめちょっともっとあげるか。
[00:15:01.920] ちっさめ、くめ、片め、多め、濃い目。あ、結構でかくない?お、でもすげえ。なんかムービーシーンがある。
[00:15:13.880] 64なんよね。画面暗い。暗い。
[00:15:17.720] これ
[00:15:19.680] 画面暗い。こいつが主人公なんか?
[00:15:24.440] 画面暗いか。
[00:15:28.560] あ、結構音でかいな。
[00:15:31.319] 結構音でかいね。
[00:15:34.079] こんなもんかな?こんなもんかな?
[00:15:38.800] ここまで言葉による説明一切なし。全然
[00:15:42.639] わかんないんだけど。ストリー。これどう
[00:15:43.800] いうこと?
[00:15:47.000] ちょっとまたテ教えてな。多分ね、実だ
[00:15:50.279] から結構暗いと思うんだよね。
[00:15:58.240] え、な、な、なん、なんな、あ、これ。
[00:16:00.120] シャドウゲートか。シャドウゲートなのか
[00:16:02.360] 、これ。あのファミコンのどういう
[00:16:05.079] ストーリーなの?過去でも過去作と繋がり
[00:16:08.519] は多分あるんだと思うんだよね。あるんだ
[00:16:11.079] と思うんだよね。
[00:16:13.560] ゲート64テイルズオブザ4
[00:16:17.759] さやってきます。
[00:16:21.399] 全然
[00:16:24.160] 全然えおいです
[00:16:29.680] ね。
[00:16:32.160] 64だね。どう?もうちょっと気持ち
[00:16:37.800] 明るくするか。気持ち明るくするわ
[00:16:42.160] お疲れ。
[00:16:43.000] 味、味がありすぎる。
[00:16:44.759] MDX
[00:16:45.040] さん、こんばんは。ちょっと待って。
[00:16:46.199] 若干クロックタワーかん。
[00:16:48.079] そうだね。ちょっと明るさをちょっとあげますわ。よいしょ。よいしょ。ちょっと待って。ムービーがあ、違う。色じゃない。間違えた。色じゃなくてま、いいか。ムービー終わってからにしよう。ムービー終わってからにするぜ。
[00:17:03.240] ちわちわ。始まりましたな。
[00:17:05.160] 始まってしまいました。全くストーリーが。あ、なんか俺に入れられました。
[00:17:08.679] これ俺か?これが俺なんかなんか喋れや。なんか遅い足。足遅い。何も喋らんし。
[00:17:20.199] どっちかと言うとでかい方だろ。
[00:17:21.799] でかい方が俺なんかここはあ、ちょっとちょっと画面画質調整させてくれ。ちょっと待ってね。画質調整されてくれ。えっとね、ちょっと明るめで行くよ。
[00:17:35.120] 多分画面相当
[00:17:36.080] とりあえず途中までやったことあるので最初の導入くらいは説明できますけど行きます。
[00:17:42.880] ストーリー何説明が必要なぐらいのあれなの?ちょっと待って。ちょっとちょっとさ、明るさをちょっとあげようって。
[00:17:52.520] こんなもん結構いい感じ。もうちょっと明るくする。こんなもんか。ちょっと明るめ。
[00:17:59.960] 58で
[00:18:02.080] 60までいいか。60まで行っちゃうか。
[00:18:04.520] 60まで行っちゃっていいよね。
[00:18:05.480] もう少し60。これでもう
[00:18:09.120] 1声。もう1声行く。こんな
[00:18:11.559] なもん。
[00:18:12.080] こんなもんか。オ、ちょっとちょっと暗い方がでもやっぱ
[00:18:15.679] オークション
[00:18:16.679] なんかあれ
[00:18:18.720] 導入ストーリーだけネタバです。笑
[00:18:22.679] オ、これ100
[00:18:24.159] はもう真っ白になっちゃうと思う。これあのファミコンとさ一緒のあのストーリーどうなってんだろうね。
[00:18:31.120] ファミコンとストーリー変わってんのかな
[00:18:32.840] ?やっぱ続編って言ってたからリメイクと
[00:18:34.880] かじゃないんだよ。ただ見てまず
[00:18:37.000] ストーリーがこんなあるのね。もう
[00:18:38.559] ちょっとしんどいねん。
[00:18:42.280] ストーリー重厚すぎるでしょ。
[00:18:45.559] シャドウゲートでしょ。シャドウゲートな
[00:18:48.240] のにこんなになんかでも聞こえる。ま、
[00:18:51.600] とりあえずやるか。とりあえずやろう
[00:18:53.559] 愛が伝わる。
[00:18:54.520] 愛が伝わるね。ここは
[00:18:57.840] 牢獄のようだが。どういうゲームなの?
[00:19:04.640] え、まさかの試観視点でしょ?え、
[00:19:11.080] どうやってくの?しかも
[00:19:13.960] 何も持ってんは
[00:19:15.520] 良いう。
[00:19:19.880] これはこれさ、
[00:19:21.720] まさかのふプス。
[00:19:22.880] これさ、操作がね、このスティックでスティックで視点操作。これで動くねん。
[00:19:30.760] これで動きます。
[00:19:31.559] 初代から数百年後の話です。
[00:19:34.480] 初代主人公が統治した国は今やれ果て盗賊やら悪闘やら魔物がはびこる。今ここにいる場所です。操作し。
[00:19:44.400] これ普通だよね。普通普通こっちが移動じゃね
[00:19:51.880] で。
[00:19:53.120] 鍵がかかってる。うわ、これは酔うぞ。
[00:19:57.720] これは酔うぞ。ま、でも確かに初代も主観
[00:19:59.720] 視点だったしな。初段も誰かが寝ている。
[00:20:02.679] え、見えないんだけど。いや、待って待っ
[00:20:04.039] て。誰がちょっと待って。あたい
[00:20:07.880] 。
