[00:00:07.919] ロブロクスチェアウトダウンっけえ
[00:00:27.320] の
[00:00:39.280] 気まずい5分
[00:00:42.320] この時間
[00:01:02.880] [音楽]
[00:01:38.399] なんかファンアート増えた気がするな。ロブロクスチェア。
[00:01:45.399] 明日の23時からなのに
[00:01:52.240] ロブロクスチェア。
[00:02:30.280] 橋本、こんばんは。
[00:02:36.160] フライングして30分べっつり見てき
[00:02:38.640] ちゃったよ。
[00:02:44.720] だめだね。ピース。ぐーぐブー。エゴ
[00:02:47.599] たまに。
[00:03:10.607] [音楽]
[00:03:13.799] この配信は30分ぐらいで終わる。そんな
[00:03:16.920] 予感がします。
[00:03:22.480] ダメダメピース。ぐーぐ
[00:03:32.120] 忍かな。にゃバター。[音楽]
[00:03:52.360] ナッ中
[00:03:57.560] ダイレクト
[00:04:03.000] レシデンツレーペ
[00:04:18.000] 忍るらしい。
[00:04:28.680] ただでさえ時間ないのにここで5分も待た
[00:04:31.400] せないでよ。
[00:04:49.160] うい、どうもこんばんは。ゲームです。でントライアゲインということではい、どうもこんばんは。
[00:04:58.479] おす。
[00:04:58.880] はい、おっす。お疲れちゃん。うい、お疲れ。
[00:05:01.720] えっと、えっと、えー、配信者、配信者らしくちょっと挨拶してこうかな。配信者らしく視聴者に挨拶していきます。え、みーちゃんこんばんは。え、にナさんこんばんは。え、いもこさんこんばんは。おりファさんこんばんは。ルビーさんこんばんは。え、綾たさんこんばんは。ペロンさん、こんばんは。え、ぐらいですかね。以上すか?あ、
[00:05:26.680] Zマ、お疲れ。
[00:05:28.039] え、はい。でらこまく、こんばんは。
[00:05:30.360] めいちゃん、こんばんは。はい、どうもこんばんは。はい、ちゃオケです。ということで、今日はですな、今日はですな、配信者の方になんでお疲れ?
[00:05:40.720] なんか久しぶりに久しぶおい、お疲れでいいやん。お疲れやんけ。
[00:05:44.800] さんがごました。はい、
[00:05:47.153] [拍手]
[00:05:47.919] 500円ゲット。[笑い]
[00:05:50.000] はい、500円ゲット。はい、500
[00:05:52.039] 円ゲット。はい、ありがとうございます。はい、たず、こんばんは。はい、どうも。
[00:05:53.704] [笑い]
[00:05:56.160] えっとですね、サブスカ
[00:05:58.280] えっとですね、[笑い]
[00:06:00.840] えっとですね、何やら今日あれらしいじゃん。なんか任天堂ダイレクト任天堂イレクトなんちゃらっていうのはなんかやってたらしいじゃん。お前らもう見てきたの?ちなちなお前ら今日見てきてるよって人。お前絶対ネタバレすんなよ。ネタバレしたやつマジで
[00:06:19.680] banからね。あ、今日あれ、この後あれ来ますみたいな。
[00:06:23.639] この後あれ来ます。そう。
[00:06:25.440] これから見るとこだよ。これから見るとこ。しさん、こんばんは。
[00:06:28.560] んね。
[00:06:29.160] おお。せやねん。あのんだよ。[拍手]
[00:06:32.319] いつもだったら
[00:06:33.440] パリメイク来るらしい。
[00:06:34.560] 正味おい。絶対ないと思うわ。それはあのつもだったらリアルタイムでやってんだけどいや、なんかね、どう、なんかいつもだったらとてかもう自行だから許して欲しいんだけどそれダメだから。
[00:06:35.624] [笑い]
[00:06:45.840] 明日だったんだ。[笑い]
[00:06:48.039] あ、今日だよ。今日。そう。やった。もうやったらしい。
[00:06:49.880] で、あの、11時から30
[00:06:52.400] 分やったらしいんだけど、あのね、あの、どうやらね、なんか、あの、あさん、こんばんは。あのね、
[00:06:59.039] 明2の時の人みたいなてく
[00:07:02.000] なんか、あの、どうやらタイムミラー配信はやっちゃいけないんですよ。うん。自行なんで今までちょっともうすいませんでした。本当にやってましたけども。
[00:07:11.649] [笑い]
[00:07:12.919] だ、今回からちゃんと気にして30
[00:07:14.599] 分もう終わったんでアーカイブだったらそれ配信してもいいよって言うらしいんでちょっとアーカイブでちょっと
[00:07:19.800] 30分我慢したねん。30分見よ。30
[00:07:23.479] 分読め太郎もこんばんは。忍代見ようぜ。忍代見ようぜ。ちょっとみんな
[00:07:27.080] ダメだったのか?
[00:07:28.080] ダメなんだよ。そう。うん。やってましたけどもね。ま、ちょっともうちょっともう今日まジそれやってもうさっと寝るんで。さっと寝るんでもう見ていいすか?早速早速見ていこうじゃないかと。
[00:07:37.280] 忍来る
[00:07:38.879] 忍くく来く来くる。
[00:07:41.319] はい。
[00:07:41.919] それではね、今日はジョルをさせるとこからやって。
[00:07:45.360] はい、やっ。どうもこんばんは。はい、どうもこんばんは。こめちゃんこんばんは。めちゃんもこんばんは。はい、やっていきますよ。うん、やっていきますよ。こちこれかな?これです。もうお前ら見てきたんでしょ?お前らもう見てきたんでしょ?あ、これフル画面できるかな?ああ、できるね。オッケー。ちょっとネタバレすな。ここにも書いてあるけど。上にも書いてあるけど。ネタバレすなよ。
[00:08:09.199] まだ見てない。
[00:08:10.280] ちょっと一緒に見てこうぜ。でも今日ソフトメーカーラインナップだから多分あの任天堂の協力ソフトはないと思うんだよね。ないと思うんだよね。何これ?
[00:08:21.039] もう待てない。
[00:08:22.560] あ、ちなみにあの
[00:08:24.120] ちな間にちなみにあちゃんランディちゃんこんばんは。ランディちゃんこんばんは。あ、ちなみにあのあれだからね。あのこの最初の
[00:08:30.840] 30
[00:08:31.199] 分も見るからね。アド前じゃんだって同時視聴だもんさ。
[00:08:34.880] この最初のこの始まりますの
[00:08:37.719] 30
[00:08:38.039] 分も見ますけど。え、今日今日そういう配信だけど。
[00:08:42.159] え、なんで?え、だってそうじゃん。だめじゃん。だってこれここから見ていかないといけない。
[00:08:45.720] は誰か
[00:08:47.920] 30
[00:08:48.320] 分あと読んでくれ。きないから先見てくる。何待ちの時間なの?そこから点悪
[00:08:54.486] [笑い]
[00:08:57.399] 何待ちの時間なの?何待ちの?どっから始まるんだ?だってだこら辺から。え、
[00:09:02.680] 16分。え、でも30分だよな。約30分
[00:09:05.680] だからこえ、こっからこの辺からえ、なん
[00:09:08.440] かこの辺から始まってねえ
[00:09:11.560] 。これは何?この辺から始まってるよ。
[00:09:14.240] 15分ぐらいから始まってるよ。
[00:09:20.920] 音でかくね?音でかない?
[00:09:25.760] え、これは何?これも始まってないよね?
[00:09:27.920] これってCMみたいなやつだよな。1番
[00:09:30.279] 最初って。え、これも見た方がいいの?
[00:09:33.040] 15分あるけど。
[00:09:34.441] [笑い]
[00:09:36.079] さすがにどこからね、どっから見ればいいんだよ、これ。おい、どっから見ればいいの?これどっからが本編なんだよ。
[00:09:44.360] 映画の時間みたい。映画みたいなやつか。
[00:09:47.720] どっから見ればいいの?これちょっとどっからこれどこからが新作なの?
[00:09:53.959] 30分30
[00:09:54.959] 分のとこまで行こうか一旦。いや、なんかめっちゃもう絶対これ
[00:09:59.331] [笑い]30
[00:09:59.839] 分。
[00:10:00.959] ここでいい?ここでいい。
[00:10:02.880] あ、30分ってことは20、え、1時間8
[00:10:06.440] 分ってことは38分、38分まで行って
[00:10:09.880] いいってことねえ。本当に?あ、ここだ。
[00:10:14.959] ああ、すいません。お待たせしました。皆
[00:10:16.160] さん、すいませんね。すいませんね。
[00:10:18.560] ちょっと尺稼ぎしちゃいました。すいませ
[00:10:20.120] ん。[笑い]
[00:10:21.800] ああ、来た、絶、来た、来た、来た。これ
[00:10:23.399] 絶対そうや。これ絶対そうだ。これそうだ
